;9302 - Laboratoriummaterialen;9304 - Aankoop onderzoeksmateriaal;9520 - BZK specifiek;9530 - DEF specifiek;9550 - Fin specifiek;Eindtotaal
anoniem_BZK_118;;;;2;;2
anoniem_BZK_121;;;;1;;1
anoniem_BZK_123;;;;2;;2
anoniem_BZK_129;;;;1;;1
anoniem_BZK_130;;;;1;;1
anoniem_BZK_132;;;;3;;3
anoniem_BZK_137;;;;1;;1
anoniem_BZK_138;;;;1;;1
anoniem_BZK_162;;;;3;;3
anoniem_BZK_165;;;;2;;2
anoniem_BZK_167;;;;4;;4
anoniem_BZK_180;;;;3;;3
anoniem_BZK_185;;;;1;;1
anoniem_BZK_187;;;;4;;4
anoniem_BZK_188;;;;2;;2
anoniem_BZK_189;;;;2;;2
anoniem_BZK_190;;;;1;;1
anoniem_BZK_191;;;;4;;4
anoniem_BZK_192;;;;1;;1
anoniem_BZK_193;;;;1;;1
anoniem_BZK_194;;;;3;;3
anoniem_BZK_195;;;;7;;7
anoniem_BZK_196;;;;2;;2
anoniem_BZK_197;;;;1;;1
anoniem_BZK_198;;;;2;;2
anoniem_BZK_199;;;;2;;2
anoniem_BZK_200;;;;2;;2
anoniem_BZK_201;;;;1;;1
anoniem_BZK_202;;;;6;;6
anoniem_BZK_203;;;;2;;2
anoniem_BZK_204;;;;1;;1
anoniem_BZK_205;;;;2;;2
anoniem_BZK_206;;;;1;;1
anoniem_BZK_207;;;;1;;1
anoniem_BZK_208;;;;1;;1
anoniem_BZK_209;;;;2;;2
anoniem_BZK_210;;;;8;;8
anoniem_BZK_211;;;;1;;1
anoniem_BZK_212;;;;1;;1
anoniem_BZK_213;;;;4;;4
anoniem_BZK_215;;;;1;;1
anoniem_BZK_216;;;;2;;2
anoniem_BZK_217;;;;2;;2
anoniem_BZK_218;;;;1;;1
anoniem_BZK_219;;;;5;;5
anoniem_BZK_220;;;;2;;2
anoniem_BZK_221;;;;1;;1
anoniem_BZK_222;;;;4;;4
anoniem_BZK_223;;;;2;;2
anoniem_BZK_225;;;;2;;2
anoniem_BZK_226;;;;1;;1
anoniem_BZK_227;;;;1;;1
anoniem_BZK_228;;;;5;;5
anoniem_BZK_229;;;;2;;2
anoniem_BZK_230;;;;3;;3
anoniem_BZK_231;;;;4;;4
anoniem_BZK_232;;;;2;;2
anoniem_BZK_233;;;;1;;1
anoniem_BZK_234;;;;5;;5
anoniem_BZK_235;;;;2;;2
anoniem_BZK_236;;;;1;;1
anoniem_BZK_237;;;;2;;2
anoniem_BZK_238;;;;2;;2
anoniem_BZK_239;;;;2;;2
anoniem_BZK_240;;;;1;;1
anoniem_BZK_241;;;;1;;1
anoniem_BZK_242;;;;2;;2
anoniem_BZK_243;;;;2;;2
anoniem_BZK_244;;;;1;;1
anoniem_BZK_245;;;;1;;1
anoniem_BZK_246;;;;1;;1
anoniem_BZK_247;;;;1;;1
anoniem_BZK_248;;;;1;;1
anoniem_BZK_249;;;;1;;1
anoniem_BZK_250;;;;1;;1
anoniem_BZK_251;;;;1;;1
anoniem_BZK_252;;;;1;;1
anoniem_BZK_253;;;;1;;1
anoniem_BZK_254;;;;3;;3
anoniem_BZK_255;;;;1;;1
anoniem_BZK_256;;;;1;;1
anoniem_BZK_257;;;;1;;1
anoniem_BZK_258;;;;1;;1
anoniem_BZK_259;;;;2;;2
anoniem_BZK_260;;;;1;;1
anoniem_BZK_261;;;;2;;2
anoniem_BZK_262;;;;2;;2
anoniem_BZK_263;;;;2;;2
anoniem_BZK_264;;;;2;;2
anoniem_BZK_265;;;;2;;2
anoniem_BZK_266;;;;1;;1
anoniem_BZK_267;;;;2;;2
anoniem_BZK_268;;;;1;;1
anoniem_BZK_269;;;;6;;6
anoniem_BZK_270;;;;2;;2
anoniem_BZK_271;;;;1;;1
anoniem_BZK_272;;;;1;;1
anoniem_BZK_273;;;;1;;1
anoniem_BZK_274;;;;3;;3
anoniem_BZK_275;;;;1;;1
anoniem_BZK_276;;;;1;;1
anoniem_BZK_277;;;;4;;4
anoniem_BZK_278;;;;3;;3
anoniem_BZK_279;;;;1;;1
anoniem_BZK_280;;;;1;;1
anoniem_BZK_281;;;;2;;2
anoniem_BZK_282;;;;1;;1
anoniem_BZK_283;;;;1;;1
anoniem_BZK_284;;;;4;;4
anoniem_BZK_285;;;;1;;1
anoniem_BZK_286;;;;2;;2
anoniem_BZK_287;;;;1;;1
anoniem_BZK_288;;;;1;;1
anoniem_BZK_289;;;;1;;1
anoniem_BZK_290;;;;1;;1
anoniem_BZK_291;;;;1;;1
anoniem_BZK_292;;;;2;;2
anoniem_BZK_293;;;;2;;2
anoniem_BZK_294;;;;1;;1
anoniem_BZK_295;;;;1;;1
anoniem_BZK_296;;;;2;;2
anoniem_BZK_297;;;;1;;1
anoniem_BZK_298;;;;1;;1
anoniem_BZK_299;;;;1;;1
anoniem_BZK_300;;;;3;;3
anoniem_BZK_301;;;;2;;2
anoniem_BZK_302;;;;1;;1
anoniem_BZK_303;;;;2;;2
anoniem_BZK_304;;;;1;;1
anoniem_BZK_305;;;;2;;2
anoniem_BZK_306;;;;1;;1
anoniem_BZK_307;;;;1;;1
anoniem_BZK_308;;;;1;;1
anoniem_BZK_309;;;;1;;1
anoniem_BZK_310;;;;1;;1
anoniem_BZK_311;;;;1;;1
anoniem_BZK_312;;;;3;;3
anoniem_BZK_313;;;;1;;1
anoniem_BZK_314;;;;1;;1
anoniem_BZK_315;;;;1;;1
anoniem_BZK_316;;;;1;;1
anoniem_BZK_317;;;;1;;1
anoniem_BZK_318;;;;2;;2
anoniem_BZK_319;;;;2;;2
anoniem_BZK_320;;;;1;;1
anoniem_BZK_321;;;;1;;1
anoniem_BZK_322;;;;1;;1
anoniem_BZK_323;;;;1;;1
anoniem_BZK_324;;;;1;;1
anoniem_BZK_325;;;;1;;1
anoniem_BZK_326;;;;1;;1
anoniem_BZK_327;;;;1;;1
anoniem_BZK_328;;;;1;;1
anoniem_BZK_329;;;;1;;1
anoniem_BZK_330;;;;1;;1
anoniem_BZK_332;;;;2;;2
anoniem_BZK_333;;;;1;;1
anoniem_BZK_334;;;;1;;1
anoniem_BZK_335;;;;2;;2
anoniem_BZK_336;;;;1;;1
anoniem_BZK_337;;;;2;;2
anoniem_BZK_338;;;;1;;1
anoniem_BZK_339;;;;1;;1
anoniem_BZK_340;;;;1;;1
anoniem_BZK_341;;;;1;;1
anoniem_BZK_342;;;;1;;1
anoniem_BZK_343;;;;1;;1
anoniem_BZK_344;;;;1;;1
anoniem_BZK_345;;;;1;;1
anoniem_BZK_350;;;1;;;1
anoniem_BZK_353;;;1;;;1
anoniem_BZK_354;;;1;;;1
anoniem_BZK_362;;;1;;;1
anoniem_BZK_368;;;1;;;1
anoniem_BZK_371;;;3;;;3
anoniem_BZK_374;;;1;;;1
anoniem_BZK_377;;;1;;;1
anoniem_BZK_425;;;9;;;9
anoniem_BZK_426;;;8;;;8
anoniem_BZK_73;;;;1;;1
anoniem_BZK_78;;;;7;;7
anoniem_BZK_81;;;;4;;4
anoniem_BZK_82;;;;5;;5
anoniem_BZK_83;;;;1;;1
anoniem_BZK_84;;;2;;;2
anoniem_BZK_85;;;;1;;1
anoniem_BZK_86;;;;3;;3
anoniem_BZK_87;;;;1;;1
anoniem_BZK_91;;;;1;;1
anoniem_BZK_94;;;;1;;1
Antea Nederland B.V.;;;2;5;;5
Apleona HSG;;;2;;;2
Aquaco B.V.;;;;3;;3
AquaTerra-KuiperBurger (ATKB);;;;1;;1
Aquifer Advies B.V.;;;;3;;3
Arcadis;;;2;;;2
ARCADIS Nederland;;;;4;;4
Architec B.V.;;;;3;;3
Architechniek;;;2;;;2
Architectenbureau De Twee Snoeken B.V.;;;2;;;2
Architektenburo Veldman Rietbroek Smit B.V.;;;3;;;3
Archol;;;6;;;6
ARMAEX B.V.;;;6;;;6
Arnicon B.V.;;;1;1;;2
Arnicon Projecten B.V.;;;;1;;1
ASB Security B.V.;;;;;;
Asbestos & Demolition Support B.V.;;;;3;;3
Assist Explore B.V.;;;2;;;2
Asta Advies;;;3;;;3
At Osborne B.V.;;;;3;;3
Atelier Lennart van Dijk;;;2;;;2
Autarkis B.V.;;;;1;;1
Automatic Signal Rijsenhout B.V.;;;;6;;6
Averesch;;;;7;;7
Axent Notarissen;;;2;;;2
B&G Hekwerk B.V.;;;;3;;3
B. Saris Company B.V.;;;1;;;1
B.V. Aannemingsbedrijf J.J. Meijer;;;;1;;1
B.V. Bouw- & Aannemingsbedr. G. de Haan & Zn.;;;;7;;7
B.V. Bouwbedrijf Breumelhof;;;;2;;2
B.V. Exploitatie Reservegronden Flevoland;;;4;;;4
B.V. Sport;;;;2;;2
BAAC B.V.;;;2;;;2
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;;;;1;;1
Baart-DOET energie & bouwadvies;;;1;;;1
BAM Bouw en Techniek B.V.;;;;9;;9
BAM Bouw en Techniek regio Noordwest;;;7;;;7
BAS-Bouwkundig Adviesbureau Spaans;;;;1;;1
BaseValue B.V.;;;1;;;1
BAVO;;;1;;;1
BBA Binnenmilieu B.V.;;;2;;;2
bbp advies B.V.;;;;2;;2
BCM Consultancy B.V.;;;3;;;3
Beijer en Zoon B.V.;;;;3;;3
Bekkers Translation Services;;;1;;;1
Benjamins & Benjamins;;;2;;;2
Beudeker Advies B.V.;;;1;;;1
Beuk Touringcars;;;1;;;1
Beveiligingsbedrijf De Sleutelspecialist;;;;1;;1
Bevers Installatietechniek;;;;2;;2
Bevers Service & Onderhoud B.V.;;;;1;;1
bGrid B.V.;;;2;;;2
bijHanz, B.V.;;;1;;;1
Bilfinger Tebodin Netherlands B.V.;;;;2;;2
Bioclear earth B.V.;;;;1;;1
Biometric Solutions A/S;;;1;;;1
BK Ingenieurs B.V.;;;;4;;4
BK Welding Construction;;;;2;;2
Blank Prevoo van Bolhuis Notarissen;;;1;;;1
BLB NRW NL Munster;;;;2;;2
Bleyewerck;;;;1;;1
BME Asbest Consult B.V.;;;;1;;1
BMS Netwerk Notarissen B.V.;;;1;;;1
Boag B.V.;;;1;;;1
BOdG Ruimtelijk Advies B.V.;;;1;;;1
Boedelmakelaar;;;1;;;1
BOEKEL DE NEREE N.V.;;;1;;;1
Boels Verhuur Zwolle;;;;2;;2
Bombs Away B.V.;;;;2;;2
Boon Edam Nederland B.V.;;;;3;;3
BOOT organiserend ingenieursburo B.V.;;;;4;;4
Bork Sloopwerken B.V.;;;;2;;2
Borrenbergs Bouwbedrijf B.V.;;;;7;;7
Bos & Couvée Industr. Vormgeving & Modelbouw;;;;1;;1
Bosland Adviesbureau;;;2;2;;3
Bouter B.V.;;;;2;;2
Bouwadvies;;;2;;;2
Bouwbedrijf Bos B.V.;;;;3;;3
Bouwbedrijf Gebroeders in den Eng B.V.;;;;7;;7
Bouwbedrijf Kreeft B.V.;;;;4;;4
Bouwcombinatie NCIA V.O.F.;;;;9;;9
Bouwgroep Dijkstra Draisma;;;;1;;1
Bouwonderneming Stout B.V.;;;;7;;7
Bouwstart V.O.F.;;;;1;;1
Bouwstudio PelserHartman B.V.;;;;1;;1
Bovenregionaal kantoor;;;;2;;2
Brabantsbewind4you;;;1;;;1
Brafon Brandveiligheidsmanagement;;;;5;;5
Brand Interieurs & Control Rooms B.V.;;;;2;;2
Breda Bouw B.V.;;;;9;;9
Breijer Contractonderhoud B.V.;;;;3;;3
Breman Utiliteit Zwolle B.V.;;;;1;;1
Breuker Vellinga Wiersma Netw. Notaris. B.V.;;;1;;;1
Brink Management & Advies B.V.;;;;4;;4
