FID,KLASSE,MAAIVELD_TOV_NAP,GEMIDDELD_TOV_NAP,GEMIDDELD_TOV_MAAIVELD,LAAGSTE_TOV_MAAIVELD,LAAGSTE_TOV_NAP,HOOGSTE_TOV_MAAIVELD,HOOGSTE_TOV_NAP,GRONDWATERBESCHERMINGSGEBIED,OPMERKING,FLUCTUATIE,GEOMETRIE
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-549e,0_2,8,6.8,1.2,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((183800 422950, 183850 422950, 183850 423000, 183800 423000, 183800 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-549d,0_2,8.5,6.8,1.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((183850 422950, 183900 422950, 183900 423000, 183850 423000, 183850 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-549c,0_2,8.5,6.8,1.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((183900 422950, 183950 422950, 183950 423000, 183900 423000, 183900 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-549b,0_2,8,6.8,1.2,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((183950 422950, 184000 422950, 184000 423000, 183950 423000, 183950 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-549a,0_2,7.5,6.8,0.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184000 422950, 184050 422950, 184050 423000, 184000 423000, 184000 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-5499,0_2,7.5,6.8,0.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184050 422950, 184100 422950, 184100 423000, 184050 423000, 184050 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-5498,0_2,7.5,6.8,0.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184100 422950, 184150 422950, 184150 423000, 184100 423000, 184100 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-5497,0_2,7.5,6.8,0.7,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184150 422950, 184200 422950, 184200 423000, 184150 423000, 184150 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-5496,0_2,8,6.8,1.2,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184200 422950, 184250 422950, 184250 423000, 184200 423000, 184200 422950))"
MIL_WAT_GWSTAND.fid-36cc8544_1861f90ef02_-5495,0_2,8,6.8,1.2,0,0,0,0,,,"1,0  a 1,5 meter","POLYGON ((184250 422950, 184300 422950, 184300 423000, 184250 423000, 184250 422950))"
