VERHFUNC;VERHTYPE;VERHSRT;WVO;STRAAT;OPPERVLAK;OMTREK;LENGTE;X;Y;LONGITUDE;LATITUDE
Overige;Ondergrondse afvalcontainer;Overige;1550.C OV G;Onderslag;3.962;7.966;2.053;107234.163;428015.050;4.6941177087467;51.8386738379707
Overige;Ondergrondse afvalcontainer;Overige;1810.B OV M1;P.S. Gerbrandystraat;11.497;15.632;5.851;107557.892;426929.489;4.69896353844016;51.828944458382
Overige;Ondergrondse afvalcontainer;Overige;1591.A OV L4;De Overtoom;3.928;7.930;2.039;106650.784;426580.037;4.68585384005053;51.8257258469896
Overige;Ondergrondse afvalcontainer;Overige;2236.B OV L3;Veerpromenade;3.600;7.593;1.957;106483.544;426609.123;4.68342395760035;51.8259727750044
Overige;Ondergrondse afvalcontainer;Overige;1591.A OV L7;De Overtoom;3.805;7.803;1.981;106691.135;426522.388;4.68644717227308;51.8252111908149
Overige;Ondergrondse afvalcontainer;Overige;1980.A OV G4;Slobbengorsweg;3.915;7.922;2.065;106045.728;426310.677;4.67711562420424;51.8232521788253
Overige;Ondergrondse afvalcontainer;Overige;0195.A OV G;Aviolandaplein;3.630;7.621;1.910;106134.505;426265.566;4.67840962333538;51.8228544937998
Overige;Ondergrondse afvalcontainer;Overige;0195.A OV G1;Aviolandaplein;3.631;7.623;1.911;106137.327;426264.459;4.678450709843;51.8228447909015
Overige;Ondergrondse afvalcontainer;Overige;1260.A OV G;Leeuwerikstraat;3.890;7.897;2.062;107058.808;426561.382;4.69177479614329;51.8255933315343
Overige;Ondergrondse afvalcontainer;Overige;0330.K OV G;Burgemeester Keijzerweg;3.978;7.983;2.066;107201.695;427612.646;4.69370220727826;51.8350542785482
Overige;Ondergrondse afvalcontainer;Overige;1214.A OV G2;Kokardebloem;3.605;7.595;1.900;107359.505;427285.539;4.69603673431534;51.8321277384697
Overige;Ondergrondse afvalcontainer;Overige;1810.B OV M2;P.S. Gerbrandystraat;11.439;15.616;5.854;107559.979;426928.332;4.69899397104277;51.8289342365153
Overige;Ondergrondse afvalcontainer;Overige;1620.A OV M2;Parkweg;3.094;7.036;1.776;108525.902;427348.737;4.71294924969237;51.8327940044991
Overige;Ondergrondse afvalcontainer;Overige;0360.A OV G1;Constantijn Huygenslaan;3.989;7.992;2.049;106603.028;426977.320;4.68510560785083;51.8292924684939
Overige;Ondergrondse afvalcontainer;Overige;0545.A OV L2;Espenhof;7.696;11.758;3.911;107790.781;427762.338;4.70222823784802;51.836449795698
Overige;Ondergrondse afvalcontainer;Overige;0885.A OV G2;Houthaven;3.240;7.200;1.801;106291.527;426285.396;4.68068428365044;51.8230464325363
Overige;Ondergrondse afvalcontainer;Overige;0195.A OV G3;Aviolandaplein;3.598;7.587;1.900;106143.047;426262.235;4.6785339865203;51.8228253018264
Overige;Ondergrondse afvalcontainer;Overige;0360.B OV G2;Constantijn Huygenslaan;3.827;7.830;2.027;106539.106;426890.988;4.68419043408715;51.8285109815872
Overige;Ondergrondse afvalcontainer;Overige;0360.B OV G1;Constantijn Huygenslaan;3.749;7.748;1.989;106520.180;426856.264;4.68392075893917;51.8281972427143
