;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
1Camera B.V.;;1;1
20Face B.V.;;1;1
87seconds NV;;2;2
A & P Investments B.V.;1;;1
A. Rietveld Boekbinderij;1;;1
Abonnementenland;1;;1
Acato;;1;1
Adfo Groep B.V.;1;;1
Adviesbureau ExPRtease B.V.;;1;1
Adviesbureau Reit;1;;1
Aeves Groep B.V.;1;;1
AG Connect B.V.;1;;1
AGIA Speciale Grafische Afwerking;1;;1
Allekabels B.V.;;1;1
Allen & Overy LLP;1;;1
Aloys Oosterwijk;;1;1
Amersdam;;1;1
Amnesty International, Afdeling Nederland;;1;1
Anneliek Holland beeldend ontwerper;1;;1
Annette Wiesman Tekst & Journalistiek;;1;1
anoniem_JenV_1;;1;1
ANP Pers Support Benelux B.V.;1;2;2
Ans Dekkers Fotogravin;;1;1
Antiquariaat Fokas Holthuis;1;;1
Antiquariaat Ovidius;1;;1
ANWB B.V.;1;;1
APC tekst;;2;2
ARA Groep B.V.;2;;2
Arenda Oomen Fotografie;1;1;2
Arie Kievit;1;1;1
Artihove Regina B.V.;;1;1
arvato Finance B.V.;1;;1
Auke Herrema Cartoons/Illustraties;;1;1
AV Partners;;1;1
AV Totaal;;1;1
B.V. Algemeen Nederlands Persbureau ANP;2;1;2
B.V. Kwintessens NZV Uitgevers;;2;2
B+B Vakmedianet B.V.;1;;1
Bak & Bakker C.S. Journalisten;;2;2
Bart Hoogveld beeldredactie & fotografie;1;1;1
Bart Maat Fotografie;1;1;1
Bart van Vliet Freelance Fotograaf;;1;1
Bart Versteeg fotograaf;;1;1
Bas de Vette AV;;1;1
Bas Fotografie;;1;1
Bay of Tales - design & strategie;;1;1
BDUmedia;1;;1
Berengroep B.V.;;1;1
BKB;3;4;5
BKFF bas kijzers fotografie en film;1;1;1
BKV Artsen Intermediair B.V.;1;;1
Bliksem-reclame;;1;1
Bobbe International B.V.;4;;4
Boek & Glas;1;;1
Boek 9 B.V.;1;;1
Boek- en Offsetdrukkerij Upmeyer;1;;1
Boekencentrum B.V.;1;;1
Boekhandel De Kloof;1;;1
Boekhandel Douwes;1;;1
Boekhandel Van der Velde B.V.;1;;1
bol.com B.V.;1;;1
