FID,omschr,doorrijhgt,invent_oms,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
kunstinweg_wegvak.1,Tunnel,0,GAASPERDAMMERTUNNEL(GESL.GED.),,600284142,2021-02-01T00:00:00,0,105,060028414220210201,LTK0000398300,R,I,,"LINESTRING (126944.75879999995 480319.8407999985, 126852.75420000032 480269.242899999)"
kunstinweg_wegvak.2,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),,600284142,2021-02-01T00:00:00,105,295,060028414220210201,LTK0000398301,R,I,,"LINESTRING (126852.75420000032 480269.242899999, 126851.4140000008 480268.5058000013, 126756.28290000185 480216.1341000013, 126686.37680000067 480177.49020000175)"
kunstinweg_wegvak.3,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),,600434054,2021-02-01T00:00:00,50,220,060043405420210201,LTK0000398305,R,I,,"LINESTRING (126552.84589999914 480105.08669999987, 126508.06210000068 480079.3156999983, 126404.62629999965 480021.8425000012)"
kunstinweg_wegvak.4,Tunnel,0,GAASPERDAMMERTUNNEL(GESL.GED.),,600434054,2021-02-01T00:00:00,220,352,060043405420210201,LTK0000398306,R,I,,"LINESTRING (126404.62629999965 480021.8425000012, 126289.40709999949 479957.8220000006)"
kunstinweg_wegvak.5,Tunnel,0,GAASPERDAMMERTUNNEL(GESL.GED.),,600284179,2020-06-01T00:00:00,0,108,060028417920200601,LTK0000398306,R,I,,"LINESTRING (126289.40709999949 479957.8220000006, 126221.40900000185 479920.38340000063, 126193.1400000006 479909.64169999957)"
kunstinweg_wegvak.6,Viaduct,0,VIAD.,,249358059,2020-06-01T00:00:00,86,423,024935805920200601,LTK0000395007,R,I,,"LINESTRING (124622.1464000009 479115.3038999997, 124617.27789999917 479117.0276999995, 124591.48860000074 479127.8136, 124564.30820000172 479140.8931999989, 124539.38100000098 479151.9479999989, 124520.30939999968 479159.19519999996, 124503.34980000183 479164.51949999854, 124481.6939000003 479169.2320000008, 124464.90370000154 479171.65949999914, 124445.08940000087 479172.81639999896, 124427.20080000162 479172.69619999826, 124406.35159999877 479170.5795000009, 124388.34019999951 479167.34760000184, 124367.0159999989 479161.4050000012, 124351.14649999887 479155.4629999995, 124340.48440000042 479151.23409999907, 124320.41479999945 479140.879900001, 124304.55600000173 479130.7707999982)"
kunstinweg_wegvak.7,Viaduct,0,VIAD.,,248358042,2020-06-01T00:00:00,0,119,024835804220200601,LTK0000395007,R,I,,"LINESTRING (124304.55600000173 479130.7707999982, 124291.28409999982 479121.2346000001, 124277.55220000073 479109.40769999847, 124267.67969999835 479099.8903999999, 124258.02589999884 479089.16699999943, 124249.21700000018 479078.5291999988, 124240.65500000119 479066.46649999917, 124233.85619999841 479055.9882000014, 124227.53299999982 479044.7039999999, 124226.4822999984 479042.5874999985)"
kunstinweg_wegvak.8,Viaduct,0,VIAD.O/D RW. 6,,298375007,2021-04-01T00:00:00,345,356,029837500720210401,LTK0000395070,R,I,,"LINESTRING (149230.82559999824 488285.4550999999, 149221.52299999818 488290.74500000104)"
kunstinweg_wegvak.9,Viaduct,0,VIAD.O/D RW. 6,,298376013,2021-08-01T00:00:00,0,126,029837601320210801,LTK0000395070,R,I,,"LINESTRING (149221.52299999818 488290.74500000104, 149200.3110000007 488298.5720000006, 149181.2109999992 488304.68400000036, 149167.2049999982 488307.99500000104, 149145.813000001 488310.54199999943, 149120.09099999815 488310.54199999943, 149098.5298999995 488308.28559999913)"
kunstinweg_wegvak.10,Viaduct,0,VIAD. OVER RW. 7 ='KP.HEERENVEEN',,600144484,2021-08-01T00:00:00,111,171,060014448420210801,LTK0000400509,L,I,,"LINESTRING (190502.8883999996 554375.0137000009, 190516 554364, 190534 554350, 190549.34180000052 554337.0557999983)"
kunstinweg_wegvak.11,Viaduct,0,VIAD. OVER RW. 7 ='KP.HEERENVEEN',,381508017,2021-08-01T00:00:00,119,179,038150801720210801,LTK0000400509,R,I,,"LINESTRING (190557.0438000001 554347.1748000011, 190545 554357, 190527 554372, 190510.75250000134 554385.3460999988)"
kunstinweg_wegvak.12,Brug,0,KOOYBRUG (VAST),,229495013,2021-08-01T00:00:00,60,169,022949501320210801,LTK0000400651,M,I,,"LINESTRING (115048.46759999916 547521.6959000006, 115122.97610000148 547497.9299000017, 115152.39409999922 547488.8310000002)"
kunstinweg_wegvak.13,Brug,0,KOOYBRUG (BEW.),,229495013,2021-08-01T00:00:00,169,189,022949501320210801,LTK0000400652,M,I,,"LINESTRING (115152.39409999922 547488.8310000002, 115171.5009999983 547482.9213000014)"
kunstinweg_wegvak.14,Brug,0,KOOYBRUG (VAST),,229495013,2021-08-01T00:00:00,189,248,022949501320210801,LTK0000400653,M,I,,"LINESTRING (115171.5009999983 547482.9213000014, 115227.8665000014 547465.4875999987)"
kunstinweg_wegvak.15,Viaduct,0,VIAD.O/D RW.013 (L.RIJB.),,600440957,2021-08-01T00:00:00,307,421,060044095720210801,LTK0000400245,L,I,,"LINESTRING (84019.58669999987 450599.05209999904, 84009 450626, 83996 450652, 83971.75510000065 450702.4554999992)"
kunstinweg_wegvak.16,Brug,0,BRUG O/D ZIJTAK V/H NOORD-HOLLANDSKANAAL (VAST),,214459027,2016-12-01T00:00:00,9,17,021445902720161201,LTK0000369054,L,I,,"LINESTRING (107353.94900000095 529888.3731000014, 107353.94900000095 529880.3731000014)"
kunstinweg_wegvak.17,Brug,0,BRUG O/D ZIJTAK V/H NOORD-HOLLANDSKANAAL (VAST),,600120128,2019-02-01T00:00:00,28,36,060012012820190201,LTK0000369054,R,I,,"LINESTRING (107359.14930000156 529882.0758000016, 107359.0362999998 529890.0749999993)"
kunstinweg_wegvak.18,Viaduct,0,VIAD.,,600200293,2019-09-01T00:00:00,0,15,060020029320190901,LTK0000321256,L,I,,"LINESTRING (146140.38850000128 485307.2320000008, 146126.09580000117 485302.6799999997)"
kunstinweg_wegvak.19,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),,600283958,2021-10-01T00:00:00,152,227,060028395820211001,LTK0000378594,R,I,,"LINESTRING (127799.91259999946 480772.39090000093, 127739.82299999893 480743.7140999995, 127732.13450000063 480740.28539999947)"
kunstinweg_wegvak.20,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),,600283942,2020-06-01T00:00:00,790,830,060028394220200601,LTK0000378596,R,I,,"LINESTRING (125519.53759999946 479498.1724999994, 125484.18329999968 479478.9213999994)"
kunstinweg_wegvak.21,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),,600283943,2020-06-01T00:00:00,0,1,060028394320200601,LTK0000378596,R,I,,"LINESTRING (125484.18329999968 479478.9213999994, 125483.34319999814 479478.378800001)"
kunstinweg_wegvak.22,Viaduct,0,VIAD.,,249358060,2021-08-01T00:00:00,58,95,024935806020210801,LTK0000378613,R,I,,"LINESTRING (124742.58049999923 479100.4829999991, 124735.8925999999 479099.5656000003, 124719.9514000006 479098.97030000016, 124706.12689999864 479099.0364000015)"
kunstinweg_wegvak.23,Viaduct,0,VIAD.,,600283944,2020-06-01T00:00:00,58,86,060028394420200601,LTK0000378597,R,I,,"LINESTRING (125290.87009999901 479361.90089999884, 125276.80849999934 479353.61360000074, 125270.02950000018 479344.1046000011)"
kunstinweg_wegvak.24,Viaduct,0,VIAD.,,600124624,2020-08-01T00:00:00,85,112,060012462420200801,LTK0000378606,R,I,,"LINESTRING (125282.90830000117 479374.2853000015, 125259.1185999997 479361.5161000006)"
kunstinweg_wegvak.25,Viaduct,0,VIAD.,,249358061,2020-06-01T00:00:00,58,90,024935806120200601,LTK0000378611,R,I,,"LINESTRING (124743.79080000147 479094.4397, 124733.02849999815 479092.5144999996, 124712.01440000162 479091.0245000012)"
kunstinweg_wegvak.26,Viaduct,0,VIAD.,,249358059,2020-06-01T00:00:00,0,3,024935805920200601,LTK0000378613,R,I,,"LINESTRING (124706.12689999864 479099.0364000015, 124703.13230000064 479099.2159000002)"
kunstinweg_wegvak.27,Onderdoorgang (voetgangers/fietsers/eco),0,FIETSTUNNEL DIEMERBOS,,258365015,2021-10-01T00:00:00,757,779,025836501520211001,LTK0000430332,R,I,,"LINESTRING (128974.0885999985 481971.04399999976, 128965.28009999916 481955.4028000012, 128963.35040000081 481951.84319999814)"
kunstinweg_wegvak.28,Onderdoorgang (voetgangers/fietsers/eco),0,FIETSTUNNEL DIEMERBOS,,600186675,2021-10-01T00:00:00,304,326,060018667520211001,LTK0000430332,L,I,,"LINESTRING (128994.61019999906 481928.5023000017, 128995.24599999934 481929.67819999903, 129005.2939000018 481947.7338999994)"
kunstinweg_wegvak.29,Onderdoorgang (voetgangers/fietsers/eco),0,FIETSTUNNEL DIEMERBOS WEST,,600283879,2021-10-01T00:00:00,158,168,060028387920211001,LTK0000430333,R,I,,"LINESTRING (128756.18420000002 481552.8057000004, 128750.70630000159 481544.4395000003)"
kunstinweg_wegvak.30,Brug,0,AMSTERDAM BRUG O/D GAASPERPLAS (VAST),,600283879,2021-10-01T00:00:00,642,709,060028387920211001,LTK0000430334,R,I,,"LINESTRING (128438.84459999949 481189.1345999986, 128401.5439000018 481154.8484000005, 128389.46909999847 481144.15630000085)"
kunstinweg_wegvak.31,Brug,0,AMSTERDAM BRUG O/D GAASPERPLAS (VAST),,256362014,2021-05-01T00:00:00,0,68,025636201420210501,LTK0000430334,L,I,,"LINESTRING (128402.50569999963 481115.70899999887, 128430.68699999899 481139.6656999998, 128453.2303000018 481160.96240000054)"
kunstinweg_wegvak.32,Brug,0,AMSTERDAM BRUG O/D GAASPERPLAS (VAST),,600449034,2021-05-01T00:00:00,0,101,060044903420210501,LTK0000430334,L,I,,"LINESTRING (128320.76260000095 481055.5890999995, 128402.50569999963 481115.70899999887)"
kunstinweg_wegvak.33,Brug,0,AMSTERDAM BRUG O/D GAASPERPLAS (VAST),,600448990,2021-05-01T00:00:00,3466,3494,060044899020210501,LTK0000430334,L,I,,"LINESTRING (128298.73790000007 481038.23750000075, 128306.1596999988 481044.02540000156, 128320.76260000095 481055.5890999995)"
kunstinweg_wegvak.34,Brug,0,AMSTERDAM BRUG O/D GAASPERPLAS (VAST),,600283896,2020-06-01T00:00:00,0,140,060028389620200601,LTK0000430334,R,I,,"LINESTRING (128389.46909999847 481144.15630000085, 128360.55370000005 481118.5482000001, 128326.5791000016 481089.6581000015, 128282.40139999986 481053.9919999987)"
kunstinweg_wegvak.35,Viaduct,0,VIAD.'HOGENDIJK'OVER RW.  2,,248355010,2022-01-01T00:00:00,530,636,024835501020220101,LTK0000430337,L,I,,"LINESTRING (124982.8145999983 477639.44480000064, 125088.45699999854 477641.85880000144)"
kunstinweg_wegvak.36,Viaduct,0,VIAD.O/D AMSTELWEG,,600124479,2021-10-01T00:00:00,424,485,060012447920211001,LTK0000430338,R,I,,"LINESTRING (124199.83430000022 477671.29989999905, 124192.00609999895 477671.818500001, 124160.3863000013 477674.1447999999, 124139.00360000134 477675.8343000002)"
kunstinweg_wegvak.37,Viaduct,0,VIAD.O/D AMSTELWEG,,242357022,2021-10-01T00:00:00,3133,3195,024235702220211001,LTK0000430338,L,I,,"LINESTRING (124138.4792000018 477658.92179999873, 124189.65500000119 477654.90359999985, 124200.29399999976 477654.13599999994)"
kunstinweg_wegvak.38,Viaduct,0,VIAD.O/D HOLENDRECHTER ZIJWEG,,242357022,2021-10-01T00:00:00,2509,2567,024235702220211001,LTK0000430339,L,I,,"LINESTRING (123520.06170000136 477740.1988000013, 123553.34809999913 477734.2998000011, 123577.20630000159 477730.27749999985)"
kunstinweg_wegvak.39,Brug,0,OUDER-AMSTEL BRUG O/D BULLEWIJK (VAST),,242357022,2021-10-01T00:00:00,1729,1870,024235702220211001,LTK0000430340,L,I,,"LINESTRING (122761.93400000036 477921.5861000009, 122814.18129999936 477905.7314000018, 122857.88639999926 477893.0588000007, 122897.23559999838 477881.92229999974)"
kunstinweg_wegvak.40,Brug,0,OUDER-AMSTEL BRUG O/D BULLEWIJK (VAST),,600124431,2021-10-01T00:00:00,990,1129,060012443120211001,LTK0000430340,R,I,,"LINESTRING (122899.52600000054 477898.8295000009, 122864.01749999821 477908.83790000156, 122825.58729999885 477919.99969999865, 122781.33850000054 477933.1105999984, 122766.08889999986 477937.7489)"
kunstinweg_wegvak.41,Viaduct,0,VIAD.O/D POLDERWEG,,242357022,2021-10-01T00:00:00,544,604,024235702220211001,LTK0000430341,L,I,,"LINESTRING (121665.7041000016 478367.26520000026, 121703.73660000041 478347.7578999996, 121719.1446999982 478339.98750000075)"
kunstinweg_wegvak.42,Viaduct,0,VIAD.O/D POLDERWEG,,600124431,2021-10-01T00:00:00,2250,2310,060012443120211001,LTK0000430341,R,I,,"LINESTRING (121727.0212999992 478354.6997000016, 121679.9162000008 478378.61459999904, 121673.55519999936 478381.92720000073)"
kunstinweg_wegvak.43,Brug,0,AMSTELVEEN BRUG O/D AMSTEL (VAST),,242357022,2021-10-01T00:00:00,0,77,024235702220211001,LTK0000430342,L,I,,"LINESTRING (121182.01570000127 478615.7382000014, 121200.40069999918 478607.7725000009, 121211.73759999871 478602.68389999866, 121252.25899999961 478584.20259999856)"
kunstinweg_wegvak.44,Brug,0,AMSTELVEEN BRUG O/D AMSTEL (VAST),,241357006,2021-10-01T00:00:00,403,530,024135700620211001,LTK0000430342,L,I,,"LINESTRING (121064.4001000002 478663.40089999884, 121096.42810000107 478651.03869999945, 121115.02710000053 478643.65410000086, 121133.57180000097 478636.1596999988, 121165.17269999906 478623.0031000003, 121182.01570000127 478615.7382000014)"
kunstinweg_wegvak.45,Brug,0,BRUG O/D ZIJTAK KLEINE VIJVER (VAST) & SCHIPHOLDIJK,,232361015,2021-10-01T00:00:00,407,470,023236101520211001,LTK0000430349,L,I,,"LINESTRING (116435.95540000126 480314.56969999894, 116436.05519999936 480314.5003999993, 116488.16800000146 480279.3156999983)"
kunstinweg_wegvak.46,Brug,0,BRUG O/D ZIJTAK KLEINE VIJVER (VAST) & SCHIPHOLDIJK,,600122944,2021-10-01T00:00:00,906,984,060012294420211001,LTK0000430349,R,I,,"LINESTRING (116504.40049999952 480285.83839999884, 116500.2899999991 480288.441300001, 116483.63470000029 480299.5172000006, 116444.15139999986 480326.23409999907, 116439.65670000017 480329.33359999955)"
kunstinweg_wegvak.47,Brug,0,VIAD. O/D RW67 VBW. #,,600138373,2021-10-01T00:00:00,327,359,060013837320211001,LTK0000428935,L,I,,"LINESTRING (158127.0901999995 379689.46130000055, 158116.30519999936 379702.4737999998, 158107.22309999913 379714.53599999845)"
kunstinweg_wegvak.48,Brug,0,VIAD. O/D RW67 VBW. #,,316159029,2021-10-01T00:00:00,228,260,031615902920211001,LTK0000428935,R,I,,"LINESTRING (158091.23460000008 379704.87970000133, 158096.62779999897 379697.4668999985, 158106.24020000175 379685.1979999989, 158110.9301000014 379679.67339999974)"
kunstinweg_wegvak.49,Brug,0,VIAD. O/D GEESTELSESTRAAT,,600138437,2021-10-01T00:00:00,1306,1318,060013843720211001,LTK0000428938,L,I,,"LINESTRING (160988.6799999997 379614.6158000007, 160977.60830000043 379615.15630000085, 160976.69420000166 379615.19889999926)"
kunstinweg_wegvak.50,Brug,0,VIAD. O/D GEESTELSESTRAAT,,317159027,2021-10-01T00:00:00,2120,2132,031715902720211001,LTK0000428938,R,I,,"LINESTRING (160978.2404000014 379597.35339999944, 160990.2259999998 379596.7655999996)"
kunstinweg_wegvak.51,Brug,0,VIAD. O/D AALSTERWEG,,600138437,2021-10-01T00:00:00,1075,1097,060013843720211001,LTK0000428939,L,I,,"LINESTRING (161219.40520000085 379603.3513999991, 161197.43140000105 379604.4241999984)"
kunstinweg_wegvak.52,Brug,0,VIAD. O/D AALSTERWEG,,317159027,2021-10-01T00:00:00,2341,2363,031715902720211001,LTK0000428939,R,I,,"LINESTRING (161198.97509999946 379586.52910000086, 161220.9486999996 379585.45160000026)"
kunstinweg_wegvak.53,Brug,0,VIAD. O/D ROOSTENLAAN,,317159027,2021-10-01T00:00:00,2617,2675,031715902720211001,LTK0000428940,R,I,,"LINESTRING (161474.70050000027 379574.82510000095, 161532.63199999928 379572.0064000003)"
kunstinweg_wegvak.54,Brug,0,VIAD. O/D BOSPAD,,600138437,2021-10-01T00:00:00,127,142,060013843720211001,LTK0000428941,L,I,,"LINESTRING (162166.3476999998 379558.7826000005, 162151.35500000045 379559.25140000135)"
kunstinweg_wegvak.55,Viaduct,0,VIAD.'VOGELSBERG'O/D DE KLEINE BRUGGEN,,340138029,2021-10-01T00:00:00,295,329,034013802920211001,LTK0000428947,R,I,,"LINESTRING (170249.45960000157 369252.27050000057, 170269.4998999983 369224.8044000007)"
kunstinweg_wegvak.56,Viaduct,0,VIAD.'VOGELSBERG'O/D DE KLEINE BRUGGEN,,600139243,2021-10-01T00:00:00,309,343,060013924320211001,LTK0000428947,L,I,,"LINESTRING (170278.89990000054 369233.91789999977, 170258.8878000006 369261.40459999815)"
kunstinweg_wegvak.57,Viaduct,0,VIAD.O/D KERKSTRAAT,,340138032,2021-10-01T00:00:00,49,65,034013803220211001,LTK0000428948,R,I,,"LINESTRING (170451.39180000126 368955.52629999816, 170459.88919999823 368941.96920000017)"
kunstinweg_wegvak.58,Tunnel,0,BENELUXTUNNEL (GESL.GED),,600278986,2021-10-01T00:00:00,0,420,060027898620211001,LTK0000429600,L,I,,"LINESTRING (85136.43090000004 434998.4695999995, 85125.52479999885 435028.4686000012, 85120.65810000151 435042.7129999995, 85114.49179999903 435061.74159999937, 85105.24289999902 435092.56329999864, 85097.31560000032 435121.49969999865, 85093.11620000005 435138.11129999906, 85089.6240000017 435152.7120000012, 85083.16690000147 435182.0218000002, 85079.27010000125 435201.7239000015, 85074.1147999987 435231.27870000154, 85070.58540000021 435253.67720000073, 85068.48059999943 435268.5289000012, 85066.6110999994 435283.4129000008, 85064.12840000167 435305.75239999965, 85062.25180000067 435325.66530000046, 85060.32189999893 435350.60020000115, 85059.42779999971 435365.944600001, 85058.80040000007 435380.934799999, 85058.08029999956 435408.8341999985)"
kunstinweg_wegvak.59,Tunnel,0,BENELUXTUNNEL (GESL.GED),,600278975,2021-10-01T00:00:00,0,476,060027897520211001,LTK0000429600,L,I,,"LINESTRING (85379.28209999949 434591.35379999876, 85371.16919999942 434602.0073999986, 85359.33139999956 434618.12849999964, 85327.67550000176 434660.5617999993, 85298.07050000131 434700.85649999976, 85287.7408999987 434715.40469999984, 85273.4728000015 434735.93360000104, 85262.25580000132 434752.495099999, 85253.70960000157 434765.5309999995, 85245.66189999878 434778.1906999983, 85232.57629999891 434799.49269999936, 85218.4235999994 434823.8071000017, 85203.87810000032 434850.04509999976, 85195.96999999881 434864.9578999989, 85189.0934999995 434878.41039999947, 85182.45670000091 434891.8632000014, 85175.95839999989 434905.3825000003, 85169.33069999889 434919.67170000076, 85157.08139999956 434947.127700001, 85149.33049999923 434965.5683000013, 85144.09919999912 434978.48209999874, 85136.43090000004 434998.4695999995)"
kunstinweg_wegvak.60,Tunnel,0,BENELUXTUNNEL (GESL.GED),,600278974,2021-10-01T00:00:00,590,614,060027897420211001,LTK0000429600,L,I,,"LINESTRING (85393.34629999846 434571.3103, 85387.7910999991 434579.3570000008, 85379.28209999949 434591.35379999876)"
kunstinweg_wegvak.61,Tunnel,0,BENELUXTUNNEL (OPEN.GED.),,600278974,2021-10-01T00:00:00,463,590,060027897420211001,LTK0000429602,L,I,,"LINESTRING (85459.45839999989 434462.97679999843, 85450.69449999928 434479.34789999947, 85439.95919999853 434498.3471000008, 85427.17689999938 434519.8363999985, 85413.84230000153 434540.9844999984, 85402.00329999998 434558.7707000002, 85393.34629999846 434571.3103)"
kunstinweg_wegvak.62,Viaduct,0,'VIAD. O/D HSL',,196328088,2021-10-01T00:00:00,297,329,019632808820211001,LTK0000429487,L,I,,"LINESTRING (98241.1475000009 463882.2291000001, 98237.46579999849 463882.179299999, 98230.5764000006 463882.7804999985, 98225.61210000142 463883.4919000007, 98220.70179999992 463884.4362999983, 98212.65540000051 463886.620099999, 98209.76920000091 463887.60489999875)"
kunstinweg_wegvak.63,Brug,0,BRUG O/D DWARSWATERING (VAST),,600114465,2021-10-01T00:00:00,341,377,060011446520211001,LTK0000429493,R,I,,"LINESTRING (97694.37640000135 463742.9886999987, 97666.45809999853 463720.2606000006)"
kunstinweg_wegvak.64,Tunnel,0,LIMESAQUADUCT 2014 I/D OUDE RIJN (OPEN GED.),,600115200,2022-02-01T00:00:00,0,267,060011520020220201,LTK0000429496,L,I,,"LINESTRING (95264.48180000111 462113.9726999998, 95286.20199999958 462134.5901999995, 95308.38100000098 462154.7978999987, 95330.94779999927 462174.565200001, 95350.06069999933 462190.6889999993, 95363.93299999833 462202.03069999814, 95379.54540000111 462214.51040000096, 95391.3761 462223.7335000001, 95407.29769999906 462235.83729999885, 95423.75400000066 462247.9637000002, 95440.01619999856 462259.6105000004, 95452.3125 462268.20149999857, 95464.41600000113 462276.05000000075, 95469.01370000094 462283.59270000085)"
kunstinweg_wegvak.65,Viaduct,0,VIAD.O/D SPOORWEG LEIDEN WOERDEN,,600115199,2021-10-01T00:00:00,96,137,060011519920211001,LTK0000429497,L,I,,"LINESTRING (94972.80110000074 461754.0298999995, 94977.29619999975 461760.6009000018, 94996.18600000069 461787.7067000009)"
kunstinweg_wegvak.66,Tunnel,4,AQUADUCT I/H HAARLEMMERMEER (GESL.GED.)                %4.00,,600112475,2022-02-01T00:00:00,1956,2024,060011247520220201,LTK0000429688,R,I,,"LINESTRING (103056.44799999893 470040.76139999926, 103034.08460000157 469976.8033000007)"
kunstinweg_wegvak.67,Tunnel,4,AQUADUCT I/H HAARLEMMERMEER (OPEN GED.)                %4.00,,600115177,2021-10-01T00:00:00,0,36,060011517720211001,LTK0000429689,R,I,,"LINESTRING (102965.0373999998 469783.03929999843, 102952.75279999897 469749.20010000095)"
kunstinweg_wegvak.68,Viaduct,0,VIAD. O/D RIPSLAAN,,600112983,2021-10-01T00:00:00,561,582,060011298320211001,LTK0000429691,R,I,,"LINESTRING (102134.73290000111 468217.93769999966, 102124.10300000012 468199.8267999999)"
kunstinweg_wegvak.69,Viaduct,0,VIAD. O/D DE TOL RW059,,600127944,2021-08-01T00:00:00,29,86,060012794420210801,LTK0000301051,L,I,,"LINESTRING (139516.8669999987 412241.62029999867, 139514.7800000012 412237.33300000057, 139512.15100000054 412218.3189999983, 139513.56700000167 412197.0799999982, 139517.15190000087 412185.8896000013)"
kunstinweg_wegvak.70,Tunnel,0,GAASPERDAMMERTUNNEL (OPEN GED.),,600448990,2021-05-01T00:00:00,3294,3332,060044899020210501,LTK0000408763,L,I,,"LINESTRING (128159.39999999851 480937.4688999988, 128167.88019999862 480943.1050999984, 128181.8665000014 480952.57730000094, 128190.84310000017 480958.8055999987)"
kunstinweg_wegvak.71,Tunnel,0,GAASPERDAMMERTUNNEL (OPEN GED.),,600285596,2020-06-01T00:00:00,97,135,060028559620200601,LTK0000408763,R,I,,"LINESTRING (128174.47320000082 480972.5230999999, 128160.50090000033 480962.51199999824, 128143.20109999925 480950.9433999993)"
