FID,bronactualiteit,tdncode,geometrie_length,geometrie_area,gdb_geomattr_data,shape
bebouwd_gebied_nacht.1,2018-11-01T00:00:00,1101,493.87752,9742.5195156,,"POLYGON ((200000.3476999998 309604.9118999988, 199990.99450000003 309608.4017000012, 199988.01949999854 309614.6766999997, 199999.47850000113 309644.16589999944, 200015.32710000128 309655.6436999999, 200067.77490000054 309632.500500001, 200078.4710999988 309621.48910000175, 200084.61410000175 309597.6871000007, 200067.04410000145 309569.4611000009, 200099.9215000011 309545.45490000024, 200094.7811000012 309536.17610000074, 200105.32889999822 309529.17069999874, 200080.48629999906 309478.61769999936, 200036.54989999905 309495.9904999994, 200037.2939000018 309556.30490000173, 200028.17009999976 309591.72410000116, 200000.3476999998 309604.9118999988))"
bebouwd_gebied_nacht.2,2018-11-01T00:00:00,1101,432.07570028,11427.14305875,,"POLYGON ((199436.00789999962 309613.29729999974, 199465.69209999964 309666.80590000004, 199474.3962999992 309661.8894999996, 199517.7265000008 309638.4455000013, 199512.9924999997 309518.47250000015, 199476.6136999987 309518.13809999824, 199410.5177000016 309542.36410000175, 199401.77149999887 309546.4272999987, 199414.3156999983 309572.2978999987, 199436.00789999962 309613.29729999974))"
bebouwd_gebied_nacht.3,2018-11-01T00:00:00,1101,207.77077294,2077.39651116,,"POLYGON ((199162.57449999824 313946.69209999964, 199157.1939000003 313933.2670999989, 199109.01289999858 313974.1695000008, 199118.05909999833 313981.34809999913, 199173.02969999984 313991.6369000003, 199180.56329999864 313996.97030000016, 199164.53730000183 313951.68250000104, 199162.57449999824 313946.69209999964))"
bebouwd_gebied_nacht.4,2018-11-01T00:00:00,1101,714.0993289,16175.976343,,"POLYGON ((198497.2712999992 313868.0694999993, 198513.42550000176 313898.7604999989, 198709.66149999946 314065.99130000174, 198708.5311000012 314060.03449999914, 198703.09109999985 314037.5362999998, 198634.20710000023 313929.70809999853, 198630.20710000023 313904.37590000033, 198615.31709999964 313898.8451000005, 198567.20309999958 313825.14609999955, 198538.46409999952 313836.6640999988, 198529.8000999987 313818.3460999988, 198482.95809999853 313838.8850999996, 198492.61769999936 313859.21829999983, 198497.2712999992 313868.0694999993))"
bebouwd_gebied_nacht.5,2018-11-01T00:00:00,1101,665.69437928,17939.09462939,,"POLYGON ((199730.0260999985 309652.30409999937, 199723.36510000005 309619.7699000016, 199704.43050000072 309612.7248999998, 199654.64449999854 309635.35350000113, 199583.03909999877 309660.7760999985, 199574.83410000056 309658.4681000002, 199565.05050000176 309625.24269999936, 199538.29729999974 309633.9569000006, 199517.7265000008 309638.4455000013, 199474.3962999992 309661.8894999996, 199465.69209999964 309666.80590000004, 199494.3099000007 309719.632100001, 199513.87189999968 309720.3150999993, 199521.83350000158 309738.19689999893, 199563.29529999942 309740.6719000004, 199579.89389999956 309736.45650000125, 199730.0260999985 309652.30409999937))"
bebouwd_gebied_nacht.6,2018-11-01T00:00:00,1101,487.550178,6246.49820055,,"POLYGON ((198703.09109999985 314037.5362999998, 198708.5311000012 314060.03449999914, 198709.66149999946 314065.99130000174, 198724.38109999895 314155.32009999827, 198730.31049999967 314152.3742999993, 198806.32429999858 314107.8627000004, 198794.83509999886 314096.1411000006, 198780.50510000065 314104.84010000154, 198787.5749000013 314116.4864999987, 198768.1229000017 314125.1257000007, 198761.8013000004 314102.7890999988, 198789.19509999827 314084.2459000014, 198785.40210000053 314078.4860999994, 198772.89930000156 314086.07189999893, 198770.51110000163 314079.0478999987, 198762.92529999837 314081.43609999865, 198744.70069999993 314023.2357000001, 198739.0982999988 314016.21869999915, 198708.28649999946 314034.93510000035, 198703.09109999985 314037.5362999998))"
bebouwd_gebied_nacht.7,2018-11-01T00:00:00,1101,310.13115926,3398.85908559,,"POLYGON ((199017.1325000003 314110.6506999992, 198940.3739 314120.7335000001, 198939.38809999824 314135.3211000003, 198900.1308999993 314133.9134999998, 198894.33069999889 314167.0064999983, 198951.3434999995 314156.5117000006, 199013.52450000122 314129.9340999983, 199014.1999000013 314126.6303000003, 199017.0062999986 314111.4604999982, 199017.1325000003 314110.6506999992))"
bebouwd_gebied_nacht.8,2018-11-01T00:00:00,1101,406.19458296,9063.80891803,,"POLYGON ((199183.67289999872 314199.2338999994, 199237.95930000022 314179.26370000094, 199226.91809999943 314140.7729000002, 199205.90069999918 314070.9640999995, 199198.65729999915 314049.4156999998, 199131.3150999993 314071.09010000154, 199135.34409999847 314079.79410000145, 199180.33210000023 314200.4578999989, 199183.67289999872 314199.2338999994))"
bebouwd_gebied_nacht.9,2018-11-01T00:00:00,1101,354.38335616,7045.61765249,,"POLYGON ((199563.6149000004 309522.2318999991, 199512.9924999997 309518.47250000015, 199517.7265000008 309638.4455000013, 199538.29729999974 309633.9569000006, 199565.05050000176 309625.24269999936, 199597.41649999842 309602.3013000004, 199601.11950000003 309589.94509999827, 199575.38109999895 309570.0971000008, 199563.6149000004 309522.2318999991))"
bebouwd_gebied_nacht.10,2018-11-01T00:00:00,1101,689.47013276,17948.5361609,,"POLYGON ((199730.0260999985 309652.30409999937, 199833.5311000012 309597.97989999875, 199810.9125000015 309542.2322999984, 199804.15069999918 309525.58509999886, 199700.1024999991 309557.7809000015, 199682.12429999933 309559.3927000016, 199644.80909999833 309578.83249999955, 199637.81450000033 309581.8066999987, 199623.1127000004 309587.85610000044, 199601.11950000003 309589.94509999827, 199597.41649999842 309602.3013000004, 199565.05050000176 309625.24269999936, 199574.83410000056 309658.4681000002, 199583.03909999877 309660.7760999985, 199654.64449999854 309635.35350000113, 199704.43050000072 309612.7248999998, 199723.36510000005 309619.7699000016, 199730.0260999985 309652.30409999937))"
