Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
7AM B.V.;2;;2
A30 Trucks B.V.;;1;1
Albron Nederland B.V.;1;;1
Andree's Snackbar;1;;1
Athlon Car Lease Nederland B.V.;;6;6
Auto Cool Comfort Utrecht B.V.;;1;1
Auto Muntstad Molensteyn;;1;1
Autoservice Van der Velden Meerzicht B.V.;;1;1
Bar Restaurant Pavlov B.V.;1;;1
Bartholomeus Gasthuis;1;;1
BCN B.V.;1;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;2;2
Better Future B.V.;1;;1
BIGA Groep B.V.;;1;1
Bilderberg Hotel De Klepperman;1;;1
BIT GRILL AND CAFE;1;;1
BMW Den Haag B.V.;;1;1
Brasserie Vrienden;1;;1
Bultman Bedrijfsautoverhuur;;1;1
Bureau G.I.T.;1;;1
Bureau voor Beeldzaken;1;;1
Café van Miltenburg;1;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;1
Café-Restaurant De Veranda B.V.;1;;1
Carrosseriefabriek Harderwijk B.V.;;1;1
Catering Oud London B.V.;1;;1
Compass Group Nederland B.V.;1;;1
Connexxion Taxi Services B.V.;;1;1
Cornelissen Projectbegeleiding;;1;1
De Griffel V.O.F.;1;;1
De Hooge Vuursche B.V.;1;;1
De keuken van Thijs;1;;1
De Lindenhof;1;;1
De Poort van Kleef Utrecht B.V.;1;;1
De Utrechtse Haven B.V.;1;;1
De Veldkeuken;1;;1
De Winkel van Sinkel B.V.;2;;2
De Wit Aggregaten B.V.;;1;1
Deventer Ziekenhuis;1;;1
Dyzle Operations B.V.;;1;1
Esther-Louise Luytjes Facilities;1;;1
Exploitatie Maatschappij De Nieuwe Poort B.V.;1;;1
Exploitatie Schimmelpenninckhuys B.V.;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;2;;2
Faber Vlaggen;1;;1
Facilitairbedrijf 'Landgoed De Reehorst' B.V.;1;;1
Fleetlogic B.V.;;2;2
Gouden Pakket B.V.;1;;1
grand café Lebowski;1;;1
Grand Catering B.V.;1;;1
Hertz Automobielen Nederland B.V.;;2;2
Het Kookplein;1;;1
Het Muntgebouw-Utrecht B.V.;1;;1
Hogeschool Domstad Facilitaire Zaken B.V.;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;1
Holland Catering Specialisten Loc. Woudestein;1;;1
Hollandse Telecommunicatie Maatschappij;;1;1
Horecaverhuur Freerk Albertema;1;;1
Hotel Contact B.V.;6;;6
Hotel-Café-Restaurant De Biltsche Hoek;1;;1
HR Via Care B.V.;;3;3
IBG Advies;1;;1
Internet New Business Concepts B.V.;1;;1
Ipse de Bruggen;1;;1
Jaarbeurs B.V.;2;;2
Jaarbeurs Catering Services B.V.;1;;1
Jaarbeurs Ontwikkeling B.V.;2;;2
Janoq B.V.;1;;1
Jessie's Cuisine;1;;1
Jopen Horeca Exploitatie B.V.;1;;1
KAV Autoverhuur B.V.;;2;2
Kemetyl Professional B.V.;;1;1
Kropman Installatietechniek;;1;1
Landelijke Huisartsen Vereniging;1;;1
Leaseplan Nederland N.V.;;5;5
Lumenz;1;;1
Luna Catering & Organisatie;1;;1
Mainnovation B.V.;1;;1
Mammoni Koken + Eten;1;;1
Meeting Circle Maarssen;1;;1
Meeting Plaza Utrecht B.V.;1;;1
Millers;1;;1
Motel Nuland;1;;1
Multisignaal N.V.;1;;1
Museum Catering Den Haag B.V.;2;;2
New Babylon Meeting Center B.V.;2;;2
Nu-Swift Brandbeveiliging B.V.;;1;1
NVKC Ver. v. Klin. Chem. & Laborat.geneesk.;1;;1
Openbare Bibliotheek Amsterdam;1;;1
Orange5 Catering & Events B.V.;1;;1
Oudaen B.V.;1;;1
Pageshuis B.V.;1;;1
Park Plaza Hotel Utrecht;1;;1
paulcoumans;1;;1
Postillion Hotels B.V.;1;;1
Profile René De Fietsspecialist;;1;1
Puur Amsterdam;1;;1
Raad&Daad ZZP/MKB/(non-) profit;1;;1
Regardz Business Center;1;;1
Regus;2;;2
RESTAURANT DE DRUIVENTUIN LE STRASBOURG;1;;1
Restaurant 'Het Bosch' B.V.;1;;1
ROI B.V.;1;;1
RuimTeUtrecht B.V.;1;;1
Seats2Meet.com Utrecht B.V.;1;;1
Seinwezen Beheer B.V.;1;;1
Sodexo Nederland B.V.;5;;5
SpectraFacility B.V.;1;;1
SpiZe B.V.;1;;1
Stern Auto;;2;2
Sterntec B.V.;;2;2
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;2;;2
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;1;;1
Stichting Administratiekantoor Kropman;;2;2
Stichting Beheer Synagoge;1;;1
Stichting Cultuurhuis Heerlen;1;;1
Stichting Exploitatie 'Pulchri Studio';1;;1
Stichting Het Dolhuys;1;;1
Stichting Huis voor de Gezondheid;1;;1
Stichting Humanity House;1;;1
Stichting Jeroen Bosch Ziekenhuis;1;;1
Stichting Kenniscentrum Sport Nederland;1;;1
Stichting Molen de Ster;1;;1
Stichting Patiëntdeclaraties ICIN - NHI;1;;1
Stichting Sekondant;1;;1
Stichting Utrechts Centrum voor de Kunsten;1;;1
Still Intern Transport B.V.;;1;1
Stoomgroep West Zuiderpark- N.V.M.;1;;1
't Brederode Huys;1;;1
Te Werve B.V.;1;;1
Teamacademy B.V.;1;;1
Technocon B.V.;;1;1
The Behaviour Company;1;;1
Theater Diligentia;2;;2
Tyrilo B.V.;1;;1
Valkenburg Trainingen;1;;1
Van der Valk Biltsche Hoek Beheer B.V.;1;;1
