Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
ABF Group (incl. ABF Research en ABF Software);;;;;3;;;1;3
ADLIB Information Systems (inc Axiell);;;;;3;;;2;3
Advisie;;;;;1;;;;1
AIA Software;;;;2;;;;;2
Amsio (vh Argeweb);;;;;;;;1;1
Andriessen & Partners;;;;;6;;;;6
Anoigo Services;;;2;;2;;;;2
ArchiVision Digital Imaging;;;;;;2;;;2
ArchiXL;;;;;1;;;;1
Armatiek;;;;;1;;;;1
Asp4All Hosting;;1;1;1;1;;;1;2
Atlantic Telecom Business;;;;;;;2;;2
Atos;;5;4;2;7;;3;9;9
ATPS - Tijdregistratie- en Toegangscontrolesystemen;;;;1;;;;;1
Avex;;1;1;;;;2;1;2
Axway;;;;;2;;;;2
Bartimeus (incl. Stichting Bartiméus Accessibility);;;;;2;;;;2
Bechtle Direct;;;;;2;;;;2
BHVB Bureau Hoving & Van Bon;;;;;2;;;;2
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);2;;;;;;;;2
Bizz Design;;;;;2;;;;2
Black Box;;;;;2;;;;2
Blauwborg;;;;;1;;;;1
Bloei NL (vh Provenresense);;;;;1;;;;1
Bluedesk Group;;;;;;;;1;1
BMS Assurance;;;2;;;;;;2
Bol.Com;;1;;1;;;;;1
BPI Services;1;1;2;1;1;;;;3
Brisk ICT B.V.;;1;;;1;;;;1
Bron IT;;;;;;;;1;1
Brunel Nederland (incl. Legal, IT);;;;;7;;;4;7
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;6;1;;;;5;;7
Buy It Direct;;1;;;;;1;;1
BYS Hosting;;;;;1;;;;1
Canon (incl. Océ Nederland);;1;3;;;;2;1;4
Capgemini;;;;;7;;;7;8
