OBJECTID,PUIC,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,Z,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,92e74f1e-3606-4d7c-9efa-8d4bec86d357,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"165,863778",-5.626547,"-5,626547",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,181021.06299999,578668.375,1.80299999,Leeuwarden,LW,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.19403974,5.77654032,165.863778
2,91c5db5d-a89b-425e-a23c-eef535166093,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"165,842429",-4.425059,"-4,425059",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,181003.1,578656.85999999,1.833,Leeuwarden,LW,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.19393714,5.77627063,165.842429
3,a2e19aed-7b41-4719-9b2f-8afe843506a5,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"165,805963",4.766504,"4,766504",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,180975.92499999,578630.973,1.91599999,Leeuwarden,LW,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.19370585,5.77586195,165.805963
4,cdc33407-1f20-4796-ba2b-1ab16ceb87b8,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"149,434649",4.879233,"4,879233",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,185405.845,562969.73699999,2.70299999,Akkrum,AKM,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.0527471,5.84066581,149.434649
5,5ad6be0f-cea7-40bd-8b75-04046560f69d,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"149,378793",-4.434088,"-4,434088",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,185413.198,562913.126,3.02,Akkrum,AKM,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.05223798,5.84077015,149.378793
6,ceb767eb-7766-4f3b-a1ab-bb171138cf04,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"148,221147",-4.195687,"-4,195687",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,185752.77299999,561797.16799999,1.98,Akkrum,AKM,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,53.04219086,5.84572824,148.221147
7,8ba2ff0a-e2b1-4e21-ae0f-47324dea98c8,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"138,778734",4.58147,"4,581470",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,190021.33499999,553454.689,1.953,Heerenveen,HR,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.96696562,5.90847053,138.778734
8,2bc2a3d2-9daa-45cd-8777-fd65ebafb290,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"138,715523",-4.510544,"-4,510544",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,190049.45699999,553398.299,1.92999999,Heerenveen,HR,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.96645707,5.90888302,138.715523
9,1f24e768-9005-49c2-abb8-b9556f557fc2,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"138,606729",-4.671781,"-4,671781",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,190112.165,553307.69499999,2.33599999,Heerenveen,HR,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.96563883,5.90980656,138.606729
10,99d6fa03-1f25-4e6e-8dad-1542b772c554,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"138,545021",4.824599,"4,824599",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,190154.896,553262.023,2.359,Heerenveen,HR,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.96522564,5.9104376,138.545021
11,48b4c9ec-7984-42d1-a9ce-abfd128686e9,60,Bestaand,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,"137,922650",8.434379,"8,434379",ProRail,Noord-Oost,NO,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,190508.856,552747.07499999,2.22299999,Heerenveen,HR,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord,52.96057516,5.91564946,137.92265
