OMSCHRIJVING;OPMERKINGEN;PLAATS;LOCATIE;WATERVOEREND_PAKKET;WARMTE_KOUDE_SOORT;BESLUITNUMMER;DATUM_BESLUIT;VERGUND_IN_M3_PER_UUR;VERGUND_IN_M3_PER_JAAR;BESPARING_AARDGAS_IN_M3_PER_JA;CO2_PER_TON;NOX_PER_KG;GEMIDDELDE_OPSLAG_IN_MWH;TYPE_PAND;LGR_NUMMER;REGRON_NUMMER;STRAATNAAM_OMSC;IMGEO_IDENTIFICATIE_BAG_PAND;X;Y;LONG;LAT;ID;GUID
Nederlands Congresgebouw;;Den Haag;Churchillplein 10;1;;140322+2004-19477;20041118000000;200;120000;0;0;0;0;;41581;7083;;;79500;456500;4.28549289473158;52.09160244169298;78300;{9295211A-035B-414E-934F-DE622B7BAE25}
Paleis van Justitie;;Den Haag;Prins Clauslaan 60;1;;114298;19960213000000;330;900000;0;0;0;0;;41629;7195;;;82616;455444;4.331178736619126;52.08252864922846;78301;{757BD9AD-C806-4B09-8376-4712CF1DADBB}
stadsdeel de Resident + Ministerie van VROM;;Den Haag;Rijnstraat 8;1;;120321;19960605000000;550;1550000;0;0;0;0;;42356;8337;;;81800;455200;4.3193282953967564;52.080228598812035;78302;{96EE2490-DE5E-4C67-96D8-B95408ED327A}
Woningen ENECO;;Den Haag;Weerselostraat;1;;2004-3139;20040220000000;65;85000;0;0;0;0;;42635;8675;;;78900;452200;4.277698002186645;52.05287744856535;78303;{8005FAFE-F5A8-4673-872D-087EF64A83C9}
Eneco 41 woningen;vanaf 2008 installatie defect;Den Haag;Spijkermakersstraat;1;;154013;19980325000000;23;69000;0;0;0;0;;42636;8676;;;80600;454400;4.30199959035693;52.07287924965803;78304;{9ED821F7-8CEE-4F96-BF26-E47687DE1A14}
Grotiustoren;wordt ingetrokken in 2013;Den Haag;Juliana van Stolberglaan/Utrechtsebaan;3;;PZH-2008-748926;20080909000000;230;421720;162000;280;350;1039;;42919;9004;;;82475;455250;4.329163244799377;52.08076675778232;78305;{C8A93AD6-27D0-43E0-9F5F-9E6A4E9F19FA}
Politie Haaglanden;;Den Haag;Burgemeester Patijnlaan 35;3;;PZH-2009-140932736;20091125000000;230;550000;201000;380;300;1050;;44499;0;;;84355;456188;4.356391227022084;52.0894394711715;78306;{5DE9B8EA-B2AA-49DB-AC7D-94DDAED2EBF7}
HagaZiekenhuis;;Den Haag;Leyweg 275;2 en 3;;PZH-2010-157121714;20100210000000;500;2900000;1243000;2.15;2.81;8200;;44733;0;;;77845;452406;4.26227283937863;52.0545827892014;78307;{2B06CC1C-0708-437B-83AD-3A9C01A0601B}
Parnassia verslavingskliniek;;Den Haag;Coe de Koninglaan;2e en 3e;;PZH-2010-190841097;20100729000000;40;180000;37000;60;110;348;;48823;0;;;74855;451439;4.218913485453814;52.04546825696049;78308;{A73FA844-FDB6-41DD-B8FC-E8697246BA70}
Kantoor KPMG en Hartstichting;;Den Haag;Laan van Leidschenveen;2 en 3;;PZH-2010-209413201;20101007000000;80;270000;125850;218;284;830;;49277;0;;;86449;452458;4.387690283396857;52.05618130556266;78309;{7DA2BC31-C34B-4BCB-A44E-032110FCAFE5}
Kantoor IECF Vastgoed Rietveld;dec 2010 proefdraaien , in gebruik 2011;Den Haag;Wassenaarseweg 80;2;;PZH-2010-193352865;20100816000000;140;303000;78800;147;64;820;;49510;0;;;81872;456615;4.320075054953263;52.09295440510961;78310;{8B9E58F4-1D00-44A7-BE75-32CBAD2470C6}
Sophia Revalidatiecentrum;nieuwbouw start KWO in 2013;Den Haag;Vrederustlaan 180;2 en 3;;PZH-2010-227423467;20101207000000;150;330000;96435;167;217;636;;52208;0;;;78153;450934;4.26709372082438;52.041397139782774;78311;{BDA93C33-4EE5-4739-869F-E80CC95F5949}
Gebouwen GTI-terrein;start verm. eind 2012;Den Haag;Esperantoplein 19;2 en 3;;PZH-2011-263073725;20110308000000;70;500000;550000;975;190;2243;;53698;0;;;79970;454680;4.292750400941245;52.07531053344523;78312;{E9426396-902D-40E3-A133-1CD9AAFB912B}
Nationaal Archief;nog niet gerealiseerd febr. 2012;Den Haag;Prins Willem-Alexanderhof 20;3;;PZH-2011-253771456;20110215000000;135;260000;140000;250;79;867;;53712;0;;;82262;455285;4.326048918394576;52.08105335733387;78313;{82D06368-4B89-43DC-B1D1-037C0A6AB0FC}
Koninklijke Bibliotheek;;Den Haag;Prins Willem-Alexanderhof 5;3;;PZH-2011-253781502;20110215000000;165;570000;355000;630;200;2197;;53713;0;;;82334;455346;4.327086138159959;52.081611005696985;78314;{01C0194C-1E95-415C-8089-D676D45D8DB0}
Siemens Beatrixpark fase II;;Den Haag;Wilhelmina van Pruisenweg 78;1;;PZH-2011-295067958;20110628000000;110;110000;4700;8;11;31;;82732;0;;;83166;455023;4.339290146699887;52.07881681819219;78315;{EE9AA2E9-0FB7-4447-A653-588897EA31FE}
Siemens Beatrixpark fase III;;Den Haag;Wilhelmina van Pruisenweg 104;1;;PZH-2011-295064253;20110627000000;106;150000;67777;117;153;447;;82740;0;;;83326;455003;4.34162804899456;52.07865781162209;78316;{0592577C-9A9A-48F2-8EF3-FBDD044F2CEC}
NIBC Bank BV;;Den Haag;Carnegieplein 4;2 en 3;;PZH-2011-294453130;20110624000000;190;450000;185500;506;161;1769;;82741;0;;;80341;456123;4.297845347019324;52.08832853753939;78317;{695E05AF-FD88-4CD5-A1E3-3A3138A35FD9}
Kantoor en showroom Louwman Retail BV;recirculatiesysteem;Den Haag;Donau 34;2 en 3;;PZH-2011-315304521;20111212000000;30;104200;34000;61;78;247;;86261;0;;;86575;454030;4.389212163171073;52.07032441657285;78318;{4EFA67A1-757D-4B97-83FB-8AE134967E46}
