stembureau;straatnaam;postcode;gemeente;foto;openingsti;x;y;lat;lon;geopunt
Voormalige Internationale School;Humperdincklaan 4;5654PA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/c869d7f82b49e63ce8f59fed27f9ad8f;Stemlokaal is open van 07.30 tot 21.00 uur.;159951.1525;381883.7646;51.4260477922;5.4583886404;51.4260477922, 5.4583886404
Vrijetijdsaccommodatie Blixems;Ouverture 2;5629PV;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e12d2605b704106fa17a13e936873f39;Stemlokaal is open van 07.30 tot 21.00 uur.;161008.334;388844.7971;51.4886077747;5.47370777738;51.4886077747, 5.47370777738
Grand Cafe de Zwarte Doos;De Wielen 6;5612AZ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/b40e53954f854b2d791fcd5fd737b3ba;Stemlokaal is open van 07.30 tot 21.00 uur.;161748.1449;384144.2071;51.4463474667;5.48426955685;51.4463474667, 5.48426955685
Basisschool de Schelp;Zuiderzeelaan 3;5628KC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/12b12fbe34257af6fb5de003f2e7d223;Stemlokaal is open van 07.30 tot 21.00 uur.;160330.7346;387610.1146;51.4775165021;5.46393293704;51.4775165021, 5.46393293704
Station NS Noordzijde;Neckerspoel 5;5611AD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/535cc4fe3228a04ac683e412c4fabff5;Stemlokaal is open van 07.30 tot 21.00 uur.;161378.8008;383813.3733;51.4433780246;5.47895067001;51.4433780246, 5.47895067001
Eindhoven Airport;Luchthavenweg 13;5657EA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/a5f1572eb24fc70f4a9eb5f9cc1377aa;Stemlokaal is open van 05.30 tot 17.00 uur.;155228.018;385279.8716;51.4565961006;5.39048024154;51.4565961006, 5.39048024154
Vitalis Wilgenhof;Schalmstraat 2;5614AD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/81f8f6d9e6f35d08c12804ea824a5030;Stemlokaal is open van 07.30 tot 21.00 uur.;162165.114;382296.9561;51.4297380089;5.49023001761;51.4297380089, 5.49023001761
Kantine sportpark Meerhoven;Het Schaapsdijk 109;5657 AW;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/0a7486d4658a096ffd9cd01d11391653;Stemlokaal is open van 07.30 tot 21.00 uur.;156452.3812;382971.5368;51.4358453722;5.40808676237;51.4358453722, 5.40808676237
Stadhuis;Stadhuisplein 10;5611 EM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/212c98044727bef5633bb973df0ed377;Stemlokaal is open van 07.30 tot 21.00 uur.;161424.9511;382871.6758;51.4349129028;5.47959733842;51.4349129028, 5.47959733842
Basisschool de Hobitstee;Schelluinen 2;5653JM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e24a60d5567dcb46e68bd84f3d81dcea;Stemlokaal is open van 07.30 tot 21.00 uur;158731.5961;381595.3347;51.4234646011;5.44085044961;51.4234646011, 5.44085044961
Vrijetijdsaccommodatie De Mortel;Savoiepad 14;5627DX;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/ebe3a69493e0cb56e5912f97b8613003;Stemlokaal is open van 07.30 tot 21.00 uur.;158890.1649;388754.4334;51.4878142039;5.44320924918;51.4878142039, 5.44320924918
Vitalis Vonderhof;Bernhardplaats 1;5616 TG;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/2fa21809c6ac835da75d07d1ec22e4c2;Stemlokaal is open van 07.30 tot 21.00 uur.;160661.2993;383253.2435;51.4383508862;5.4686213089399995;51.4383508862, 5.4686213089399995
B&O gebouw;Pieter Poststraat 13A;5624 BE;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/c72fa5ac42cedf2dcc939daad310c5be;Stemlokaal is open van 07.30 tot 21.00 uur.;159842.4983;386026.4171;51.4632856312;5.45688322059;51.4632856312, 5.45688322059
Archipel Landrijt;Drosserstraat 1;5623ME;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/143de800711a1ac9a95c6f1271dd1779;Stemlokaal is open van 07.30 tot 21.00 uur.;161704.608;385688.0209;51.4602247854;5.4836726451;51.4602247854, 5.4836726451
Vitalis Theresia;Bredalaan 77;5652 JB;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e53901da6fd81a338af8012de0861bc3;Stemlokaal is open van 07.30 tot 21.00 uur.;158661.0522;383327.6532;51.43903631;5.43985416617;51.43903631, 5.43985416617
Summa Campus Sterrenlaan;Sterrenlaan 10;5631KA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/9225cd9ae921c499b06f81b753aa02dc;Stemlokaal is open van 07.30 tot 21.00 uur.;162470.8534;386407.5174;51.4666824249;5.49471347477;51.4666824249, 5.49471347477
Basisschool Karel de Grote;Mendelssohnln 217 (ingang Schubertlaan);5653BC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/540edf1f5c8c078d07e432e86bd4fb39;Stemlokaal is open van 07.30 tot 21.00 uur.;159477.6517;381685.0336;51.4242654309;5.45157798502;51.4242654309, 5.45157798502
Gemeenschapshuis de Lievendaal;Lievendaalseweg 3;5652 SB;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/aba81ac877f877cc7d906e652a15123a;Stemlokaal is open van 07.30 tot 21.00 uur.;158314.0378;383705.9314;51.4424386824;5.43486682035;51.4424386824, 5.43486682035
