FID,vrt_code,vrtnaam,haven_vaar,meetpunt_b,meetpunt_e,trajectlen,loodsregio,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
loodsregio.1,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,102.1,126.4,,ROTTERDAM,,16498233,,,"LINESTRING (51.82840000099998 4.935099999999977, 51.82840000099998 4.933600001000002, 51.82849999899997 4.931299998999975, 51.82849999899997 4.930000000000007, 51.82849999899997 4.927799999999991, 51.82829999900002 4.924699998999984, 51.82800000200001 4.921799998999973, 51.827500000999976 4.918499999000005, 51.82600000100001 4.911400001000004, 51.824000001 4.904399997999974, 51.82189999899998 4.898300000000006, 51.81940000100002 4.891800000999979, 51.8193 4.891700000000014, 51.81850000100002 4.883099999000024, 51.81839999900001 4.8827, 51.81760000100002 4.875100002000011, 51.81760000100002 4.873100001000012, 51.81769999900001 4.867600001000028, 51.817999999999984 4.862199998999984, 51.81839999900001 4.855200000000025, 51.81839999900001 4.855099998000014, 51.81850000100002 4.85330000099998, 51.818899999999985 4.847899998999992, 51.819200002 4.835499997999989, 51.819200002 4.826699997999981, 51.819200002 4.826599999999985, 51.818700001000025 4.814900000000023, 51.81830000100001 4.807200000000023, 51.81740000100001 4.800000001000001, 51.816700000000026 4.7946999999999775, 51.81509999899998 4.787799999000015, 51.81490000000002 4.785100001999979, 51.81490000000002 4.782499998999981, 51.81509999899998 4.776000001, 51.815400001 4.769400001000008, 51.81560000000002 4.7681999989999895, 51.816100000999995 4.765900000999977, 51.81769999900001 4.7608999980000135, 51.81899999799998 4.758200000999977, 51.819499999000016 4.757199999000022, 51.81989999899997 4.756499997999981, 51.82009999799999 4.7558999990000075, 51.820599999000024 4.754700001000003, 51.82130000000001 4.75279999899999, 51.821699998999975 4.75079999899998, 51.82209999899999 4.7490000020000025, 51.82220000000001 4.747599999999977, 51.822299998000005 4.7441000009999925, 51.82220000000001 4.7391000019999865, 51.822400000000016 4.733499999999992, 51.82270000099999 4.727200001000028, 51.82279999899998 4.7234999980000225, 51.823100001 4.715700001000016, 51.823100001 4.713700000000017, 51.82330000000002 4.709499999999991, 51.82339999800001 4.708399999999983, 51.82339999800001 4.704799998999988, 51.82279999899998 4.697299998000005, 51.82260000000002 4.695599999000024, 51.82250000200003 4.6952, 51.821699998999975 4.689700000000016, 51.82130000000001 4.687199998999972, 51.82079999899997 4.682100002000027, 51.820900000999984 4.676199999000005, 51.82130000000001 4.673400000000015, 51.82209999899999 4.670999999999992, 51.82669999799998 4.6696999999999775, 51.82930000099998 4.669199999, 51.830100000000016 4.6693000010000105, 51.83040000099999 4.6693000010000105, 51.83100000000002 4.669500001000017, 51.832400001999986 4.670000001999995, 51.832699999 4.670299999000008, 51.83379999900001 4.67130000100002, 51.834899999000015 4.672200002000011, 51.836300000999984 4.672899998999981, 51.83700000099998 4.673000000000002, 51.838500001 4.672899998999981, 51.838900000000024 4.672800000999985, 51.83960000100001 4.672600000999978, 51.840399999 4.67199999799999, 51.84129999999999 4.671100002000003, 51.84250000100002 4.669899999999984, 51.84389999899997 4.668200001000002, 51.846600000000024 4.664700001000028, 51.84730000000002 4.663800001000027, 51.84789999899999 4.6629999990000215, 51.84849999800002 4.662300001999995, 51.848999999 4.661699999000007, 51.85069999799998 4.659200001999977, 51.858899999000016 4.652100001000008, 51.86010000099998 4.650800000999993, 51.862300000999994 4.648699998999973, 51.863999999999976 4.64609999999999, 51.86619999999999 4.642499998000005, 51.868299998 4.638500001000011, 51.86910000099999 4.636599998999998, 51.869500000000016 4.6358999980000135, 51.870600000000024 4.634199998999975, 51.871800001999986 4.6332999989999735, 51.87610000000001 4.629799998999999, 51.876499998999975 4.629500001999986, 51.87700000000001 4.629099999000005, 51.879700001 4.6270000000000095, 51.88259999799999 4.625300001000028, 51.884900000000016 4.623399999000014, 51.88610000199998 4.62220000100001, 51.88760000100001 4.620400000000018, 51.889400002 4.618999998999982)"
loodsregio.2,211,Hollandsche IJssel,,17.988,20.206,,ROTTERDAM,,16499150,,,"LINESTRING (51.91959999900001 4.5806999989999895, 51.91690000099999 4.579399998999975, 51.91519999899998 4.5782999990000235, 51.914199999999994 4.5767999999999915, 51.91270000100002 4.572799998999983, 51.91189999900001 4.571100000000001, 51.910199999999975 4.56819999999999, 51.909400000999995 4.566399998999998, 51.90839999899998 4.563099998999974, 51.908100002000026 4.558899999000005, 51.907099999000025 4.556000002000019, 51.9058 4.5535999979999815)"
loodsregio.3,111b,Zeehavens te Dordrecht,,0,1.393,,ROTTERDAM,,16501261,,,"LINESTRING (51.800999999 4.628699998999991, 51.799199998000006 4.630199999000013, 51.796399999000016 4.633200000999977, 51.794799997999974 4.6340000000000146, 51.79439999900001 4.6343000009999855, 51.793499999000005 4.634900000000016, 51.792300001 4.6358000000000175, 51.79140000000001 4.636500001000002, 51.78990000099998 4.637699999000006)"
loodsregio.4,689,Julianahaven Bassin III te Dordrecht,,0,0.702,,ROTTERDAM,,16501733,,,"LINESTRING (51.78990000099998 4.637699999000006, 51.78669999900001 4.640000000999976, 51.78680000100002 4.644499999000004)"
loodsregio.5,102c,Koningshaven,,0,1.9,,ROTTERDAM,,16499258,,,"LINESTRING (51.917300001 4.506000001000018, 51.915899998999976 4.503600000999995, 51.912799999000015 4.4979999999999905, 51.91120000199999 4.49509999899999, 51.909299998999984 4.491599999000016, 51.90790000200002 4.487700000000018, 51.90859999899999 4.4846)"
loodsregio.6,102m,Breeddiep,,0,0.803,,ROTTERDAM,,16497944,,,"LINESTRING (51.97340000000003 4.12420000100002, 51.97109999899999 4.12220000100001, 51.96999999899998 4.122499999000013, 51.96709999799998 4.119500000000016)"
loodsregio.7,108b1,Roode Vaart of Zevenbergsche Haven,,0,1.217,,ROTTERDAM,,16501657,,,"LINESTRING (51.702300001000026 4.607299997999974, 51.699700001999986 4.608899999000016, 51.69409999999999 4.612199998999984, 51.69119999899999 4.612700000000018, 51.690200000999994 4.612799998000014, 51.689100000999986 4.613600001000009)"
loodsregio.8,108,Nieuwe Merwede en Hollandsch Diep,,23.885,37.136,,ROTTERDAM,,16499541,,,"LINESTRING (51.714200000999995 4.620299998999997, 51.71300000000002 4.6141999999999825, 51.709600002 4.600400001000025, 51.705100000000016 4.578400000999977, 51.69770000099999 4.541600000000017, 51.69579999899997 4.5309999990000165, 51.69440000100002 4.522899999999993, 51.693599999000014 4.514099999999985, 51.69330000100001 4.508800000000008, 51.69339999900001 4.50279999899999, 51.69409999999999 4.487199998999984, 51.69509999799999 4.472500000000025, 51.69720000000001 4.456500000999995, 51.69889999899999 4.447299998000005, 51.70039999900001 4.442000001999986, 51.70049999999998 4.441599999000005, 51.702300001000026 4.436199999999985)"
loodsregio.9,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,,0,32.357,,ROTTERDAM,,16499385,,,"LINESTRING (51.702300001000026 4.436199999999985, 51.7106 4.423500000999979, 51.71579999800002 4.416900000999988, 51.716200001999994 4.415399997999998, 51.71799999799998 4.4065000009999835, 51.71880000099998 4.402699999999982, 51.720199998 4.398699998999973, 51.72100000099999 4.396200001000011, 51.72509999900001 4.386199999999974, 51.73680000000002 4.359999999000024, 51.74029999999999 4.350699997999982, 51.74280000099998 4.341200001999994, 51.745799999999974 4.329000000000008, 51.74659999800002 4.3256999999999834, 51.748500001000025 4.319600001000026, 51.750399999000024 4.3125, 51.753199998000014 4.297200002000011, 51.755499999999984 4.282600000999992, 51.75829999899997 4.26260000100001, 51.759300000999986 4.2540000010000085, 51.761500001 4.238299998999992, 51.76419999799998 4.228599998999982, 51.766399998 4.222699999999975, 51.774400000000014 4.204100002000018, 51.77769999999998 4.197700000999987, 51.77859999999998 4.195599999000024, 51.778700001999994 4.195500001000028, 51.787099997999974 4.185699999000008, 51.801199999000005 4.170999999999992, 51.806100000000015 4.16580000099998, 51.809000000000026 4.163899999000023, 51.81170000100002 4.160000000000025, 51.81370000200002 4.1559999990000165, 51.815999999999974 4.148800000999984, 51.81740000100001 4.141100000999984, 51.81760000100002 4.138300001999994, 51.81709999999998 4.129599999999982, 51.817000001999986 4.12779999899999, 51.816599999000005 4.118600000000015, 51.816399999 4.108100001000025, 51.817000001999986 4.093099999999993, 51.81779999999998 4.085200000999976, 51.819600001000026 4.077699999999993, 51.82200000099999 4.069099999999992, 51.82360000199998 4.062399997999989, 51.824599999999975 4.055900000000008, 51.824400000000026 4.052299999000013, 51.824000001 4.050400000000025, 51.82339999800001 4.049199998000006, 51.822299998000005 4.048400000000015, 51.8211 4.047400001000028, 51.8211 4.045499999000015, 51.821699998999975 4.043900001999987, 51.823199998999996 4.040700000000015, 51.82449999800002 4.038099999999986, 51.824700001999986 4.037700001000019)"
loodsregio.10,142,Mastgat - Zeelandbrug - Engelsche vaarwater - Brabantsche vaarwater - Witte tonnen,,0,18.28,,SCHELDEMONDING,,16499062,,,"LINESTRING (51.6164 4.052700001999995, 51.61270000000002 4.044799997999974, 51.60700000100002 4.03159999799999, 51.602899998 4.02109999999999, 51.60130000100003 4.011500001000002, 51.60020000100002 4.0043999999999755, 51.60020000100002 4.003300000000024, 51.60020000100002 3.995700001999978, 51.60139999900002 3.98739999899999, 51.60649999999998 3.971799998999984, 51.614300001000004 3.937899999000024, 51.615699999000014 3.919100001000004)"
