FID,cte,thema,themb,omschr,datum,gradenhoek,hecto,z,eignam,layer,dtm,mutatie_co,dtb_id,se_anno_cad_data,gdb_geomattr_data,shape
dtb_lijn.1999936,ZH7,,,talud(bovenkant),2000-04-06T00:00:00,,,,,1,1,O,46639125,,,"LINESTRING (177400.6099999994 321458.5920000002, 177455.40900000185 321569.33999999985, 177484.13100000098 321625.2960000001, 177495.05200000107 321649.57499999925, 177496.77199999988 321651.20899999887, 177497.70600000024 321651.8020000011, 177498.61300000176 321651.9059999995, 177499.2490000017 321651.5450000018, 177499.78400000185 321651.04300000146, 177499.91099999845 321650.4919999987, 177499.65700000152 321649.7199999988, 177497.8049999997 321646.0769999996, 177491.36400000006 321632.3740000017, 177470.76700000092 321591.0610000007, 177453.20899999887 321554.4519999996, 177428.95899999887 321506.2659999989, 177409.79399999976 321466.4990000017, 177393.94000000134 321434.54100000113, 177359.36800000072 321364.4149999991)"
dtb_lijn.1999937,ZH6,,,talud(onderkant),2000-04-06T00:00:00,,,,,1,1,O,46639126,,,"LINESTRING (177362.72899999842 321363.39400000125, 177373.41899999976 321384.7199999988, 177381.51799999923 321401.0540000014, 177391.39299999923 321420.58900000155, 177407.90399999917 321454.23800000176, 177426.06700000167 321491.5, 177437.09899999946 321513.8049999997, 177448.16899999976 321535.7659999989, 177456.88699999824 321554.60500000045)"
dtb_lijn.1999938,W09,,oeverlijn,oeverlijn,2007-04-01T00:00:00,,,,,1,1,M,46639127,,,"LINESTRING (177417.0780000016 321335.8669999987, 177416.07200000063 321333.7960000001, 177412.93200000003 321327.3299999982, 177397.02299999818 321296.0320000015, 177377.311999999 321258.38699999824, 177313.02899999917 321129.6270000003, 177312.5639999993 321125.8029999994, 177312.061999999 321121.4270000011, 177311.40700000152 321118.368999999, 177310.58700000122 321115.7100000009, 177310.05700000003 321114.0870000012, 177309.55200000107 321112.73999999836, 177308.94399999827 321111.4690000005, 177306.875 321108.0540000014, 177304.22899999842 321103.95699999854, 177303.79399999976 321103.3139999993, 177303.4759999998 321102.63599999994, 177303.2030000016 321101.51399999857, 177302.87000000104 321099.9140000008, 177301.80099999905 321097.76300000027, 177296.50400000066 321086.65100000054, 177281.3509999998 321055.49599999934, 177279.03599999845 321051.22199999914)"
dtb_lijn.1999939,ZH7,,,talud(bovenkant),2000-04-06T00:00:00,,,,,1,1,O,46639128,,,"LINESTRING (177364.4759999998 321228.87900000066, 177367.8909999989 321232.9759999998)"
dtb_lijn.1999940,ZH7,,,talud(bovenkant),2000-04-06T00:00:00,,,,,1,1,O,46639129,,,"LINESTRING (177363.8449999988 321227.72300000116, 177364.4759999998 321228.87900000066)"
dtb_lijn.1999941,MD9,,,opnamegrens,2000-04-06T00:00:00,,,,,1,1,M,46639130,,,"LINESTRING (177522.95899999887 321279.66099999845, 177421.9140000008 321078.5150000006, 177400.48900000006 321026.9149999991, 177400.2960000001 321025.81700000167, 177381.73999999836 320988.48699999973)"
dtb_lijn.1999942,ZH6,,,talud(onderkant),2000-04-06T00:00:00,,,,,1,1,O,46639131,,,"LINESTRING (177362.72899999842 321363.39400000125, 177361.63100000098 321361.0610000007)"
dtb_lijn.1999943,ZH7,,,talud(bovenkant),2000-04-06T00:00:00,,,,,1,1,O,46639132,,,"LINESTRING (177363.17300000042 321362.75499999896, 177362.27699999884 321360.8660000004)"
dtb_lijn.1999944,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46639133,,,"LINESTRING (177358.35200000182 321362.3200000003, 177358.53799999878 321362.2270000018, 177360.3990000002 321361.43200000003, 177361.63100000098 321361.0610000007)"
dtb_lijn.1999945,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46639134,,,"LINESTRING (177361.63100000098 321361.0610000007, 177361.72700000182 321361.0320000015)"
dtb_lijn.1999946,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46639512,,,"LINESTRING (177357.21799999848 321362.8920000009, 177358.35200000182 321362.3200000003)"
dtb_lijn.1999947,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46639513,,,"LINESTRING (177361.72700000182 321361.0320000015, 177362.27699999884 321360.8660000004)"
dtb_lijn.1999948,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46638287,,,"LINESTRING (177355.69999999925 321363.5940000005, 177356.28200000152 321363.3669999987)"
dtb_lijn.1999949,ZH7,,,talud(bovenkant),2000-04-06T00:00:00,,,,,1,1,O,46638288,,,"LINESTRING (177359.36800000072 321364.4149999991, 177358.35200000182 321362.3200000003)"
dtb_lijn.1999950,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46638289,,,"LINESTRING (177383.67300000042 321783.8040000014, 177387.80299999937 321791.48800000176, 177389.09800000116 321794.3530000001, 177377.6160000004 321799.65300000086, 177388.00499999896 321823.0929999985)"
dtb_lijn.1999951,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46638286,,,"LINESTRING (177383.93100000173 321829.0700000003, 177378.55700000003 321838.7980000004)"
dtb_lijn.1999952,T0101,,,doorgang,2000-04-06T00:00:00,,,,,1,1,O,46638290,,,"LINESTRING (177383.93100000173 321829.0700000003, 177388.00499999896 321823.0929999985)"
dtb_lijn.1999953,ZH5,,,insteek sloot,2000-04-06T00:00:00,,,,,1,1,O,46638291,,,"LINESTRING (177357.61100000143 322189.2170000002, 177361.83799999952 322187.4299999997, 177364.65900000185 322186.09899999946, 177366.8209999986 322184.6559999995, 177368.0309999995 322183.0799999982, 177368.34800000116 322181.26300000027, 177368.01000000164 322179.79100000113, 177366.7650000006 322173.48900000006, 177364.2960000001 322168.2030000016, 177358.3669999987 322151.73000000045, 177349.9389999993 322125.5520000011, 177343.76900000125 322108.50499999896, 177341.84800000116 322103.6649999991, 177340.50499999896 322099.8139999993, 177340.2419999987 322097.73000000045, 177340.48800000176 322096.2190000005, 177341.86199999973 322094.89400000125, 177342.48299999908 322094.6559999995, 177358.56500000134 322087.7100000009)"
dtb_lijn.1999954,ZH5,,,insteek sloot,2000-04-06T00:00:00,,,,,1,1,O,46638702,,,"LINESTRING (177355.9699999988 322084.8040000014, 177423.68499999866 322062.1799999997, 177444.62900000066 322055.4270000011, 177449.88100000098 322054.16099999845)"
dtb_lijn.1999955,ZH5,,,insteek sloot,2000-04-06T00:00:00,,,,,1,1,O,46638703,,,"LINESTRING (177358.56500000134 322087.7100000009, 177422.7490000017 322066.2659999989, 177445.58300000057 322058.16899999976, 177450.55099999905 322056.29300000146)"
dtb_lijn.1999956,T0105,,,raster/hekwerk,2000-04-06T00:00:00,,,,,1,1,O,46638704,,,"LINESTRING (177358.8909999989 321848.0760000013, 177360.91099999845 321847.37900000066)"
