;5210 - Wagenpark;Eindtotaal
A & P Investments B.V.;1;1
A & S vancare;1;1
Aanhangwagenbedrijf Van de Burgwal B.V.;1;1
ABS Boekhorst Arnhem Noord;1;1
Adbike;1;1
Admiraal Carcleaning;1;1
Adrem B.V.;1;1
All American Imports B.V.;1;1
Allianz Global Assistance;1;1
Ames Autobedrijf B.V.;1;1
Amistad B.V.;1;1
Anac Tanken B.V.;1;1
ANWB B.V.;1;1
AON de Stasie;1;1
APCOA Parking Nederland B.V.;1;1
A-Point B.V.;1;1
APS B.V.;1;1
Ardea Auto Hoofddorp;1;1
Arend Auto B.V.;1;1
Arval BNP Paribas group;2;2
Arvato Direct Services Wilhelmshaven GmbH;1;1
Ass. Autofauteuils B.V.;1;1
Auto BHB B.V.;1;1
Auto Gorter B.V.;1;1
Auto Haagland B.V.;1;1
Auto Hoogenboom B.V.;1;1
Auto Indumij Dordrecht;1;1
Auto Muntstad B.V.;1;1
Auto Poppe De Bevelanden B.V.;2;2
Auto Ridderkerk B.V.;1;1
Auto Service Haarle;1;1
Autobedrijf Bochane B.V.;2;2
Autobedrijf de Jonge Goes B.V.;1;1
Autobedrijf Orient B.V.;1;1
Autobedrijf Strikwerda Leeuwarden B.V.;1;1
Autobedrijf van den Udenhout B.V.;1;1
Autobedrijf Wessels Dedemsvaart B.V.;1;1
Autocleanbedrijf Kees van der Meer;1;1
Autofier;1;1
Autohaas B.V.;1;1
Autohopper Autoverhuur B.V.;1;1
Autoland Van den Brug B.V.;1;1
Automobielbedrijf J.C. van Bennekom;1;1
Automotions Rent B.V.;1;1
Autop Roermond B.V.;1;1
Autop Sittard;1;1
Autopallas Verhuur B.V.;1;1
Autoradam Westpoort B.V.;1;1
Autoschade Splinter B.V.;1;1
Autoschadeherstelbedrijf M. Harteveld B.V.;1;1
Autoverhuur Bultman B.V.;1;1
Autoverhuur D. Spek B.V.;1;1
Autoverhuur Doesburg B.V.;1;1
Autoverhuur Sloothaak B.V.;1;1
AutoVerhuurLelystad B.V.;1;1
Autowasstraat Van der Jagt-Willemse B.V.;1;1
B. Kerkhof & Zn. B.V.;1;1
B.D. Autoplaza B.V.;1;1
Baan Twente B.V.;1;1
Ballast Nedam Development;2;2
Bangarage Amsterdam;1;1
BB Vastgoed B.V.;1;1
Berkman Energie Service B.V.;1;1
Bleumink Regtop, h.o.d.n. Profile Bleumink;1;1
Bochane Auto I B.V.;1;1
Bochane Service Center B.V.;1;1
Boels Verhuur Lelystad;1;1
Boerderij Prins;1;1
bol.com B.V.;1;1
Bolk Fleetservice B.V.;1;1
Bourguignon Leeuwarden B.V.;1;1
Breur IJzerhandel;1;1
Brezan Automaterialen Wolvega;;
Broekhuis Alkmaar B.V.;1;1
Broekhuis Lelystad;1;1
Broekhuis Zwolle;1;1
Buyitdirect.com B.V.;1;1
C.G. Holthausen B.V.;1;1
car2go Nederland B.V.;1;1
Carglass B.V.;1;1
Carlux B.V.;1;1
Carwash Haaglanden;1;1
Celil Citybike;1;1
Centralpoint Nijmegen B.V.;1;1
Century Autogroep;1;1
Cleanwater;1;1
Conrad Electronic Benelux B.V.;1;1
Containerboxes4sale;1;1
Continental Automotive Trading Nederland B.V.;1;1
D. Boer Automaterialen B.V.;1;1
D.R. Nobel B.V.;1;1
DBS Maaitechniek B.V.;1;1
De Fietsenwinkel Utrecht B.V.;1;1
De Ridder B.V.;1;1
De Vos Autoschade;1;1
De Waal Autogroep;1;1
De Witte Smid Twenthe;1;1
Decos Mobile Solutions B.V.;1;1
Deurwaarderskantoor Van Dam en Pruijn B.V.;1;1
Dirksen Bedrijfskleding B.V.;1;1
Discountoffice.nl B.V.;1;1
Dolmans Calamiteiten Diensten;1;1
Douwes Equipment;1;1
Drive2Move B.V.;1;1
Dummy EH;;
EasyRent Rotterdam Autostrada;1;1
Electrocar B.V.;1;1
Esra Handelmaatschappij B.V.;2;2
Euromaster;1;1
Europcar Autoverhuur B.V.;1;1
EVBox B.V.;1;1
Fa. C. van Doremaele;1;1
Fietspunt B.V.;1;1
Fietsservice Norg;2;2
