OBJECTID_1,OBJECTID,IDENT,TYPEINFRAS,TYPEWATER,BREEDTEKLA,BREEDTE,HOOFDAFWAT,FYSIEKVOOR,FUNCTIE,VOORKOMEN,STROOMRICH,SCHEEPSLAA,STATUS,NAAMNL,NAAMFR,SLUISNAAM,BRUGNAAM,HOOGTENIVE,GEOMSOORT,OBJ_BEGIN,OBJ_EIND,VER_BEGIN,VER_EIND,BRONTYPE,BRONDATUM,BRONNAUWK,BRONBESCHR,DIMENSIE,AREA,PERIMETER,ACRES,HECTARES,Shape__Area,Shape__Length
1,13782,NL.TOP10NL.111064261,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,182.096,50.027,0.045,0.018,182.096092224121,50.0266016874726
2,13787,NL.TOP10NL.111064393,overig watergebied,waterloop,> 6 meter, ,ja, ,overig,overig, , ,in gebruik,Taarloschediep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,2215.975,1257.065,0.548,0.222,2215.9754486084,1257.06475386397
3,13788,NL.TOP10NL.111064300,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik,Taarlose Veentje, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,17449.114,756.713,4.312,1.745,17449.1136169434,756.712817091767
4,13792,NL.TOP10NL.111064046,overig watergebied,waterloop,> 6 meter, ,ja, ,overig,overig, , ,in gebruik,Loonerdiep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,39.086,27.15,0.01,0.004,39.0856475830078,27.1501829715568
5,13794,NL.TOP10NL.111064262,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,182.616,55.34,0.045,0.018,182.616493225098,55.3401955067495
6,13795,NL.TOP10NL.111064198,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,716.485,143.564,0.177,0.072,716.485000610352,143.564249020266
7,13797,NL.TOP10NL.111064090,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,197.708,52.926,0.049,0.02,197.707885742188,52.9264102282176
8,13798,NL.TOP10NL.111064415,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,84.1,32.725,0.021,0.008,84.1001663208008,32.7250647226556
9,13799,NL.TOP10NL.111062545,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,71.237,30.132,0.018,0.007,71.2369918823242,30.1316963104608
10,13800,NL.TOP10NL.111064134,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,337.452,128.965,0.083,0.034,337.45189666748,128.965381997832
11,13801,NL.TOP10NL.111064404,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,1963.9,566.326,0.485,0.196,1963.89988708496,566.325974069714
12,13806,NL.TOP10NL.111064282,overig watergebied,waterloop,> 6 meter, ,ja, ,overig,overig, , ,in gebruik,Loonerdiep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,8630.194,4836.667,2.133,0.863,8630.19414520264,4836.66702681061
13,13811,NL.TOP10NL.111064096,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,217.614,78.021,0.054,0.022,217.614196777344,78.0206791179377
14,13746,NL.TOP10NL.111064040,overig watergebied,waterloop,> 6 meter, ,ja, ,overig,overig, , ,in gebruik,Deurzerdiep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,22378.466,2615.618,5.53,2.238,22378.466178894,2615.6183967369
15,13747,NL.TOP10NL.111064082,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik, , , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,134.162,57.053,0.033,0.013,134.162467956543,57.0527240143873
16,13748,NL.TOP10NL.111064276,overig watergebied,waterloop,> 6 meter, ,nee, ,overig,overig, , ,in gebruik,Loonerdiep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,1137.35,395.318,0.281,0.114,1137.34986877441,395.317462201177
17,13749,NL.TOP10NL.111064394,overig watergebied,waterloop,> 6 meter, ,ja, ,overig,overig, , ,in gebruik,Loonerdiep, , , ,0, ,2007/06/06 00:00:00+00,,,,top10vector,2004/01/01 00:00:00+00,2,TOP10vector 2004,2D,6101.3,4094.898,1.508,0.61,6101.29947662354,4094.89811811667
