Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Het Pleidooi;;;;;1;;;;1
Hewlett-Packard Nederland B.V.;;1;;;;;;1;1
Holland Inbouw;;;;;;;1;;1
Holland Marine Hardware;;;;;;;1;;1
Houben Mediatechniek B.V.;;;;;;;1;;1
Huisers.NL B.V.;;;;;;;;1;1
ICreative;;;;;;;;1;1
Ideetron B.V.;;;;;;;1;;1
Innovero Software Solutions B.V.;1;;;;1;;;1;1
Inscene Company B.V.;1;;;;;;;;1
InsightsWorld B.V.;1;;;;1;;;;1
Internedservices;;;;;1;1;;;1
Itera B.V.;;;1;;;;;;1
J.B.S. Handelsonderneming;;;;;;;;1;1
Jacobs Breda Electronics (J.B.E.);;;;;;;1;;1
Jibes Data Analytics B.V.;;;;;1;;;;1
JStor;;;;;1;;;;1
Kabelshop B.V.;;;;;;;1;;1
Kamera Express;;1;;;;;;;1
KnpLaps US;;;;;1;;;;1
LearnLinq B.V.;;;;;1;;;1;1
Locatus;;;;;1;;;;1
Log*in Consultants Nederland B.V.;;;;;;;;1;1
Loo Van Eck B.V.;;;;;;;;1;1
Magna Cura Automatisering B.V.;;;;;;;1;;1
Marosel B.V.;;;;;;;;1;1
MeasureWorks B.V.;;;;;;;;1;1
Media Markt Utrecht Hoog Catharijne B.V.;;;;;;;1;;1
Mentimeter AB;;;;;1;;;;1
Mini-Circuits Europe;;;;;;;1;;1
Mitel Gebruikersgroep Nederland;;;;;;;;1;1
Mondial Movers B.V.;;;;;1;;;1;1
Motel Assen B.V.;;;;;;;;1;1
Mouser Electronics;;;;;;;1;;1
MyMicro Group B.V.;;;;;;;1;;1
NCC Group Escrow Europe B.V.;1;;;;;;;;1
Ned-IT B.V.;1;;;;;;;;1
Negometrix B.V.;;;;;1;;;;1
Neptune Global, LLC;;;;;1;;;;1
Network Innovations Services;;;;;1;;1;;1
NewTelco B.V.;;;;;;;1;;1
Numerical Algorithms Group Ltd.;;;;;1;;;;1
OCLC B.V.;;;;;1;;;;1
Orcavoice B.V.;;;;;;;1;;1
Pardon Consult;1;;;;1;;;;1
PepperByte B.V.;;;;;;;;1;1
Planon B.V.;;;;;;;;1;1
Priority;;;1;;;;;;1
QuoVadis Trustlink B.V.;;;1;1;1;;;1;1
RCM Products;;;;;;;1;;1
Romex B.V.;;;;;;;1;;1
RS Components B.V.;;;;;;;1;;1
Sage (uk) Ltd;;;;;;;;1;1
Sas Institute B.V.;1;;;;;;;;1
Satcomm.;;1;;;;;;;1
Scan Sys B.V.;;;;;;;;1;1
Sentia B.V.;;;;;;;;1;1
Simac Electronics B.V.;;;;;;;1;;1
SLTN IT Products B.V.;;;;;1;;;;1
Snelpas Business Service B.V.;1;;;;;;;;1
SOS Solutions B.V.;;;;;;;1;;1
Springer Customer Service Center GmbH;;;;;1;;;;1
SSB B.V.;;;;;1;;;;1
Sticht. Int. Belasting Documentatie Bureau;;;;;1;;;;1
Stichting Centerdata;;;;;1;;;;1
stichting government roaming nederland;;;;;1;;;;1
Stichting Videma;;;;;1;;;;1
Tangram B.V.;;;;;1;;;;1
Telegrootgebruik B.V.;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Thin Scale Technology;;;;;1;;;;1
Tinnemans Floating Solutions B.V.;;;;;1;;;;1
Total Design B.V.;1;;;;;;;;1
Twentenet;;;;;1;;;;1
TWS Technologies B.V.;;;;;1;;;;1
UHF SHF Engineering;;;;;;;1;;1
UKW Berichte Telecommunications;;;;;;;1;;1
UnifiedPost B.V.;;;;;1;1;;1;1
Uselab B.V.;;;;;1;;;;1
Valon Technology;;1;;;;;;;1
Van Dorp installaties B.V.;;1;;;;;;;1
VEVIDA B.V.;;;;;1;1;;;1
Webservices.nl B.V.;;;;;;;;1;1
Wedomedia B.V.;1;;;;;;;;1
WHC;;;;;;;;1;1
Xolphin B.V.;;;;;1;;;;1
ZDA Communications US LLC;;;;;;;1;;1
Ziggo B.V.;;;;;;;1;;1
Aenova B.V.;;;;;2;;;;2
Bundesnetzagentur;;;;;2;;;;2
CM.COM Netherlands B.V.;;1;1;;1;;2;;2
Coolblue B.V.;;2;;;;;1;;2
Cosinus Computing B.V.;1;;;;2;;;;2
CycloMedia Technology B.V.;;;;;;;;2;2
Decos Software Engineering B.V.;2;;;;1;;;;2
Digidentity B.V.;;;;;2;;;;2
Esri Nederland;;;;;2;;;;2
Exact Software Nederland B.V.;;;;;2;;;;2
Facilion B.V.;2;;;;;;;;2
Hacodiening B.V.;;;;;2;;;;2
Heuvelman Sound & Vision B.V.;;2;;;;;;;2
Instituut Maatschappelijke Innovatie;2;;;;;;;;2
i-share Consultancy Services B.V.;;;;2;;;;;2
KPMG Staffing & Facility Services B.V.;;;;;;;;2;2
KPN XL;;;;;;1;1;;2
Leapp Group International B.V.;;;;;;;2;;2
Logan ICT Services B.V.;;;;;;;;2;2
Lunet zorg/Team Lunet zorg/Team Huisvesting;;;;;;;;2;2
MB Safety B.V.;;2;;;;;;;2
N.V. Nederlandse Gasunie;;;;;;;;2;2
National Institute of Economic and Social Research;;;;;2;;;;2
Opensesame ICT B.V.;;2;;;;;;;2
PBLQ B.V.;;;;;;;;2;2
Pegasystems Limited;;;;;;;;2;2
Perfect Web Team;;;;;;;;2;2
Perfectview;;;;;2;;;;2
RedNose IT B.V.;2;;;;;;;;2
Refinitiv Netherlands B.V.;;2;1;;;;;;2
Ruigrok NetPanel;;;;;;;;2;2
Sectra Communications B.V.;;;;;2;;1;;2
Small Connection B.V.;;;2;;;;;;2
Smarp Oy;;;;;;;;2;2
SmartDocuments Nederland B.V.;;;;;;;;2;2
SmartRules B.V.;;;;;;;;2;2
SMT Simple Management Technologies B.V.;;;;;;;;2;2
Solvinity;;;;;;2;;;2
Start People;;;;;;;;2;2
SURFmarket;;2;;;;;;;2
Syntouch B.V.;;;;;;;;2;2
T&T Compet&t.b.v.;;;;;2;;;;2
Technet B.V.;;;;;2;;;;2
The MathWorks B.V.;;;;;2;;;1;2
Tie Nederland B.V.;;;;;;;;2;2
TOPdesk Nederland B.V.;;;;;2;;;2;2
Welbo;;;;;;;;2;2
XS4ALL Internet B.V.;;;;;;;2;;2
Ymor E-Services B.V.;;;1;1;;;;2;2
YNNO B.V.;;;;;;;;2;2
Be Informed B.V.;;;;;3;;;;3
Brunel Nederland B.V.;;;;;;;;3;3
Caesar Accounts;;;;;;;;3;3
Cimsolutions;;;;;3;;;2;3
Fast Flex B.V.;;;;;3;;;;3
Giarte Services B.V.;;;;;;;;3;3
LINKIT B.V.;;;;;;;;3;3
Onsight Solutions B.V.;3;;;;;;;;3
ONSOLVE, LLC;;;;2;2;;;;3
Professional Development Systems B.V.;;;;;3;;;;3
Prolocation B.V.;;;;;;3;;;3
SQL Integrator B.V.;;;;3;;;;2;3
SURFnet B.V.;2;2;;;;;;;3
VDMi Intelligence & Projects B.V.;;;;2;;;;2;3
Vodafone Libertel B.V.;;;;;;;3;;3
Baker Tilly Berk Breda;;;;2;2;;;4;4
Bluemark Innovations B.V.;;4;;;;;;;4
Cam IT Solutions B.V.;4;;;;;;;;4
Custodis IT Security Solutions;;;;;4;;;;4
Fidato Finance B.V.;;;;;;;4;;4
Green Valley B.V.;;;;;3;;;3;4
iWelcome B.V.;;;;;;;;4;4
KPN Consulting B.V.;;;;1;;4;;3;4
Metis IT Support B.V.;;;;;;;;4;4
Myler;;;;;;;;4;4
Ping Online B.V.;;;;;;;;4;4
SCC Services B.V.;4;;;;;;;;4
Stanley Security Nederland B.V.;;;;;;2;;4;4
Vicrea Solutions B.V.;;;;;3;;;2;4
Avensus Nederland B.V.;;5;;;2;;;2;5
CED Repair B.V.;;;;;;;;5;5
Doclogic B.V.;;;;;5;;;;5
Intermax Cloudsourcing;;;4;;1;4;;;5
KPN B.V.;;1;4;;;;4;;5
Tangelo Software B.V.;;;;;2;3;;4;5
BT NEDERLAND N.V.;;6;;;;;;5;6
BT Professional Services Nederland B.V.;;;;5;3;;;6;6
Detron Communication Solutions;;2;;2;3;;3;5;6
Fox-IT;;5;;;1;;;5;6
Leaseplan Nederland N.V.;;6;;;;;;;6
Ordina Beheer & Outsourcing;;;;3;3;;;6;6
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;;;;;6;6
Tele2 Nederland B.V.;;2;4;;2;4;6;;6
Unisys Nederland N.V.;;;;;4;;;5;6
Atos Nederland B.V.;;;;1;7;;;6;7
Buyitdirect.com B.V.;2;5;;;;;6;5;7
CGI Nederland B.V.;;;;;5;;;7;7
De Staffing Groep Nederland B.V.;;2;;7;;;;6;7
Equinix (Netherlands) B.V.;;;;;;;;7;7
HeadFirst B.V.;;;;3;;;;7;7
Huygens XC B.V.;;;;;6;;;5;7
IBM Nederland B.V.;;;;3;2;;;7;7
Oracle Nederland;;;;;7;;;;7
Rohde & Schwarz Benelux B.V.;;6;;;2;;1;2;7
Sogeti Nederland B.V.;;;;;2;;;7;7
TCN SIG Telehousing Exploitatie B.V.;;;;;;7;;;7
Vodafone;;2;2;;;3;7;1;7
Xerox (Nederland) B.V.;3;2;4;7;1;;1;;7
Centralpoint Amstelveen B.V.;2;8;;;;6;4;1;8
Computacenter;;6;7;6;4;7;1;7;8
SoftwareONE B.V.;;1;;2;8;;;6;8
Telindus-ISIT B.V.;5;8;;4;1;;2;;8
Capgemini Nederland B.V.;;6;2;3;2;;1;9;9
Centralpoint Nijmegen B.V.;6;8;7;1;4;7;4;5;9
COMPAREX Nederland B.V.;2;3;1;7;9;2;;6;9
Protinus IT B.V.;4;7;1;5;8;2;4;5;9
Eindtotaal;7;10;8;8;10;8;7;10;12
