;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3160 - Uitbesteden accountancy en financiën;4110 - Consumptieve diensten;4120 - Risicobeheersen;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal;
101 Media Strategies;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;
2DOBOARD B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;
365 dagen succesvol;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;
3Stones Keniaans Restaurant;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;
7AM Den Haag B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
A Company B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
A Cup of Cake;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
A.S. Cramwinckel;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;
a4 Training;;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;4;
A5tien B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;
Aaaaha! The Actor Factory B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
ABC Display Industry B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;
ABC Dutch;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
