FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_n,etrs_89_e,rws_dienst,provincie,zwp_naam,zout_zoet,eu_2013,eu_2014,eu_2015,eu_2016,eu_2017,eu_actueel,blauwalg,krw_code,krw_systee,gdb_geomattr_data,shape
zwemlocaties_rws_2019.1,1,NLBW92_ABBSD,ABBSD,ABBERTSTRAND,186643,502553,52.5097,5.8533,Midden-Nederland,FLEVOLAND,Abbertstrand,zoet,Goed,Uitstekend,Goed,Goed,Goed,Goed,ja,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (186643 502553)
zwemlocaties_rws_2019.2,2,NLBW92_ALMRBSD,ALMRBSD,SURFSTRAND ALMERE,142600,483024,52.335,5.2053,Midden-Nederland,FLEVOLAND,Surfstrand Almere Haven,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,POINT (142600 483024)
zwemlocaties_rws_2019.3,3,NLBW92_ALMRJHVN,ALMRJHVN,ZWEMSTRAND ALMERE,143104,482783,52.3328,5.2127,Midden-Nederland,FLEVOLAND,Zwemstrand Almere Haven,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,POINT (143103.57809999958 482782.63259999827)
zwemlocaties_rws_2019.4,4,NLBW92_ELLSD,ELLSD,ELLERSTRAND,182212,494082,52.4338,5.7873,Midden-Nederland,FLEVOLAND,Ellerstrand,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (182212.23970000073 494081.6063000001)
zwemlocaties_rws_2019.5,5,NLBW92_ERKMDSOT,ERKMDSOT,ERKEMEDERSTRAND,161962,475441,52.2669467,5.48919301,Midden-Nederland,FLEVOLAND,ERKEMEDERSTRAND,zoet,Goed,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (161962 475441)
zwemlocaties_rws_2019.6,6,NLBW92_HARDSD,HARDSD,HARDERSTRAND,171218,488083,52.3804,5.6254,Midden-Nederland,FLEVOLAND,HARDERSTRAND,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (171218.3295999989 488082.9384999983)
zwemlocaties_rws_2019.7,7,NLBW92_HOUTRHBSD,HOUTRHBSD,HOUTRIBHOEK,159646,506871,52.5494,5.4557,Midden-Nederland,FLEVOLAND,"HOUTRIBHOEK, LELYSTAD",zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_IJSSELMEER,IJsselmeer,,POINT (159646.27219999954 506870.8990000002)
zwemlocaties_rws_2019.8,8,NLBW92_HARDWKZSD,HARDWKZSD,HARDERWIJKERZAND,147675,479354,52.3021,5.2798,Midden-Nederland,NOORD-HOLLAND,HARDERWIJKERZAND,zoet,geen,geen,Nieuw,Goed,Uitstekend,Uitstekend,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,POINT (147675 479354)
zwemlocaties_rws_2019.9,9,NLBW92_LAAKSSD,LAAKSSD,LAAKSE STRAND,158630,474410,52.2577,5.4404,Midden-Nederland,FLEVOLAND,LAAKSE STRAND,zoet,Goed,Goed,Uitstekend,Goed,Goed,Aanvaardbaar,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,POINT (158630.12460000068 474409.7474000007)
zwemlocaties_rws_2019.10,10,NLBW92_MUIDZD,MUIDZD,ALMEERDERSTRAND,138056,483086,52.3354,5.1386,Midden-Nederland,FLEVOLAND,ALMEERDERSTRAND,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_MARKERMEER,Markermeer,,POINT (138056 483086)
zwemlocaties_rws_2019.11,11,NLBW92_RIVRBZWT,RIVRBZWT,RIVIERA BEACH ZUID,183127,495097,52.4429,5.8009,Midden-Nederland,FLEVOLAND,Riviera Beach Zuid,zoet,Aanvaardbaar,Aanvaardbaar,Goed,Goed,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (183126.7575000003 495096.5117000006)
zwemlocaties_rws_2019.12,12,NLBW92_RIVRCPZSOT,RIVRCPZSOT,RIVIERA BEACH NOORD,183449,495669,52.4481,5.8057,Midden-Nederland,FLEVOLAND,RIVIERA BEACH NOORDOOST,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (183449.28770000115 495669.1015000008)
zwemlocaties_rws_2019.13,13,NLBW92_SCHOKKHVRCAT,SCHOKKHVRCAT,STRAND SCHOKKERHAVEN,179153,513894,52.612,5.7438,Midden-Nederland,FLEVOLAND,"STRAND SCHOKKERHAVEN, RECREATIEHOEK",zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_KETELMEER_VOSSEMEER,Ketelmeer + Vossemeer,,POINT (179153.1053000018 513893.6746000014)
zwemlocaties_rws_2019.14,14,NLBW92_SPIJKSD,SPIJKSD,SPIJKSTRAND,183814,496540,52.4559,5.8111,Midden-Nederland,FLEVOLAND,SPIJKSTRAND,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (183813.92350000143 496540.25360000134)
zwemlocaties_rws_2019.15,15,NLBW92_URKWTHVN,URKWTHVN,STRAND STAVERSEKADE,169015,519173,52.6598,5.5943,Midden-Nederland,FLEVOLAND,STRAND STAVERSEKADE,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_IJSSELMEER,IJsselmeer,,POINT (169014.92119999975 519172.64719999954)
zwemlocaties_rws_2019.16,16,NLBW92_WOLDSD,WOLDSD,WOLDSTRAND,165998,482170,52.3274,5.5485,Midden-Nederland,FLEVOLAND,WOLDSTRAND,zoet,Uitstekend,Uitstekend,Uitstekend,Goed,Goed,Aanvaardbaar,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,POINT (165998 482170)
zwemlocaties_rws_2019.17,17,NLBW92_ZILVSD,ZILVSD,ZILVERSTRAND,138799,482374,52.3291,5.1495,Midden-Nederland,FLEVOLAND,Zilverstrand,zoet,Uitstekend,Gesloten,Gesloten,Gesloten,gesloten,Gesloten,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,POINT (138799 482374)
zwemlocaties_rws_2019.18,18,NLBW92_ZWOLSHBSD,ZWOLSHBSD,STRAND ZWOLSE HOEK,173005,514239,52.6154,5.6531,Midden-Nederland,FLEVOLAND,Strand Zwolse Hoek,zoet,Slecht,Slecht,Aanvaardbaar,Goed,Goed,Goed,nee,NL92_KETELMEER_VOSSEMEER,Ketelmeer + Vossemeer,,POINT (173005 514239)
zwemlocaties_rws_2019.19,19,NLBW81_BURBSD,BURBSD,"BADSTRAND BUREN, AMELAND",183034,608653,53.4633,5.8093,Noord-Nederland,FRYSLÂN,Buren Badstrand,zout,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,POINT (183034 608653)
zwemlocaties_rws_2019.20,20,NLBW81_HARLGSBSD,HARLGSBSD,"HARLINGERSTRAND, HARLINGEN",156836,575569,53.1668,5.4147,Noord-Nederland,FRYSLÂN,"Harlingerstrand, Harlingen",zout,Aanvaardbaar,Aanvaardbaar,Goed,Uitstekend,Goed,Goed,nee,NL81_10,Waddenzee vastelandskust,,POINT (156835.82200000063 575568.6369999982)
zwemlocaties_rws_2019.21,21,NLBW81_HOLLBSD,HOLLBSD,"BADSTRAND HOLLUM, AMELAND",170000,607104,53.45,5.613,Noord-Nederland,FRYSLÂN,Ameland West,zout,Uitstekend,Goed,Goed,Goed,Uitstekend,Uitstekend,nee,NL81_1,Waddenzee,,POINT (170000 607104)
zwemlocaties_rws_2019.22,22,NLBW81_HOORNTSLG,HOORNTSLG,"BADSTRAND HOORN, TERSCHELLING",151999,603342,53.4164,5.3421,Noord-Nederland,FRYSLÂN,"Badstrand Hoorn, Hoorn",zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,POINT (151999 603342)
