Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ Specifiek;Eindtotaal
(ICG) International Crisis Group Br;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
1000 Huizen, Buro v. Arch. en Arch.tek.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
460 Bergen Street Llc New York;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
5hart-IT Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
7AM Den Haag B.V.;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;;2
A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.J.J. Ros;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
A.J.M. van Rhee;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A2N Termoklima Sh.P.K. Tirana;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
a4 Training;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Aalbers Holding B.V.;;;;;;;;;;;;;;;2;;;;;;;;;;;;5;;;;;5
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
