Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;PvdA;VVD;ECO-D;CDA;GL;CUSGP;D66;BVD;VSP;Geldig;Blanco;Oproep;
1 Stadhuis;1;ingang Voorstraat 367;Dordrecht;313;266;66;100;203;119;66;299;52;1484;11;2033;
2 Stadskantoor;2;Spuiboulevard 300;Dordrecht;280;198;49;107;133;62;39;171;57;1096;9;1837;
4 Centrum Stapal;4;Otto Dickeplein 1;Dordrecht;358;136;19;61;121;32;26;228;105;1086;7;2041;
5 School Vest;5;Vest 92;Dordrecht;305;131;46;50;182;51;20;246;40;1071;10;1970;
6 Wielborgh, het Stadswiel;6;Beverwijckstraat 49;Dordrecht;278;174;44;116;142;62;31;252;54;1153;2;2059;
9 Dordrechtse Welzijns Organisatie;9;Singel 28;Dordrecht;471;175;55;61;135;33;37;279;61;1307;1;2119;
10 School Noordhove;10;Oranje Vrijstaatplein 2;Dordrecht;238;112;80;67;107;92;30;261;24;1011;3;2008;
18 Verzorgingstehuis De Linde;18;Bankastraat 158;Dordrecht;302;110;85;125;83;102;26;161;53;1047;6;1790;
19 School Noordhove;19;Bankastraat 10A, naast Buurthuis;Dordrecht;323;129;42;73;97;56;33;197;48;998;3;1614;
20 Vrije school;20;Dubbelmondestraat 1;Dordrecht;241;61;64;62;72;100;26;182;44;852;5;1655;
22 School de Repelaer;22;Standhasenstraat 47;Dordrecht;208;106;66;107;88;138;33;196;46;988;4;1649;
26 Wantijschool;26;Maasstraat 204;Dordrecht;325;67;24;25;42;72;14;99;68;736;1;1763;
27 School de Regenboog;27;Volkerakweg 60;Dordrecht;201;71;22;69;42;39;13;48;75;580;3;1302;
29 Bejaardencentrum Merwelanden;29;Haringvlietstraat 515;Dordrecht;242;83;24;106;27;25;14;57;69;647;3;1247;
30 Bejaardencentrum Thureborgh;30;Mauritsweg 157;Dordrecht;271;52;28;80;101;111;16;150;60;869;4;1682;
32 Julianakerk;32;Mauritsweg 286;Dordrecht;365;39;31;49;53;90;13;95;41;776;3;1677;
33 Soc. Cult. Centrum Aksa;33;Willem de Zwijgerlaan 1;Dordrecht;396;49;15;72;35;25;14;85;48;739;0;1624;
35 Zorgcentrum Vreedonk;35;Vreedonklaan 2;Dordrecht;82;83;24;139;16;136;18;47;45;590;0;758;
36 Centrum Humanitas;36;Brouwersdijk 4;Dordrecht;303;101;35;94;68;151;37;162;38;989;3;1707;
37 Prins Bernhardschool;37;Willaertstraat 2;Dordrecht;182;87;25;73;38;67;17;137;52;678;4;1318;
40 Mondriaanschool;40;Bosb.Toussaintstr.62, ing: J v Lennepstr;Dordrecht;337;41;16;37;42;54;7;148;36;718;4;1553;
42 Mauveschool;42;Mauveplein 13;Dordrecht;264;36;34;30;32;55;9;128;36;624;3;1583;
44 Bureau Sportstimulering;44;Jacob Marisstraat 128;Dordrecht;221;21;18;28;39;28;3;77;30;465;1;1258;
50 School De Albatros;50;Douwe Aukesstraat 1;Dordrecht;289;15;23;13;30;18;7;42;49;486;3;1511;
52 Wielborgh, het Waterwiel;52;Admiraalsplein 700;Dordrecht;379;36;28;48;44;52;10;78;56;731;5;1762;
54 Wooncentrum Watersteijn;54;M.H. Trompweg 382, ingang achterzijde;Dordrecht;232;167;28;63;35;50;14;134;69;792;4;1554;
55 Noodgebouw Parkeerterrein Keereweer;55;t.o Rijksstraatweg 79;Dordrecht;55;87;9;38;12;40;9;62;11;323;0;678;
