Rijlabels;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
September;;1;;;1
2Restore;;1;;;1
53 Graden Noord B.V.;;1;;;1
A.P.S. (Aviation Patch Supplies);;1;;;1
A1-City B.V.;;1;;;1
AAA 2010 B.V.;;;3;;3
Aannemers- en Verhuurbedrijf H. van Meekeren;;;1;;1
Abcouwer Administratie Advies & Opleiding;;;1;;1
Aboma;1;;;;1
About Flowers;;1;;1;1
Accor Hospitality Nederland N.V.;;;1;;1
Acteursbureau Kapok B.V.;;;1;;1
Ad Ballon Ballonvaarten B.V.;;;;3;3
ADO Hospitality & Events B.V.;;;3;;3
Adola B.V.;;;;3;3
AIB Nieuwsdienst;1;;;;1
Albersen Verhuur B.V.;;;;1;1
Alternate Computerversand Nederland;;;;1;1
A-Mac B.V.;;;;1;1
Amstelborgh/Borchland B.V.;;2;;;2
Amsterdamse Bloemenmarkt;;1;;;1
Anarupa Art;;1;;;1
Anemoon;;1;;;1
Anjelier Bloembinders;;1;;;1
Anna Vastgoed Beheer B.V.;;;2;;2
ANNO '54;;1;;;1
anoniem 1027;;;;1;1
anoniem 1029;;1;4;1;5
anoniem 1031;4;;;;4
anoniem 1034;;;1;;1
anoniem 1065;2;;;;2
anoniem 107;;;;1;1
anoniem 1078;;1;;;1
anoniem 1085;;;;1;1
anoniem 1088;;1;;;1
anoniem 1089;;;1;;1
anoniem 1094;;1;;;1
anoniem 1109;;1;;;1
anoniem 1118;;1;;1;1
anoniem 1128;;1;;;1
anoniem 1131;;2;;;2
anoniem 1137;;1;;;1
anoniem 1152;;;1;;1
anoniem 1181;1;1;;5;5
anoniem 1218;;2;;1;2
anoniem 122;;1;;;1
anoniem 1222;;1;;;1
anoniem 1225;;;;1;1
anoniem 1234;;2;;;2
anoniem 1249;;1;;;1
anoniem 1265;;;;1;1
anoniem 1273;;1;;;1
anoniem 1329;;1;;;1
anoniem 1345;;1;;;1
anoniem 1356;;1;;;1
anoniem 137;;1;;;1
anoniem 1406;;1;;;1
anoniem 1426;;;;2;2
anoniem 1435;;;;4;4
anoniem 1441;;;;1;1
anoniem 15;;1;;;1
anoniem 1515;;2;;;2
anoniem 1528;;;;1;1
anoniem 1539;;1;;;1
anoniem 1543;;1;;;1
anoniem 1545;;1;;;1
anoniem 1551;;1;;;1
anoniem 1553;;;;1;1
anoniem 1558;;1;;;1
anoniem 1570;;;;1;1
anoniem 1582;;1;;;1
anoniem 1621;;;;1;1
anoniem 1634;;;1;;1
anoniem 1671;;;;1;1
anoniem 1680;;;1;;1
anoniem 1686;;1;;;1
anoniem 1688;;1;;;1
anoniem 1791;;;;1;1
anoniem 18;;;1;;1
anoniem 1808;;;;2;2
anoniem 1823;;;;1;1
anoniem 1825;;;;1;1
anoniem 1826;;;;2;2
anoniem 1829;;1;;;1
anoniem 1839;;;;1;1
anoniem 1840;;1;;;1
anoniem 1844;;1;;;1
anoniem 1855;;;2;;2
anoniem 1860;;;;1;1
anoniem 1866;;1;;;1
anoniem 1903;;1;;;1
anoniem 1905;;;;1;1
anoniem 1908;;1;;;1
anoniem 1914;1;;;;1
anoniem 1919;;1;;;1
anoniem 1931;;;;2;2
anoniem 1938;;1;;;1
anoniem 1941;;1;;;1
anoniem 1947;;;;1;1
anoniem 1960;;;;1;1
anoniem 1962;;;;1;1
anoniem 1965;;;;1;1
anoniem 1968;;;;1;1
anoniem 1971;;;;1;1
anoniem 1976;;1;;;1
anoniem 1985;;;;1;1
anoniem 1999;;1;;;1
anoniem 2003;;;1;;1
anoniem 2005;;;;1;1
anoniem 2010;;1;;;1
anoniem 2012;;;;1;1
anoniem 2024;;1;;;1
anoniem 2053;;;;1;1
anoniem 2069;;;2;;2
anoniem 2073;;;3;;3
anoniem 2081;;;;2;2
anoniem 2085;;;;1;1
anoniem 2089;;;;1;1
anoniem 2094;;;;1;1
anoniem 2101;;;;1;1
anoniem 2105;;2;;;2
anoniem 2114;;1;;;1
anoniem 2115;;;;1;1
anoniem 2116;;;;1;1
anoniem 2118;;;;1;1
anoniem 2119;;;;1;1
anoniem 2127;;1;;;1
anoniem 2130;;;;1;1
anoniem 2133;;;;1;1
anoniem 2134;;1;;;1
anoniem 2155;;1;;;1
anoniem 2162;;1;;;1
anoniem 2163;;1;;;1
anoniem 2208;;;;1;1
anoniem 2224;;1;;;1
anoniem 2241;;1;;;1
anoniem 2255;;;1;;1
anoniem 2262;;1;;;1
anoniem 2273;;;;1;1
anoniem 2277;;;;1;1
anoniem 2289;;;;1;1
anoniem 2290;;;1;;1
anoniem 2293;1;;;;1
anoniem 2306;;;;2;2
anoniem 2314;;;1;;1
anoniem 232;;1;;;1
anoniem 2326;;1;;;1
anoniem 2340;;1;;;1
anoniem 2349;;1;;;1
anoniem 2357;;1;;;1
anoniem 2372;;1;;;1
anoniem 2373;;1;;;1
anoniem 2377;;;;1;1
anoniem 2379;;1;;;1
anoniem 238;;1;;;1
anoniem 2392;;;;1;1
anoniem 2400;;;;2;2
anoniem 2401;;;;1;1
anoniem 2403;;1;;;1
anoniem 2410;;;;1;1
anoniem 2418;;1;;;1
anoniem 2442;;;;1;1
anoniem 2444;;1;;;1
anoniem 2533;;1;;;1
anoniem 2542;;;1;;1
anoniem 2548;;1;;;1
anoniem 2549;;;;1;1
anoniem 2562;;1;;;1
anoniem 258;;;;2;2
anoniem 2588;;;;2;2
anoniem 2591;;1;;;1
anoniem 2603;;;;1;1
anoniem 2635;;1;;;1
anoniem 2636;;2;;;2
anoniem 2681;;1;;;1
anoniem 2721;;;;1;1
anoniem 2727;2;;;;2
anoniem 2757;;;;1;1
anoniem 2758;;1;;;1
anoniem 2764;;1;;;1
anoniem 2778;;1;;;1
anoniem 2780;;1;;;1
anoniem 2794;;1;;;1
anoniem 2797;;;;1;1
anoniem 28;;;;1;1
anoniem 280;;;;5;5
anoniem 2804;;;;1;1
anoniem 295;;;;1;1
anoniem 336;;;1;;1
anoniem 390;1;;;;1
anoniem 5;;;;1;1
anoniem 500;;;1;;1
anoniem 501;;2;;;2
anoniem 51;;;;1;1
anoniem 512;;;;1;1
anoniem 529;;;;1;1
anoniem 641;;;;2;2
anoniem 666;;;;2;2
anoniem 676;;;1;;1
anoniem 775;;;;1;1
anoniem 794;;1;;;1
anoniem 832;;;1;;1
anoniem 833;;1;;1;1
anoniem 834;;;1;;1
anoniem 836;;1;;;1
anoniem 837;;;;1;1
anoniem 838;;;;1;1
anoniem 839;;;1;;1
anoniem 840;;;;1;1
anoniem 843;;;;1;1
anoniem 844;;1;;;1
anoniem 845;;1;;;1
anoniem 846;;1;;;1
anoniem 847;;;3;1;3
anoniem 848;;;;1;1
anoniem 850;;1;;;1
anoniem 851;;1;;;1
anoniem 852;;;;1;1
anoniem 853;;1;;;1
anoniem 855;;;;1;1
anoniem 856;;;1;;1
anoniem 857;;;;1;1
anoniem 858;;;;1;1
anoniem 860;;1;;;1
anoniem 861;;;1;;1
anoniem 862;1;;;;1
anoniem 864;;1;;1;1
anoniem 865;;;;1;1
anoniem 866;;;;1;1
anoniem 867;;;;1;1
anoniem 869;;1;;;1
anoniem 870;;1;;;1
anoniem 871;;2;;;2
anoniem 873;;;;1;1
anoniem 874;;1;;;1
anoniem 875;;1;1;;1
anoniem 878;;;;2;2
anoniem 879;;;;1;1
anoniem 880;;;;1;1
anoniem 881;;;1;;1
anoniem 882;;;;1;1
anoniem 89;;;;1;1
anoniem 917;;1;;;1
Antiquariaat Alfa Haganum;;1;;;1
Apenheul;;1;;;1
Artiestenverloningen B.V.;;;;1;1
Artifac B.V.;;;;1;1
Artihove Regina B.V.;;1;;;1
Atelier Grijspaardt Lijstenmakerij;;1;;;1
AXA;;1;;;1
Axitraxi B.V.;;1;;;1
B.C.M. (Best Communication & Management);;;;1;1
B.V. Eerste Hulp Dichtbij!;1;;;;1
B.V. Leerdam Crystal;;1;;;1
BABO Caf?? B.V.;;1;;;1
Bakker Groesbeek V.O.F.;;;1;;1
Baton Music;;;;1;1
Bax-shop.nl B.V.;;1;;;1
BCD Travel Nederland B.V.;;1;;;1
Be7;;1;;;1
Bechtle direct B.V.;;;;1;1
Bedrijfsinrichting Nederland;;1;;;1
Beeld4Beeld;;;;1;1
Beker- en Biljarthuis Lambregts V.O.F.;;1;;;1
Besselink Licht Import B.V.;;1;;;1
Bijou Moderne B.V.;;1;;;1
bijzonderdruk B.V.;;1;;1;1
Bilderberg Hotel 't Speulderbos;;1;;;1
bisou B.V.;;1;;;1
Bloembinderij de Korenschoof;;1;;;1
Bloembinderij Koningskruid;;1;;;1
Bloemboetiek Dille;;1;;;1
Bloemend�co;;1;;;1
Bloemenkas Eindhoven;;1;;1;1
Bloemenshop Best;;1;;;1
Bloemisterij Gaal;;1;;;1
Bloemsierkunst 'Baccara';;;;1;1
Bloemsierkunst De Klerk B.V.;;1;;;1
Bloemsierkunst De Roozelaar;;1;;;1
Bloemsierkunst 'Le Soleil';;1;;;1
Blom Opleidingen;;;;1;1
Bobbe International B.V.;5;;;;5
Bob's Bloemen en Zo;;1;;1;1
Boeketterie Binnenweg;;1;;1;1
Boekhandel en Drukkerij Van den Munckhof B.V.;;1;;;1
Boels Verhuur B.V.;;;2;;2
Bonappetit Internet Services B.V.;;1;;;1
Bor3d;;1;;;1
Bos Vlaggen B.V.;;1;;;1
Bouwen=Vouwen;;2;;;2
Bovomed;;1;;;1
Bowling en Party Centrum Breda;1;;;;1
Brasserie Waalhaven;;1;;;1
BRB Sound;;;;1;1
Bredemeijer Group B.V.;;2;;;2
Britline;;;;1;1
Buggy Bar;;;1;;1
Buitenomme;;1;;;1
Bureau 'Mevrouw de Voorzitter';;;1;;1
Buttonboss B.V.;;1;;;1
BWV Media;;1;;;1
Cadeau Concepten B.V.;;1;;;1
CafÃ©-Restaurant De Westerbouwing B.V.;;2;;;2
CameraNU.nl;;;;1;1
Car Cleaners B.V.;;1;;;1
Carlton Ambassador Hotel B.V.;;1;;;1
Carpabizzgifts B.V.;;1;;;1
CartoonistLive;;;;1;1
Central Point Nederland B.V.;;1;;;1
Centralpoint Nijmegen B.V.;;1;;;1
Chassé Theater N.V.;;;2;;2
City Outdoor Signs B.V.;;1;;;1
Clements Trading;;1;;;1
CN Trading;;2;;;2
Coöperatie RAV Fryslân UA;;;1;;1
Color Wood Holding B.V.;;;;7;7
Color Wood Photo B.V.;;;;1;1
Colourfile;;;;2;2
Conducto B.V.;;;1;;1
Conrad Electronic Benelux B.V.;1;;;;1
Coolblue B.V.;;1;;1;1
Coolworld Nederland B.V.;;;3;;3
Creative Kids Concepts B.V.;;1;;;1
CRH Mobile Fencing & Security B.V.;;;;2;2
Crown Business Center Haarlem I B.V.;;;1;;1
Cruise With US;;;;1;1
CTG Group B.V.;;;;1;1
D.E.V. Emmen B.V.;;;;1;1
De Baak Noordwijk B.V.;;;2;;2
De Bergse Bossen;;;1;;1
De Bloemerije;;1;;;1
De Boer Structures B.V.;;;;6;6
De Creatie Krachtcentrale B.V.;;;;1;1
De Doelen;;;2;1;2
De Dukdalf - MBSOV;;;;1;1
De Efteling B.V.;;1;2;;2
de Goudreinet Barneveld;;;;1;1
De Haas Verhuur;;;1;;1
De Hooge Vuursche B.V.;;;2;;2
De Jongens uit Schoorl;;1;;;1
