Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal
Stichting Ipse de Bruggen;1;;;;;;;1
Stichting Publicatie en Reproductierechten Organisatie Pro;;;;1;;;;1
Stichting Scholengroep Den Haag Zuid-West;1;;;;;;;1
Stichting Special Arts Nederland;1;;;;;;;1
Stichting Syr;1;;;;;;;1
Stichting The Hague Marketing Bureau;1;;;;;;;1
Stichting United by Music;1;;;;;;;1
Stichting VanHarte;1;;;;;;;1
Stickerwinkel.com B.V.;;;;;;;1;1
Stomerij Kledingreparatie Van Arnhem;;1;;;;;;1
Sumo Den Haag II B.V.;1;;;;;;;1
Survalyzer Nederland B.V.;;;;;;;1;1
Sysmex Nederland B.V.;;1;;;;1;;1
t Schippersrijk B.V.;1;;;;;;;1
t Stulpke B.V.;1;;;;;;;1
Taartenwinkel.nl B.V.;1;;;;;;;1
Tapas Bar Restaurant Limon;1;;;;;;;1
Te Werve B.V.;1;;;;;;;1
Testo B.V.;;1;;;;;;1
The Chocolate Shop;1;;;;;;;1
The Indian Spirit;1;;;;;;;1
Tilkema Horeca B.V.;1;;;;;;;1
Tony's Factory B.V.;1;;;;;;;1
TOPdesk Nederland B.V.;;;;;;;1;1
Total Blue Events B.V.;1;;;;;;;1
Trigion Beveiliging B.V.;;1;;;;;;1
Umami Restaurant Den Haag B.V.;1;;;;;;;1
V.O.F. Banketbakkerij Boheemen;1;;;;;;;1
V.O.F. 'De Passant';1;;;;;;;1
V.O.F. De Tolhuistuin;1;;;;;;;1
V.O.F. Lancée;1;;;;;;;1
V.O.F. Sequenza;1;;;;;;;1
V.O.F. Van der Ham-Visser;1;;;;;;;1
V.O.F. VastrÃ©-Leenders;1;;;;;;;1
Van Arkel Gerechtsdeurwaarders B.V.;;;1;;;;;1
Van den Berg Installateurs B.V.;;;;;;1;;1
van Doorn;1;;;;;;;1
Van Noort Bedrijven B.V.;;;;1;;;;1
VAP Nederland B.V.;1;;;;;;;1
VD Heijde B.V.;1;;;;;;;1
Veilingmeester B.V.;1;;;;;;;1
Vereniging van Turkse Arbeiders in Nederland (Hollanda Turkiyeli Isciler Birligi);2;;;;;;;2
Vermey Culinair;2;;;;;;;2
Vino & Cucina;1;;;;;;;1
Vitamine & Zo B.V.;1;;;;;;;1
Voorberg Bouwkunde B.V.;;;;;;2;;2
Voskamp Beveiligingstechniek Soest B.V.;;1;;;;;;1
VRescaperooms;1;;;;;;;1
Warung Mini XL Den Haag B.V.;1;;;;;;;1
Wissenkerke;1;;;;;;;1
Xerox (Nederland) B.V.;1;;;6;;;;6
X-Food;1;;;;;;;1
Zadkine Contract Activiteiten B.V.;1;;;;;;;1
Zandhof B.V.;1;;;;;;;1
ZUS. Bar-Kitchen V.O.F.;1;;;;;;;1
Zwarte Pad B.V.;1;;;;;;;1
Eindtotaal;5;3;1;6;1;3;4;7
