Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2005 Lan Services B.V.;;;2;;;;;;2
2CoolMonkeys B.V.;;;2;;;;;;2
Aaaaha! The Actor Factory B.V.;;;;;;;;1;1
ABF Research B.V.;;;4;;;;;;4
Accenture B.V.;;;;;2;;;;2
Adcon IT Management B.V.;;;;;;;2;;2
Adv.bur.;;;1;;;;;;1
Advanced Encryption Technology Europe B.V.;;;;;2;;;;2
Adviesgroep Beleidscommunicatie B.V.;;;2;;;;2;;2
Advisie Business Consultants;;;;3;;;;;3
AEREA B.V.;;;;;;;2;;2
Aerophoto-Schiphol.nl;;;;;;;1;;1
Akasia Group Limited;;;;;1;;;;1
Aleid Landeweerd Illustraties en Vormgeving;;;;;;;1;;1
Allekabels B.V.;;;1;;;;;;1
Alternate Computerversand Nederland;;1;;;;;;;1
AlterNET Internet B.V.;;;;;4;1;;;4
AMPLEXOR Netherlands;;;;;;;;2;2
And International Publishers N.V.;;;;;5;;;;5
Anoniem 101;;;;;;;1;;1
Anoniem 104;;;;;;;1;;1
Anoniem 105;;;4;;7;2;;1;7
Anoniem 112;;7;1;;2;2;;3;7
Anoniem 113;;1;4;;;;;;4
Anoniem 142;;;;;;;1;;1
Anoniem 169;;;;;1;;;;1
Anoniem 171;;;4;;;;3;;4
Anoniem 184;;;1;1;;;;;1
Anoniem 185;;;;;;;1;;1
Anoniem 188;;;1;;;;;;1
Anoniem 191;;;;;;;1;;1
Anoniem 192;;;;;;;1;;1
Anoniem 2;;;;;;;1;;1
Anoniem 203;;;;;;;1;;1
Anoniem 220;;;;;;;1;;1
Anoniem 227;;;;;;;1;;1
Anoniem 236;;;;;;;1;;1
Anoniem 239;;;1;;;;;;1
Anoniem 253;;;;;;;1;;1
Anoniem 264;;;;;;;1;;1
Anoniem 267;;;1;;;;;;1
Anoniem 270;;;;;;;1;;1
Anoniem 273;;;;;;;2;;2
Anoniem 275;;;;;;;1;;1
Anoniem 277;;;;;;;1;;1
Anoniem 292;;;;;;;1;;1
Anoniem 300;;;;;;;1;;1
Anoniem 318;;;;;;;2;;2
Anoniem 329;;;;;;;2;;2
Anoniem 34;;;;;;;2;;2
Anoniem 343;;;;;;;1;;1
Anoniem 347;;;;;;;2;;2
Anoniem 371;;;;;;;1;;1
Anoniem 372;;;;;;;1;;1
Anoniem 378;;;;;;;1;;1
Anoniem 379;;;;;;;1;;1
Anoniem 380;;;;;;;1;;1
Anoniem 388;;;;;;;1;;1
Anoniem 389;;;1;;;;;;1
Anoniem 395;;;;;;;1;;1
Anoniem 402;;;;;;;;3;3
Anoniem 409;;;;;;;2;;2
Anoniem 418;;;;;;;2;;2
Anoniem 42;;;;;;;1;;1
Anoniem 427;;;;;;;1;;1
Anoniem 43;;;;;;;1;;1
Anoniem 431;;;;;;;1;;1
Anoniem 434;;;;;;;1;;1
Anoniem 436;;;;;;;1;;1
Anoniem 444;;;;;;;1;;1
Anoniem 454;;;;;;;1;;1
Anoniem 457;;;4;;;;;;4
Anoniem 458;;;;;;;1;;1
Anoniem 462;;;;;;;1;;1
Anoniem 467;;;;;;;1;;1
Anoniem 468;;;1;;;;;;1
Anoniem 474;;;;;;;1;;1
Anoniem 488;;;3;;;;;;3
Anoniem 507;;;1;;;;;;1
Anoniem 508;;;;;;;1;;1
Anoniem 511;;;;;;;1;;1
Anoniem 516;;;;;;;;1;1
Anoniem 518;;;;;;;1;;1
Anoniem 52;;;;;;;;1;1
Anoniem 523;;;;;;;1;;1
Anoniem 54;;;;;;;1;;1
Anoniem 541;;;;;;;1;;1
Anoniem 55;;;;;;;1;;1
Anoniem 56;;;;;;;1;;1
Anoniem 560;;;1;;;;;;1
Anoniem 566;;;1;;;;;;1
Anoniem 58;;;;;;;1;;1
Anoniem 589;;;2;;;;;;2
Anoniem 591;;;;;;;;1;1
Anoniem 593;;;;;;;2;;2
Anoniem 595;;;;;;;;1;1
Anoniem 597;;;1;;;;;;1
Anoniem 62;;;;;;;1;;1
Anoniem 81;;;;;;;2;;2
ANP Photo;;;;;;;1;;1
Apple Retail Netherlands B.V.;;1;;;;;;;1
ARCADIS Nederland;;;3;;;;;;3
Archidat B.V.;;;;;1;;;;1
ArchiXL B.V.;;;;;1;;;;1
ArtdCom B.V.;;;1;;;;1;;2
Asp4all Hosting B.V.;;1;;1;3;2;;5;5
Atos Nederland B.V.;;;4;;5;7;2;7;8
Avex B.V.;;;1;;;;;;1
Azerty;;;;;;;;1;1
Backup Transport & Depot Services B.V.;;;2;;;;;2;3
BBK/Door Vriendschap Sterker B.V.;;;;;;;1;;1
BCM Music Systems B.V.;;;;1;;;;;1
Bentley Systems Netherlands B.V.;;;;;;;;1;1
Berenschot International B.V.;;;2;;;;2;;2
Between B.V.;;;2;;2;;;;3
Binnenlands Bestuur B.V.;;;;;;;2;;2
BIS Bedrijfs Informatie Systemen B.V.;;7;4;2;;;;;7
Blinker B.V.;;;;1;1;;1;;2
BlueBerry Media B.V.;;;;;;;;1;1
bol.com B.V.;1;;;;;;1;;1
Boom B.V.;;;;;;;;2;2
BOOM Communicatie;;;;;;;1;;1
Bouwregelgeving Informatiesystemen B.V.;;;;1;;;;;1
BPMpartner B.V.;;;;;2;;;;2
Bravosolution Benelux;;;;;1;;;;1
BRISQ;;;1;;;;;;1
Brixx Europe B.V.;;;;1;;;;;1
BT Nederland N.V.;;2;4;;;3;6;2;7
Building Solutions Provider B.V.;;;;;2;;;;2
Bumicom Telecommunicatie B.V.;;;;;1;;;;1
Buro Kdijk;;;;;;;2;;2
BWS Consulting B.V.;;;;;;;;1;1
Cambrium B.V.;;;;;;;1;;1
CanCreate Concepts & Productions;;;;;;;1;;1
Canon Nederland N.V.;2;2;2;;;;;;3
Cans B.V.;;;;;2;;;3;3
Capgemini Nederland B.V.;3;;8;3;7;2;;7;9
Catering Lokaal B.V.;;;;;;;1;;1
CBizz B.V.;;;1;;;;;;1
Cendris Customer Contact B.V.;;;5;;;;;;5
Centraal Boekhuis B.V.;;;;;;;1;;1
