KADAAND;KADAAND_ID;KADAAND_VOLGNUMMER;EIGENDOMSSITUATIE;APARTEMENTSSITUATIE;OBJECTID;OPPERVL_GROND;SOORT_GROOTTE
GVH13 U 04276 G 0000;350409;9;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243450;0;vastgesteld
GVH38 AX 01735 G 0000;5;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;5;230;vastgesteld
GVH38 AX 01736 G 0000;6;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;6;232;vastgesteld
GVH35 AU 02741 G 0000;139327;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153663;1102;vastgesteld
GVH35 AU 02613 G 0000;139238;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153664;320;vastgesteld
GVH38 AX 02252 G 0000;10;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;10;2040;vastgesteld
GVH38 AX 02276 G 0000;11;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;11;8390;vastgesteld
GVH28 AL 03920 G 0000;99605;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;250868;27;vastgesteld
GVH35 AU 02546 G 0000;139179;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153665;271;vastgesteld
GVH47 BH 02243 G 0000;21827;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243134;149;vastgesteld
GVH35 AU 02121 G 0000;138863;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153698;233;vastgesteld
GVH35 AU 02421 G 0000;139090;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153726;237;vastgesteld
GVH16 X 01777 G 0000;220314;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;162467;184;vastgesteld
GVH38 AX 02667 G 0000;17;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;17;390;vastgesteld
GVH38 AX 03202 G 0000;22;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;22;1330;vastgesteld
GVH02 E 02260 G 0000;166620;9;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;243407;1392;vastgesteld
GVH06 I 02722 G 0000;172076;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284290;60;vastgesteld
GVH30 AN 06074 G 0000;126074;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;243426;22;vastgesteld
GVH38 AX 03848 G 0000;30;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;30;128;vastgesteld
GVH35 AU 02299 G 0000;138981;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153548;145;vastgesteld
GVH35 AU 02244 G 0000;138948;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153559;260;vastgesteld
LDN03 K 03286 G 0000;744652;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;254516;17;
