FID,PUTNUMMER,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_KOLKEN.156,K13729,2021-03-08,,POINT (188678.39 425633.47)
BOR_RIO_KOLKEN.157,K13730,2021-03-08,,POINT (188678.61 425649.38)
BOR_RIO_KOLKEN.158,K24244,2021-03-08,,POINT (184458.14 425244.06)
BOR_RIO_KOLKEN.159,K22385,2021-03-08,,POINT (184452.56 425232.8)
BOR_RIO_KOLKEN.160,K56,2021-03-08,,POINT (185458.52 427557.75)
BOR_RIO_KOLKEN.161,K57,2021-03-08,,POINT (185608.52 427781.06)
BOR_RIO_KOLKEN.162,K42013,2021-03-08,,POINT (184859.5 427963.7)
BOR_RIO_KOLKEN.163,K42012,2021-03-08,,POINT (184852.27 427971.56)
BOR_RIO_KOLKEN.164,K42017,2021-03-08,,POINT (184865.52 427976.44)
BOR_RIO_KOLKEN.165,K42014,2021-03-08,,POINT (184876.81 427964.28)
BOR_RIO_KOLKEN.166,K42015,2021-03-08,,POINT (184888.69 427951.66)
BOR_RIO_KOLKEN.167,K27119,2021-03-08,,POINT (186792.28 425861.84)
BOR_RIO_KOLKEN.168,K50192,2021-03-08,,POINT (186942.206 433417.247)
BOR_RIO_KOLKEN.169,K59,2021-03-08,,POINT (184315.27 427132.5)
BOR_RIO_KOLKEN.170,K60,2021-03-08,,POINT (184306.89 427144.94)
BOR_RIO_KOLKEN.171,K61,2021-03-08,,POINT (185446.17 427396.7)
BOR_RIO_KOLKEN.172,K62,2021-03-08,,POINT (185421.56 427378.9)
BOR_RIO_KOLKEN.173,K50194,2021-03-08,,POINT (186632.739 427437.993)
BOR_RIO_KOLKEN.174,K50195,2021-03-08,,POINT (186640.958 427439.951)
BOR_RIO_KOLKEN.175,K50196,2021-03-08,,POINT (187844.729 429129.925)
BOR_RIO_KOLKEN.176,K2685,2021-03-08,,POINT (187844.12 429129.2)
BOR_RIO_KOLKEN.177,K42020,2021-03-08,,POINT (184963.3 427991.53)
BOR_RIO_KOLKEN.178,K42019,2021-03-08,,POINT (184932.56 427990.06)
BOR_RIO_KOLKEN.179,K42018,2021-03-08,,POINT (184903.08 427962.38)
BOR_RIO_KOLKEN.180,K42021,2021-03-08,,POINT (184987.6 427965.7)
BOR_RIO_KOLKEN.181,K50205,2021-03-08,,POINT (188061.62 431125.38)
BOR_RIO_KOLKEN.182,K46831,2021-03-08,,POINT (188055.75 431110.97)
BOR_RIO_KOLKEN.183,K5875,2021-03-08,,POINT (184424.7 426534.72)
BOR_RIO_KOLKEN.184,K64,2021-03-08,,POINT (185418.38 427376.5)
BOR_RIO_KOLKEN.185,K65,2021-03-08,,POINT (185418.02 427390.38)
BOR_RIO_KOLKEN.186,K66,2021-03-08,,POINT (185442.55 427394.03)
BOR_RIO_KOLKEN.187,K50210,2021-03-08,,POINT (187726.216 430356.268)
BOR_RIO_KOLKEN.188,K67,2021-03-08,,POINT (187588.08 430278.16)
BOR_RIO_KOLKEN.189,K585,2021-03-08,,POINT (188624.62 426280.4)
BOR_RIO_KOLKEN.190,K586,2021-03-08,,POINT (188615.7 426277.12)
BOR_RIO_KOLKEN.191,K584,2021-03-08,,POINT (188607.12 426273.9)
BOR_RIO_KOLKEN.192,K50215,2021-03-08,,POINT (187656.727 432879.577)
BOR_RIO_KOLKEN.193,K68,2021-03-08,,POINT (187681.23 432878.28)
BOR_RIO_KOLKEN.194,K69,2021-03-08,,POINT (187703.48 432877.06)
BOR_RIO_KOLKEN.195,K70,2021-03-08,,POINT (187724.5 432875.97)
BOR_RIO_KOLKEN.196,K71,2021-03-08,,POINT (187746.72 432874.75)
BOR_RIO_KOLKEN.197,K72,2021-03-08,,POINT (187770.11 432873.44)
BOR_RIO_KOLKEN.198,K73,2021-03-08,,POINT (187782.48 432872.53)
BOR_RIO_KOLKEN.199,K74,2021-03-08,,POINT (187783.39 432889.47)
BOR_RIO_KOLKEN.200,K75,2021-03-08,,POINT (187770.84 432890.4)
BOR_RIO_KOLKEN.201,K76,2021-03-08,,POINT (187747.8 432891.62)
BOR_RIO_KOLKEN.202,K77,2021-03-08,,POINT (187725.69 432892.84)
BOR_RIO_KOLKEN.203,K78,2021-03-08,,POINT (187704.47 432894)
BOR_RIO_KOLKEN.204,K79,2021-03-08,,POINT (187681.78 432895.2)
BOR_RIO_KOLKEN.205,K80,2021-03-08,,POINT (187658.05 432896.6)
BOR_RIO_KOLKEN.206,K81,2021-03-08,,POINT (187636.58 432897.72)
