AreaManagerId,AreaId,Location,AreaDesc,StartDataArea,EndDataArea,UsageId,Aantal parkeer plaatsen,Aantal laad punten,Toegankelijk voor gehandicapten,Maximale doorrijhoogte
193,193_CPA28Z,"(52.506701345, 6.064904911)",Carpool Zwolle-Zuid A28,20150101,29991231,CARPOOL,45,0,0,0
193,193_CPA28Z,"(52.506366705, 6.065104834)",Carpool Zwolle-Zuid A28,20150101,29991231,CARPOOL,45,0,0,0
193,193_CPA28O,"(52.529727928, 6.148628218)",Carpool Ommen/Zwolle A28,20150101,29991231,CARPOOL,35,0,0,0
1719,1719_CPTER,"(51.650176214, 4.759432034)",Carpool Terheijden A59 (Terheijden),20150727,29991231,CARPOOL,30,0,,0
203,203_CPSTR,"(52.212359744, 5.705587765)",Carpool Stroe A1/N310 (Stroe),20150507,29991231,CARPOOL,25,0,0,0
203,203_CPA30,"(52.168190666, 5.564098714)",Carpool Barneveld A30 (Terschuur),20150507,29991231,CARPOOL,52,0,0,310
118,118_CPWODO,"(52.718917205, 6.517119397)",Carpoolplaats Weg om de Oost,20160101,29991231,CARPOOL,60,2,0,0
203,203_CPHAR,"(52.169379853, 5.59811771)",Carpool Voorhuizen-Barneveld Harselaar A1 (Voorthuizen),20150507,29991231,CARPOOL,27,0,0,0
1842,1842_CPDEL,"(51.993803245, 4.316357272)",Carpool Delft A4 (Schipluiden),20150811,29991231,CARPOOL,30,0,,0
1690,1690_CPRUI,"(52.746061487, 6.376079527)",Carpool Ruinen (Ruinen),20150714,29991231,CARPOOL,7,0,,0
118,118_CPZDWG,"(52.7188525, 6.462871698)",Carpoolplaats Zuidwoldigerweg,20160101,29991231,CARPOOL,56,2,0,0
1690,1690_CPWEE,"(52.716258496, 6.306691436)",Carpool Weerwille-Oosteinde (Ruinerwold),20150714,29991231,CARPOOL,7,0,,0
1876,1876_CPLKE,"(51.996978162, 6.224233507)",Carpool Laag-Keppel (Laag-Keppel),20150601,29991231,CARPOOL,18,0,,0
106,106_CPAKL,"(52.99615452, 6.520746598)",Carpool Assen Kloosterveen (Assen),20150506,29991231,CARPOOL,78,0,,0
106,106_CPANO,"(53.029854533, 6.572014606)",Carpool Assen-Noord (Assen),20150506,29991231,CARPOOL,45,0,,0
1728,1728_CPBLA,"(51.361944164, 5.218479341)",Carpool Bladel (Bladel),20150521,29991231,CARPOOL,18,0,,0
1884,1884_CPROE,"(52.198586926, 4.60981823)",Carpool Roelofarendsveen A4 (Nieuwe Wetering),20150722,29991231,CARPOOL,20,0,,0
106,106_CPAZU,"(52.973853358, 6.547120976)",Carpool Assen-Zuid (Assen),20150506,29991231,CARPOOL,96,0,,0
114,114_CPVEE,"(52.727450817, 6.841312182)",Carpool Veenoord (Veenoord),20150622,29991231,CARPOOL,34,0,0,0
2001,1525_SASSH,"(52.222118, 4.540552)",Sassenheim N208 A44 afslag 3 (Provincie Zuid-Holland),20170101,29991231,CARPOOL,21,0,0,0
1706,1706_CPMAA,"(51.31150086, 5.604074439)",Carpool Maarheeze A2 (Maarheeze),20150604,29991231,CARPOOL,36,0,,0
597,597_CPIJS,"(51.86972955, 4.55407059)",Carpool IJsselmonde Ridderkerk A15/A16 (Ridderkerk),20150819,29991231,CARPOOL,150,0,,200
1921,1921_CPLA6,"(52.847872983, 5.720712582)",Carpool Lemmer A6 (Lemmer),20150617,29991231,CARPOOL,127,0,0,0
1921,1921_CPJOU,"(52.959183158, 5.811872785)",Carpool Joure A7/A6 (Joure),20150617,29991231,CARPOOL,175,0,0,0
1921,1921_CPSNW,"(52.914801686, 5.771237745)",Carpool Sint Nicolaasga A6 West (Sint Nicolaasga),20150617,29991231,CARPOOL,56,0,0,0
164,164_CPHEN,"(52.234707036, 6.760855602)",Carpool Hengelo A35/N739 (Hengelo),20150710,29991231,CARPOOL,20,0,,0
1690,1690_CPZUI,"(52.671139747, 6.441293556)",Carpool Zuidwolde (Zuidwolde),20150714,29991231,CARPOOL,20,0,,0
1921,1921_CPOOS,"(52.874460316, 5.74408611)",Carpool Oosterzee/Tjeukemeer A6/N924 (Follega),20150617,29991231,CARPOOL,12,0,0,0
1684,1684_CPCUI,"(51.731873794, 5.852962855)",Carpool Cuijk A73 (Cuijk),20150604,29991231,CARPOOL,66,0,,0
1876,1876_CPZEL,"(51.998956181, 6.345452692)",Carpool Zelhem (Zelhem),20150601,29991231,CARPOOL,35,0,,0
335,335_CPWZU,"(52.069435405, 4.903351425)",Carpool Woerden-Zuid/Linschoten A12/N204 (Linschoten),20150811,29991231,CARPOOL,27,0,0,0
