Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A. Blijleven B.V.;;1;;;;1
A. van der Vlist Schilderwerken;;1;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;2;;;;2
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;1;;;;1
Aannemingsmaatschappij P.A. Wiersma B.V.;;1;;;;1
Aannemingsmaatschappij ZVS Eemnes B.V.;;1;;;;1
Abson C.V.;;1;;;;1
Accuraat B.V.;;1;;;;1
Aermast Holland;;1;;;;1
Aestic Produkten B.V.;;1;;;;1
AG Equinox Coöperatieve UA;;;;;1;1
Agilent Technologies Netherlands B.V.;;2;;;;2
Alp Lift B.V.;;1;;;;1
AlQuilar Beheer B.V.;;1;;;;1
Ambius B.V.;;;;;1;1
Amsterdamse Glashandel van Beemdelust B.V.;;1;;;;1
Ankerslot B.V.;;1;;;;1
APF International;;;;;2;2
Aqua D en S B.V.;;1;;;;1
Arian Tuintechniek;;2;;;;2
Arma Verhuur Horeca B.V.;;;;;1;1
ASSA ABLOY Entrance Systems;;1;;;;1
Auke Rauwerda B.V.;;1;;;;1
B&G Hekwerk B.V.;;1;;;;1
B.V. Van Vliet Groep Milieu-Dienstverleners;;1;;;;1
Bergh Brandkasten B.V.;;1;;;;1
Besseling installatie groep B.V.;;1;;;;1
Biermans IJzerhandel Breda B.V.;;1;;;;1
Bloembinderij van der Maat;;1;;;;1
Boels Verhuur Venlo;;1;;;;1
Boerhof Projectinrichters;;;;;6;6
Bouwbedrijf Davelaar B.V.;;1;;;;1
Bouwbedrijf De Boer B.V.;;2;;;;2
Bouwbedrijf Hoorn 80 B.V.;;1;;;;1
Bouwbedrijf Meliskerke B.V.;;1;;;;1
Bouwbedrijf Salverda B.V.;;2;;;;2
Bouwcombinatie DUO2 V.O.F.;;1;;;;1
Bouwinvest Dutch Institutional Office Fund NV;;;;;7;7
Bouwmaatschappij Kroon B.V.;;2;;;;2
Bouwmij Weboma B.V.;;1;;;;1
Bouwonderneming Jager B.V.;;2;;;;2
Bovenregionaal kantoor;;;1;;;1
BPF Onroer. Goed Lease en Financieringen B.V.;;;;;5;5
Brabant Water N.V.;;;2;;;2
Brehm, Sleutels en Sloten;;;;;1;1
Breijer Technisch Beheer Rotterdam;;2;;;;2
Breustedt Chemie;;1;;;;1
Brezan Automaterialen Zoetermeer;;1;;;;1
Brongers Bouw B.V.;;1;;;;1
Buko Infrasupport B.V.;;1;;;;1
Burgman Security B.V.;;1;;;;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf B.V.;;1;;;;1
C. v. Duijn Industr. en Part. Mij. B.V.;;;;;5;5
CarBon6 B.V.;;;;;5;5
Careos Exploitatie & Beheer B.V.;;;;;1;1
Caspar de Haan Schildersbedrijf B.V.;;1;;;;1
Chalet XV B.V.;;;;;4;4
Clercx Liebau Vastgoedmanagement B.V.;;;;;2;2
Cofely Noord B.V.;;3;;;;3
Cofely West Nederland B.V.;;2;;;;2
Cofely Zuid Nederland B.V.;;2;;;;2
Cogas Energie;;;2;;;2
Cogas Meetdiensten B.V.;;;1;;;1
Cornelissen Aannemingsbedrijf B.V.;;2;;;3;3
Corneliushuis;;;;;1;1
D/L Real Estate K15 Zaandam B.V.;;;;;1;1
Dassen Bouw B.V.;;;;;2;2
De Hertenkamp Assen B.V.;;1;;;;1
De Klein verlichting;;1;;;;1
de Schulenburch;;;;;2;2
De Waal Beheer o.g. Utrecht B.V.;;;;;2;2
Dehullu Projekt B.V.;;1;;;;1
Delphi;;1;;;;1
DELTA Comfort B.V.;;;1;;;1
Delta Netwerkbedrijf B.V.;;;1;;;1
Den Daas Succes Makelaars;;;;;2;2
Destil B.V.;;1;;;;1
Dokkumer Vlaggen Centrale B.V.;;1;;;;1
Donkergroen B.V.;;5;;;;5
Dordtse Bazar Verhuur;;1;;;;1
Dragon Word & Services;;;;;1;1
DS Kunststoffen B.V.;;1;;;;1
Dunea N.V.;;;1;;;1
Dura Vermeer Onderhoud en Renov. Hengelo B.V.;;1;;;;1
Dutch Property Company Rembrandt 8 B.V.;;;;;2;2
Dutch Special Solutions B.V.;;1;;;;1
E.ON Benelux Levering B.V.;;;2;;;2
Earflap B.V.;;2;;;;2
Eemshaven Properties;;;;;2;2
Eijkelboom B.V.;;5;;;;5
Eindhoven Airport N.V.;;;;;2;2
EKM Lastechniek;;1;;;;1
Electrabel Nederland Retail B.V.;;;2;;;2
Endinet B.V.;;;3;;;3
ENECO Gasspeicher B.V.;;;3;;;3
Eneco Zakelijk;;;8;;;8
Enexis B.V.;;;5;;;5
Erik van Dunschoten Elektrotechniek B.V.;;2;;;;2
Esra Handelmaatschappij B.V.;;2;;;;2
Essent Nederland;;;3;;;3
Essent Retail Energie B.V.;;;2;;;2
Euromate B.V.;;1;;;;1
Evides Drinkwater;;;2;;;2
Evides Locatie Huijbergen;;;1;;;1
F. Weijde Loodgietersbedrijf B.V.;;1;;;;1
FAAC Tubular Motors;;1;;;;1
Facility Service;;;;;3;3
First Service One B.V.;;;;;5;5
Freedom Motors Nederland B.V.;;1;;;;1
Fudura B.V.;;;1;;;1
Gielissen Neos Interieurprojecten;;1;;;;1
Giga-gaas.nl;;1;;;;1
Glasbedrijf de Jonge & Zn;;1;;;;1
Glascentrale Swinkels B.V.;;1;;;;1
Glashandel van Ooyen B.V.;;1;;;;1
Glaspunt B.V.;;1;;;;1
Glasservice Noord;;1;;;;1
Glassolutions Veromco Emmen;;1;;;;1
Golden Tulip Hotel De Reiskoffer;;1;;;;1
Groeneweg Beheer B.V.;;;;;3;3
Groentotaal A. de Boer Ruinerwold;;1;;;;1
Groningen Airport Eelde N.V.;;;;;2;2
Gunnebo Nederland B.V.;;1;;;;1
Guy Bravenboer Schilderwerken;;1;;;;1
Häfele Nederland B.V.;;;;;1;1
Haitsma Sport & Doe Het Zelf B.V.;;1;;;;1
Hanneke's Catering & Partyservice;;1;;;;1
Heerkens Verlichting;;1;;;;1
Heijmans Utiliteit;;7;;;;7
Heras B.V.;;1;;;;1
Het NIC B.V.;;1;;;;1
Hollander Techniek B.V.;;1;;;;1
Hoogma Fietsen;;1;;;;1
Hörmann Nederland B.V.;;1;;;;1
Hotel Leeuwarden Centre B.V.;;;;;1;1
HUBO Scheveningseveer;;1;;;;1
hvabouwservice;;1;;;;1
ICTroom Company B.V.;;;1;;;1
Imtech Building Services;;2;1;;;2
Infostop B.V.;;;;;1;1
Innotec Industrie;;1;;;;1
Installatiebedrijf Ron Missler B.V.;;1;;;;1
Instandhoudingscombinatie Prinsenhof;;;;;2;2
ISS Nederland B.V.;;1;;;;1
J. Glijnis Loon- en Verhuurbedrijf B.V.;;2;;;;2
J. Zwemmer Holding B.V.;;1;;;;1
Jo Leloux;;1;;;;1
Klaver Bik(e)motion B.V.;;4;;;;4
Klussenbedrijf Seyit;;1;;;;1
Koninklijke Academie van Beeldende Kunsten;;;;;1;1
Kooning Schiphol B.V.;;1;;;;1
Kop Beveiliging B.V.;;1;;;;1
KPN B.V.;;;1;;;1
Krämer Groep B.V.;;1;;;;1
K-Rentool B.V.;;1;;;;1
Kuper en Kroeze B.V.;;1;;;;1
La Bouquetterie;;;;;1;1
Lantsink & Koning Amsterdam B.V.;;1;;;;1
Lawn Tennis Club 'De Manege';;1;;;;1
Liander N.V.;;;6;;;6
Linthorst op locatie B.V.;;1;;;;1
Lödige Holland Machinefabriek B.V.;;;;;1;1
Loodgietersbedrijf Lenting B.V.;;1;;;;1
Loodgietersbedrijf Van Gelder;;2;;;;2
Löwik Installatietechniek;;1;;;;1
M&H Techniek;;1;;;;1
M.C.Snack-Catering;;1;;;;1
Maastricht Aachen Airport B.V.;;;;;2;2
Mansveld Projecten & Services B.V.;;2;;;;2
Manutan B.V.;;2;;;;2
Marcel den Hartog h.o.d.n. De Klussenier;;2;;;;2
Mastermate Jan van Leusen;;1;;;;1
Mayfield Asset and Property Management B.V.;;;;;3;3
Meiko Nederland B.V.;;1;;;;1
Merin B.V.;;;;;4;4
Merkelbach hovenier;;2;;;;2
Mondial Movers B.V.;;;;1;;1
Moolenaar Fotografie;;;;;1;1
MVGM BHV Service B.V.;;1;;;;1
MVGM Vastgoedmanagement B.V.;;;;;2;2
N. Aarnoudse B.V.;;1;;;;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;2;;;2
N.V. Rendo;;;2;;;2
N.V. Waterbedrijf Groningen;;;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;;1;;;1
Nedlite Totaalreclame V.O.F.;;1;;;;1
Nijhuis Dienstverlening B.V.;;1;;;;1
NSI Kantoren B.V.;;;;;2;2
Nuon CCC;;;3;;;3
Oasen N.V.;;;1;;;1
OBN Ongedierte Bestrijding Nederland B.V.;;1;;;;1
Otter Audio-Visueel;;1;;;;1
P. & R. Grootkeukens B.V.;;1;;;;1
Parkeer Beheer Roosendaal B.V.;;;;;1;1
Post Cleaning Service;;1;;;;1
Precia Molen Nederland B.V.;;1;;;;1
R. Bosch Verwarmingsbedrijf;;1;;;;1
Record Automatische Deuren B.V.;;1;;;;1
Regel Partners B.V.;;1;;;;1
Reisswolf Nederland B.V.;;1;;;;1
Relexim;;1;;;;1
Rendo Beheer B.V.;;;1;;;1
Rentokil pest control;;1;;;;1
Repairnet;;1;;;;1
Revis Verkeerstechniek B.V.;;1;;;;1
Rivostuc;;1;;;;1
RN Project B.V.;;;;;7;7
Robin Meyer;;;;;1;1
Roermondse Glashandel B.V.;;1;;;;1
Rotterdam Airport B.V.;;;;;3;3
RRS Nederland B.V.;;1;;;;1
Safire B.V.;6;;;;;6
Satellietkantoor Utrecht;;;4;;;4
Scheeres Handelmaatschappij B.V.;;;;;1;1
Schekman Elektrotechniek B.V.;;1;;;;1
Schiphol Nederland B.V.;;;;;5;5
Schiphol Real Estate B.V.;;;;;6;6
Schipper B.V.;;1;;;;1
Schoonm./Ontstoppingsbedr. Langenbach V.O.F.;;1;;;;1
Schouten Olie;;1;;;;1
Schreuder B.V.;;1;;;;1
Seascape B.V.;;1;;;;1
Service Equipe Nederland B.V.;;1;;;;1
Shipmate Vlag Produktie;;1;;;;1
Simons Vloer & Wand;;1;;;;1
SITA Recycling Services;;1;;;;1
Sitex Electronics B.V.;;1;;;;1
Sonesto;;1;;;;1
Stas B.V.;;1;;;;1
STB;;1;;;;1
Stedin;;;5;;;5
Stedin Meetbedrijf B.V.;;;1;;;1
Stedin Netwerk Gas B.V.;;;2;;;2
Stertil B.V.;;1;;;;1
Stg. Crow, kennisplatf. infrastruct., verkeer;;4;;;;4
Stg. Service Centrum Auteurs & Nabur. rechten;;1;;;;1
Stichting Ondernemingspensioenf. MN Services;;;;;4;4
Stichting Parkmanagement Amsterdam Teleport;;;;;2;2
Stinissen Rioolservice B.V.;;1;;;;1
Stow Nederland B.V.;;1;;;;1
Studio Louter B.V.;;;;2;;2
Swedamast Nederland B.V.;;1;;;;1
Tankstation Roozeboom B.V.;;1;;;;1
Tapwacht Service B.V.;;1;;;;1
Technisch Bureau Swart B.V.;;;;;1;1
Technische Unie;;5;;;1;5
Technische Unie B.V.;;1;;;;1
Ten Brinke Interieurbeplanting B.V.;;1;;;;1
Th. Engering B.V.;;1;;;;1
TOP Technisch Beheer B.V.;;2;;;;2
Trajecto B.V.;;;;;1;1
Transposafe Systems;;1;;;;1
ULC Elektra B.V.;;1;;;;1
Unica Installatietechniek;;2;;;;2
Unica Installatietechniek B.V.;;1;;;;1
Unispace International B.V.;;1;;;;1
UPC Nederland;;;1;;;1
UTS Nederland;;1;;;;1
V.O.F. De Sleutelkoning;;;;;1;1
Vaanster IV B.V.;;;2;;;2
Van Beek Ingenieurs B.V.;;1;;;;1
Van Boldrik Vendor Lease B.V.;;;;;3;3
Van den Berg Schild.- en Afwerkingsbedr. B.V.;;2;;;;2
Van der Velden Rioleringsbeheer Tilburg B.V.;;1;;;;1
Van Dorp Zwembaden;;1;;;;1
Van Ginkel Veenendaal B.V.;;5;;;;5
Van Ginkel West Nederland B.V.;;2;;;;2
Van Oosterhout Tweewielers B.V.;;1;;;;1
Van Randwijk Paperflow Solutions B.V.;;2;;;;2
vanPanhuis Hoogeveen B.V.;;1;;;;1
Vendor B.V.;;1;;;;1
Veolia Water Systems Nederland Holding B.V.;;1;;;;1
Vereniging Haagse Kunstkring;;;;;1;1
Verheij Groenvoorzieningen B.V.;;4;;;;4
Vervloed Aanhangwagens en Trailers B.V.;;1;;;;1
Vink Lisse B.V.;;1;;;;1
Vios Bouw en Onderhoud Amsterdam B.V.;;1;;;;1
Vlaggenindustrie Groningen B.V.;;1;;;;1
W.Th. Pot en Zoons B.V.;;2;;;;2
Waterkant;;;;;1;1
Westland Infra Netbeheer B.V.;;;1;;;1
Wiek de Laat Beveiliging B.V.;;1;;;;1
WorkSphere;;1;;;;1
Wouters Beletteringen;;1;;;;1
Ziggo B.V.;;;1;;;1
Ziggo Services B.V.;;1;;;;1
Zovia;;1;;;;1
Zweegers/TCS B.V.;;2;;;;2
Eindtotaal;6;7;9;2;8;10
