FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie3_index.26,26 varik_3e uitg_1960,,,"POLYGON ((149687.50499999896 422487.69099999964, 149687.50499999896 427507.19099999964, 157712.29399999976 427507.19099999964, 157712.29399999976 422487.69099999964, 149687.50499999896 422487.69099999964))"
2e_herziening_serie3_index.27,27 kerkdriel_3e uitg_1960,,,"POLYGON ((149739.74399999902 415491.0329999998, 149739.74399999902 422510.5320000015, 154765.02299999818 422510.5320000015, 154765.02299999818 415491.0329999998, 149739.74399999902 415491.0329999998))"
2e_herziening_serie3_index.28,28 hedel_3e ged_4e uitg_1959,,,"POLYGON ((141738.59600000083 413284.24500000104, 141738.59600000083 418305.83300000057, 149753.37799999863 418305.83300000057, 149753.37799999863 413284.24500000104, 141738.59600000083 413284.24500000104))"
2e_herziening_serie3_index.29,29 heusden_4e uitg_1959,,,"POLYGON ((136842.2800000012 413594.2039999999, 136842.2800000012 421606.436999999, 141753.0859999992 421606.436999999, 141753.0859999992 413594.2039999999, 136842.2800000012 413594.2039999999))"
2e_herziening_serie3_index.30,29a poederoijen_4e uitg_1959,,,"POLYGON ((128850.94999999925 419149.47199999914, 128850.94999999925 424151.42599999905, 136848.95899999887 424151.42599999905, 136848.95899999887 419149.47199999914, 128850.94999999925 419149.47199999914))"
2e_herziening_serie3_index.31,29b gorinchem_5e uitg_1959,,,"POLYGON ((125099.52199999988 424137.6400000006, 125099.52199999988 429122.57499999925, 133311.95600000024 429122.57499999925, 133311.95600000024 424137.6400000006, 125099.52199999988 424137.6400000006))"
2e_herziening_serie3_index.32,29c hardinxveld_4e uitg_1950,,,"POLYGON ((117092.07899999991 424138.01999999955, 117092.07899999991 429124.5700000003, 125117.64900000021 429124.5700000003, 125117.64900000021 424138.01999999955, 117092.07899999991 424138.01999999955))"
2e_herziening_serie3_index.33,29d sliedrecht_3e uitg_1937,,,"POLYGON ((109099.6959999986 424139.12999999896, 109099.6959999986 429130.04100000113, 117108.6649999991 429130.04100000113, 117108.6649999991 424139.12999999896, 109099.6959999986 424139.12999999896))"
2e_herziening_serie3_index.34,30 heesbeen_3e uitg_1955,,,"POLYGON ((131840.24799999967 410093.11499999836, 131840.24799999967 418099.4519999996, 136863.30299999937 418099.4519999996, 136863.30299999937 410093.11499999836, 131840.24799999967 410093.11499999836))"
2e_herziening_serie3_index.35,31 capelle_3e uitg_1955,,,"POLYGON ((124088.37999999896 410925.8819999993, 124088.37999999896 415977.83399999887, 131864.1710000001 415977.83399999887, 131864.1710000001 410925.8819999993, 124088.37999999896 410925.8819999993))"
2e_herziening_serie3_index.36,32 raamsdonk_4e uitg_1940,,,"POLYGON ((119092.13599999994 411139.4979999997, 119092.13599999994 419140.06500000134, 124100.32999999821 419140.06500000134, 124100.32999999821 411139.4979999997, 119092.13599999994 411139.4979999997))"
2e_herziening_serie3_index.37,32a nieuwendijk_3e ged_4e uitg_1938,,,"POLYGON ((117090.40900000185 419134.0069999993, 117090.40900000185 424142.3029999994, 125089.8590000011 424142.3029999994, 125089.8590000011 419134.0069999993, 117090.40900000185 419134.0069999993))"
2e_herziening_serie3_index.38,32b s-gravenmoer_2e uitg_1954,,,"POLYGON ((120653.35700000077 406138.37900000066, 120653.35700000077 411152.9919999987, 125683.36800000072 411152.9919999987, 125683.36800000072 406138.37900000066, 120653.35700000077 406138.37900000066))"
2e_herziening_serie3_index.39,33 geertruidenberg_4e uitg_1941,,,"POLYGON ((114087.9609999992 411146.5769999996, 114087.9609999992 419143.9510000013, 119119.06500000134 419143.9510000013, 119119.06500000134 411146.5769999996, 114087.9609999992 411146.5769999996))"
2e_herziening_serie3_index.40,33a kop van t-land_3e uitg_1937,,,"POLYGON ((109087.39699999988 419132.7479999997, 109087.39699999988 424140.7479999997, 117106.39699999988 424140.7479999997, 117106.39699999988 419132.7479999997, 109087.39699999988 419132.7479999997))"
2e_herziening_serie3_index.41,33b steelhoven_2e uitg_1954,,,"POLYGON ((115656.33399999887 406150.64499999955, 115656.33399999887 411146.131000001, 120680.05000000075 411146.131000001, 120680.05000000075 406150.64499999955, 115656.33399999887 406150.64499999955))"
2e_herziening_serie3_index.42,34 hoge zwaluwe_4e uitg_1934,,,"POLYGON ((109088.7349999994 411143.4930000007, 109088.7349999994 419147.25, 114130.42100000009 419147.25, 114130.42100000009 411143.4930000007, 109088.7349999994 411143.4930000007))"
2e_herziening_serie3_index.43,35 lage zwaluwe_4e uitg_1934,,,"POLYGON ((104093.8200000003 413791.4539999999, 104093.8200000003 421817.4539999999, 109107.8200000003 421817.4539999999, 109107.8200000003 413791.4539999999, 104093.8200000003 413791.4539999999))"
