OBJECTID,AGEMATERIAAL,AGEGEBRUIKSTATUS,AGELABELCODE,AGEOPMERKING,MBSDIAMETERBINNEN,MBSDIAMETERBUITEN,AGEIDENT,GLOBALID,LDG_LDG_ID,AGE_AGE_ID,SHAPE_Length
443,18,300,,,,323,26335,{A8FD837F-AC17-4197-9F0F-321696714BDD},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000280432056912823
444,18,300,,,,323,26336,{604654D6-054B-4661-B733-E03814E10FE0},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000262264367868772
445,18,300,,,,323,26337,{0E833EE5-34D0-4E97-8375-9AC5EEDCF984},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000104970303648726
446,18,300,,,,323,26338,{237BB4ED-50A0-4BE0-8206-F301EE5D5E4F},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000224236691646758
447,18,300,,,,323,26339,{EAA098FA-30C7-4C65-82C4-0CA9900BA33E},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000104786085025123
448,18,300,,,,406,26340,{DFC9931E-597D-4CFC-BEED-B7AFAEA9EF71},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000243872437938559
449,18,300,,,,406,26341,{31FDFBF8-ABD1-4812-9A25-8581327E3725},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000280344364265225
450,18,300,,,,406,26342,{318887F1-F431-4FDD-A071-57C54E195236},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000313720771385059
451,18,300,,,,406,26343,{084D3D68-FF15-4E4F-A845-C6576A998CD1},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000287246263487108
452,18,300,,,,406,26344,{397B0172-5C40-4274-B1C8-322F6E6FD287},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,8.02397698019548e-05
453,18,300,,,,406,26345,{AECA36D0-98DB-4DA7-9AC7-AEAE9186BD77},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000289605159904259
454,18,300,,,,406,26346,{9AAB8AC8-724D-410C-8C11-366856D0AF05},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000106954276477303
455,18,300,,,,359,26347,{C401D37B-9C85-4AB0-B244-9A5A15078029},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,8.06053340997035e-05
456,,300,,,,,26348,{0629718A-32EC-424A-A810-DA7E07689D6B},{3B08F843-E5FB-437B-A0A0-429D1EEE13B3},,6.40863371004538e-05
457,18,300,,,,530,26975,{AE2CA26A-F8F1-4ADD-A04F-94EC2336B274},{3B08F843-E5FB-437B-A0A0-429D1EEE13B3},,0.000560671908271638
458,16,300,,,,500,26976,{A4A16E1F-C7BB-4DC0-BBF5-46E7567CA126},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000159040268143829
459,16,300,,,,500,26977,{E2BF737A-CC94-4B89-9EFC-B996AFD1F7FF},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000135165578449777
460,18,300,,,,457,27295,{2EC31E1A-BBCE-4CFC-BC10-135929B83F62},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000109708311918147
461,,300,,,,,27296,{D7249FBB-A717-4B48-9680-0FC26A549C8C},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000204906697863182
462,,300,,,,,27297,{F7A6A9BF-D8BD-4557-BFFE-4D1B46DC213A},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000149624807148861
463,,300,,,,,27298,{3BCD8F87-4834-46B2-9A4C-CD78B0FAFE9F},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000279374512710807
464,18,300,,,,273,27615,{797C6CB7-718A-4FA3-940E-3E42377EA1C4},{C6F36533-F94B-4A57-BF01-557024A6791C},,7.13665007025574e-05
465,6,300,,,300,,27616,{ACEF1A8E-F5BC-4B58-A7B6-3586DFC116A3},{C6F36533-F94B-4A57-BF01-557024A6791C},,0.000271417636446279
466,18,300,,,,,27936,{6DA9381C-C138-494C-A726-5CE0C2562138},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,4.46619649118066e-05
467,18,300,,,,,27937,{F48856B1-D0D9-45AC-A985-F8A7832DFFE4},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,5.41105428103638e-05
468,18,300,,,,,27938,{1BDBC93D-ABC0-459D-897C-4F208F11A904},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,0.000113330978138562
469,18,300,,,,530,27939,{0E56A398-4B51-4FA9-AACB-34512D3BE7B6},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,0.000141741359298665
470,18,300,,,,323,9695,{2BF7880D-CE9F-4B61-B41A-1F95ED8CC4D7},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.000101027901532034
471,18,300,,,,323,9696,{03D6423F-4DEE-4CA9-BC97-59D85EB88BFA},{C4D53531-C6EF-4CD5-959C-DAB95E281098},,0.00024172196663489
472,18,300,,,,406,11296,{AA2CD4FC-0D0B-4A99-8C24-D37655945DF6},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,0.000106083128509654
473,18,300,,,,508,11297,{0433F197-34F9-4CF7-AFBF-86F596341A2C},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,0.000369931516812797
474,,300,,,90,110,11936,{4AB9BC77-1511-4563-B3C2-45BA74AF52E0},{A2BFEAB3-89B8-4D37-A64F-99EDE400F9C5},,0.000689000015685981
475,18,300,,,,355,12576,{20DF6B6B-E389-428B-AD12-45D5EA8DA257},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,0.000119009860868726
476,,300,,,,,13855,{2AAF327C-237C-4798-898B-63967FED020E},{DBF0FC8D-4E96-4CA9-80A9-CB3A981DA42A},,1.85613995411525e-05
477,98,300,,,,250,25055,{0FB60C24-7593-4B92-BD9C-DF27DF00FE73},{B5B529EE-95B4-4DB4-A8AD-DACEA29B08F1},,2.9103013209553e-05
478,18,300,,,,244,25375,{D57F7738-0417-4977-BF0C-4CADAB9CB2F1},{C57A239C-46CA-49D7-A682-8D3365AB01DD},,8.75227654215723e-05
479,,300,,,,244,25376,{1AB939F6-BE9F-4AF9-8BB3-E7851EA8A8D1},{C57A239C-46CA-49D7-A682-8D3365AB01DD},,6.82599062038642e-05
480,,300,,,,244,25377,{9F682435-D916-42AF-B81A-03A4D0EDCD02},{C57A239C-46CA-49D7-A682-8D3365AB01DD},,6.82621008879342e-05
481,18,300,,,232,240,11616,{A7603821-93AB-458D-BE50-591C5B9E36E9},{1B13C04D-5725-4CEE-ACBC-739C92118A7F},,0.000237156981149912
482,18,300,,,,178,19616,{6BD59DB1-C51A-42B9-ABA6-BC6275ACA579},{AA3DF465-5D64-457B-BE2D-38EDB5CD69E7},,0.000111650613772938
483,,300,,Mantelbuis PVC,,160,BC283,{B73B02C7-B7BA-46AC-A041-1BAFA0A97DC6},{19BB15B3-95DA-9AFD-E053-07011EAC467A},,0.000154211016779361
484,,300,,,,,BC1297,{B596D0C5-0B1E-423C-BD81-F7C42741E154},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,8.58395380442333e-05
485,,300,,,,,21221,{96E9A462-A13F-4ACB-BEBF-3BE13D4C528F},{B0FB6293-C0D8-4780-8002-9995EA0DCED1},,0.000101025916840823
486,6,300,,,200,,19619,{759D0EDA-615B-4DE0-9258-86BCD4CFA0B9},{ED43B634-E76E-46C3-B2F3-CE752D258F8A},,0.000113724561591374
487,18,300,,,,400,17056,{A524A8B8-EAE1-4929-828A-B6055E706FE0},{257EE5AF-07C8-4BFE-8D35-BAEC214A6F67},,0.00034915381732484
488,6,300,,,,400,18335,{F8F178C2-6C87-4DBB-8144-58FDA9952B83},{A732B778-B1A4-4317-AD5C-5E4DABFD5FEA},,0.000353022445424867
489,18,300,,,,219,18337,{5502331A-6C27-4009-9E85-D54396D09C1E},{60A02BCB-DADF-4346-86F3-2FC1A745C409},,9.15018291975956e-05
