Ministerie;Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
AZ;.bos Ontwikkeling en Organisatie;;;;;;1;;;;1
AZ;4D organisatieontwikkeling & opleiding;;;;;;1;;;;1
AZ;a4 Training;;;;;;1;;;;1
AZ;ABC English B.V.;;;;;;1;;;;1
AZ;About Flowers;;;;1;;;;;;1
AZ;Alliance Francaise Twente;;;;;;1;;;;1
AZ;Aloha producties;;;;;;;1;;;1
AZ;ArboVitale;;;1;;;;;;;1
AZ;Ardis Organisatieontwikkeling B.V.;;;;;;1;;;;1
AZ;Automotive Publishing B.V.;;;;;;1;;;;1
AZ;B+B Vakmedianet B.V.;;;;;;1;;;;1
AZ;Banketbakkerij Boheemen;;;;1;;;;;;1
AZ;Banketbakkerij H.F. Borsboom;;;;;;;1;;;1
AZ;Banketbakkerij Maison Kelder B.V.;;;;1;;;1;;;1
AZ;Bar Restaurant La Vina;;;;1;;;;;;1
AZ;Bastion Holding B.V.;;;;;;;;;1;1
AZ;Beter in je baan;;;;;;1;;;;1
AZ;Beuk Touringcars;;;;1;;;1;;;1
AZ;Bloemberg Communicatie;;;;;;1;;;;1
AZ;Bob de Ronde en Partners;;;;;;1;;;;1
AZ;Boertien en Partners;;;;;;1;;;;1
AZ;Bolten Training en Advies;;;;;;1;;;;1
AZ;Bon Vivant B.V.;;;;1;;;;;;1
AZ;Brasserie Park B.V.;;;;1;;;;;;1
AZ;Brasserie Soho B.V.;;;;1;;;;;;1
AZ;Buitengoed Hagenhorst Exploitatie B.V.;;;;;;1;;;;1
AZ;Bureau Zuidema B.V.;;;;;;2;;;;2
AZ;Bureau Zuijdgeest Taalvaardigheidstrainingen;;;;;;1;;;;1
