FID,length,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlgln_ijssel_ndrrijn_2009.1,8258.24,ijssel_01,2009-10-09T00:00:00,,,"LINESTRING (189163.2030000016 510269.0940000005, 180912.3440000005 510618.125)"
vlgln_ijssel_ndrrijn_2009.2,7856.96,ijssel_02,2009-10-09T00:00:00,,,"LINESTRING (189073.9059999995 510626.6559999995, 181223.6559999995 510951.3440000005)"
vlgln_ijssel_ndrrijn_2009.3,3871.1,ijssel_03,2009-10-09T00:00:00,,,"LINESTRING (188153 510967.8440000005, 184283.125 511065.2809999995)"
vlgln_ijssel_ndrrijn_2009.4,4674.9,ijssel_04,2009-10-09T00:00:00,,,"LINESTRING (190285.3440000005 507826.7190000005, 187302.686999999 511426.5)"
vlgln_ijssel_ndrrijn_2009.5,10850.7,ijssel_05,2009-10-09T00:00:00,,,"LINESTRING (194762.3280000016 503146.561999999, 187697.938000001 511382.5940000005)"
vlgln_ijssel_ndrrijn_2009.6,8557.64,ijssel_06,2009-10-09T00:00:00,,,"LINESTRING (195122.1409999989 503280.4059999995, 189506.563000001 509737.8440000005)"
vlgln_ijssel_ndrrijn_2009.7,8205.55,ijssel_07,2009-10-09T00:00:00,,,"LINESTRING (195380.5 503407.5, 190070.5940000005 509663.375)"
vlgln_ijssel_ndrrijn_2009.8,5253.69,ijssel_08,2009-10-09T00:00:00,,,"LINESTRING (194688.3440000005 502795.686999999, 191238.8280000016 506758.2809999995)"
vlgln_ijssel_ndrrijn_2009.9,2157.82,ijssel_09,2009-10-09T00:00:00,,,"LINESTRING (194112.7190000005 502878.5309999995, 192739.4690000005 504542.9690000005)"
vlgln_ijssel_ndrrijn_2009.10,4223.02,ijssel_10,2009-10-09T00:00:00,,,"LINESTRING (193486.0780000016 502924, 196841.188000001 505488.5940000005)"
vlgln_ijssel_ndrrijn_2009.11,3565.18,ijssel_11,2009-10-09T00:00:00,,,"LINESTRING (196737.5159999989 505021, 193876.9530000016 502893.1559999995)"
vlgln_ijssel_ndrrijn_2009.12,2428.43,ijssel_12,2009-10-09T00:00:00,,,"LINESTRING (194600.2030000016 502929.125, 196514.7030000016 504423.0940000005)"
vlgln_ijssel_ndrrijn_2009.13,3611.41,ijssel_13,2009-10-09T00:00:00,,,"LINESTRING (198252.0159999989 502298.686999999, 195965.7340000011 505094.25)"
vlgln_ijssel_ndrrijn_2009.14,12696.1,ijssel_14,2009-10-09T00:00:00,,,"LINESTRING (204483.6719999984 495494.5940000005, 196266.1559999995 505172.5309999995)"
vlgln_ijssel_ndrrijn_2009.15,11812.1,ijssel_15,2009-10-09T00:00:00,,,"LINESTRING (203990.2969999984 496478.0309999995, 196396.7659999989 505525.936999999)"
vlgln_ijssel_ndrrijn_2009.16,11076.7,ijssel_16,2009-10-09T00:00:00,,,"LINESTRING (204099.688000001 496917.0940000005, 196953.936999999 505380.6559999995)"
vlgln_ijssel_ndrrijn_2009.17,10852.1,ijssel_17,2009-10-09T00:00:00,,,"LINESTRING (203857.5309999995 497646.125, 196857.0159999989 505938.4059999995)"
vlgln_ijssel_ndrrijn_2009.18,1415.39,ijssel_18,2009-10-09T00:00:00,,,"LINESTRING (198277.2190000005 504714.188000001, 197358.7030000016 505791.063000001)"
vlgln_ijssel_ndrrijn_2009.19,1963.81,ijssel_19,2009-10-09T00:00:00,,,"LINESTRING (203823.9840000011 498126.8440000005, 202495.0469999984 499572.688000001)"
vlgln_ijssel_ndrrijn_2009.20,2658.7,ijssel_20,2009-10-09T00:00:00,,,"LINESTRING (202386.875 493943.625, 202517.2340000011 496599.125)"
vlgln_ijssel_ndrrijn_2009.21,10819,ijssel_21,2009-10-08T00:00:00,,,"LINESTRING (201921.6719999984 485368.5309999995, 202776.4840000011 496153.688000001)"
vlgln_ijssel_ndrrijn_2009.22,11251.7,ijssel_22,2009-10-08T00:00:00,,,"LINESTRING (202204.5 485527.938000001, 203155.4530000016 496739.3440000005)"
vlgln_ijssel_ndrrijn_2009.23,9236.12,ijssel_23,2009-10-08T00:00:00,,,"LINESTRING (202697.7340000011 487228, 203462.125 496432.438000001)"
vlgln_ijssel_ndrrijn_2009.24,7330.47,ijssel_24,2009-10-08T00:00:00,,,"LINESTRING (203099.0780000016 488571.2809999995, 203750.5469999984 495872.75)"
vlgln_ijssel_ndrrijn_2009.25,6158.72,ijssel_25,2009-10-08T00:00:00,,,"LINESTRING (203446.4840000011 489079.6559999995, 204016.5469999984 495211.936999999)"
vlgln_ijssel_ndrrijn_2009.26,4993.26,ijssel_26,2009-10-08T00:00:00,,,"LINESTRING (203849.313000001 489988.625, 204302.125 494961.311999999)"
vlgln_ijssel_ndrrijn_2009.27,4831.02,ijssel_27,2009-10-08T00:00:00,,,"LINESTRING (204246.375 490486.438000001, 204667.561999999 495299.061999999)"
vlgln_ijssel_ndrrijn_2009.28,6669.74,ijssel_28,2009-10-08T00:00:00,,,"LINESTRING (206458.9690000005 491641.125, 202145.686999999 496728.4690000005)"
vlgln_ijssel_ndrrijn_2009.29,5655.47,ijssel_29,2009-10-08T00:00:00,,,"LINESTRING (206324.7190000005 492275.625, 202666.938000001 496588.9690000005)"
vlgln_ijssel_ndrrijn_2009.30,3968.63,ijssel_30,2009-10-08T00:00:00,,,"LINESTRING (205874.9840000011 493363.375, 203287.5159999989 496372.5309999995)"
vlgln_ijssel_ndrrijn_2009.31,6328.67,ijssel_31,2009-10-08T00:00:00,,,"LINESTRING (205894.7030000016 493638.936999999, 204527.7340000011 487459.6559999995)"
vlgln_ijssel_ndrrijn_2009.32,5789.32,ijssel_32,2009-10-08T00:00:00,,,"LINESTRING (204827.938000001 487285.125, 206095.686999999 492933.938000001)"
vlgln_ijssel_ndrrijn_2009.33,5284.97,ijssel_33,2009-10-08T00:00:00,,,"LINESTRING (205070.9530000016 487329.2809999995, 206245.7030000016 492482.0309999995)"
vlgln_ijssel_ndrrijn_2009.34,4919.73,ijssel_34,2009-10-08T00:00:00,,,"LINESTRING (206200.7659999989 488170.813000001, 201392.5780000016 487129.125)"
vlgln_ijssel_ndrrijn_2009.35,5255.43,ijssel_35,2009-10-08T00:00:00,,,"LINESTRING (205881.688000001 488486.1559999995, 200753.1559999995 487338.2190000005)"
vlgln_ijssel_ndrrijn_2009.36,3476.92,ijssel_36,2009-10-08T00:00:00,,,"LINESTRING (201653.8280000016 485906.625, 201925.188000001 489372.936999999)"
vlgln_ijssel_ndrrijn_2009.37,3798.46,ijssel_37,2009-10-08T00:00:00,,,"LINESTRING (201272.125 485744.625, 201589.4059999995 489529.811999999)"
vlgln_ijssel_ndrrijn_2009.38,3969.93,ijssel_38,2009-10-08T00:00:00,,,"LINESTRING (200996.2340000011 485522.375, 201301.813000001 489480.5309999995)"
vlgln_ijssel_ndrrijn_2009.39,1579.85,ijssel_39,2009-10-08T00:00:00,,,"LINESTRING (204257.1409999989 483748.0309999995, 203788.625 485256.811999999)"
vlgln_ijssel_ndrrijn_2009.40,2986.72,ijssel_40,2009-10-08T00:00:00,,,"LINESTRING (204038.563000001 483617.1559999995, 203156.7030000016 486470.7190000005)"
vlgln_ijssel_ndrrijn_2009.41,3744.68,ijssel_41,2009-10-08T00:00:00,,,"LINESTRING (203845.5940000005 483133.6559999995, 202810.8440000005 486732.5309999995)"
vlgln_ijssel_ndrrijn_2009.42,3927.16,ijssel_42,2009-10-08T00:00:00,,,"LINESTRING (203539.688000001 482906.0940000005, 202493.8440000005 486691.438000001)"
vlgln_ijssel_ndrrijn_2009.43,13030.3,ijssel_43,2009-10-08T00:00:00,,,"LINESTRING (205688.75 474518.6559999995, 202073.2659999989 487037.313000001)"
vlgln_ijssel_ndrrijn_2009.44,9209.49,ijssel_44,2009-10-08T00:00:00,,,"LINESTRING (205366.688000001 474438.25, 202814.686999999 483287.0940000005)"
