;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
5st3ps lean six sigma;;;1;;;;1
A2Z-Academy Networks B.V.;;;1;;;;1
A5tien B.V.;;;1;;;;1
About Flowers;1;;;;;;1
Amaze Escape Events;;;;1;;;1
Ardis Organisatieontwikkeling B.V.;;;1;;;;1
Art and the City;;;1;;;;1
AutiTalent B.V.;;2;;;;;2
B.V. Leerdam Crystal;;;;1;;;1
Balans & Impuls B.V.;;;1;;;;1
Banketbakkerij Boheemen;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;;;1
Bar Bistro Speakers;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;1;;;1
Beeckesteijn;;;1;;;;1
Beeld en Geluid;;;;1;;;1
Behavior Change Group B.V.;;;1;;;;1
Berlitz Schools of Languages B.V.;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;1;;;;1
Beuk Touringcars;;;;1;;;1
Bink Rooftop;;;;1;;;1
BKA Hotelmanagement;;;;;;1;1
Boertien Vergouwen Overduin B.V.;;;1;;;;1
bokstraining.nl;;;;1;;;1
Bram Martens Improvisatie;;;;1;;;1
Brasserie Soho B.V.;1;;;;;;1
Bureau Zuidema B.V.;;;2;;;;2
Burrata Turfmarkt B.V.;1;;;;;;1
BVA bond van adverteerders;;;;;2;;2
Bynder B.V.;;;1;;;;1
C.R.M. van Veen B.V.;;;1;;;;1
Cadeaubonnen.nl B.V.;1;;;;;;1
Calla's LVRED 51A B.V.;1;;;;;;1
Capgemini N.V.;;;1;;;;1
Catering Witteveen B.V.;;;;1;;;1
Ciao! Ciao! B.V.;1;;;;;;1
City Hotel Meppel;;;;;;1;1
Clingendaelzicht I B.V.;;;1;;;;1
Cloose;1;;;;;;1
Compass Group Nederland B.V.;;;;1;;;1
Compu'Train;;;1;;;;1
Compu'Train Opleidingen B.V.;;;2;;;;2
Considerati B.V.;;;1;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;1;;;;1
CorpTV;;;1;;;;1
