gebiedcode;gebiedstype;gebiednaam;opp_ha_gebied;opp_land_ha;opp_water_ha;opp_bebouwd_ha;opp_erf_ha;opp_terrein_ha;opp_wegen_ha;opp_groen_ha;percentage_land;percentage_water;percentage_bebouwd;percentage_erf;percentage_terrein;percentage_wegen;percentage_groen;percentage_groen_op_land
A;stadsdeel;Centrum;804,34456745435;625,0460;179,2985;259,1209;85,8174;18,8228;234,6332;26,6517;77,7087416003938;22,2912583996063;32,2151614829087;10,6692388126647;2,34014562976764;29,1707279058893;3,31346776916343;4,26395756889549
A00;wijk;Burgwallen-Oude Zijde;40,4702693607505;34,8510;5,6192;20,9064;2,2422;0,1062;11,5713;0,0248;86,1151248571055;13,8848751428945;51,6587754317259;5,54035252221741;0,262528424193429;28,5921140077097;0,0613544712590343;0,0712470328073523
A00a;buurt;Kop Zeedijk;8,04802364195013;5,9178;2,1302;3,4270;0,2327;0,0283;2,2297;0,0000;73,5311933373391;26,4688066626609;42,5819421437402;2,89159759488136;0,352168061831053;27,7054855368865;0;0
A00b;buurt;Oude Kerk e.o.;9,26257644585065;8,8743;0,3883;5,6625;0,3237;0,0220;2,8661;0,0000;95,8077935987784;4,19220640122163;61,1333537392449;3,49423542766557;0,237367550299287;30,9428368815686;0;0
A00c;buurt;Burgwallen Oost;7,24786843289975;6,2677;0,9802;3,9308;0,3685;0,0097;1,9584;0,0004;86,4766528495112;13,5233471504888;54,2332052920592;5,08404088380415;0,134058617024541;27,02050339629;0,00484466033330867;0,00560227549710957
A00d;buurt;Nes e.o.;5,78378970969977;5,3974;0,3864;3,1045;0,1230;0,0287;2,1324;0,0089;93,3196104737702;6,68038952622983;53,6752281031674;2,1260544270126;0,496402897303602;36,8681902589118;0,153734787374833;0,164740065452849
A00e;buurt;BG-terrein e.o.;10,1280111303502;8,3938;1,7342;4,7817;1,1944;0,0175;2,3847;0,0156;82,8772883777265;17,1227116222735;47,2126602449537;11,7927574984651;0,17268690404306;23,5452789984927;0,153904731771982;0,185701939318449
A01;wijk;Burgwallen-Nieuwe Zijde;72,8448168363998;55,6313;17,2135;25,0002;1,3203;1,0113;28,1858;0,1136;76,3695884577427;23,6304115422573;34,3198574030236;1,81246424536999;1,38836208384753;38,6929707932723;0,155933932229403;0,204183282087065
A01a;buurt;Stationsplein e.o.;26,0425267544503;13,4652;12,5773;2,1075;0,0392;0,6975;10,6118;0,0091;51,7045749927769;48,2954250072231;8,09271511836094;0,150453269068178;2,67846279368327;40,7480990706547;0,0348447410098724;0,0673919880682516
A01b;buurt;Hemelrijk;6,29557953544982;5,4913;0,8043;2,4877;0,1676;0,0314;2,8046;0,0000;87,2245563739532;12,7754436260468;39,5154098893772;2,66143260182691;0,498628805819808;44,5490850769293;0;0
A01c;buurt;Nieuwendijk Noord;6,59899647979987;4,9947;1,6043;2,5315;0,0701;0,1204;2,2603;0,0123;75,6885546921541;24,3114453078459;38,3626004334407;1,06223939657815;1,82514893873585;34,2520737188044;0,186492204594935;0,246394194410832
A01d;buurt;Spuistraat Noord;5,68178277529979;5,0125;0,6692;2,5100;0,1651;0,0300;2,3075;0,0000;88,2212756591257;11,7787243408743;44,1755642125176;2,90553290504464;0,527891830709573;40,6122867108538;0;0
A01e;buurt;Nieuwe Kerk e.o.;8,41547889779976;8,4155;0,0000;4,9994;0,2047;0,1040;3,1074;0,0000;100;0;59,4071432814246;2,43205439466919;1,23543521067163;36,9253671132345;0;0
