FID,land,opmerking,vliegveld,point,se_anno_cad_data,gdb_geomattr_data,shape
waypoints_controlevluchten.1,Belgie,Bonn Agreement, ,B0,,,POINT (492227.72670000046 5691533.5666000005)
waypoints_controlevluchten.2,Belgie,Bonn Agreement, ,B1,,,POINT (462148.3973000003 5671278.723300001)
waypoints_controlevluchten.3,Belgie,Bonn Agreement, ,B2,,,POINT (454505.14800000004 5689320.67)
waypoints_controlevluchten.4,Belgie,Bonn Agreement, ,B3,,,POINT (447198.5016999999 5712191.537799999)
waypoints_controlevluchten.5,Belgie,Bonn Agreement, ,B4,,,POINT (460373.5795 5727271.7116)
waypoints_controlevluchten.6,Belgie,Bonn Agreement, ,B5,,,POINT (473241.8624 5742572.6294)
waypoints_controlevluchten.7,Belgie,Bonn Agreement, ,B6,,,POINT (492392.4819 5723970.7149)
waypoints_controlevluchten.8,Belgie,Bonn Agreement, ,B7,,,POINT (512725.66420000046 5705445.100299999)
waypoints_controlevluchten.9,Belgie,Bonn Agreement, ,B8,,,POINT (473979.7594999997 5707349.3806)
waypoints_controlevluchten.10,Belgie,Bonn Agreement, ,FB1,,,POINT (435990.0491000004 5675245.4321)
waypoints_controlevluchten.11,Belgie,Bonn Agreement, ,FB2,,,POINT (414781.3520999998 5659795.974400001)
waypoints_controlevluchten.12,Belgie,Bonn Agreement, ,NH,,,POINT (489702.4210999999 5761048.8346)
waypoints_controlevluchten.13,Belgie,Bonn Agreement, ,UKB,,,POINT (430423.59690000024 5693855.649)
waypoints_controlevluchten.14,Duitsland,Bonn Agreement, ,G 0,,,POINT (770420.7927999999 5980250.898600001)
waypoints_controlevluchten.15,Duitsland,Bonn Agreement, ,G 1,,,POINT (836348.3547 5995725.231699999)
waypoints_controlevluchten.16,Duitsland,Bonn Agreement, ,G 2,,,POINT (716043.9116000002 5969978.204600001)
waypoints_controlevluchten.17,Duitsland,Bonn Agreement, ,G 3,,,POINT (695991.6528000003 6002516.2798)
waypoints_controlevluchten.18,Duitsland,Bonn Agreement, ,G 4,,,POINT (819785.6200000001 6013162.7752)
waypoints_controlevluchten.19,Duitsland,Bonn Agreement, ,G 5,,,POINT (521692.40699999966 6016951.886700001)
waypoints_controlevluchten.20,Duitsland,Bonn Agreement, ,G 6,,,POINT (516091.3957000002 6067000.9157)
waypoints_controlevluchten.21,Duitsland,Bonn Agreement, ,G 7,,,POINT (612634.0533999996 6068377.139)
waypoints_controlevluchten.22,Duitsland,Bonn Agreement, ,G 8,,,POINT (703172.9831999997 5987970.1502)
waypoints_controlevluchten.23,Duitsland,Bonn Agreement, ,G 9,,,POINT (700932.5036000004 6134598.607899999)
waypoints_controlevluchten.24,Duitsland,Bonn Agreement, ,G 10,,,POINT (645701.2713000001 6041483.7817)
waypoints_controlevluchten.25,Duitsland,Bonn Agreement, ,G 11,,,POINT (759188.5565999998 6042812.8347)
waypoints_controlevluchten.26,Duitsland,Bonn Agreement, ,G 12,,,POINT (757815.8965999996 6066902.284399999)
waypoints_controlevluchten.27,Duitsland,Bonn Agreement, ,G 13,,,POINT (725233.0345000001 6072593.132300001)
waypoints_controlevluchten.28,Duitsland,Bonn Agreement, ,G 14,,,POINT (552195.9455000004 6187844.3672)
waypoints_controlevluchten.29,Duitsland,Bonn Agreement, ,G 30,,,POINT (848039.2742999997 6058053.5483)
waypoints_controlevluchten.30,Duitsland,Bonn Agreement, ,DEBL,,,POINT (790203.3233000003 6014922.292099999)
waypoints_controlevluchten.31,Duitsland,Bonn Agreement, ,OSTOR,,,POINT (898090.2951999996 5980115.124299999)
waypoints_controlevluchten.32,Duitsland,Bonn Agreement, ,EDUBU5,,,POINT (888672.4989 463259.07740000077)
waypoints_controlevluchten.34,Duitsland,Bonn Agreement, ,WELGO,,,POINT (787334.0785999997 6025901.682600001)
waypoints_controlevluchten.35,Duitsland,Bonn Agreement, ,TUSKA,,,POINT (812250.1743000001 6105702.516100001)
waypoints_controlevluchten.36,Denemarken,Bonn Agreement, ,V1,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.37,Denemarken,Bonn Agreement, ,V2,,,POINT (1018179.3709000004 6261730.755899999)
waypoints_controlevluchten.38,Denemarken,Bonn Agreement, ,V3,,,POINT (1034267.9923999999 6323781.2838)
waypoints_controlevluchten.39,Denemarken,Bonn Agreement, ,V4,,,POINT (986493.1458999999 6420973.9121)
waypoints_controlevluchten.40,Denemarken,Bonn Agreement, ,V5,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.41,Denemarken,Bonn Agreement, ,V6,,,POINT (794654.3399999999 6311104.096000001)
waypoints_controlevluchten.42,Denemarken,Bonn Agreement, ,V7,,,POINT (807128.1248000003 6133266.0547)
waypoints_controlevluchten.43,Denemarken,Bonn Agreement, ,V8,,,POINT (770086.4753999999 6130848.459799999)
waypoints_controlevluchten.44,Denemarken,Bonn Agreement, ,V9,,,POINT (760157.5242999997 6292062.601399999)
waypoints_controlevluchten.45,Denemarken,Bonn Agreement, ,V10,,,POINT (725165.0938999997 6277023.1274999995)
waypoints_controlevluchten.46,Denemarken,Bonn Agreement, ,V11,,,POINT (733034.9609000003 6128741.886700001)
waypoints_controlevluchten.47,Denemarken,Bonn Agreement, ,V12,,,POINT (695974.9524999997 6126946.1272)
waypoints_controlevluchten.48,Denemarken,Bonn Agreement, ,V13,,,POINT (690107.8882999998 6258574.0362)
waypoints_controlevluchten.49,Denemarken,Bonn Agreement, ,V14,,,POINT (654690.7247000001 6242278.0151)
waypoints_controlevluchten.50,Denemarken,Bonn Agreement, ,V15,,,POINT (658907.8132999996 6125461.0046999995)
waypoints_controlevluchten.51,Denemarken,Bonn Agreement, ,V16,,,POINT (618656.9977000002 6124200.1328)
waypoints_controlevluchten.52,Denemarken,Bonn Agreement, ,V17,,,POINT (615910.6242000004 6226198.0286)
waypoints_controlevluchten.53,Denemarken,Bonn Agreement, ,V18,,,POINT (593386.6031999998 6214513.774599999)
waypoints_controlevluchten.54,Denemarken,Bonn Agreement, ,V19,,,POINT (582925.9270000001 6164203.365700001)
waypoints_controlevluchten.55,Denemarken,Bonn Agreement, ,V20,,,POINT (546714.9512999998 6211898.1066)
waypoints_controlevluchten.56,Denemarken,Bonn Agreement, ,V21,,,POINT (743454.4176000003 6315234.7546999995)
waypoints_controlevluchten.57,Denemarken,Bonn Agreement, ,V22,,,POINT (915235.7209000001 6431668.7151999995)
waypoints_controlevluchten.58,Denemarken,Bonn Agreement, ,V23,,,POINT (958064.5854000002 6432608.0034)
waypoints_controlevluchten.59,Denemarken,Bonn Agreement, ,V24,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.60,Denemarken,Bonn Agreement, ,S1,,,POINT (969695.4934 6321596.441400001)
waypoints_controlevluchten.61,Denemarken,Bonn Agreement, ,S2,,,POINT (1093025.0428999998 6258385.593599999)
waypoints_controlevluchten.62,Denemarken,Bonn Agreement, ,S3,,,POINT (1101668.7414999995 6173066.466600001)
waypoints_controlevluchten.63,Denemarken,Bonn Agreement, ,S4,,,POINT (1129003.8169 6131732.661499999)
