;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
A.M.A.H. Lorne;;;1;;;;;1
ABF Research B.V.;;;2;;;;;2
ABVAKABO FNV Regio Zuid West;;;;;1;;;1
Adeline Stichting;;;3;;;;;3
Aleixandre painting conservation;;;3;;;;;3
Andersson Elffers Felix;;;3;;;;;3
Anne Rupert;;;1;;;;;1
Archeoplan Eco;;;3;;;;;3
Archol;;;2;;;;;2
Astrium Overheidsaccountants B.V.;;;;;;;2;2
Ateliers Frans de Roo;;;1;;;;;1
Athenas B.V.;;1;;;;;;1
Avalanche Projecten;;;2;;;;;2
AVR Holding B.V.;;1;;;;;;1
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;;;6;;;;;6
Bamadi Holding B.V.;;3;2;;;;;3
Banet & Partners B.V.;;;;;1;;;1
Barbara Schoonhoven Rest.&Onderz. van Schild.;;;3;;;;;3
Bartling Advies;;;1;;;;;1
Batac;;;1;;;;;1
Beatrijs Media Group B.V.;;;2;;;;;2
Benefit Inkoopadviesgroep B.V.;;2;;;;;;2
Berenschot Groep B.V.;;1;2;;;;;3
Bierens Incasso Advocaten B.V.;;;;;1;;;1
Big Baba;;1;1;;;;;2
Binoq B.V.;;2;;;;;;2
Blauw Research B.V.;;;2;;;;;2
Brigit van Rossum;;;3;;;;;3
Broekhuizen Communicatie;;1;;;;;;1
Bureau Bartels B.V.;;;2;;;;;2
Bureau Buitenwaard;;;1;;;;;1
Bureau Hak;;;1;;;;;1
Bureau Leeuwerink;;;2;;;;;2
Bureau Veritas Industrial Services;;;;;;;1;1
Buro DSB zorg voor buitenkunst;;;1;;;;;1
C&B Products;;;1;;;;;1
Cécilia Gauvin Consulting;;;2;;;;;2
Celebi Advocatuur B.V.;;;;;4;;;4
Chef marketing;;1;;;;;;1
Cimsolutions;;;;;;3;;3
CINOP B.V.;;;2;;;;;2
Citrus Andriessen B.V.;;7;;;;;;7
Conducto B.V.;;1;;;;;;1
Congres- en Studiecentrum Twente B.V.;;;1;;;;;1
Coolblue B.V.;1;;;;;;;1
Coralview B.V.;;;1;;;;;1
Ctac N.V.;;1;;;;;;1
D&B;;2;2;;;;;2
D&H advocatuur en mediation;;;;;1;;;1
D. Allewijn Mediator;;;1;;;;;1
Dare To Be IP B.V.;;;2;;;;;2
De Baan en Dobber B.V.;;;1;;;;;1
De Groene Grachten B.V.;;;2;;;;;2
De Man Schilderijenrestauratie;;;2;;;;;2
De Nederlandse Gemalenstichting;;;1;;;;;1
De Processpecialisten B.V.;;;3;;;;;3
De Voort Advocaten - Mediators;;;;;1;;;1
Deb;;1;;;;;;1
Defacto Automatisering B.V.;;1;;;;;;1
Den Tex;;;2;;;;;2
Denise van der Vegt;;;2;;;;;2
Dialogic Holding B.V.;;2;;;;;;2
Didee B.V.;;;1;;;;;1
DLA Piper Nederland N.V.;;;1;;;;;1
DoubleTree by Hilton Hotel A'dam Centr. Stat.;;;1;;;;;1
Duhold B.V.;;;2;;;;;2
Dutch Numismatics;;;1;;;;;1
Duwtje B.V.;;2;1;;;;;2
DWA B.V.;;;1;;;;;1
Ecorys B.V.;;;4;;;;;4
EduContinu;;;1;;;;;1
Ellen Edens;;;1;;;;;1
Ergo B.V.;;;2;;;;;2
Ernst & Young Actuarissen B.V.;;;;;;;2;2
Exar Capital B.V.;;;2;;;;;2
Faasen Advies;;;;;;2;;2
