FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,lengte,breedte,bereikbreedte,bereiklengte,profielurl,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
krib_legger.1,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,CAC5594C-38AA-41E8-A72A-7F27C2A126DC,,,,,,,,0,,"POLYGON ((205361.86419999972 489167.58520000055, 205362.2314000018 489161.85979999974, 205362.06700000167 489156.6253999993, 205362.95160000026 489149.8605000004, 205364.30189999938 489141.05050000176, 205362.0421999991 489140.67639999837, 205360.67449999973 489140.97140000015, 205358.42080000043 489141.54940000176, 205355.90940000117 489141.15469999984, 205355.22679999843 489142.13230000064, 205353.85649999976 489143.69999999925, 205352.48570000008 489144.8350000009, 205350.89939999953 489145.2479000017, 205347.93470000103 489145.4754000008, 205345.0331000015 489145.6037000008, 205344.12739999965 489145.6436999999, 205342.82499999925 489145.64499999955, 205341.42929999903 489145.6464000009, 205341.3962999992 489145.6479000002, 205339.22949999943 489145.749499999, 205338.07939999923 489146.1906999983, 205337.24419999868 489146.8379999995, 205336.63910000026 489147.9893999994, 205336.4459999986 489149.0954999998, 205336.61309999973 489150.23429999873, 205337.05310000107 489151.5078999996, 205337.99940000102 489152.8808000013, 205339.31179999933 489153.77800000086, 205341.52380000055 489155.4844999984, 205344.26440000162 489157.35500000045, 205345.70179999992 489158.3361000009, 205349.2072999999 489160.77270000055, 205352.53880000114 489163.28290000185, 205353.89499999955 489164.30469999835, 205353.94559999928 489165.09369999915, 205356.5384999998 489164.78620000184, 205358.0907999985 489165.48800000176, 205361.86419999972 489167.58520000055))"
krib_legger.2,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,C9C43F3A-4378-4592-92F4-BC53807C4EE5,,,,,,,,0,,"POLYGON ((205361.22300000116 489056.14499999955, 205360.03799999878 489055.84899999946, 205358.71400000155 489055.9780000001, 205356.34600000083 489056.07400000095, 205353.95899999887 489056.37999999896, 205352.8509999998 489056.7509999983, 205352.25400000066 489056.9290000014, 205351.52899999917 489057.6319999993, 205351.4990000017 489057.8040000014, 205351.34800000116 489058.66099999845, 205351.32499999925 489059.3990000002, 205351.58100000024 489060.2580000013, 205351.8139999993 489061.04100000113, 205352.1259999983 489062.0859999992, 205352.39299999923 489062.98099999875, 205352.87200000137 489064.1790000014, 205353.3509999998 489064.7710000016, 205354.04100000113 489065.1770000011, 205354.8509999998 489065.79399999976, 205355.37200000137 489066.4510000013, 205356.17700000107 489067.10500000045, 205356.73099999875 489067.8740000017, 205357.0949999988 489068.4149999991, 205357.4299999997 489069.1279999986, 205359.32699999958 489068.4549999982, 205361.45600000024 489068.18400000036, 205361.69299999997 489065.87900000066, 205361.51199999824 489064.5850000009, 205360.93400000036 489063.6950000003, 205362.875 489063.1799999997, 205364.37200000137 489062.5240000002, 205365.3887999989 489062.07770000026, 205366.05700000003 489057.5623999983, 205365.8110000007 489057.4990000017, 205361.22300000116 489056.14499999955))"
krib_legger.3,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Stortsteen,Niet van toepassing,ON,IJssel,,7FEA7E7F-F269-4FCD-AF75-30122B620C8F,,,,,,,,0,,"POLYGON ((203097.72700000182 482934.58469999954, 203097.6700000018 482934.0709999986, 203094.26929999888 482935.10069999844, 203093.54300000146 482935.32079999894, 203088.79450000077 482936.75829999894, 203085.82079999894 482940.8852000013, 203087.28510000184 482942.8603999987, 203088.84319999814 482945.77899999917, 203089.37079999968 482946.57939999923, 203090.73690000176 482948.6517999992, 203092.60029999912 482949.9039000012, 203093.27760000154 482950.1369000003, 203094.33199999854 482950.499499999, 203095.1715000011 482950.4957000017, 203096.17419999838 482950.03390000015, 203097.25730000064 482948.8427999988, 203097.45100000128 482948.4032999985, 203098.05099999905 482947.0421000011, 203098.11290000007 482946.5148999989, 203098.38280000165 482944.21819999814, 203098.45919999853 482941.1779999994, 203097.72700000182 482934.58469999954))"
krib_legger.4,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,222E073B-7FC9-4335-A9B2-56B32CD60F1C,,,,,,,,0,,"POLYGON ((203015.16959999874 481759.6581999995, 203014.12150000036 481759.12420000136, 203013.56689999998 481758.93400000036, 203013.1612999998 481758.8720000014, 203012.81920000166 481758.7366999984, 203012.7736000009 481758.7468999997, 203010.89039999992 481759.1662000008, 203009.05689999834 481759.11470000073, 203005.29439999908 481758.74720000103, 203004.1997999996 481758.7991999984, 203003.02109999955 481759.04890000075, 203004.66120000184 481765.1871000007, 203005.70430000126 481767.22890000045, 203006.34910000116 481769.92540000007, 203005.61840000004 481772.73149999976, 203004.4712000005 481775.1031999998, 203002.5518000014 481777.5945000015, 203007.30999999866 481780.0909000002, 203008.53130000085 481780.73160000145, 203010.88789999858 481777.41640000045, 203012.60860000178 481775.49280000106, 203013.4092000015 481775.10339999944, 203016.5742000006 481774.3412999995, 203022.14449999854 481773.2153000012, 203023.02470000088 481773.03339999914, 203026.20850000158 481772.46550000086, 203030.4204000011 481771.40680000186, 203030.70529999956 481771.32389999926, 203031.29140000045 481771.01209999993, 203031.71990000084 481770.61560000107, 203032.20369999856 481770.0432000011, 203032.5773999989 481769.36290000007, 203032.7659999989 481768.76410000026, 203032.86410000175 481768.37849999964, 203032.78060000017 481767.8682000004, 203031.76220000163 481765.1446999982, 203031.59259999916 481764.7291000001, 203031.37099999934 481764.43250000104, 203030.71709999815 481763.8625999987, 203029.98270000145 481763.430399999, 203026.78920000046 481763.063099999, 203025.76689999923 481762.95910000056, 203025.059799999 481762.8872000016, 203023.3482999988 481762.7129999995, 203018.996199999 481762.2490000017, 203018.62559999898 481762.2093000002, 203017.91059999913 481762.13280000165, 203017.45470000058 481762.0507000014, 203016.7023999989 481761.64189999923, 203016.2888999991 481761.1658000015, 203015.69420000166 481760.38159999996, 203015.41270000115 481759.89180000126, 203015.22239999846 481759.70899999887, 203015.16959999874 481759.6581999995))"
krib_legger.5,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Stortsteen,Niet van toepassing,ON,IJssel,,1B285A82-B0A6-484D-821C-8F18A29D5E36,,,,,,,,0,,"POLYGON ((205639.49500000104 449832.91099999845, 205639.07140000165 449830.6548999995, 205638.24599999934 449830.8579999991, 205637.59800000116 449830.68200000003, 205637.10399999842 449830.0879999995, 205636.7303000018 449828.4219999984, 205635.938000001 449827.5170000009, 205635.20199999958 449826.58100000024, 205634.4050000012 449824.688000001, 205633.33799999952 449823.7179999985, 205632.49379999936 449822.5789999999, 205632.05799999833 449821.7778000012, 205631.48999999836 449820.4930000007, 205629.53799999878 449818.2170000002, 205627.46799999848 449815.56799999997, 205623.23299999908 449808.58999999985, 205618.41699999943 449800.62099999934, 205612.75600000098 449792.1970000006, 205612.49069999903 449791.77600000054, 205608.11199999973 449784.8269999996, 205605.51300000027 449781.5689999983, 205603.26999999955 449779.65399999917, 205601.24500000104 449778.5520000011, 205599.51199999824 449778.42599999905, 205598.37099999934 449779.10599999875, 205596.4919999987 449780.80099999905, 205595.9609999992 449781.56799999997, 205595.98299999908 449782.11100000143, 205596.6160000004 449783.3720000014, 205598.0240000002 449786.4820000008, 205600.39799999818 449791.33900000155, 205601.67929999903 449793.5128999986, 205603.66800000146 449796.88699999824, 205608.6799999997 449804.1950000003, 205616.21200000122 449816.3200000003, 205616.88899999857 449820.65199999884, 205616.71499999985 449821.52800000086, 205615.3999999985 449822.86300000176, 205618.12920000032 449827.7670999989, 205618.81599999964 449827.63699999824, 205622.04300000146 449827.48000000045, 205623.563000001 449827.16699999943, 205625.1959999986 449826.52699999884, 205625.34600000083 449826.28400000185, 205625.3299999982 449826.11300000176, 205626.6009999998 449827.33100000024, 205626.7307999991 449827.4191999994, 205628.68200000003 449828.743999999, 205630.6499999985 449832.1620000005, 205632.9919999987 449835.51199999824, 205633.9360000007 449836.4479999989, 205635.5709999986 449834.77600000054, 205636.78799999878 449833.6220000014, 205637.85200000182 449833.1570000015, 205639.49500000104 449832.91099999845))"
krib_legger.6,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,875A09B1-0BE4-4FD9-81F1-1F37EEC45E4B,,,,,,,,0,,"POLYGON ((204773.61199999973 451246.58999999985, 204778.78599999845 451242.7030000016, 204784.58700000122 451237.86400000006, 204784.938000001 451236.7719999999, 204784.54899999872 451235.0370000005, 204783.90100000054 451234.17500000075, 204782.96400000155 451233.76000000164, 204781.68100000173 451233.7430000007, 204780.1889999993 451234.54199999943, 204771.01900000125 451240.8449999988, 204768.16299999878 451242.75400000066, 204767.41899999976 451242.8060000017, 204766.81379999965 451242.4494000003, 204760.9171999991 451246.6385000013, 204761.47899999842 451247.3960000016, 204763.6950000003 451249.9750000015, 204764.0639999993 451250.40399999917, 204766.17489999905 451253.48429999873, 204772.76999999955 451249.0520000011, 204773.61199999973 451246.58999999985))"
krib_legger.7,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,31E56791-6C44-4BDC-A55E-4856B8530929,,,,,,,,0,,"POLYGON ((204678.68499999866 451050.2190000005, 204678.89499999955 451049.1559999995, 204678.64499999955 451048.31599999964, 204678.0399999991 451047.16800000146, 204677.78599999845 451046.9479999989, 204676.8350000009 451046.30099999905, 204676.03200000152 451046.4050000012, 204674.30200000107 451046.86100000143, 204667.95800000057 451049.4539999999, 204667.1860000007 451049.3189999983, 204666.63309999928 451048.7934000008, 204663.63969999924 451049.80999999866, 204660.53440000117 451050.86459999904, 204661.79399999976 451055.1409999989, 204662.65300000086 451058.05799999833, 204663.01260000095 451059.0284000002, 204666.79459999874 451057.4952000007, 204669.2199999988 451056.51199999824, 204669.10200000182 451055.51999999955, 204669.32200000063 451055.2659999989, 204670.9549999982 451054.1020000018, 204678.1490000002 451050.7340000011, 204678.68499999866 451050.2190000005))"
krib_legger.8,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,C2969FF8-8B7C-4462-A2B0-1D399C82D8A1,,,,,,,,0,,"POLYGON ((204700.78200000152 451121.03400000185, 204708.64799999818 451116.69099999964, 204710.13699999824 451115.0920000002, 204710.2749999985 451114.01399999857, 204709.8669999987 451112.76099999994, 204709.3900000006 451112.0469999984, 204708.6160000004 451111.6739999987, 204707.26900000125 451111.5020000003, 204705.59899999946 451112.0460000001, 204697.4219999984 451116.5179999992, 204696.4389999993 451116.9600000009, 204695.6950000003 451117.01199999824, 204695.10399999842 451116.19999999925, 204690.4085999988 451118.6666000001, 204688.41299999878 451119.71499999985, 204690.20199999958 451123.1700000018, 204691.0309999995 451124.7710000016, 204692.77109999955 451127.60990000144, 204695.9373999983 451126.10909999907, 204700.18409999833 451124.09629999846, 204700.30900000036 451123.41699999943, 204700.27600000054 451122.19099999964, 204700.22399999946 451121.4470000006, 204700.78200000152 451121.03400000185))"
krib_legger.9,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,4E1693C8-0693-4124-A9A5-A4F68156DBA1,,,,,,,,0,,"POLYGON ((204732.45600000024 451185.87999999896, 204742.59899999946 451178.2270000018, 204744.30900000036 451176.7190000005, 204744.625 451175.8960000016, 204744.54300000146 451174.7270000018, 204744.20600000024 451173.73600000143, 204743.79300000146 451173.1770000011, 204743.19000000134 451172.9530000016, 204742.063000001 451172.8720000014, 204740.95100000128 451173.0029999986, 204740.08900000155 451173.65100000054, 204728.67799999937 451181.5, 204727.8350000009 451181.6649999991, 204727.47989999875 451181.4472000003, 204727.0540000014 451181.1860000007, 204721.7835999988 451185.2971000001, 204722.33799999952 451186.2049999982, 204723.08799999952 451187.4120000005, 204725.62900000066 451191.5029999986, 204730.65089999884 451188.45650000125, 204731.67660000175 451187.8343000002, 204731.4750000015 451187.1240000017, 204731.5940000005 451186.52800000086, 204732.45600000024 451185.87999999896))"
krib_legger.10,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Steenzetting / Stortsteen,Niet van toepassing,ON,IJssel,,5B5458FE-7588-4D0E-AF6E-2626BE5C5311,,,,,,,,0,,"POLYGON ((204824.7509999983 451290.52800000086, 204823.3049999997 451290.4690000005, 204821.53599999845 451291.1270000003, 204817.67599999905 451293.9609999992, 204809.66099999845 451299.9690000005, 204809.17709999904 451300.16910000145, 204808.5709999986 451300.4200000018, 204808.0399999991 451300.45699999854, 204802.564100001 451305.0100999996, 204805.11400000006 451308.3509999998, 204805.36899999902 451308.69200000167, 204807.07059999928 451310.9657000005, 204807.40150000155 451311.40780000016, 204814.04300000146 451306.87099999934, 204814.2749999985 451306.3740000017, 204815.5399999991 451305.3770000003, 204819.938000001 451302.61300000176, 204826.186999999 451298.063000001, 204827.28200000152 451296.91800000146, 204827.70899999887 451295.3929999992, 204827.71799999848 451294.00400000066, 204826.78299999982 451292.0940000005, 204824.7509999983 451290.52800000086))"
