Telpunt;opmerkingen;Weg;Telvak;vast/wissel;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
F001;Vanaf 2018: geen resultaten i.v.m. schade aan brug, daardoor geen fietsverkeer mogelijk;Paddepoelsterbrug;Tjardaweg - De Grazen;vast;283;264;570;577;447;;881;364;;;
F002;;Walfridusbrug;Sprikkenburg - Winsumerweg;vast;561;816;791;1009;944;961;1028;533;813;648;653
F003;;Noordzeebrug;Bedumerweg - Groningerweg;vast;2190;2008;2744;2810;2665;;2730;2048;2344;2207;994
F004;;Stadsweg;Oostersluisweg - Pop Dijkemaweg;vast;4668;5277;6140;6887;7074;5811;6849;6575;7617;6729;6315
F005;;Fietstunnel Papiermolen;Maaslaan - Papiermolenlaan;vast;1006;916;1152;1371;1327;1237;0;1633;1193;1272;1619
F006;;Hoornsediep w.z.;Muntinglaan- Hoornsedijk;vast;;4087;5085;5395;5411;5746;5796;5608;6858;7369;5090
F007;;Laan van de Vrijheid;Weg der VN - Laan van de Vrede;vast;;1899;1726;1778;1787;1742;1592;943;1441;1488;1144
F008;;Concourslaan;Paviljoenlaan - Paterswoldseweg;vast;;2214;4896;4511;5586;4950;4487;4870;5977;5878;5735
F009;;Laan 1940 - 1945;Verzetstrijderslaan - Concourslaan;wissel;2124;2504;;2777;;3059;;;3667;4084;
F010;;Fietstunnel Voermanstraat;Zuiderkruislaan - Wilhelminakade;vast;4287;4995;5046;6132;6263;5179;5810;7327;8506;6926;5812
F011;;Fietstunnel Kerklaan;Grote Beerstraat - Tuinbouwstraat;vast;6418;7829;7424;8382;9213;9172;11921;13074;13674;11771;7522
F012;;Fietstunnel Moesstraat;Mutua Fidesstraat - Kalverstraat;vast;8074;8574;8760;8782;9031;9792;10062;8466;9487;7610;5351
F013;;Zonnelaan;Saturnuslaan - Venuslaan;wissel;11969;10469;;8636;;9136;;;8046;8080;
F014;;Verlengde Hereweg;Thomsonstraat - Helper Westsingel;wissel;9890;9529;;8904;;8558;;;8118;6720;
F015;;Reitdiepsluis Sprikkenburg;Dorkwerderweg - Paddepoelsterbrug;wissel;169;;78;;347;348;665;288;312;;616
F016;;Professor Uilkensweg;Hoogeweg - Blauwborgje;wissel;855;;678;;915;;925;;586;;846
F017;;Siersteenlaan;Roegebos - Diamantlaan;wissel;1846;;1941;;2258;;2290;;1853;;1487
F018;;Bloemersmatunnel;Bloemersmaborg - Antwerpenweg;wissel;1020;1186;;1332;;1538;;;1486;1601;1236
F019;;Zuiderweg;Reddingiusweg - Halmstraat;wissel;1026;;1188;;1050;;961;;1072;;907
F020;;Aquamarijnpad;Anna Blamanstraat - Aquamarijnstraat;wissel;365;;439;;619;;742;;736;;622
F021;;Johan van Zwedenlaan;Hoediep - Bangeweer;wissel;950;;1178;;1263;;1261;;1610;;1304
F022;;Leegeweg;Anna Blamanstraat - Parelstraat;wissel;1623;;2187;;2226;;2333;;1964;;1480
F023;;Pleiadenlaan;Friesestraatweg - Zonnelaan;wissel;9072;;9431;;8298;;11165;;8989;;7155
F024;Fietstunnel opgeheven;Fietstunnel Meeuwerderweg;Meeuwerderweg - H.L. Wichersstraat;vast;802;767;782;2025;2664;2761;2705;;;;
F027;;Eikenlaan;Dierenriemstraat - Elzenlaan;wissel;8489;;11792;;12457;;13601;;13581;;8745
F101;;Jaagpad;Avondsterlaan - Blauwbrugje;vast;;;;2984;4632;4202;5426;5040;4946;4821;3556
F102;;Zonnelaan;Crematoriumlaan - Kometenstraat;vast;;;;9860;11551;10065;9774;10358;7276;6861;3276
F103;;Paddepoelsterweg;Crematoriumlaan - Duindoornstraat;vast;;;;11647;17293;15648;16477;19150;14345;17877;6011
F105;;Europad;Helperzoom - Spoorlijn;wissel;;;;3895;;6691;;;6431;6560;8668
F107;;Verlengde Lodewijkstraat;Esperantostraat - H.L. Wicherstraat;vast;;;;;;5579;5355;6242;6361;7802;9768
F170;;Kastanjelaan;Moesstraat - Parallelweg;vast;5823;6578;6334;6911;6953;6690;7816;6353;7105;6015;4424
F172;;Emmaviaduct;Emmasingel - Parkweg;wissel;6660;7085;;7433;;7686;;;9181;9899;
F176;;Gideonbrug;Gotenburgweg - Antwerpenweg;vast;419;493;515;709;290;666;699;770;787;821;838
F177;;Euvelgunnerbrug;Bornholmstraat - Gotenburgweg;vast;2052;2397;2442;3023;2879;2170;2119;2061;2147;2071;2111
F178;;Sontbrug;Sint Petersburgweg - Bornholmstraat;vast;;;;;;1151;1447;1453;1537;1626;2278
F181;;Hoendiep;Laan 1940-1945 - Atoomweg;vast;4014;3830;4186;4441;4660;4712;4668;3973;4753;5775;5978
F185;;Rijksweg;Florakade - Pop Dijkemaweg;vast;4510;5902;5746;5704;5678;6267;5575;4839;5626;4774;4714
F186;;Eikenlaan;Iepenlaan - Van Oldebarneveltlaan;vast;9056;9385;8773;10382;10504;10835;10555;9080;10660;9139;7634
F187;;Gerrit Krolbrug;Ulgersmaweg - West Indischekade;vast;12956;13077;13651;14804;14783;15839;14648;12689;15630;13114;14725
F189;;Prinsesseweg;Grote Beerstraat - Stadhouderslaan;vast;7772;9483;8140;7904;7051;8016;8838;8325;6262;5648;3845
F203;;Brailleweg;Parkweg - Vondellaan;vast;2023;2093;2759;3017;2992;4172;3190;4061;3651;2854;5029
F204;;Vondellaan;Maaslaan - Brailleweg;vast;2785;2773;2694;2774;3209;2766;2840;3137;3651;3367;
F213;;Petrus Campersingel;Kooikerplein - J.H. Jansenstraat;wissel;3971;4313;;4334;;5409;;;5838;5520;
F237;;Verlengde Hereweg;Esserweg - Dilgtweg;vast;4974;6130;6031;6479;5766;5326;5186;5886;4692;4479;4324
F240;;Veenweg;Van Swietenlaan - Ter Borchlaan;vast;1918;1184;1695;2310;1663;2149;2363;2095;2091;2016;2097
F243;;Friesestraatweg;Laan 1940-1945 - 2e Spoorstraat;vast;5790;6659;5745;7165;8241;7770;6391;6471;7183;7509;5671
F245;;Peizerweg;Admiraal de Ruyterlaan - Koeriersterweg;vast;6691;6707;6983;7506;8549;7633;6939;7345;8893;9620;8554
F274;;Oosterhavebrug;Damsterdiep - Griffeweg;vast;6134;5479;5773;5770;6980;6887;6722;;6942;7078;7956
F275;;Berlagebrug;Sontweg - Damsterdiep;vast;;;2983;2996;4078;4415;4355;;4394;4509;4463
F303;;Groningerweg;Beneluxweg - Boterdiep;vast;1305;1297;1546;1546;1849;1350;2378;1351;1845;1596;1268
F304;;Peizerweg;Zuiderweg - Gemeentegrens;vast;1022;927;1050;1235;780;995;905;;1001;1107;1024
F438;;Duinkerkerbrug;Duinkerkerstraat - Winschoterdiep;vast;354;445;310;441;929;834;708;639;588;605;730
F460;;Griffeweg;Meeuwerderweg - Europaweg;vast;5423;5984;5609;5148;6141;6569;6456;;6784;6515;7440
