Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Mei;;;;3;3
1.2.3. Sloten Service B.V.;2;1;;;2
10Tree Projects;;;;1;1
2ndSense B.V.;;;;2;2
4some Technisch Beheer B.V.;1;;;;1
5Consultancy;;;;2;2
Aakwadraat Networks B.V.;2;;;;2
Aalbers B.V.;1;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;1;;;;1
Aannemingsbedrijf H. de Boer Muiderberg B.V.;;;;2;2
Aannemingsbedrijf Vermeulen Benthuizen B.V.;1;;;;1
Aannemingsmaatschappij Bos B.V.;3;;;;3
Aannemingsmaatschappij Markus B.V.;;;;4;4
Aannemingsmaatschappij P.A. Wiersma B.V.;1;;;;1
Aardgasservice Noord B.V.;;1;;;1
Aarts & Co. Kant.- en Projectinrichters B.V.;1;;;;1
Aatop personeelsdiensten B.V.;;;;2;2
AB Vakwerk Agri B.V.;1;;;;1
ABT B.V.;;;;2;2
Abus Kraansystemen B.V.;1;;;;1
'A'dam Ports Assoc.' v/h de Amsterdamse Haven;;;;1;1
ADC Archeologisch Diensten Centrum N.V.;;;;2;2
Advies Management & Training B.V.;;;;1;1
Adviesbureau C.G.M. Schrijvers B.V.;;;;1;1
Adviesbureau G. Dekker;;;;2;2
Adviesbureau Gyroscoop;;;;1;1
Adviesbureau Kiene B.V.;;;;2;2
Adviesbureau STATEMA B.V.;;;;2;2
Adviesburo Van Beest;;;;3;3
Advin B.V.;2;;;5;5
Advitec B.V.;;;;2;2
AEVES B.V.;1;;;;1
Agilent Technologies Netherlands B.V.;1;;;5;5
Agmi Traffic B.V.;;;;1;1
AH to go Eindhoven Airport;;;;2;2
Ahrend Inrichten;1;;;;1
Alarma 33;5;;;;5
Alcoo B.V.;1;;;;1
Aloys Roemaat Transport B.V.;;;1;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;;;2;2
Alvero Kantoormeubelverhuur B.V.;4;1;;;4
Ambius B.V.;2;;;;2
André's Bloemen B.V.;;1;;;1
anoniem;5;1;;4;5
Antargaz Nederland B.V.;;1;;;1
Antea Inspection B.V.;2;;;6;7
Antea Nederland B.V.;;;;7;7
Ap Keizer Reinigingstechnieken V.O.F.;;;;1;1
Apoera;1;;;;1
Aquapur;;1;;;1
AquaTerra-KuiperBurger;;;;2;2
A-Quin B.V.;;;;3;3
ARA Groep B.V.;;;;1;1
Aracor Holding B.V.;;;;4;4
ARCADIS Nederland;2;1;;6;6
ARCADIS Nederland B.V.;;2;;7;7
Arcadis Planrealisatie B.V.;;;;2;2
Arch.- & Konstruktieburo Van Rossum V.O.F.;;;;3;3
ARS Traffic & Transport Technology B.V.;;;;7;7
Art Centre Delft;1;;;;1
Artona Asset Management B.V.;;;;3;3
Arup B.V.;;;;5;5
Arup-Nebest;;;;2;2
Asecos B.V.;1;;;;1
Asfalt Combinatie Oost-Nederland B.V.;1;;;;1
ASSA ABLOY Nederland B.V.;1;;;;1
At Osborne B.V.;3;;;2;4
Atelier Groenblauw / Opmaat;;;;1;1
Atlas Schilder- en Onderhoudsbedrijf;2;;;;2
Atos Consulting N.V.;;4;;;4
Atos Nederland B.V.;;2;;;2
Augusta Vastgoed Holding B.V.;;;;1;1
AutomotiveNL B.V.;;;;1;1
Aviste B.V.;1;;;;1
Azbil Telstar Benelux B.V.;1;;;;1
B & V Advies B.V.;;;;2;2
B.S.I. Beheer B.V.;;;;1;1
B.V. Aannemersbedrijf Scheurer Amsterdam;2;;;;2
B.V. HAEVER!;;;;1;1
B.V. Steenfabriek Huissenswaard;;;;2;2
Baac Bouwh. Archeol. Archit. en Cultuurhist.;;;;1;1
Backstage AV B.V.;1;;;;1
Bakkerij Brokking;;;;1;1
Ballering Tankstation;;3;;;3
BAM Accommodatie Asset Management B.V.;4;;;;4
BAM Bouw en Techniek B.V.;8;;;;8
BAM Infraconsult B.V.;;;;2;2
BAM Wegen Projecten;;;;5;5
Bastion Hotel Utrecht B.V.;;;;1;1
Bastion Hotelgroep B.V.;1;;;;1
BBA Binnenmilieu, Feelgoodbuild. Consultants;1;;;;1
BCC (Elektro-Speciaalzaken) B.V.;1;;;;1
BE Engineering;;;;2;2
Beheer&Water2 B.V.;;1;;;1
Bejan Engineering B.V.;;;;2;2
Belast./financieel adviespraktijk Mellendijk;;;;2;2
Benegas;;2;;1;2
Bentvelzen en Jacobs Demontage B.V.;;;;1;1
Berkx maatwerk voor woning en bedrijf;1;;;;1
Beudeker Makelaars;;;;2;2
Beurs van Berlage C.V.;;;;1;1
BG Holding;1;;;;1
Biljoen Groen Velp N.V.;3;;;;3
Bilthoven Biologicals B.V.;2;;;;2
Bingham Schiedam B.V.;1;;;;1
BIRD Invest B.V.;;;;2;2
Bit Holding B.V.;;2;;;2
Blansjaar Beheer B.V.;1;;;;1
Bloc B.V.;;;;1;1
Bloembinderij De Korenschoof;;;;1;1
Blue Bear Energy B.V.;;1;;;1
BMT ARGOSS B.V.;;;;2;2
Boertjes Makel. en Financiële Diensten B.V.;;;;1;1
Boeve en Hop Houthandel B.V.;2;;;;2
Bolwerk Communications B.V.;;;;1;1
BonoTraffics B.V.;;;;4;4
Booms & Kuipers technisch adviesbureau B.V.;1;;;;1
Boot Organiserend Ingenieursburo B.V.;;;;2;2
Boskalis Nederland B.V.;;;;4;4
Bouter B.V.;1;;;;1
Bouwbedrijf A.H. Visser en Zn. B.V.;1;;;;1
Bouwbedrijf L. v.d. Ven B.V.;1;;;;1
Bouwbedrijf Meliskerke B.V.;3;2;;;3
Bouwgroep Peters B.V.;1;;;;1
Bouwvisie Geo Techniek B.V.;;;;7;7
Bovenregionaal kantoor;;2;;;2
BP Europa SE - BP Nederland;;;;2;2
Brabant Water N.V.;;2;;;2
Brammer Nederland B.V.;1;1;;;1
Braza B.V.;;;;1;1
Breeschoten & Vernooij B.V.;;;;2;2
Breijer Contractonderhoud B.V.;2;;;;2
Brood & Banketbakkerij Prins B.V.;;;;1;1
Bruining Advies;;;;1;1
Bruxelles aan Zee B.V.;;;;1;1
Bruynzeel Home Products B.V.;2;;;;2
BTD Beveiligingstechniek Dordrecht B.V.;1;;;;1
Buiting Advies;1;;;;1
Buko Bouw & Winkels B.V.;1;;;;1
Bureau Blueland;;;;2;2
Bureau Drift;;;;2;2
Bureau Waardenburg B.V.;;;;1;1
Buro Desk;2;;;;2
By Leon;1;;;;1
C.D. de Haan B.V.;;;;3;3
Café Restaurant Dauphine;;;;1;1
Cals Consultancy;;;;2;2
Camelot Vastgoedbeheer B.V.;;;;1;1
Camping Het Eibernest B.V.;;;;2;2
Campus SUI MOVEO B.V.;;;;6;6
Canast B.V.;;;;2;2
CAPGEMINI NEDERLAND B.V.;5;;;;5
Carrier Transicold, Vego Trans;1;;;;1
Centric Financial Professionals B.V.;;;;2;2
CertiQ B.V.;;1;;;1
CGI;;;;3;3
Charta Software;;;;2;2
Chubb Fire & Security Alkmaar;3;;;;3
CinéTon Videoproducties;;;;1;1
Climaintenance B.V.;2;;;;2
COHAD;;2;;;2
Comcept communicatie & marketing;;;;2;2
COMeG B.V.;2;;;;2
Comfortuin Denijs B.V.;2;;;;2
COMPAREX Nederland B.V.;;;;2;2
Compass Infrastructuur Nederland (CIN) B.V.;;;;2;2
Concern.nu B.V.;2;;;;2
Conclusion Implementation B.V.;;;;2;2
Concorde Group B.V.;;;;1;1
Configo Management B.V.;;2;;;2
Connection Systems B.V.;;;;2;2
Conrad Electronic Benelux B.V.;1;;;;1
ContrAll Inspectie B.V.;1;;;;1
