OBJECTID,DESCR,RSURF_DESC,V_MCDAY,TOTINTENS,PFLOWDAY,PFLOWEVE,PFLOWNI,PFLOWLVDAY,PFLOWLVEVE,PFLOWLVNI,PFLOWLTDAY,PFLOWLTEVE,PFLOWLTNI,PFLOWHTDAY,PFLOWHTEVE,PFLOWHTNI,Shape__Length,GlobalID
1,Rondweg N331,DAB (Ref.),50,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,29.3548111930564,0269b230-9203-46e8-901e-6ac34c89c276
2,Rondweg N331,DAB (Ref.),50,6346,6.57,2.93,1.18,88.3,93.8,89.1,8.5,4.1,7.7,3.2,2.1,3.2,168.96083148882,fbc94886-fa24-4191-856b-bf24adfffee0
3,Rondweg N331,DAB (Ref.),50,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,30.002712072039,ce4d2971-2803-4ed6-bcd9-5edb2a11eb33
4,Rondweg N331,DAB (Ref.),50,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,151.528604635624,fdd38f03-253b-4186-8064-c695fedd160f
5,Rondweg N331,DAB (Ref.),50,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,132.859439179692,547ff6c4-b5e5-4413-8605-e387557dac83
6,Rondweg N331,DAB (Ref.),50,6408,6.57,2.94,1.18,87.51,92.47,88.22,9.32,5.46,8.61,3.17,2.07,3.17,136.428702065487,2ffd7dc3-adbf-43bd-9e97-24dc9e0dc63b
7,Rondweg N331,DAB (Ref.),50,13404,6.61,2.98,1.1,88.62,95.06,89.35,7.99,3.55,7.17,3.39,1.39,3.48,65.3026287087913,2a39d1f8-1ec8-4026-b843-bd924c549e0f
8, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3485197570289,2d22fec4-8c1e-4543-87c6-d426201feaec
9, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0715776987833,5d6f0a79-dd8b-4225-9d0f-fe28a32dff9b
10,Rondweg N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,60.0686878647406,b0599696-e2e3-4412-a8e0-6efdfcbadfd5
11, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8698633103894,b014c162-5980-4b7f-b911-911549735a5f
12, ,DAB (Ref.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7172177361875,dec5e2b1-6fb5-4f01-8c78-8c211b3b9a36
13,Stationsweg N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,35.4353683405261,ff4ebf7a-2bf6-487d-ab77-ce4f089a07d2
14,Nieuweweg,Klinkers,30,269,6.96,2.84,0.66,84.95,75.95,70.67,14.85,23.89,29.12,0.2,0.15,0.21,30.04420582473,7824f55c-2886-47dc-8b52-0cf85ef81e08
15,Hasselterdijk N331,DAB (Ref.),50,13382,6.61,2.97,1.1,88.75,95.29,89.51,7.85,3.32,7,3.39,1.39,3.49,25.0905919627023,0f24f600-9cb1-423c-953e-f4f537f54b78
16,Marktstraat,Klinkers,30,2248,7.05,2.57,0.64,92.7,93.77,91.02,6.19,5.28,7.62,1.11,0.95,1.36,8.6323823254896,f80c3f95-bb4c-4350-a8ba-007006415502
