Ministerie;Handelsnaam;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
AZ;(BBP) Beerens-Business Press B.V.;;1;;;;;1
AZ;1848 B.V.;;1;;;;;1
AZ;A.P. van Staveren;1;;;;;;1
AZ;About Flowers;;;;1;;;1
AZ;AD NieuwsMedia B.V.;;1;;;;;1
AZ;Adfo Groep B.V.;;1;;;;;1
AZ;Adriaan Blom Bloemenspecialist;;;;1;;;1
AZ;Adv.bur.;1;;;;;;1
AZ;Adviesbureau ExPRtease B.V.;2;;;;;;2
AZ;Adviesbureau Hollander en van der Mey B.V.;4;;;;;;4
AZ;Alpha.One B.V.;1;;;;;;1
AZ;Amsterdam University Press AUP B.V.;;1;;;;;1
AZ;Anema Fotografie;;;;;;1;1
AZ;ANP Photo;1;;;;;6;6
AZ;ANWB B.V.;1;;;;;;1
AZ;Ardis Organisatieontwikkeling B.V.;;;;;1;;1
AZ;Arenda Oomen Fotografie;;;;;;1;1
AZ;Arvato Benelux B.V.;2;;;;;;2
AZ;Audax Publishing B.V.;;1;;;;;1
AZ;Awareness B.V.;1;;;;;;1
AZ;B.V. Weekbladpers;;1;;;;;1
AZ;B+B Vakmedianet B.V.;;1;;;;;1
AZ;Baltzer Science Publishers B.V.;;1;;;;;1
AZ;BBK/Door Vriendschap Sterker B.V.;1;;;;;;1
AZ;BC 20 B.V.;;;;1;;;1
AZ;Beeld en Geluid;;;;;1;;1
AZ;Betteke van Ruler;;;;;1;;1
AZ;Bex*communicatie;1;;;;;;1
AZ;Bilderberg Landgoed Lauswolt;;;;;1;;1
AZ;Binnenlands Bestuur B.V.;;1;;;;;1
AZ;BKB;3;;;;;;3
AZ;Bob de Ronde en Partners;;;;;1;;1
AZ;Bobbe International B.V.;;1;;;;;1
AZ;Boekhandel Van Stockum Belinfante & Coebergh;;1;;;;;1
AZ;Boekhandel voorheen W.J. van Hoogstraten B.V.;;1;;;;;1
AZ;Boekmanstichting;;1;;;;;1
AZ;Bohn Stafleu Van Loghum;;1;;;;;1
AZ;bol.com B.V.;;1;;;;;1
AZ;Bongaloo;;;;;;1;1
AZ;Boom uitgevers Den Haag;;1;;;;;1
AZ;BrandDeli C.V.;4;;;;;;4
AZ;Bureau BlauwGeel B.V.;1;;;;;;1
AZ;Bureau Zuidema B.V.;;;;;2;;2
AZ;Buro voor Grafische;1;;;;;1;1
AZ;Carat Nederland B.V.;4;;;;;;4
AZ;CDA-bestuurdersvereniging;;1;;;;;1
AZ;Cees Wouda FOTOGRAFIE;;;;;;1;1
AZ;Centraal Boekhuis B.V.;;1;;;;;1
AZ;Cimon B.V.;;;;;;2;2
AZ;Commerciële Radio Nederland;3;;;;;;3
AZ;Communicatie Baas;;;;;1;;1
AZ;Concorde Group B.V.;;;2;;;;2
AZ;Considerati B.V.;;;;;;1;1
AZ;Coöperatief Congrestolkensecretariaat UA;;;1;1;;1;1
AZ;Cottontree Mer by Gert-Jan;;;;1;;;1
AZ;De Franse Stap Culinair;;;;1;;;1
AZ;De Gelderlander;;1;;;;;1
AZ;De Groene Amsterdammer weekbl. voor Nederland;;1;;;;;1
AZ;De Helling;;1;;;;;1
AZ;De Hooge Vuursche B.V.;;;;;1;;1
AZ;De Staat van het Web B.V.;1;;;;;;1
AZ;De Volkskrant B.V.;;1;;;;;1
AZ;De Wittenburg;;;;1;;;1
AZ;Dedicon B.V.;1;;;;;;1
AZ;deLex Media en Management B.V.;;1;;;;;1
AZ;Deloitte Consulting B.V.;1;;;;;;1
AZ;Diner Thuis;;;;1;;;1
AZ;Discountoffice.nl B.V.;1;;;;;;1
AZ;Dokkumer Vlaggen Centrale B.V.;;;;1;;;1
AZ;Duidelijke Taal tekstproducties;;;;;;1;1
AZ;Dutch Photo Press;;;;;;1;1
AZ;Dutch Television Services B.V.;;;;;1;;1
AZ;DutchTapestries;;;;1;;;1
AZ;Editor E.;;;;;;2;2
AZ;Elements Interactive;2;;;;;;2
AZ;Elsevier Congressen;;1;;;;;1
AZ;Erdee Media B.V.;;1;;;;;1
AZ;Ergo B.V.;3;;;;;;3
AZ;Erik Jansen Fotografie;;;;;;1;1
AZ;ESB B.V.;;1;;;;;1
AZ;Exceed Jazz B.V.;1;;;;;;1
AZ;F & P Media B.V.;2;;;;;;2
AZ;Ferro;3;;;;;;3
AZ;Fotogeniek;;;;;;1;1
AZ;Fotografie : Paul Voorham;;;;1;;1;1
AZ;Fotopersbureau Peter Smulders B.V.;;;;;;1;1
AZ;Frank van Beek Fotografie;;;;;;1;1
AZ;Genootschap Onze Taal;;;;;;1;1
AZ;GfK Intomart B.V.;2;;;;;;2
AZ;GroupM B.V.;6;;;;;;6
AZ;Guido de Brès Stichting;;1;;;;;1
AZ;H. Hendriks;;;;;;1;1
AZ;Haags Historisch Museum;;1;;;;;1
AZ;Hans de Bruijn Training & Advies;;;;;1;;1
AZ;HelloSparkle B.V.;;;;;1;;1
AZ;Hendrik-Jan van Beek Reclame en Fotografie;;;;;;1;1
AZ;Het Financieele Dagblad B.V.;;1;;;;;1
AZ;Het Parool B.V.;;1;;;;;1
AZ;Hogeschool Utrecht;1;;;;;;1
AZ;Hollandse Hoogte B.V.;2;;;;;1;2
AZ;Homeij Oisterwijk B.V.;;;;1;;;1
AZ;Hotel Des Indes B.V.;;;;1;;;1
AZ;Hotel/Restaurant Corona;;;;;1;;1
AZ;HOTPOT AMSTERDAM;;;;;;1;1
AZ;HOTTRAFFIC B.V.;3;;;;;;3
AZ;House of Lords B.V.;;;;3;;;3
AZ;HTM Specials B.V.;;;;;;1;1
AZ;Huis ten Haghe;;;;1;1;;1
AZ;I Shoot People;;;;;;1;1
AZ;Ideate;2;;;;;;2
AZ;In2Content B.V.;2;;;;;2;3
AZ;in60seconds B.V.;2;;;;;;2
AZ;Indonesia Specialist Antara;;;1;;;;1
AZ;ING Bank N.V.;;1;;1;;1;1
AZ;Insites Consulting;1;;;;;;1
AZ;Intermax outsourcing;1;;;;;;1
AZ;Intomart GfK Group B.V.;;;;;;2;2
AZ;Ipsos B.V.;2;;;;;;2
AZ;Jan Schinkelshoek B.V.;;;;;;1;1
AZ;Julian Ross;;;1;;;1;1
AZ;justK;;;;;1;;1
AZ;JVDT B.V.;;;;;1;1;1
AZ;Kauffmann-Frankenhuysen-Corona Bloemisten;;;;1;;;1
AZ;Kees Kaptein Teksten;1;;;;;;1
AZ;Kesselskramer;6;;;;;;6
AZ;Kluwer;;1;;;;;1
AZ;Kris Kras Design B.V.;1;;;;;;1
AZ;L.H. Punt Heijning;;;1;;;;1
AZ;Link Consult;;;;;1;;1
AZ;Maguise Partycatering;;;;1;;;1
AZ;Mainpress B.V.;;3;;;;;3
AZ;Maison van den Boer;;;;1;;;1
AZ;Manchu Media;;;;;1;;1
AZ;Mare Holland B.V.;2;;;;1;;2
AZ;Marjan Slob;;;;;;2;2
AZ;Marjon van den Broek Visagie;;;;;;1;1
AZ;Marketresponse Nederland B.V.;2;;;;;;2
AZ;MarktOnderzoekAssociatie.nl;1;;;;;;1
AZ;Martijn Beekman Fotografie;;;;;;1;1
AZ;Measuremail B.V.;1;;;;;;1
AZ;Media Academie B.V.;1;;;;2;;2
AZ;Media Benchmark B.V.;2;;;;;;2
AZ;Mediagraphix Studio Smulders;;;;;;1;1
AZ;Mediaxecution B.V.;1;;;;;;1
AZ;Memo2 B.V.;4;;;;;;4
AZ;Millers;1;;;;1;;1
AZ;Monique Cambier Make-Up en Theatergrime;;;;;;1;1
AZ;Moukaddim;;;;;1;;1
AZ;Nationale Beeldbank B.V.;1;;;;;;1
AZ;NDC mediagroep B.V.;;1;;;;;1
AZ;Nederlands Dagblad B.V.;;1;;;;;1
AZ;NEVI-Purspective B.V.;;1;;;;;1
AZ;New Babylon Meeting Center B.V.;;;;;1;;1
AZ;NFGD Zoetermeer B.V.;;;1;;;;1
AZ;NIBHV B.V.;;1;;;;;1
AZ;Novagraaf IP NL B.V.;1;;;;;;1
AZ;NPO;2;;;;;;2
AZ;NRC Handelsblad Weekeditie voor buitenland;;1;;;1;;2
AZ;Objectief;3;;;;;;3
AZ;OCLC B.V.;;1;;;;;1
AZ;OmnicomMediaGroup Nederland B.V.;4;;;;;;4
AZ;Omroep Reclame Nederland Sales C.V.;4;;;;;;4
AZ;ONEforONE B.V.;;;;1;;;1
AZ;Orange Otters;;;;;1;;1
AZ;Ordina Beheer & Outsourcing;3;;;;;;3
AZ;P&S Entertainment;;;;1;;;1
AZ;P. Siderius;;;;;1;;1
AZ;P/F;;1;;;;;1
AZ;Paagman Den Haag B.V.;;1;;;;;1
AZ;Paul Grijpma Media;;;;;;1;1
AZ;Pauline Tjong-Ayong online advies;2;;;;;;2
AZ;PBLQ B.V.;;;;;1;;1
AZ;Phil Nijhuis Fotografie;;;;;;1;1
AZ;Photo Republic;;;;;;1;1
AZ;Primera Van der Zwaan;;1;;;;;1
AZ;Printerette Digishop B.V.;;;;;;1;1
AZ;ProCreative;;;;1;;;1
AZ;Prof. dr. P.H.A. Frissen Bestuurskundig Adv.;;;;;1;;1
AZ;Prof. mr. B.M. Teldersstichting;;1;;;;;1
AZ;Proven Partners B.V.;;;;;1;;1
AZ;Publicis Amsterdam;7;;;;;;7
AZ;Publiek Denken;;1;;;;;1
AZ;R. de Kok B.V.;;;;;1;;1
AZ;R.J.B. van Rossum Holding B.V.;;;;;;1;1
AZ;R.J.W. Hulst Agenturen;;;;1;;;1
AZ;Radio 10 B.V.;3;;;;;;3
AZ;Radio 538 B.V.;5;;;;;;5
AZ;Radio Veronica 103 FM B.V.;4;;;;;;4
AZ;RadioCorp B.V.;3;;;;;;3
AZ;Regina Bloemsierkunst;;;;1;;;1
AZ;Rene Verleg Fotografie;1;;;;;1;1
AZ;Renée Broekmeulen Tekst & Training;;;;;1;;1
AZ;Restaurant De Basiliek B.V.;;;;1;;;1
AZ;Richard Bastiaans Grafisch Ontwerp;;;;;;1;1
AZ;Rikkers Infographics;;;;;;1;1
AZ;Ristorante Trattoria Impero Romano;;;;1;;;1
AZ;Robin Utrecht Fotografie;;;;;;1;1
AZ;Room for Beauty;;;;1;;;1
AZ;Roorda Reclamebureau B.V.;7;;;;;;7
AZ;Royal Delft;;;;1;;;1
AZ;RTL Nederland B.V.;7;;;;;;7
AZ;Sabel Online B.V.;1;;;;;;1
AZ;SBS Broadcasting B.V.;7;;;;;;7
AZ;Schinkelshoek & Verhoog B.V.;1;;;;;;1
AZ;Sdu Uitgevers B.V.;;1;;;;;1
AZ;Simone Langeweg Tekst- en Communicatieadvies;;;;;;1;1
AZ;Sky Radio B.V.;5;;;;;;5
AZ;Slagerij Dungelmann B.V.;;;;1;;;1
AZ;SLAM! FM;2;;;;;;2
AZ;Soundfocus B.V.;;;;;;1;1
AZ;St. Nationaal Comite 4 en 5 Mei;;1;;;;;1
AZ;Starcom Nederland;3;;;;;;3
AZ;Stby B.V.;;;;;1;;1
AZ;Stg. Koninklijk Nederlands Geleidehondenfonds;;;;1;;;1
AZ;Stg. Nat. Instituut voor Budgetvoorlichting;;1;;;;;1
AZ;Stg. Org. Redd.w. & E.H.B.O. Het Oranje Kruis;;1;;;;;1
AZ;Stichting Christen Unie;;1;;;;;1
AZ;Stichting Ether Reclame;2;;;;;;2
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;;;1;1;;1
AZ;Stichting Korrelatie;2;;;;;;2
AZ;Stichting MOVISIE;;1;;;;;1
AZ;Stichting Nederlands Gebarencentrum (NGc);1;;;;;;1
AZ;Stichting Nexus Instituut;;1;;;;;1
AZ;Stichting Njcm-Boekerij;;1;;;;;1
AZ;Stichting Reclame Code;1;;;;;;1
AZ;Stichting Spaarnestad Photo;;;;;;1;1
AZ;Stichting Tassenmuseum Hendrikje;;;;1;;;1
AZ;Studio A Mediamelange;2;;;;;;2
AZ;Studio Lakmoes;;;;;;1;1
AZ;T.D. Hymans;;;;;;1;1
AZ;Taalstrategie;;;;;1;;1
AZ;Taylor & Francis Books Ltd.;;1;;;;;1
AZ;Telegraaf Media Groep N.V.;;1;;;;;1
AZ;Textcetera B.V.;;;1;;;;1
AZ;The Big Story;;;;;1;;1
AZ;The text consultant;;;1;;;1;1
AZ;Theater in De Steeg;;;;;1;;1
AZ;Things To Make And Do B.V.;;;;;;1;1
AZ;TMG Landelijke Media B.V.;;1;;;;;1
AZ;TNS Nipo B.V.;6;;;;;;6
AZ;Tolk Nederlandse;1;;;;;;1
AZ;Tom van Dijk;;;;;1;1;1
AZ;Tonco Modderman Training & Advies;;;;;1;;1
AZ;Topbloemen Nederland B.V.;;;;1;;;1
AZ;Totaal Consultancy;1;;;;;;1
AZ;Trouw B.V.;;1;;;;;1
AZ;UbachsWisbrun/JWT;5;;;;;;5
AZ;Uitgeverij Paris B.V.;;1;;;;;1
AZ;Uitgeverij The Optimist B.V.;;1;;;;;1
AZ;Uitgeverij van Gennep B.V.;;1;;;;;1
AZ;Universal Media B.V.;1;;;;;;1
AZ;V.O.F. Artis Causa;;;;1;;;1
AZ;Valerie Kuypers Fotografie;1;;;;;1;1
AZ;Validators B.V.;2;;;;;;2
AZ;Valsplat B.V.;;;;;1;;1
AZ;Van der Linde Holding B.V.;;;;2;;;2
AZ;VANWAARDE Documentenwacht B.V.;;1;;;;;1
AZ;VCK Travel B.V.;;;;;1;;1
AZ;Veen media;;1;;;;;1
AZ;Veldkamp B.V.;2;;;;;;2
AZ;Vereniging van Milieuprofessionals;;;;;1;;1
AZ;Vereniging van Vertaalbureaus in Nederland;;;2;;;1;2
AZ;Vereniging voor Bestuurskunde;;1;;;1;;1
AZ;Vereniging voor Overheidsmanagement;;;;;;1;1
AZ;Veronica/Jetix Text;2;;;;;;2
AZ;Vertaalbureau Perfect B.V.;;;;;;1;1
AZ;Villamedia Uitgeverij B.V.;;1;;;;;1
AZ;Virtumedia B.V.;;1;;;;;1
AZ;ViveleDon B.V.;2;;;;;;2
AZ;W. Louwes;1;;;;;;1
AZ;Wiebe Kiestra Fotografie;1;;;;;1;1
AZ;Winkwaves B.V.;2;;;;;;2
AZ;Wizards Of Oz;;;;;1;;1
AZ;Wolf Productions B.V.;;1;;;;;1
AZ;Wolters Kluwer Nederland B.V.;;1;;;;;1
AZ;Xerox (Nederland) B.V.;2;;;;;;2
AZ;Zalen Pakhuis de Zwijger B.V.;;;;;1;;1
AZ;ZZakenPartner B.V.;;;;;;2;2
BZ;Aanbestedingskalender B.V.;;1;;;;;1
BZ;Abonnementenland;;1;;;;;1
BZ;Alpha.One B.V.;;;;;;1;1
BZ;ANP Photo;;;;;;1;1
BZ;B+B Vakmedianet B.V.;;1;;;;;1
BZ;Bart Maat Fotografie;;;;;;1;1
BZ;Berenschot Groep B.V.;;;;;;2;2
BZ;Bex*communicatie;;;;;;2;2
BZ;Bobbe International B.V.;;1;;;;;1
BZ;Boom uitgevers Amsterdam B.V.;;1;;;;;1
BZ;Brain Box Mediatraining B.V.;;;;;;1;1
BZ;Buitenlandse Persvereniging in Nederland;;1;;;;;1
BZ;Buro voor Grafische;;;;;;2;2
BZ;CGB Services;;1;;;;;1
BZ;Claire Werkt!;;;;;;1;1
BZ;Claranet Benelux B.V.;;1;;;;;1
BZ;COMPAREX Nederland B.V.;;3;;;;2;4
BZ;Daleman Lijsten;;;;;;1;1
BZ;Dutch Icon;;;;;;1;1
BZ;Facilion B.V.;;;;;;2;2
BZ;Fotografie Jurgen Huiskes;;;;;;1;1
BZ;In2Content B.V.;;;;;;2;2
BZ;in60seconds B.V.;;;;;;2;2
BZ;ING Bank N.V.;;1;;;;1;1
BZ;Kick Smeets Fotografie;;;;;;1;1
BZ;Koning Harder - concept & ontwerp;;;;;;1;1
BZ;Koolhaas Concepts B.V.;;;;;;1;1
BZ;LexisNexis Benelux;;;;;;4;4
BZ;Logeion;;1;;;;;1
BZ;Mare Holland B.V.;;;;;;2;2
BZ;Maters & Hermsen Journalistiek B.V.;;;;;;1;1
BZ;MichielB.com;;;;;;1;1
