Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
2Coolmonkeys;;;2;;;;;2
Accenture;;;;;;;5;5
Aenova Software;1;1;;;;;1;1
All Solutions;;;;;;;1;1
Archie Europe;;;3;;;;;3
Asp4All Hosting;;;;;;;5;5
Atos;;;1;;;;;1
Between;;;5;;;;;5
BPI Services;;;2;;;;;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;;;3;;3
Capgemini;;;;;;3;;3
Cendris (incl. Cendris Datacosulting);;;;1;;;;1
Centersound BV;;;1;;;;;1
CGI Group (incl. Logica CMG);;;7;5;;;3;7
Clara.Net;;;;;;1;;1
Clipit Nieuws;;;;1;;;;1
CM Club Message Benelux (incl. Callfactory);;;1;;;;;1
Comparex (incl. PC-Ware);3;;6;4;2;;;6
Coney;1;;;;;;;1
CTM Solutions;;1;;;;;;1
Defacto Software;;;3;;;;;3
Dehora Consultancy Group;;;2;;;;;2
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;;;;1;;1
Docspro;;;1;;;;;1
Dohsbase;;;;1;;;;1
EAL Electronic Application Laboratory;;;4;;;;;4
Enable - U;;;1;;;;;1
Evers Research & Training;;;1;;;;;1
Falkplan-Andes;;;;1;;;;1
Fox-IT, Crypto;3;1;;3;;;;4
Fujitsu Technology Solutions (vh Fujitsu Siemens);1;;;;;;;1
GroupSupport.Com;;;2;;;;;2
GSM Westland;;;;;;1;;1
HOEZO! Projectmanagement en Congresorganisatie;;;1;;;;;1
HP Hewlett Packard (incl. Autonomy, Verity);1;;;;;;;1
HSB Identification;;;1;;;;;1
ID Ware International;;;2;;;;;2
Info Support;;;3;;;;;3
Information Builders;;;1;;;;;1
Inkasso-Unie;;;;;;1;;1
Innovero Software Solutions (incl. FormDesk);;;;1;;;;1
InterConnect Services;;;1;;;;;1
Internlnet;;;;1;;;;1
IntoDQ BV;;;1;;;;;1
IV Groep (incl. Infra, Software, Oil&Gaz);2;;2;1;;;;2
iWelcome;;;1;;;;;1
Knowledge Exchange (incl. Howardshome, Finchline Media);;;1;;;;;1
Kodision;;;2;;;;;2
KPN (incl. Getronics, PTT Telecom);;;;;;2;;2
KPN Lokale Overheid (vh Gemnet);;;;;;1;;1
Lexis Nexis;;;;2;;;;2
LIFT Limburgs Interim Functievervullingstrajecten;;;;1;;;;1
Lyreco Nederland (vh Ahrend Office Products);1;;;;;;;1
Madison Gurkha;;;;1;;;;1
Mavim Holding;;;3;;;;;3
Metis IT;;;6;;;;;6
Misco Solutions (vh SCC Services);2;;;;;;;2
NH Hotels (incl. Nhow hotels);;;;;;1;;1
NMS National Multiple Services;1;;1;;;;;1
Noordbeek;;;3;;;;;3
Omerus BV;;;2;;;;;2
One Stop Sourcing;;;4;;;;;4
Onsight Solutions;2;;;;;;;2
Ontuitive Benelux;;;2;;;;;2
Ordina (incl. Be Value, Clockwork);;;3;;;;;3
Pardon Consult (vh Wassenaar Consult);;;1;;;;;1
PBLQ (HEC, ROI, Zenc);;;4;;;;;4
Planon;;;3;1;;;;3
PQR;2;;;4;2;;;4
Protinus It;2;;1;;;;;2
Purfacts;;;1;;;;;1
Qube ICT Solutions;;1;;;;;;1
Quovadis Trustlink;;;1;1;;;1;1
Raatwerk;;;1;;;;;1
Resource Opmeer;;;;3;;;;3
SAP Nederland;;;4;;;;;4
Sas Institute;;;2;;;;;2
Scholten Awater & Partners;3;;;;;;;3
Science Plus Group;;;1;;;;;1
Sectra Communications;;;2;;;;;2
Shared Business;;;;;1;;;1
Support Warehouse;1;;;;;;;1
T&T Compet&T;;;1;;;;;1
Tangram Automatisering;;;1;;;;;1
Tele2 (incl. Versatel, BBeyond);;;;;;1;;1
Telemos International Group;;1;;;;;;1
Top Movers;;;;;;1;;1
Topdesk;;;2;2;;;;3
Uptrends;;;;1;;;;1
Van den Broek Systemen;;;;;;1;;1
Verizon Nederland (incl. VB Verizon Business);;;;;;;1;1
Vitens;;;;;;1;;1
VKA Verdonck Klooster & Associates;;;1;;;;;1
Vodafone (incl. Libertel);;;;;;2;;2
Voormedia;;;;2;;;;2
Widexs;;;1;;;;;1
XS4ALL Internet;;;;;;1;;1
Yourhosting;1;;;;;;;1
Zet Solutions;;;1;;;;;1
Eindtotaal;5;1;7;6;3;4;6;8
