OBJECTID,TYPE,NAAM,NAAM_KWALITEIT,REF_BEGRENZER_TYPE_BEGIN,REF_BEGRENZER_TYPE_EIND,REF_BEGRENZER_NAAM_BEGIN,REF_BEGRENZER_NAAM_EIND,REF_BEGRENZER_PUIC_BEGIN,REF_BEGRENZER_PUIC_EIND,REF_FYSIEKE_SPOORTAK_PUIC,REF_SPOORTAKDEEL_GUID,REF_WISSEL_KRUISING_PUIC,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,REF_FUNCTIONELE_SPOORTAK_PUIC,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNC_SPOORTAK_NAAM_LANG
1,S,w4049V-w4047L,Pseudo,WISSEL_GW,WISSEL_GW,4049,4047,8b21ee89-b40a-4476-871b-be9ae7e87dc8,65674a93-d6c9-4dd4-9163-ae4261a665b2,59afba8f-22e5-4294-bf89-fab136a62471,0d1f1973-56c2-712c-f614-bd7625e74bb3,,0.0039,"0,003900",0.006995,"0,006995",0.870142,"0,870142",0.873054,"0,873054",926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,6079004b-e551-4be1-91b4-951fb17bb0d2,4049V,926_4049V_0.9
2,S,w928L-w929V,Pseudo,WISSEL_GW,WISSEL_GW,928,929,a964b731-1416-4ab7-8685-bd58bbcf6aaa,9b5e8064-d66c-4d94-95ad-c65537e4ce4a,c89a332b-7a5e-4d06-b07a-9ff521a0d244,0f04eba4-f1da-45b3-9ac6-430130cc70cd,,0.034065,"0,034065",0.036409,"0,036409",60.353745,"60,353745",60.356067,"60,356067",779,,779,779__,Emmerich (D) - Zevenaar Grens,Zvg-Em,Zevenaar Grens - Emmerich (D) ,51e1054a-90df-43ab-a40a-953051ace0db,928L,779_928L_60.3
3,S,RJ,Benoemd,Lichtsein,Lichtsein,432,904,1b14499f-46ee-443d-9c56-1761f6c085be,8daea176-c91b-463e-8c34-ac71a67ca758,1baec055-3845-408f-8944-b4e975dbc434,26788edf-2de5-dee9-40a5-77aa56b13a4e,,0.042079,"0,042079",0.424551,"0,424551",50.215357,"50,215357",50.599852,"50,599852",525,a,525,525_a,Amsterdam Singelgracht Aansl.,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,afaa5b6d-b7d7-4395-83c6-7232b762105d,429AV,525_429AV_77.8
4,S,SJ_X0184R-wX0184R,Pseudo,STOOTJUK,WISSEL_GW,SJ_X0184R,X0184,13cdaa6e-7de2-4a73-87dd-8360458c6f00,01aefd8c-fed4-4398-969f-dfdd30958a6a,d9e87983-bb51-4d41-b448-20d32fe21da7,7005db7d-0675-4397-82f7-f338424bbea8,,0.159813,"0,159813",0.031715,"0,031715",200.157684,"200,157684",200.251196,"200,251196",810,c,810,810_c,Dordrecht Industrieterrein Aansl. De Staart,Ddri-Ddrgvl,Dordrecht Aansl. Industrieterrein De Staart ¿ Dordrecht Grevelingenweg ,a7e745fe-873a-41d5-8c61-77fc23861a30,X0184R,810_X0184R_200.3
5,S,w942L-wX0041R,Pseudo,WISSEL_GW,WISSEL_GW,942,X0041,b6d5af2f-7505-4a81-963b-2f4c5bca713b,a5d5a09f-a246-4e8b-8c34-607c83759236,522af4ca-3442-4d79-bb3e-a4d87b52752c,c04820e5-80f7-41f1-9556-81693b40331d,,0.248366,"0,248366",0.034064,"0,034064",400.126293,"400,126293",400.339446,"400,339446",801,e,801,801_e,Moerdijk Industrieterrein,Mdw-Wstlih,Middenweg - Westelijke Insteekhaven ,6eef528b-a539-4c17-8643-231640e6ae34,X0041R,801_X0041R_400.4
6,W,77B,Benoemd,,,,,,,,,2f1a736c-a83e-4744-939f-bdbfa89d59fe,0.02861,"0,028610",0.057243,"0,057243",17.364229,"17,364229",17.337498,"17,337498",514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,8f75fb8a-8870-46d2-a15d-3a1822b1cd6a,77AR,
7,S,w951L-w950L,Pseudo,WISSEL_GW,WISSEL_GW,951,950,b2511f23-2dfb-4dce-ba28-ff1cb5860836,c90cb62a-7adb-4397-baab-f0ee1b50cc5b,0cfa40fc-e72f-4550-b309-a8ece16e8c0a,d5bdf9cf-c1f4-a43e-bf0c-bd60d4bbfab8,,0.078453,"0,078453",0.031744,"0,031744",36.30302,"36,303020",36.349532,"36,349532",019,,19,019__,Wierden - Almelo,Dv-Aml,Deventer - Almelo ,96ff345c-2bb9-4336-bae5-dc3f1c7533f6,950L,019_950L_36.4
8,S,w3021V-w3039R,Pseudo,WISSEL_GW,WISSEL_GW,3021,3039,86ab11ac-f9e3-43a3-8546-4352b3fd1baf,5f5c6efe-5865-4869-b568-5feae60dba9f,20137296-d784-41e0-8c97-e62fb4770514,8e869318-5d9b-2a32-b3a9-73a9abe622ce,,0.0045,"0,004500",0.045579,"0,045579",905.227551,"905,227551",905.264837,"905,264837",927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,f570aea3-e71c-4603-bcf6-5861de70e06e,3021V,927_3021V_905.2
9,W,345B,Benoemd,,,,,,,,,3abd7633-b06d-456c-b9b4-fdcf17e30261,0,"0,000000",0.0045,"0,004500",50.56582,"50,565820",50.570316,"50,570316",002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,039e31b8-c8f7-4157-a716-1e6860c1488f,345BV,
10,S,sTE-w5013R,Pseudo,Lichtsein,WISSEL_GW,5010,5013,b79bfd02-b632-4e79-9242-9ca250b13bea,8a0a0f54-4085-4a38-8722-45ceec23c33f,0358a48d-c89e-454c-b9a4-0eeaee710f1b,2356031a-2a32-c8ca-c908-1e9eeb14804d,,1.723198,"1,723198",2.014855,"2,014855",176.949668,"176,949668",177.239171,"177,239171",139,,139,139__,Zaandam - Amsterdam Sloterdijk,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,45609212-6cf1-4f71-8d73-825742101fb6,323L,139_323L_175.2
