zaaknummer;zaaktype_id;soort_melding;datum_melding;datum_afgehandeld;status_melding
7250496;568;"Verzoek om advies; Realisatie";2023-02-03  09:56:22;;open
7247016;3268;MOR Melding bomen;2023-02-02  11:49:12;;open
7243164;568;"Verzoek om advies; Realisatie";2023-02-01  12:59:19;;open
7159660;478;Melding groen 30 dagen;2023-01-06  11:30:31;2023-01-23  14:04:52;afgehandeld
6997891;478;Melding groen 30 dagen;2022-11-14  15:50:01;2022-11-23  13:22:29;afgehandeld
6972956;3367;MOR Melding dumping;2022-11-07  07:41:47;2022-11-09  15:31:20;afgehandeld
6971041;1381;Algemeen contactformulier;2022-11-04  17:23:14;;open
6868323;1381;Algemeen contactformulier;2022-10-04  17:40:40;;open
6858520;2789;Terugbelverzoek Openbare Ruimte;2022-09-30  16:30:11;2022-11-29  14:07:12;afgehandeld
6846370;478;Melding groen 30 dagen;2022-09-27  17:18:15;2022-09-28  14:12:24;afgehandeld
6837612;568;"Verzoek om advies; Realisatie";2022-09-26  07:16:06;2022-10-20  13:47:59;afgehandeld
6801592;568;"Verzoek om advies; Realisatie";2022-09-14  08:38:55;2022-10-06  14:03:54;afgehandeld
6778112;3268;MOR Melding bomen;2022-09-06  12:27:57;2022-12-04  15:19:04;afgehandeld
6765408;568;"Verzoek om advies; Realisatie";2022-09-01  13:01:19;2022-09-27  14:25:37;afgehandeld
6754747;568;"Verzoek om advies; Realisatie";2022-08-30  10:57:05;2022-09-19  09:44:30;afgehandeld
6745587;3313;Melding afval- en hondenpoepbakken;2022-08-25  16:31:48;2022-08-26  08:22:26;afgehandeld
6727160;568;"Verzoek om advies; Realisatie";2022-08-19  09:13:11;2023-02-03  09:46:46;afgehandeld
6720912;3313;Melding afval- en hondenpoepbakken;2022-08-17  10:59:31;2022-09-14  07:27:56;afgehandeld
6710753;478;Melding groen 30 dagen;2022-08-12  13:07:12;2022-08-15  08:15:25;afgehandeld
6708474;6029;Handhavingstraject APV;2022-08-11  15:12:41;2022-08-19  07:13:29;afgehandeld
6698676;568;"Verzoek om advies; Realisatie";2022-08-09  06:22:05;2022-08-09  08:23:04;afgehandeld
6653813;568;"Verzoek om advies; Realisatie";2022-07-25  11:49:33;2022-07-25  12:28:29;afgehandeld
6643767;1381;Algemeen contactformulier;2022-07-21  20:08:37;;open
6629600;3367;MOR Melding dumping;2022-07-18  11:21:15;2022-07-26  14:56:31;afgehandeld
6615729;1381;Algemeen contactformulier;2022-07-13  11:30:48;;open
6610804;568;"Verzoek om advies; Realisatie";2022-07-12  08:34:15;2022-07-12  09:01:14;afgehandeld
6604434;3268;MOR Melding bomen;2022-07-09  11:43:37;2023-01-17  08:54:42;afgehandeld
6581426;1529;Melding realisatie projectleiders;2022-07-01  16:13:43;2022-07-22  10:30:50;afgehandeld
6548593;3318;MOR Melding verkeersvoorzieningen;2022-06-22  10:14:31;2022-06-27  16:10:47;afgehandeld
6532878;2789;Terugbelverzoek Openbare Ruimte;2022-06-16  13:43:24;2022-06-23  09:40:16;afgehandeld
6531692;568;"Verzoek om advies; Realisatie";2022-06-16  10:27:56;2022-06-16  12:21:49;afgehandeld
6490115;478;Melding groen 30 dagen;2022-06-01  20:25:06;2022-06-20  12:09:20;afgehandeld
6460600;478;Melding groen 30 dagen;2022-05-23  17:09:01;2022-05-25  08:14:52;afgehandeld
6439078;478;Melding groen 30 dagen;2022-05-17  11:56:05;2022-05-19  08:25:26;afgehandeld
6425162;5849;Melding parkeren;2022-05-12  21:21:28;2022-05-16  13:30:30;afgehandeld
6421425;478;Melding groen 30 dagen;2022-05-12  10:08:59;2022-05-16  13:51:46;afgehandeld
6402171;477;Melding wegen en bestrating;2022-05-07  20:59:54;2022-05-12  10:40:14;afgehandeld
6378254;6029;Handhavingstraject APV;2022-05-01  22:49:13;2022-05-07  07:15:51;afgehandeld
6342621;568;"Verzoek om advies; Realisatie";2022-04-21  11:58:16;2022-04-21  13:10:20;afgehandeld
6331268;568;"Verzoek om advies; Realisatie";2022-04-19  08:42:47;2022-04-19  10:28:03;afgehandeld
6323856;568;"Verzoek om advies; Realisatie";2022-04-14  09:29:47;2022-04-14  12:28:41;afgehandeld
6323143;3268;MOR Melding bomen;2022-04-13  20:11:24;2022-04-14  10:43:25;afgehandeld
6319110;3268;MOR Melding bomen;2022-04-12  23:24:14;2022-04-13  12:48:20;afgehandeld
6307440;568;"Verzoek om advies; Realisatie";2022-04-08  11:24:55;2022-04-11  10:12:10;afgehandeld
6264046;3367;MOR Melding dumping;2022-03-25  16:31:20;2022-03-30  15:46:02;afgehandeld
6259740;568;"Verzoek om advies; Realisatie";2022-03-24  14:15:05;2022-03-25  08:15:07;afgehandeld
6240025;1432;Ontheffing verkeersregels;2022-03-17  14:11:51;2022-03-22  12:18:30;afgehandeld
6236219;568;"Verzoek om advies; Realisatie";2022-03-16  13:51:00;2022-03-17  11:52:22;afgehandeld
6233999;568;"Verzoek om advies; Realisatie";2022-03-16  06:30:01;2022-03-17  10:00:29;afgehandeld
6232483;1432;Ontheffing verkeersregels;2022-03-15  13:49:20;2022-04-08  09:56:31;afgehandeld
6227396;568;"Verzoek om advies; Realisatie";2022-03-14  12:42:26;2022-03-14  14:44:17;afgehandeld
6225450;3367;MOR Melding dumping;2022-03-14  08:45:46;2022-03-16  07:24:13;afgehandeld
6222235;568;"Verzoek om advies; Realisatie";2022-03-11  11:35:30;2022-03-21  09:53:36;afgehandeld
6164738;1602;Opdracht offerte rioolaansluiting;2022-02-22  15:02:36;2022-02-25  09:59:38;afgehandeld
6112922;568;"Verzoek om advies; Realisatie";2022-02-03  09:47:22;2022-02-03  11:44:39;afgehandeld
6103469;1529;Melding realisatie projectleiders;2022-01-31  13:21:46;2022-03-31  13:49:18;afgehandeld
6051663;478;Melding groen 30 dagen;2022-01-12  15:15:36;2022-01-27  08:00:44;afgehandeld
6044751;1242;Terugbelverzoek;2022-01-10  16:59:04;2022-02-02  09:09:39;afgehandeld
6037898;568;"Verzoek om advies; Realisatie";2022-01-07  12:30:43;2022-01-10  08:42:49;afgehandeld
6036400;2789;Terugbelverzoek Openbare Ruimte;2022-01-06  16:49:37;2022-01-06  17:32:31;afgehandeld
6029558;1432;Ontheffing verkeersregels;2022-01-05  08:29:19;2022-01-12  12:05:50;afgehandeld
5945871;5316;Melding openbare ruimte categorie Overlast;2021-12-06  10:41:51;2021-12-06  13:18:11;afgehandeld
5908672;478;Melding groen 30 dagen;2021-11-22  12:29:15;2021-11-24  09:49:40;afgehandeld
5891154;568;"Verzoek om advies; Realisatie";2021-11-15  10:36:12;2021-11-15  11:01:42;afgehandeld
5840734;568;"Verzoek om advies; Realisatie";2021-10-25  09:24:04;2021-10-25  11:18:09;afgehandeld
5813358;568;"Verzoek om advies; Realisatie";2021-10-14  09:31:38;2021-10-14  10:16:59;afgehandeld
5803416;2789;Terugbelverzoek Openbare Ruimte;2021-10-11  09:38:34;2021-10-14  09:30:06;afgehandeld
5786897;3267;MOR Melding begraafplaatsen;2021-10-04  14:03:55;2021-10-07  07:40:50;afgehandeld
5737624;2789;Terugbelverzoek Openbare Ruimte;2021-09-15  16:08:12;2021-09-16  09:43:39;afgehandeld
5726051;478;Melding groen 30 dagen;2021-09-10  17:08:55;2021-09-30  08:59:20;afgehandeld
5710336;568;"Verzoek om advies; Realisatie";2021-09-06  13:58:09;2021-09-06  15:00:52;afgehandeld
5698214;478;Melding groen 30 dagen;2021-09-01  15:08:11;2021-09-07  14:17:54;afgehandeld
5692213;1242;Terugbelverzoek;2021-08-31  11:45:28;2021-09-10  15:37:19;afgehandeld
5685410;469;Melding openbare (verkeers)lichten;2021-08-28  23:19:36;2021-09-01  11:31:37;afgehandeld
5682445;6029;Handhavingstraject APV;2021-08-27  07:47:13;2022-01-29  08:43:37;afgehandeld
5671884;478;Melding groen 30 dagen;2021-08-24  10:54:43;2021-10-07  12:49:40;afgehandeld
5669164;568;"Verzoek om advies; Realisatie";2021-08-23  13:39:28;2021-08-25  13:22:43;afgehandeld
5657561;1529;Melding realisatie projectleiders;2021-08-18  12:11:02;2021-08-27  10:43:38;afgehandeld
5643459;3268;MOR Melding bomen;2021-08-11  23:25:28;2021-08-12  09:05:55;afgehandeld
5639630;1602;Opdracht offerte rioolaansluiting;2021-08-10  15:36:51;2021-08-26  09:01:30;afgehandeld
5624877;568;"Verzoek om advies; Realisatie";2021-08-04  10:39:28;2021-08-31  12:25:03;afgehandeld
5623914;568;"Verzoek om advies; Realisatie";2021-08-04  06:36:22;2021-08-05  11:04:51;afgehandeld
5602124;568;"Verzoek om advies; Realisatie";2021-07-27  10:41:47;2021-07-27  12:34:32;afgehandeld
5595714;6029;Handhavingstraject APV;2021-07-24  11:50:49;2021-08-03  08:09:56;afgehandeld
5585001;3268;MOR Melding bomen;2021-07-20  14:08:51;2021-09-02  13:13:55;afgehandeld
5583919;5529;Melding havens en vaarwegen;2021-07-20  11:16:10;2021-08-18  10:00:48;afgehandeld
5566615;568;"Verzoek om advies; Realisatie";2021-07-13  16:50:29;2021-07-19  08:29:32;afgehandeld
5541882;2789;Terugbelverzoek Openbare Ruimte;2021-07-06  10:14:14;2021-07-07  15:32:39;afgehandeld
5526942;568;"Verzoek om advies; Realisatie";2021-07-01  09:48:46;2021-07-01  11:08:11;afgehandeld
5521641;568;"Verzoek om advies; Realisatie";2021-06-30  07:20:15;2021-07-01  08:00:02;afgehandeld
5512432;478;Melding groen 30 dagen;2021-06-28  10:09:51;2021-06-30  07:33:46;afgehandeld
5507529;5849;Melding parkeren;2021-06-24  22:46:28;2021-06-25  15:19:33;afgehandeld
5501019;478;Melding groen 30 dagen;2021-06-23  13:22:00;2021-06-30  07:31:43;afgehandeld
5485410;478;Melding groen 30 dagen;2021-06-18  10:32:50;2021-07-07  07:31:37;afgehandeld
5452177;478;Melding groen 30 dagen;2021-06-07  18:36:04;2021-06-22  13:01:51;afgehandeld
5418567;3367;MOR Melding dumping;2021-05-27  18:29:57;2021-05-31  07:34:27;afgehandeld
5416575;568;"Verzoek om advies; Realisatie";2021-05-27  12:37:25;2021-05-28  09:08:03;afgehandeld
5409087;1242;Terugbelverzoek;2021-05-25  17:53:40;2021-07-23  10:31:45;afgehandeld
5408447;478;Melding groen 30 dagen;2021-05-25  15:39:59;2021-08-12  12:31:49;afgehandeld
