OBJECTID,KMLINT,KMLINT_OMSCHRIJVING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,GELDIG_VANAF,PUBLICATIEDATUM,Shape__Area,Shape__Length
1,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",72311.67784203,436954.25,51.91492635,4.18533955,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,11420399.700404,44333.0882443215
2,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,76054.05123138,433813.21064889,51.88724215,4.24044401,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1654437.8728955,7434.43001707405
3,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",83385.41994434,432169.65,51.87346304,4.34726208,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,6544032.033619,31403.9430675902
4,Ps-Bot,"Rotterdam, Emplacement Pernis - Rotterdam, Botlek ",82335.07743279,432094.44737705,51.87265113,4.33202802,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74805.535219,6261.72309877067
5,Bot-Odma,"Rotterdam, Botlek - Oude Maas ",81449.63221179,433085.30343802,51.88143969,4.31896103,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,866523.1921695,5844.52943109422
6,Boto-Pstw,"Botlektunnel Oost - Rotterdam, Emplacement Pernis Tankweg ",82364.95084085,433444.66481675,51.88478945,4.33217711,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2029262.545,7466.9669272266
7,Botwg-Slhvn,Botlekweg - Sint Laurenshaven ,78136.3735206,433993.09612577,51.88915022,4.27064563,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,527837.4757365,3410.03315299928
8,Bot-Qbst,"Rotterdam, Botlek - Quebeckstraat ",77495.93211892,433613.9,51.88565363,4.26142939,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1715943.473769,13341.581340075
9,Bot-Botch2,"Rotterdam, Botlek - Botlek Chemiehaven 2 ",78447.46633354,432334.64326714,51.87428881,4.2755324,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,265942.8737645,2279.23062275422
10,Bot-Bottha,"Rotterdam, Botlek - Botlek Theemsweg Aansl. ",77345.77225533,433365.7,51.88340217,4.25930463,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1411888.656009,10577.7847770514
11,Bot-Vopk,"Rotterdam, Botlek - VOPAK ",79656.19561575,434636.44589719,51.89513978,4.29257849,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,937618.332918,4818.13769469181
12,Bot-Botch1,"Rotterdam, Botlek - Botlek Chemiehaven 1 ",78046.31645915,432313.06877034,51.87403961,4.26971294,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,119557.66,1380.22334224408
13,Botwg-Botmw,Botlekweg - Botlek Montrealweg ,77785.29738392,433427.05761092,51.88401473,4.2656736,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,116540.257279,1454.17310625273
14,Bottha-Botsh,Botlek Theemsweg Aansl. - Botlek Seinehaven ,77131.68861203,432899.19923258,51.8791799,4.25630119,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,310597.63656,2476.90520499365
