OBJECTID,PUIC,NAAM,VOLTAGE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1032,d1628f1d-e44c-4524-a9ac-9ac19516d6e6,,Onbekend,Mbtwan-Brmet,Meteren Betuweroute Aansl. Noord - Betuweroute Meteren ,666,d,666,666_d,Meteren Aansl.,245.854283,"245,854283",-1.152429,"-1,152429",ProRail,Randstad Zuid,RZ,BVL,Zee-Zevenaar,130,A15trace,71,VolkerRail,146918.493,431124.328,51.86861131,5.26986309
1033,1c8f2d1a-7831-4940-a624-cf4544d3ee4a,,Onbekend,Mbtwan-Brmet,Meteren Betuweroute Aansl. Noord - Betuweroute Meteren ,666,d,666,666_d,Meteren Aansl.,246.564309,"246,564309",1.500981,"1,500981",ProRail,Randstad Zuid,RZ,BVL,Zee-Zevenaar,130,A15trace,71,VolkerRail,146621.134,430511.04,51.86309453,5.2655605
1034,655bf225-cabc-465f-9e9b-1a819e8c8f55,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,30.191773,"30,191773",-4.843449,"-4,843449",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146004.211,428536.088,51.84533346,5.25665571
1035,5b940825-e3a7-46d0-b2e0-396d767670ef,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,29.777433,"29,777433",-7.986411,"-7,986411",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146021.048,428946.957,51.84902675,5.25688936
1036,60466968-5ca9-4f1c-a7d7-0b205e98e6ad,,Onbekend,Mbtwan-Brmet,Meteren Betuweroute Aansl. Noord - Betuweroute Meteren ,666,d,666,666_d,Meteren Aansl.,246.044209,"246,044209",-1.205696,"-1,205696",ProRail,Randstad Zuid,RZ,BVL,Zee-Zevenaar,130,A15trace,71,VolkerRail,146805.368,430972.25,51.86724275,5.26822419
1037,d3f61985-3f86-4f4c-99da-655ac2018198,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,29.824902,"29,824902",0.366975,"0,366975",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146006.213,428901.619,51.848619,5.25667524
1038,98ccab57-fd3d-49b8-bfc7-2a20a53634d5,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,26.770355,"26,770355",-1.365862,"-1,365862",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,147156.784,431718.094,51.87395165,5.27330943
1039,344f09db-b828-4023-b4fd-a4465e010611,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,046,,46,046__,Meteren Aansl. - s Hertogenbosch,32.132123,"32,132123",0.171987,"0,171987",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146209.106,426609.271,51.82801782,5.25967816
1040,86d4b8d5-82bf-4b6d-9dfb-fcf8d6f78f88,,Onbekend,Brmet-Mbtwan,Betuweroute Meteren - Meteren Betuweroute Aansl. Noord ,666,c,666,666_c,Meteren Aansl.,146.455963,"146,455963",2.611688,"2,611688",ProRail,Randstad Zuid,RZ,BVL,Zee-Zevenaar,130,A15trace,71,VolkerRail,146794.639,430784.137,51.86555178,5.26807289
1041,427424c0-4774-47d8-9dd4-aa8ff9242895,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,046,,46,046__,Meteren Aansl. - s Hertogenbosch,32.25264,"32,252640",-0.07718,"-0,077180",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146222.98,426490.129,51.82694715,5.25988244
1042,ecd6b309-5342-4d16-bf1a-a83cb11817ba,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,28.022443,"28,022443",-0.138072,"-0,138072",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146679.072,430565.115,51.86358143,5.26640032
1043,fb2b3d6c-84c0-49e0-9c5e-df2099ee871d,,Onbekend,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,30.309721,"30,309721",-3.789567,"-3,789567",ProRail,Zuid,Z,BVL,Betuwe,320,Geldermalsen,22,Strukton Rail,146014.72,428418.87,51.84428003,5.25681126
1044,839b205f-95d1-436f-92ea-c5f2db609769,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,82.852552,"82,852552",-0.124159,"-0,124159",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209742.207,506511.699,52.54349367,6.19417301
1045,90fadaa0-1e9a-43a3-b540-056689258a07,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.232837,"96,232837",-0.30892,"-0,308920",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210684.876,518669.847,52.65265624,6.21010715
1046,159884f5-0d1f-4f86-af36-69795d78d448,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,88.430048,"88,430048",-0.040663,"-0,040663",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211814.336,511725.489,52.59013525,6.22560628
1047,feabe682-1b70-4923-b133-a7e3c21bf51b,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,98.34716,"98,347160",-0.674422,"-0,674422",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209915.446,520598.925,52.67006965,6.19905801
1048,8b958def-caa4-428f-b98a-d4508e15cb9b,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,79.162836,"79,162836",-0.108227,"-0,108227",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,207645.202,503582.522,52.51737663,6.16280073
1049,fc210560-2e46-4e49-9cd0-5c88c3c539fa,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,94.074932,"94,074932",0.848788,"0,848788",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211957.999,516918.953,52.63679051,6.22861796
1050,0678802a-fb26-454e-bfd7-53596ba71aaa,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,91.412951,"91,412951",-0.157118,"-0,157118",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212889.394,514514.831,52.61508816,6.2419556
