FID,omschr,type_div,hectobord,afritnr,afritnaam,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
divergenties_wegvak.1,Pseudo Haarlemmermeer-aansluiting,U,133.4a,,'KP.VELPERBROEK'WESTERVOORT VBW. a,384294003,2022-01-01T00:00:00,4120,038429400320220101,KPK0001180066,I,,POINT (194923.2888999991 444222.5762999989)
divergenties_wegvak.2,,U,251.4q,,BS.'KRUISBERG',359043014,2021-12-01T00:00:00,0,035904301420211201,KPK0001156991,I,,POINT (179716.75429999828 321766.7325000018)
divergenties_wegvak.3,Halfklaverblad-aansluiting,U,7.5c,8,'DELFT-NOORD'VBW. c,600104936,2022-01-01T00:00:00,0,060010493620220101,KPK0001180264,I,,POINT (84762.4840000011 448851.39169999957)
divergenties_wegvak.4,Halfklaverblad-aansluiting,D,48.1a,12,'GRUBBENVORST'VBW. a,600149292,2022-01-01T00:00:00,0,060014929220220101,KPK0001163510,I,,POINT (206372.76419999823 380237.5135000013)
divergenties_wegvak.5,Klaverbladknooppunt,U,45.9r,,'KP.ZAARDERHEIKEN'VENLO VBW. r,413156026,2022-01-01T00:00:00,0,041315602620220101,KPK0001144221,I,,POINT (206536.83040000126 378087.71719999984)
divergenties_wegvak.6,Klaverbladknooppunt,U,68.8j,,'KP.ZAARDERHEIKEN' VENRAY VBW. j,412157017,2022-01-01T00:00:00,147,041215701720220101,KPK0001182360,I,,POINT (206617.73209999874 378531.9492000006)
divergenties_wegvak.7,Klaverbladknooppunt,U,46.4v,,'KP.ZAARDERHEIKEN'EINDHOVEN VBW. v,413157022,2022-01-01T00:00:00,0,041315702220220101,KPK0001163508,I,,POINT (206591.1779000014 378644.3295999989)
divergenties_wegvak.8,Klaverbladknooppunt,D,68.2e,,'KP.ZAARDERHEIKEN'M'GLADBACH VBW. e,412156007,2022-01-01T00:00:00,0,041215600720220101,KPK0001182359,I,,POINT (205984.89020000026 378484.0384999998)
divergenties_wegvak.9,,U,157.0m,,BS.PPL.'SELNISSE',600093381,2022-01-01T00:00:00,1802,060009338120220101,KPK0001182122,I,,POINT (43043.76300000027 391087.3530000001)
divergenties_wegvak.10,T-knooppunt,U,129.0f,,'KP.WATERBERG'ZWOLLE VBW. f,600144403,2022-01-01T00:00:00,0,060014440320220101,KPK0001133289,I,,POINT (192681.38800000027 447365.6396000013)
divergenties_wegvak.11,Pseudo Haarlemmermeer-aansluiting,D,0.0#,,'BRIELSE MAAS-NOORD'VBW. c,146269003,2022-02-01T00:00:00,870,014626900320220201,KPK0001193328,I,,POINT (73936.31560000032 435313.4946999997)
divergenties_wegvak.12,Klaverbladknooppunt,U,241.1k,,'KP.KERENSHEIDE'ANTWERPEN VBW. k,600142856,2021-12-01T00:00:00,0,060014285620211201,KPK0001157177,I,,POINT (183139.1735999994 331001.8579000011)
divergenties_wegvak.13,Pseudo Haarlemmermeer-aansluiting,U,0.0#,3,'AMSTERDAM-WESTERPARK'RANG.BAAN m,600122546,2021-12-01T00:00:00,0,060012254620211201,KPK0001156019,I,,POINT (118071.16369999945 488152.36890000105)
