objectid;naam_zone;zone_code;type_zone;aanbieder_deelauto;aantal_voertuigen;status;geo_shape;geo_point_2d
52;Woenselse Heide;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.470238571044146, 51.483545195407615], [5.470607825576508, 51.47748449378398], [5.46943583822303, 51.477422877075504], [5.469352127740564, 51.47728542062535], [5.469093376352025, 51.47729016106892], [5.466376499697613, 51.47717166547313], [5.465912843514263, 51.48115701986781], [5.465268584258109, 51.48125255002303], [5.462507477803366, 51.481157021216525], [5.462323400158928, 51.48187348856156], [5.46309037374525, 51.48194035732189], [5.46302901258927, 51.482637706867564], [5.463964722063784, 51.48269502267112], [5.463903362651312, 51.483296834217185], [5.470238571044146, 51.483545195407615]]], ""type"": ""Polygon""}";51.480709494466424, 5.467547267476688
81;Binnenstad Oost;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.47838383334831, 51.441542699725225], [5.485055260488806, 51.44235902309729], [5.485679337392747, 51.4415426969391], [5.487454871168455, 51.44153721857141], [5.487410928103552, 51.44060582159095], [5.487507617648806, 51.440233257623696], [5.487762524622747, 51.439389498418386], [5.487542783213658, 51.438951175558486], [5.486435276919362, 51.438173142882114], [5.485837577417793, 51.43743345231376], [5.485239872709705, 51.43755947498204], [5.4830072674075785, 51.43831560195505], [5.4823480362732235, 51.43823889393851], [5.4806340204385045, 51.44015655498244], [5.479755041623846, 51.440666091490286], [5.47865631796488, 51.44119205819374], [5.47838383334831, 51.441542699725225]]], ""type"": ""Polygon""}";51.440155808371344, 5.483889540885957
94;Rozenknopje Noord;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.4707197262793015, 51.433369029270324], [5.471172832611097, 51.43382463579144], [5.4716113259607075, 51.43367884225774], [5.472232516528028, 51.43465382849109], [5.473657620192987, 51.43409344118235], [5.474476139929329, 51.433728957905636], [5.475842780216918, 51.43266738447544], [5.477034021936117, 51.43165134916174], [5.4779402443189325, 51.43092689664566], [5.47815218881959, 51.42936860382722], [5.47762599916721, 51.42914533499281], [5.47301451526536, 51.430667186126975], [5.47229100194183, 51.43089956057125], [5.471706346568971, 51.430958793208035], [5.469477340518138, 51.43168324475523], [5.470997439299588, 51.43314122378639], [5.4707197262793015, 51.433369029270324]]], ""type"": ""Polygon""}";51.431829834887665, 5.474018334947313
96;Sint Gerardusplein e.o.;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.485200790973616, 51.422052576429564], [5.487123340547381, 51.421925424269666], [5.487625818495174, 51.42356474508664], [5.489861511401783, 51.42344667953108], [5.491725801214629, 51.423646481577805], [5.492650663248927, 51.42389169302207], [5.494675172784134, 51.42154396650273], [5.4954835234867865, 51.41993636241598], [5.495752974366429, 51.419327819837434], [5.493167729654814, 51.419046253686915], [5.492184606721428, 51.419114375416235], [5.491820494553195, 51.41715698353245], [5.489548391235108, 51.417297774306036], [5.48712335618004, 51.41779280553415], [5.486526199542695, 51.4179335931585], [5.486424244851864, 51.41819700105768], [5.484341481474669, 51.4188873046924], [5.485200790973616, 51.422052576429564]]], ""type"": ""Polygon""}";51.42049357190822, 5.489875105984854
109;Vlokhoven;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.483263483434381, 51.47183134813419], [5.484150303888469, 51.47162783206315], [5.485169370904972, 51.471550302597464], [5.48607952905886, 51.47151638248531], [5.486118422228634, 51.472030015041184], [5.48731640754542, 51.47201063314586], [5.487044145962134, 51.470174126191125], [5.486369067940525, 51.468546815278636], [5.486060507165481, 51.46791858991052], [5.4818836102332105, 51.467754501187585], [5.478820553018245, 51.467740437168956], [5.479287148032188, 51.47033299282923], [5.480664394404854, 51.47033299236054], [5.481477195304698, 51.470412688642156], [5.481891121816976, 51.47053457696748], [5.4821996856569575, 51.47067052896266], [5.4827566014346845, 51.4711768293783], [5.483263483434381, 51.47183134813419]]], ""type"": ""Polygon""}";51.46957657078305, 5.483316299092389
27;Oude Toren;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.477477684390283, 51.453189799582006], [5.476870304152769, 51.45703374605594], [5.477001300645767, 51.45736766461958], [5.485051739559722, 51.457605113930995], [5.485158929964008, 51.45589098311858], [5.484265775085575, 51.45319721852473], [5.484051415309152, 51.452952322913916], [5.477763499196276, 51.45307848403765], [5.477477684390283, 51.453189799582006]]], ""type"": ""Polygon""}";51.455332053215336, 5.481054942363193
30;Oudegracht West;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.494357321274023, 51.45761883859316], [5.48943117821125, 51.45756917394464], [5.48833116633824, 51.45761884128434], [5.487661592971945, 51.45762877534683], [5.486784770706067, 51.457678442085076], [5.486529688757619, 51.458800905944344], [5.486641270043127, 51.461303996972134], [5.487087642817155, 51.462883258462554], [5.488634037051125, 51.46286339263275], [5.488665924933023, 51.46250582927748], [5.490228261118582, 51.46243630203534], [5.4900369700223175, 51.459754478890005], [5.494516731737297, 51.45948628673284], [5.494357321274023, 51.45761883859316]]], ""type"": ""Polygon""}";51.459624388198456, 5.489656004719559
31;Bloemenplein;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.488627386590038, 51.42676349568655], [5.489530712782556, 51.42577970759999], [5.490385859171197, 51.42538919021704], [5.491734820268895, 51.42499867001966], [5.492445438194874, 51.42417255766061], [5.491650515300263, 51.42390219012028], [5.49001249451505, 51.423699414266984], [5.489253703542063, 51.42374447600074], [5.487230263777543, 51.42388717088538], [5.4879769998901535, 51.425982474764155], [5.487567493195734, 51.42639551682398], [5.488627386590038, 51.42676349568655]]], ""type"": ""Polygon""}";51.424843583367135, 5.4894548721046075
40;Blixembosch;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.471401481812304, 51.49065340121886], [5.478367907758982, 51.49273177156066], [5.4788144763827695, 51.49264835983771], [5.480891012019728, 51.48985399678926], [5.479908567336747, 51.489555087913814], [5.480165344489211, 51.4892144680103], [5.4816278506727585, 51.4885123643202], [5.481951610045997, 51.488178687404755], [5.481706001574397, 51.487379245290704], [5.481103138244018, 51.48714983739737], [5.478133475341193, 51.48626000195651], [5.4778655353323025, 51.48632952137336], [5.477564103149723, 51.48672577830018], [5.47607927074794, 51.48712203198458], [5.473835275128499, 51.48718459843411], [5.4738017826224725, 51.48759475099976], [5.471401481812304, 51.49065340121886]]], ""type"": ""Polygon""}";51.48940345653921, 5.476947596342701
43;Limbeek;;Zone floating;MyWheels;1;Aanwezig;"{""coordinates"": [[[5.460396580881919, 51.449313936213656], [5.463963071890631, 51.45059362800173], [5.464563495629469, 51.44997249401956], [5.464503458288805, 51.44919419482785], [5.46529601579878, 51.44900710231422], [5.46592045607158, 51.44858052625642], [5.467433526165638, 51.4468891535779], [5.467433528894914, 51.446582304771205], [5.467445537601265, 51.446342811445625], [5.465428125380502, 51.446223065524215], [5.464887748362336, 51.44598357036832], [5.462029731066972, 51.4484682702996], [5.460396580881919, 51.449313936213656]]], ""type"": ""Polygon""}";51.44822451964484, 5.464234227004849
