FID,length,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2008.1,3402.52,zee2_01_1,2008-06-24T00:00:00,,,"LINESTRING (152027.1559999995 601526.5, 149274 599527.188000001)"
vlieglijnen_wadden_2008.2,7978.15,zee2_01_2,2008-06-24T00:00:00,,,"LINESTRING (153967.0469999984 604095.813000001, 148604.375 598188.813000001)"
vlieglijnen_wadden_2008.3,5163.1,zee2_02_1,2008-06-24T00:00:00,,,"LINESTRING (152252.4690000005 601379.25, 148262.875 598101.938000001)"
vlieglijnen_wadden_2008.4,7978.14,zee2_02_2,2008-06-24T00:00:00,,,"LINESTRING (153967.0309999995 604095.813000001, 148604.375 598188.813000001)"
vlieglijnen_wadden_2008.5,7032.37,zee2_03_1,2008-06-24T00:00:00,,,"LINESTRING (154716.9530000016 603184.938000001, 149353.8280000016 598636.188000001)"
vlieglijnen_wadden_2008.6,6674.81,zee2_03_2,2008-06-24T00:00:00,,,"LINESTRING (153893.0159999989 602292.688000001, 148635.25 598180.625)"
vlieglijnen_wadden_2008.7,8149.15,zee2_04_1,2008-06-24T00:00:00,,,"LINESTRING (154507.2190000005 602600.5, 148244.563000001 597386.313000001)"
vlieglijnen_wadden_2008.8,7806.62,zee2_04_2,2008-06-24T00:00:00,,,"LINESTRING (155057.2809999995 603063.875, 149072.188000001 598051.688000001)"
vlieglijnen_wadden_2008.9,8966.92,zee2_05_1,2008-06-24T00:00:00,,,"LINESTRING (156130.5469999984 603648.125, 149254.2030000016 597893)"
vlieglijnen_wadden_2008.10,9500.09,zee2_05_2,2008-06-24T00:00:00,,,"LINESTRING (155653.813000001 603120.813000001, 148279.0309999995 597132.125)"
vlieglijnen_wadden_2008.11,9204.77,zee2_06_1,2008-06-24T00:00:00,,,"LINESTRING (148763.75 597172.313000001, 155846.438000001 603051.375)"
vlieglijnen_wadden_2008.12,9522.14,zee2_06_2,2008-06-24T00:00:00,,,"LINESTRING (156366.25 603487.563000001, 149045.688000001 597398.188000001)"
vlieglijnen_wadden_2008.13,10405,zee2_07_1,2008-06-24T00:00:00,,,"LINESTRING (157367.688000001 604012.875, 149359.9059999995 597369.188000001)"
vlieglijnen_wadden_2008.14,10949.3,zee2_07_2,2008-06-24T00:00:00,,,"LINESTRING (156443.0780000016 603268.563000001, 148062.1559999995 596222.5)"
vlieglijnen_wadden_2008.15,9681.93,zee2_08,2008-05-18T00:00:00,,,"LINESTRING (157112.6559999995 603448.375, 149650.7969999984 597279.063000001)"
vlieglijnen_wadden_2008.16,11378.4,zee2_09,2008-05-18T00:00:00,,,"LINESTRING (149988.438000001 597115.563000001, 158684.5 604453.5)"
vlieglijnen_wadden_2008.17,13192.4,zee2_10,2008-05-18T00:00:00,,,"LINESTRING (158191.2190000005 603669.563000001, 148103.9059999995 595167.5)"
vlieglijnen_wadden_2008.18,13648.2,zee2_11,2008-06-24T00:00:00,,,"LINESTRING (159630.9690000005 604492.938000001, 149126.6409999989 595779)"
vlieglijnen_wadden_2008.19,14979,zee2_12,2008-06-24T00:00:00,,,"LINESTRING (159959.5159999989 604425.313000001, 148505.2340000011 594772.813000001)"
vlieglijnen_wadden_2008.20,15829.3,zee2_13,2008-06-24T00:00:00,,,"LINESTRING (149004.9219999984 594867.938000001, 161109.0940000005 605068.688000001)"
vlieglijnen_wadden_2008.21,16950.9,zee2_14,2008-06-24T00:00:00,,,"LINESTRING (149165.5159999989 594835.063000001, 162261.3909999989 605597.563000001)"
vlieglijnen_wadden_2008.22,17734.1,zee2_15,2008-06-24T00:00:00,,,"LINESTRING (163372.0159999989 606272.063000001, 149763.5159999989 594900.688000001)"
vlieglijnen_wadden_2008.23,19343.5,zee2_16,2008-06-24T00:00:00,,,"LINESTRING (163155.4840000011 605737.313000001, 148357.313000001 593280)"
vlieglijnen_wadden_2008.24,20143.1,zee2_17,2008-06-24T00:00:00,,,"LINESTRING (148919.125 593382.25, 164286.813000001 606404.563000001)"
vlieglijnen_wadden_2008.25,20647.9,zee2_18,2008-06-24T00:00:00,,,"LINESTRING (164437.4530000016 606143.313000001, 148622.9059999995 592867.938000001)"
vlieglijnen_wadden_2008.26,21548.2,zee2_19,2008-06-24T00:00:00,,,"LINESTRING (165393.188000001 606620.125, 148882.188000001 592774.063000001)"
vlieglijnen_wadden_2008.27,22361.2,zee2_20,2008-06-24T00:00:00,,,"LINESTRING (165714.875 606524.563000001, 148567.563000001 592172.063000001)"
vlieglijnen_wadden_2008.28,19797.8,zee2_21,2008-06-24T00:00:00,,,"LINESTRING (165839.6409999989 606339.688000001, 150706.0309999995 593575.375)"
vlieglijnen_wadden_2008.29,19797.8,zee2_22,2008-06-24T00:00:00,,,"LINESTRING (166050.4530000016 606139.438000001, 150960.2030000016 593323.875)"
