OBJECTTYPE,ID,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,STATUS,KM_GEOCODE,KM_GEOCODE_T,GEOKMT,OBJECTCODE,VERSIE,ROTATIE,X,Y,LATITUDE,LONGITUDE,KMLINT,KMLINT_OMSCHRIJVING,GELDIG_VANAF,PUBLICATIEDATUM
spoorhartpunt,1,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.4,"0,4",001-0.4,,,,156858.054,576035.644,53.171012,5.414992,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,2,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.5,"0,5",001-0.5,,,,156957.731,576016.783,53.170842,5.416483,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,3,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.6,"0,6",001-0.6,,,,157053.807,576000.039,53.170691,5.417919,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,4,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.7,"0,7",001-0.7,,,,157152.634,575982.662,53.170535,5.419397,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,5,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.8,"0,8",001-0.8,,,,157250.898,575965.815,53.170383,5.420867,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,6,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,0.9,"0,9",001-0.9,,,,157350.641,575958.317,53.170315,5.422358,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,7,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,1,"1,0",001-1.0,,,,157450.72,575962.759,53.170355,5.423855,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,8,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,1.1,"1,1",001-1.1,,,,157550.662,575969.606,53.170416,5.425349,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,9,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,1.2,"1,2",001-1.2,,,,157649.97,575976.058,53.170473,5.426834,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
spoorhartpunt,10,001,a,1,001_a,Harlingen Haven - Leeuwarden,Actueel,1.3,"1,3",001-1.3,,,,157749.825,575983.992,53.170544,5.428328,Hlg-Nscg,Harlingen - Nieuweschans Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00
