OBJECTID,GEOCODE,SUBCODE,GEOSUBCODE,GEOCODE_NR,GEOCODE_NAAM,KM_GEOCODE_VAN,KM_GEOCODE_TOT,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT_T,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GELDIG_VANAF,PUBLICATIEDATUM,Shape__Length
1,470,h,470_h,470,Botlek,310,310.5,"310,000","310,500",497.66504399,Bot-Botch1,"Rotterdam, Botlek - Botlek Chemiehaven 1 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,497.665043995129
2,470,g,470_g,470,Botlek,300.4,306.43,"300,400","306,430",6002.97751305,Bot-Qbst,"Rotterdam, Botlek - Quebeckstraat ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,6002.97751305099
3,470,l,470_l,470,Botlek,400.1,401.2,"400,100","401,200",1100.8147191,Bot-Bot3ph3,"Rotterdam, Botlek - Botlek 3e Petroleumhaven 3 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1100.81471910125
4,470,k,470_k,470,Botlek,375,376.689,"375,000","376,689",1699.79380791,Bot-Vopk,"Rotterdam, Botlek - VOPAK ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1699.7938079131
5,470,c,470_c,470,Botlek,120,120.428,"120,000","120,428",430.39491079,Bot-Bot3ph2,"Rotterdam, Botlek - Botlek 3e Petroleumhaven 2 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,430.394910790284
6,470,a,470_a,470,Botlek,100.1,102.16,"100,100","102,160",2054.04855876,Bot-Odma,"Rotterdam, Botlek - Oude Maas ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2054.04855876807
7,950,a,950_a,950,Barendrecht Vork - Rotterdam Maasvlakte,6.1,20.5,"6,100","20,500",14454.20825509,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,14454.2082550982
8,950,d,950_d,950,Barendrecht Vork - Rotterdam Maasvlakte,201.3,206.115,"201,300","206,115",4810.84359206,Brda-Whz,"Barendrecht Aansl. - Rotterdam, Emplacement Waalhaven Zuid ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4810.84359206381
9,470,n,470_n,470,Botlek,450,450.97,"450,000","450,970",971.40484423,Bot-Botch2,"Rotterdam, Botlek - Botlek Chemiehaven 2 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,971.404844237875
10,470,e,470_e,470,Botlek,200,203.27,"200,000","203,270",3260.22414417,Bot-Wplw,"Rotterdam, Botlek - Welplaatweg ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3260.2241441792
11,470,m,470_m,470,Botlek,410,410.995,"410,000","410,995",996.11719158,Bot-Bot3ph4,"Rotterdam, Botlek - Botlek 3e Petroleumhaven 4 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,996.117191581321
12,470,j,470_j,470,Botlek,350.12,351.3,"350,120","351,300",1179.29355193,Botwg-Slhvn,Botlekweg - Sint Laurenshaven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1179.29355193632
13,470,i,470_i,470,Botlek,320.12,320.4,"320,120","320,400",279.20286376,Botwg-Botmw,Botlekweg - Botlek Montrealweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,279.20286376985
14,470,b,470_b,470,Botlek,110,110.72,"110,000","110,720",715.24618781,Bot-Bot3ph1,"Rotterdam, Botlek - Botlek 3e Petroleumhaven 1 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,715.246187816076
15,950,e,950_e,950,Barendrecht Vork - Rotterdam Maasvlakte,21.039,42.3,"21,039","42,300",21247.38541122,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,21247.3854112228
16,469,e,469_e,469,Pernis,410.4,411.15,"410,400","411,150",755.29538805,Ps2phv-Pspw,Pernis 2e Petroleumhaven - Pernis Petroleumweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,755.295388055346
17,469,a,469_a,469,Pernis,100,101.35,"100,000","101,350",1313.54506271,Ps-Strww,"Rotterdam, Emplacement Pernis - Streefwaalseweg ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1313.54506271941
18,469,f,469_f,469,Pernis,500.9,501.85,"500,900","501,850",951.79924429,Ps1phv-Pspw,Pernis 1e Petroleumhaven - Pernis Petroleumweg ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,951.79924429705
19,469,b,469_b,469,Pernis,200,202.265,"200,000","202,265",2241.68853284,Ps-Shell1,"Rotterdam, Emplacement Pernis - SHELL1 ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2241.68853284237
20,469,d,469_d,469,Pernis,400,401.5,"400,000","401,500",1458.13179643,Ps-Ps2phv,"Rotterdam, Emplacement Pernis - Pernis 2e Petroleumhaven ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1458.13179643092
21,952,,952__,952,Botlektunnel,813.184,816.3,"813,184","816,300",3115.00969554,Ps-Bot,"Rotterdam, Emplacement Pernis - Rotterdam, Botlek ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3115.0096955414
22,469,g,469_g,469,Pernis,600,602.751,"600,000","602,751",2751.02497108,Boto-Pstw,"Botlektunnel Oost - Rotterdam, Emplacement Pernis Tankweg ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2751.02497108317
23,476,c,476_c,476,Rotterdam Europoort 2,250.1,250.9,"250,100","250,900",797.70693392,Bottha-Botsh,Botlek Theemsweg Aansl. - Botlek Seinehaven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,797.706933928471
24,476,b,476_b,476,Rotterdam Europoort 2,200,203.1,"200,000","203,100",3122.92982393,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3122.92982393754
25,476,a,476_a,476,Rotterdam Europoort 2,100,104.65,"100,000","104,650",4644.95258118,Bot-Bottha,"Rotterdam, Botlek - Botlek Theemsweg Aansl. ",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4644.95258118729
26,602,b,602_b,602,Herfte Aansl.,77,77.7,"77,000","77,700",704.68159075,Zl-Lw,Zwolle - Leeuwarden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,704.68159075432
27,204,,204__,204,Herfte Aansl. - Mariënberg,4.3,33.7,"4,300","33,700",29412.18958409,Hea-Emn,Herfte Aansl. - Emmen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,29412.189584096
28,602,a,602_a,602,Herfte Aansl.,4.21,4.3,"4,210","4,300",87.96220493,Hea-Emn,Herfte Aansl. - Emmen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,87.9622049322927
29,013,,013__,13,Herfte Aansl. - Meppel,77.7,99.9,"77,700","99,900",22313.79960196,Zl-Lw,Zwolle - Leeuwarden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,22313.7996019675
30,014,,014__,14,Zwolle - Herfte Aansl.,74.9,77,"74,900","77,000",2111.95513035,Zl-Lw,Zwolle - Leeuwarden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2111.95513035758
31,603,f,603_f,603,Zwolle,74.65,74.9,"74,650","74,900",250.0647931,Zl-Lw,Zwolle - Leeuwarden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,250.064793106274
32,603,c,603_c,603,Zwolle,88.2,88.4,"88,200","88,400",199.75274221,Zl-Kpn,Zwolle - Kampen ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,199.752742214326
33,603,e,603_e,603,Zwolle,1.4,1.6,"1,400","1,600",200.00959585,Zl-Wdn,Zwolle - Wierden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.009595856115
34,603,d,603_d,603,Zwolle,47.6,48.428,"47,600","48,428",833.51538408,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,833.515384085643
35,603,b,603_b,603,Zwolle,72.1,72.2,"72,100","72,200",101.10213725,Ah-Zl,Arnhem - Zwolle ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,101.102137255492
36,603,a,603_a,603,Zwolle,2,4.149,"2,000","4,149",2153.84239377,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2153.84239377786
37,018,,018__,18,Deventer - Zwolle,44.4,72.1,"44,400","72,100",27751.74156189,Ah-Zl,Arnhem - Zwolle ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,27751.7415618944
38,206,,206__,206,Zwolle - Wierden,1.6,39.4,"1,600","39,400",37817.58062823,Zl-Wdn,Zwolle - Wierden ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,37817.5806282327
39,604,b,604_b,604,Hattemerbroek,82.8,84.4,"82,800","84,400",1603.76936766,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1603.76936766658
40,604,a,604_a,604,Hattemerbroek,44.2,47.6,"44,200","47,600",3392.0170466,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3392.01704660002
41,926,,926__,926,Zwolle Rangeerterrein,0.3,2,"0,300","2,000",1742.80369842,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1742.80369842739
42,055,,055__,55,Blerick - Eindhoven,2.5,49.4,"2,500","49,400",46934.1553433,Vl-Ehv,Venlo - Eindhoven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,46934.1553433088
43,855,,855__,855,Venlo Tradeport,100.063,101.039,"100,063","101,039",975.77998066,Vl-Vltp,Venlo - Venlo Tradeport ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,975.779980668949
44,516,b,516_b,516,Blerick,74.4,75.5,"74,400","75,500",1106.89455804,Ah-Vl,Arnhem - Venlo ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1106.89455804889
45,052,,052__,52,Beugen - Blerick,36.4,74.4,"36,400","74,400",38076.18939247,Ah-Vl,Arnhem - Venlo ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,38076.1893924775
46,516,a,516_a,516,Blerick,1,2.5,"1,000","2,500",1501.67205597,Vl-Ehv,Venlo - Eindhoven ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1501.672055974
47,520,b,520_b,520,Maastricht,27.9,28.5,"27,900","28,500",597.86128296,Fvs-Mt,Visé (B) - Maastricht ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,597.861282964806
48,520,c,520_c,520,Maastricht,36.535,37,"36,535","37,000",466.67000731,Mt-Glk,Maastricht - Lanaken (B) ,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,466.670007313105
