FID,id,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2010.1,1,amel_g_54,06-03-2010,,,"LINESTRING (173144.6409999989 609491.561999999, 171916.5309999995 609335.25)"
vlieglijnen_kust_2010.2,2,amel_g_55,06-03-2010,,,"LINESTRING (173927.4840000011 609389.125, 171497.563000001 609169.686999999)"
vlieglijnen_kust_2010.3,3,amel_g_56,06-03-2010,,,"LINESTRING (171203.4840000011 608940, 174819.188000001 609246.875)"
vlieglijnen_kust_2010.4,4,amel_g_57,06-03-2010,,,"LINESTRING (175906.2809999995 609116.936999999, 170941.0469999984 608674.936999999)"
vlieglijnen_kust_2010.5,5,amel_g_58,06-03-2010,,,"LINESTRING (176632.063000001 608959.875, 170677.8280000016 608408.25)"
vlieglijnen_kust_2010.6,6,amel_g_59,06-03-2010,,,"LINESTRING (177447.3590000011 608807.063000001, 170427 608121.438000001)"
vlieglijnen_kust_2010.7,7,amel_g_60,06-03-2010,,,"LINESTRING (178604.4530000016 608680.125, 170144.5 607851.25)"
vlieglijnen_kust_2010.8,8,amel_g_61,06-03-2010,,,"LINESTRING (189210.4059999995 609448.936999999, 169950.811999999 607608.5)"
vlieglijnen_kust_2010.9,9,amel_g_62,06-03-2010,,,"LINESTRING (195101.7659999989 609804.5, 169862.7969999984 607340.875)"
vlieglijnen_kust_2010.10,10,amel_g_63,06-03-2010,,,"LINESTRING (169834.1409999989 607106.875, 172601.563000001 607376.811999999)"
vlieglijnen_kust_2010.11,11,amel_g_64_1,06-03-2010,,,"LINESTRING (193152.2969999984 609443.75, 174536.0940000005 607562.5)"
vlieglijnen_kust_2010.12,12,amel_g_64_2,06-03-2010,,,"LINESTRING (194460.1409999989 609577.686999999, 174272.5469999984 607538.688000001)"
vlieglijnen_kust_2010.13,13,amel_g_65,06-03-2010,,,"LINESTRING (171262.8590000011 607042.25, 169866.5940000005 606812.438000001)"
vlieglijnen_kust_2010.14,14,amel_g_66,06-03-2010,,,"LINESTRING (195123 609398.938000001, 177914.063000001 607659.5)"
vlieglijnen_kust_2010.15,15,amel_g_67,06-03-2010,,,"LINESTRING (172159.875 606955.938000001, 169905.2659999989 606582.25)"
vlieglijnen_kust_2010.16,16,amel_g_68,06-03-2010,,,"LINESTRING (194984.7969999984 609149.688000001, 178135.5780000016 607447.311999999)"
vlieglijnen_kust_2010.17,17,amel_g_69,06-03-2010,,,"LINESTRING (172330.311999999 606596.688000001, 163022.436999999 605644.25)"
vlieglijnen_kust_2010.18,18,amel_g_70,06-03-2010,,,"LINESTRING (195601.625 608976.875, 186843.9840000011 608084.188000001)"
vlieglijnen_kust_2010.19,19,amel_g_71,06-03-2010,,,"LINESTRING (196544.2190000005 608795.375, 177828.7969999984 606984.563000001)"
vlieglijnen_kust_2010.20,20,amel_g_72,06-03-2010,,,"LINESTRING (188464.625 607783.313000001, 193783.2809999995 608301.188000001)"
vlieglijnen_kust_2010.21,21,amel_g_73,06-03-2010,,,"LINESTRING (195578.7190000005 608224.875, 192072.2030000016 607887.813000001)"
vlieglijnen_kust_2010.22,22,amel_g_74,06-03-2010,,,"LINESTRING (189711.9530000016 607389.5, 193617.1559999995 607834.311999999)"
