Absoluut aantal misdrijven,,Gebied 1 (Pijlsweerd),Gebied 2 (2de Daalsebuurt),Gebied 3 (Egelantier/ Mariëndaal),Totaal
Diefstal/inbraak woning,,4,3,0,7
Diefstal/inbraak bedrijven en instellingen,,,,,
,,5,5,4,14
Winkeldiefstal,,17,1,33,51
Diefstal uit/vanaf motorvoertuigen,,3,1,4,8
"Diefstal van brom-, snor-, fietsen",,21,11,11,43
Zakkenrollerij,,1,3,2,6
Geweldsmisdrijven,,15,10,6,31
-      Mishandeling,9,,2,3,14
-      Straatroof,1,,0,0,1
- Overval,,2,0,0,2
- Overige lichamelijke integriteit*,,,,,
,,3,8,3,14
Vernieling cq. zaakbeschadiging,,3,6,2,11
Drugshandel Wapenhandel,0,,0,0,0
,0,,0,0,0
Overige misdrijven,,25,29,21,75
Totaal,,94,69,83,246
Bron: BVH Politie Midden-Nederland,,,,,
"* zedenmisdrijf, moord/doodslag, openlijk geweld, bedreiging",,,,,
Tabel 7 Geregistreerde misdrijven,,per deelgebied,"Amsterdamsestraatweg, 2015",,
