VERHFUNC;VERHTYPE;VERHSRT;WVO;STRAAT;OPPERVLAK;OMTREK;LENGTE;X;Y;LONGITUDE;LATITUDE
Speelplaats;Dicht asfaltbeton;Dicht asfaltbeton;2200.B SP R1;van der Palmstraat;1073.912;137.162;44.386;106433.718;427334.526;4.68259946708107;51.8324883201867
Speelplaats;Rubbertegels;Elementen;0080.A SP L1;Aert de Gelderstraat;48.597;28.176;8.054;106488.072;427897.736;4.68330904180158;51.8375551315027
Speelplaats;Rubbertegels;Elementen;0680.A SP G2;Govert Flinckstraat;13.623;14.984;4.386;106455.740;427564.336;4.6828867113524;51.8345557494526
Speelplaats;Tegels 300x300x45;Elementen;0260.A SP R1;Beukmolen;94.876;70.580;32.358;106805.550;428354.109;4.687851685528;51.8416844583997
Speelplaats;Rubbertegels;Elementen;1740.A SP R1;P.J.M. Aalbersestraat;29.734;22.629;7.164;107675.275;427318.529;4.70061311236067;51.8324510882111
Speelplaats;Rubbertegels;Elementen;0571.A SP R1;Domela Nieuwenhuisstraat;27.556;20.998;5.292;107837.865;426843.749;4.70303651399608;51.8281975323998
Speelplaats;Rubbertegels;Elementen;2130.A SP R2;Trasmolen;48.924;28.117;7.727;106573.806;428140.296;4.68451898879837;51.8397426804522
Speelplaats;Rubbertegels;Elementen;1285.A SP L2;Ligusterhof;28.010;22.008;7.006;108144.037;427797.048;4.7073487338397;51.8367915100933
Speelplaats;Rubbertegels;Elementen;0117.D SP G26;Andoornlaan;41.603;25.801;6.501;108633.242;427826.205;4.71444249343169;51.8370943926177
Speelplaats;Rubbertegels;Elementen;2030.A SP R3;Staringlaan;56.171;32.435;11.204;106280.643;427184.961;4.68039984199012;51.8311307136034
Speelplaats;Tegels 300x300x45;Elementen;2030.A SP R2;Staringlaan;96.150;80.502;37.701;106274.894;427177.438;4.68031750204775;51.8310625960979
Speelplaats;Rubbertegels;Elementen;2070.A SP R3;Tesselschadestraat;33.568;27.105;10.291;106337.985;426954.640;4.68126405941758;51.8290656019727
Speelplaats;Rubbertegels;Elementen;0150.A SP G1;Anton Mauvestraat;24.618;21.061;7.027;106266.215;427768.888;4.68010832205376;51.8363777454563
Speelplaats;Rubbertegels;Elementen;0230.A SP L2;Beltmolen;26.222;21.080;6.515;106968.078;427952.974;4.69026566581518;51.8380930864258
Speelplaats;Rubbertegels;Elementen;0260.A SP R2;Beukmolen;25.364;20.145;5.041;106809.057;428353.822;4.68790261236077;51.8416821814616
Speelplaats;Tegels 300x300x45;Elementen;1800.A SP R2;Potgieterstraat;32.390;23.999;7.900;106111.952;426976.065;4.67798219832741;51.8292384370966
Speelplaats;Rubbertegels;Elementen;0425.A SP L2;Dennenhof;42.472;27.115;8.644;108235.166;427918.492;4.70865447236545;51.8378906803145
Speelplaats;Onverhard;Overige;0531.B SP R2;Ericahof;188.126;56.233;17.142;108222.010;427579.530;4.70850941136989;51.8348430015105
Speelplaats;Gemengde Bestrating;Elementen;1450.A SP L2;Merwedestraat;76.207;39.251;14.294;107066.369;426383.799;4.69190905024482;51.8239978722834
Speelplaats;Tegels 300x300x45;Elementen;1282.A SP L1;Lisdreef;26.436;36.273;16.538;107896.286;428118.943;4.7037104079102;51.8396638503583
Speelplaats;Kunstgras speelplaatsen;Overige;0040.A SP R3;Acaciahof;26.670;20.658;5.223;107646.073;427657.261;4.70014312982154;51.8354931208604
Speelplaats;Tegels 300x300x45;Elementen;1840.A SP R1;Randwijk;140.174;60.469;24.517;106363.442;428135.534;4.68146739380528;51.8396816026731
Speelplaats;Tegels 300x300x45;Elementen;0620.A SP R2;Gerard Dousingel;129.032;97.704;46.050;106719.742;427787.657;4.68668564183008;51.8365858207009
Speelplaats;Rubbertegels;Elementen;2040.C SP M2;Stellingmolen;15.582;15.790;3.983;107095.253;428040.645;4.69209870268871;51.8388919883557
Speelplaats;Kunststof Sportaccommodatie;Overige;1220.A SP R2;Korenbloemstraat;50.127;30.263;10.233;107193.230;427228.439;4.69363246465929;51.8316003234927
Speelplaats;Kunststof Sportaccommodatie;Overige;1930.A SP R1;Scheidingslaan;62.916;35.391;12.768;107036.895;426881.452;4.69141261099287;51.8284682242693
Speelplaats;Tegels 300x300x45;Elementen;0260.A SP L1;Beukmolen;93.803;89.073;42.320;106751.267;428349.255;4.68706471178998;51.8416361445188
Speelplaats;Kunststof Sportaccommodatie;Overige;0260.A SP L3;Beukmolen;88.746;43.447;16.268;106753.522;428351.790;4.68709707847745;51.8416591236855
Speelplaats;Rubbertegels;Elementen;2040.A SP G1;Stellingmolen;49.544;27.201;6.800;107239.034;428080.021;4.69417941482242;51.8392582096084
Speelplaats;Tegels 300x300x45;Elementen;0767.A SP R1;Heidezoom;100.558;76.539;35.431;107338.251;427756.091;4.69566360245453;51.8363552211958
Speelplaats;Gemengde Bestrating;Elementen;1240.A SP R;Lage Molen;25.487;20.194;5.079;106780.945;428681.621;4.6874490156856;51.8446259857645
Speelplaats;Tegels 300x300x45;Elementen;2020.B SP L2;Standerdmolen;21.838;44.899;21.430;107075.263;428437.510;4.6917536924172;51.8424572679251
Speelplaats;Tegels 300x300x45;Elementen;2120.A SP L3;Torenmolen;4.634;12.306;5.275;106899.901;428543.382;4.68919441111583;51.8433937625309
Speelplaats;Onverhard;Overige;2365.A SP R4;Wieklaan;63.567;29.811;7.453;106912.446;428128.628;4.68943409396442;51.8396670655374
Speelplaats;Kunstgras speelplaatsen;Overige;0651.C SP L4;Groen v Prinstererstraat;19.934;18.257;5.512;107454.842;426916.672;4.69747045399788;51.8288205003702
Speelplaats;zand zandbak;Overige;2040.H SP L3;Stellingmolen;28.567;18.947;4.737;107071.373;427945.247;4.69176543669744;51.8380325091183
Speelplaats;Rubbertegels;Elementen;2470.A SP R2;Zilverschoonstraat;20.306;18.025;4.512;107064.593;427331.445;4.69175208202519;51.8325151135054
Speelplaats;Onverhard;Overige;0446.A SP R1;Dorstense aak;46.360;25.486;6.372;108636.725;427423.503;4.7145469760329;51.8334752075025
Speelplaats;Rubbertegels;Elementen;2255.A SP L3;Vinkenpad;13.749;15.999;5.500;106832.655;426676.260;4.68847848518228;51.8266064007319
Speelplaats;Onverhard;Overige;0531.B SP R1;Ericahof;25.021;17.976;4.494;108213.006;427595.327;4.70837664636255;51.834984230338
Speelplaats;Tegels 300x300x45;Elementen;1620.A SP L1;Parkweg;71.778;56.381;25.360;108405.691;427188.824;4.71122684091707;51.8313466980213
Speelplaats;Rubbertegels;Elementen;2410.A SP R2;Willem Roelofsstraat;39.175;25.055;6.506;106333.574;427880.309;4.68106992156146;51.8373850604869
Speelplaats;Betonstraatstenen Keiformaat;Elementen;0620.A SP R1;Gerard Dousingel;199.958;123.416;58.277;106714.702;427789.435;4.68661227121286;51.8366013656197
Speelplaats;Rubbertegels;Elementen;2070.A SP R1;Tesselschadestraat;69.639;34.714;11.061;106356.554;426942.437;4.68153513615139;51.8289575391345
Speelplaats;Tegels 300x300x45;Elementen;2430.A SP R3;Wipmolen;2.530;6.800;2.300;106683.175;428061.143;4.6861169258783;51.8390407306419
Speelplaats;Kunstgras speelplaatsen;Overige;0720.A SP R5;Haagbeukhof;62.474;28.245;7.061;107460.507;427693.774;4.69744590094016;51.8358055369766
Speelplaats;Tegels 300x300x45;Elementen;0026.A SP L1;Anemoonhof;45.871;42.898;19.040;108303.664;427929.636;4.70964680023721;51.8379965725514
Speelplaats;Tegels 300x300x45;Elementen;1245.A SP R1;Lancasterplein;223.337;63.680;21.407;109317.061;427530.609;4.72440283389851;51.8344939223769
Speelplaats;Rubbertegels;Elementen;2070.A SP G1;Tesselschadestraat;104.680;41.319;11.752;106298.897;426970.904;4.68069476058128;51.8292083760758
Speelplaats;Rubbertegels;Elementen;2030.B SP R2;Staringlaan;10.501;13.000;3.500;106212.390;427090.894;4.67942297554056;51.8302792906618
Speelplaats;Tegels 300x300x45;Elementen;1840.A SP R4;Randwijk;6.692;16.383;7.271;106356.786;428125.270;4.68137226202858;51.8395887711292
Speelplaats;Kunststof Sportaccommodatie;Overige;2040.H SP G;Stellingmolen;76.834;35.711;10.622;107060.207;427959.743;4.69160142185525;51.8381618400144
Speelplaats;Kunstgras speelplaatsen;Overige;2040.E SP L2;Stellingmolen;23.527;19.862;6.028;107151.819;428217.017;4.69289504009029;51.8404820561899
Speelplaats;Gietvloer;Overige;0195.A SP R1;Aviolandaplein;125.882;47.084;15.331;106230.165;426254.941;4.67979857348576;51.8227673532385
Speelplaats;Gemengde Bestrating;Elementen;1080.A SP L1;Johannes Vermeerstraat;402.718;152.668;70.632;106399.770;427700.193;4.68205563325341;51.8357719553483
Speelplaats;Muur Elementen;Elementen;2455.A SP G4;Zeeuwse schouw;1.662;17.029;8.315;108659.528;427281.165;4.71489684766906;51.8321977689015
Speelplaats;Kunststof Sportaccommodatie;Overige;0117.D SP G9;Andoornlaan;303.731;72.867;23.520;108751.552;427811.845;4.71616093402736;51.8369751331781
Speelplaats;Kunststof Sportaccommodatie;Overige;0117.D SP G;Andoornlaan;6396.285;327.880;99.937;108558.944;427830.378;4.71336396825488;51.8371257273447
Speelplaats;Kunststof Sportaccommodatie;Overige;0117.D SP G5;Andoornlaan;57.873;94.564;46.025;108736.792;427789.636;4.71594975564348;51.8367742970985
Speelplaats;Kunststof Sportaccommodatie;Overige;0117.D SP G8;Andoornlaan;919.037;316.203;152.058;108799.198;427792.708;4.71685476761824;51.8368070730838
Speelplaats;Kunstgras speelplaatsen;Overige;0345.A SP L2;Campanulahof;30.706;24.332;8.592;108046.586;427915.302;4.70591881534913;51.8378461891447
Speelplaats;Onverhard;Overige;1375.A SP R4;Meelbeshof;64.032;59.541;27.437;107905.055;427837.346;4.70387596730457;51.8371336098132
Speelplaats;Kunststof Sportaccommodatie;Overige;2000.A SP G;Spinbolmolen;16.774;18.281;6.598;107318.003;428311.852;4.69529325256205;51.8413486381327
Speelplaats;Tegels 300x300x45;Elementen;2120.A SP L4;Torenmolen;14.056;16.387;5.748;106903.963;428548.753;4.68925260658999;51.8434423864627
Speelplaats;Tegels 300x300x45;Elementen;1305.A SP R2;Lijsterbeshof;11.354;13.696;4.032;107657.258;427979.433;4.70026132773874;51.8383897339458
Speelplaats;Onverhard;Overige;2365.A SP R6;Wieklaan;59.166;28.978;7.245;106937.160;428124.547;4.68979324709158;51.8396325128908
Speelplaats;Kunstgras speelplaatsen;Overige;2455.A SP G1;Zeeuwse schouw;44.740;24.571;6.143;108655.710;427343.813;4.71483307141648;51.8327605309667
Speelplaats;Kunstgras speelplaatsen;Overige;0645.A SP L4;Giebelhof;150.264;50.297;15.375;108932.881;427626.358;4.71881646348966;51.835322963752
Speelplaats;Gemengde Bestrating;Elementen;2138.A SP L;Trompetnarcis;222.629;99.937;45.024;107045.663;427415.436;4.69146582527045;51.8332683951122
Speelplaats;Rubbertegels;Elementen;0680.A SP G1;Govert Flinckstraat;25.539;20.653;6.222;106459.299;427560.770;4.68293884466673;51.8345240077586
Speelplaats;Onverhard;Overige;1212.A SP R1;Kluchter;121.231;39.495;9.874;108877.675;427400.131;4.71804567677672;51.8332850850349
Speelplaats;Tegels 300x300x45;Elementen;1540.A SP L1;Oltmansstraat;122.555;57.876;23.785;106019.776;427108.921;4.67662629110167;51.830424463897
Speelplaats;Rubbertegels;Elementen;1540.A SP L2;Oltmansstraat;73.287;38.409;13.951;106028.777;427105.293;4.67675737676056;51.8303926447067
Speelplaats;Betonstraatstenen Keiformaat;Elementen;1060.A SP G4;J.J. Vorrinkstraat;3.301;13.472;6.204;107874.216;427007.642;4.70354150396883;51.8296736641047
Speelplaats;Tegels 300x300x45;Elementen;2330.A SP R1;Watermolen;70.640;50.122;21.824;107247.088;428431.719;4.69424773180029;51.8424199359793
Speelplaats;Rubbertegels;Elementen;2330.A SP R3;Watermolen;16.201;16.201;4.500;107252.877;428432.300;4.69433165193805;51.8424256528854
Speelplaats;Rubbertegels;Elementen;1620.A SP L2;Parkweg;29.627;21.782;5.608;108409.046;427189.501;4.71127542016895;51.8313530626711
Speelplaats;Tegels 300x300x45;Elementen;2430.A SP R1;Wipmolen;39.667;38.094;16.667;106684.381;428054.844;4.68613530354548;51.8389842200339
Speelplaats;Onverhard;Overige;2240.H SP G7;Veerweg;77.923;35.761;10.357;106677.778;427137.542;4.68616757374486;51.8307390034322
Speelplaats;Rubbertegels;Elementen;0761.B SP L2;Wiardi Beckmanstraat;65.522;35.959;12.900;107754.235;427227.236;4.70177105771675;51.8316372335248
Speelplaats;Betonstraatstenen Dikformaat;Elementen;0240.A SP R1;Berkenhof;236.186;93.317;40.881;107566.105;427586.840;4.69899259622004;51.8348533961413
Speelplaats;Kunstgras speelplaatsen;Overige;1535.A SP L2;Notenhof;27.775;21.054;5.263;107764.462;427929.744;4.70182353954634;51.8379522075304
Speelplaats;Tegels 300x300x45;Elementen;1760.B SP L3;P.J. Troelstrastraat;31.990;22.644;5.897;107554.667;427098.108;4.69889364685062;51.8304597248935
Speelplaats;Tegels 300x300x45;Elementen;2365.A SP R1;Wieklaan;93.832;40.564;13.142;106984.698;428112.792;4.69048462752684;51.8395309482164
Speelplaats;Tegels 300x300x45;Elementen;2240.H SP G1;Veerweg;51.051;28.598;7.400;106688.089;427175.101;4.6863119090565;51.831077472995
Speelplaats;Tegels 300x300x45;Elementen;2030.B SP R1;Staringlaan;120.158;72.318;32.457;106206.815;427090.236;4.67934219512528;51.8302728897755
Speelplaats;Rubbertegels;Elementen;1760.B SP L1;P.J. Troelstrastraat;47.516;30.461;10.852;107561.934;427106.429;4.69899792532206;51.8305351307317
