FID,id,soort,systeem,status,land,se_anno_cad_data,gdb_geomattr_data,shape
symbolen.1,48,Vast,VSS,Actief,Nederland,,,"POLYGON ((488735.0137 5917729.650900001, 489043.9824999999 5917609.464400001, 487650.4291000003 5913859.6570999995, 487960.51999999955 5913748.334100001, 487134.82380000036 5912988.4145, 487013.6437999997 5914093.413799999, 487332.5981999999 5913980.966499999, 488735.0137 5917729.650900001))"
symbolen.2,48,Vast,VSS,Actief,Nederland,,,"POLYGON ((493027.8331000004 5910643.6975, 492717.04339999985 5910759.0929000005, 494052.4661999997 5914529.994100001, 493740.69180000015 5914636.5107, 494554.54310000036 5915409.102299999, 494692.78920000046 5914306.1083, 494372.13520000037 5914413.612199999, 493027.8331000004 5910643.6975))"
symbolen.3,1112,Vast,VSS,Actief,Engeland,,,"POLYGON ((320954.03920000046 5941045.951400001, 321112.73780000024 5941600.0101, 321187.1769000003 5941533.7754999995, 321187.44600000046 5941533.538000001, 321187.7708999999 5941533.2545, 321190.1660000002 5941531.1921, 321192.0412999997 5941529.653100001, 321197.19880000036 5941525.6263, 321197.5275999997 5941525.3726, 321199.84279999975 5941523.6987, 321205.25370000023 5941520.018300001, 321205.5974000003 5941519.786599999, 321208.0170999998 5941518.2677, 321213.6571000004 5941514.9486, 321214.0162000004 5941514.7392, 321216.5301999999 5941513.382300001, 321222.37430000026 5941510.4394000005, 321222.74569999985 5941510.2541000005, 321225.3432 5941509.063999999, 321231.3680999996 5941506.5101, 321231.75090000033 5941506.348999999, 321234.4204000002 5941505.331800001, 321240.5990000004 5941503.176899999, 321240.99230000004 5941503.042099999, 321243.72279999964 5941502.202400001, 321250.0286999997 5941500.4561, 321250.4294999996 5941500.347200001, 321253.2095999997 5941499.6866, 321259.61649999954 5941498.356899999, 321260.0234000003 5941498.2739, 321262.8399 5941497.7972, 321269.3201000001 5941496.888900001, 321269.73149999976 5941496.8332, 321272.57430000044 5941496.5408, 321279.09970000014 5941496.0593, 321279.51410000026 5941496.030300001, 321282.36840000004 5941495.9241, 321288.9127000002 5941495.8696, 321289.32749999966 5941495.8683, 321292.18400000036 5941495.9504, 321298.71640000027 5941496.323100001, 321299.1308000004 5941496.349400001, 321301.9749999996 5941496.618100001, 321308.47009999957 5941497.4175, 321308.8814000003 5941497.4701000005, 321311.7023 5941497.923599999, 321318.1303000003 5941499.147500001, 321318.53809999954 5941499.226500001, 321321.32299999986 5941499.863500001, 321327.6579 5941501.5044, 321328.0591000002 5941501.6106, 321330.79619999975 5941502.428400001, 321337.00989999995 5941504.479800001, 321337.4040999999 5941504.612299999, 321340.0823999997 5941505.607100001, 321346.1476999996 5941508.0614, 321346.5332000004 5941508.218599999, 321349.13939999975 5941509.3871, 321355.03270000033 5941512.2326, 321355.4053999996 5941512.413899999, 321357.9308000002 5941513.751, 321363.6253000004 5941516.975299999, 321363.9857000001 5941517.181700001, 321366.4176000003 5941518.6799, 321371.8886000002 5941522.270300001, 321372.23450000025 5941522.499, 321374.5632999996 5941524.1544, 321379.78809999954 5941528.094699999, 321380.1185999997 5941528.3462000005, 321382.3340999996 5941530.1491, 321387.2898000004 5941534.422599999, 321387.60280000046 5941534.694800001, 321389.69629999995 5941536.6394, 321394.3618000001 5941541.2281, 321394.65670000017 5941541.520400001, 321395.7633999996 5941542.6631000005, 321396.77610000037 5941543.741699999, 321397.0290000001 5941544.013, 322931.5181 5943203.8456999995, 322958.15589999966 5943180.704500001, 321424.7888000002 5941514.8366, 321423.98450000025 5941513.941500001, 321423.9780000001 5941513.933599999, 321420.78259999957 5941510.290100001, 321418.9665999999 5941508.0956999995, 321414.94020000007 5941502.936799999, 321414.68649999984 5941502.6084, 321413.01269999985 5941500.293199999, 321409.3322999999 5941494.8828, 321409.1001000004 5941494.5382, 321407.58160000015 5941492.119000001, 321404.26209999993 5941486.478499999, 321404.0535000004 5941486.1203000005, 321402.6967000002 5941483.606699999, 321399.75370000023 5941477.761299999, 321399.5680999998 5941477.3895, 321398.3783999998 5941474.7925, 321395.8244000003 5941468.768300001, 321395.6628999999 5941468.3851, 321394.6462000003 5941465.7161, 321392.4912999999 5941459.536599999, 321392.35649999976 5941459.145, 321391.5153999999 5941456.413699999, 321389.76960000023 5941450.1073, 321389.66029999964 5941449.707, 321388.99959999975 5941446.926899999, 321387.67080000043 5941440.520400001, 321387.5873999996 5941440.113500001, 321387.10979999974 5941437.2961, 321386.2028999999 5941430.8155000005, 321386.1470999997 5941430.404100001, 321385.85479999986 5941427.563100001, 321385.37229999993 5941421.0363, 321385.34339999966 5941420.622400001, 321385.23840000015 5941417.7677, 321385.18400000036 5941411.2238, 321385.1821999997 5941410.808499999, 321385.2642999999 5941407.953400001, 321385.63790000044 5941401.419600001, 321385.6628999999 5941401.0057, 321385.9310999997 5941398.1611, 321386.7318000002 5941391.665899999, 321386.7840999998 5941391.2546, 321387.23759999964 5941388.4333, 321388.46190000046 5941382.0053, 321388.5404000003 5941381.5975, 321389.1777999997 5941378.813100001, 321390.8191999998 5941372.478599999, 321390.9249999998 5941372.0769, 321391.7423999999 5941369.3399, 321393.79420000035 5941363.125700001, 321393.9263000004 5941362.731899999, 321394.9210000001 5941360.0546, 321397.37490000017 5941353.9879, 321397.5329 5941353.603800001, 321398.7011000002 5941350.996200001, 321401.5465000002 5941345.103800001, 321401.7282999996 5941344.7302, 321403.0645000003 5941342.205700001, 321406.29009999987 5941336.5121, 321406.4956 5941336.151699999, 321407.99430000037 5941333.718900001, 321411.58380000014 5941328.2487, 321411.81340000033 5941327.901900001, 321413.46829999983 5941325.572699999, 321417.4090999998 5941320.347999999, 321417.6593000004 5941320.018300001, 321419.4634999996 5941317.8015, 321423.73610000033 5941312.8463, 321424.0091000004 5941312.533299999, 321425.9534 5941310.439300001, 321430.54200000037 5941305.774700001, 321430.83440000005 5941305.4789, 321432.22020000033 5941304.1457, 321434.2834000001 5941302.2357, 321434.80319999997 5941301.7611, 321495.49480000045 5941247.133199999, 320954.03920000046 5941045.951400001))"
symbolen.4,1112,Vast,VSS,Actief,Engeland,,,"POLYGON ((321553.3439999996 5940556.2678, 323075.0022 5942232.8375, 323075.5689000003 5942233.474099999, 323075.80590000004 5942233.744899999, 323078.9753999999 5942237.412599999, 323080.77520000003 5942239.618899999, 323084.7659 5942244.805400001, 323084.8049999997 5942244.8564, 323086.67509999964 5942247.462200001, 323090.3173000002 5942252.898499999, 323090.35369999986 5942252.952500001, 323092.0491000004 5942255.6746, 323095.3278000001 5942261.3379, 323095.3607000001 5942261.394099999, 323096.8739 5942264.221100001, 323099.77550000045 5942270.0867, 323099.8048999999 5942270.1447, 323101.1298000002 5942273.0648, 323103.6425000001 5942279.107799999, 323103.6671000002 5942279.1675, 323104.7988 5942282.167400001, 323106.9106999999 5942288.3619, 323106.93090000004 5942288.4233, 323107.8646 5942291.4914, 323109.56570000015 5942297.8101, 323109.5822999999 5942297.872400001, 323110.3128000004 5942300.9953000005, 323111.59810000006 5942307.4123, 323111.61089999974 5942307.475500001, 323112.1354 5942310.6392, 323112.99760000035 5942317.1269000005, 323113.0059000002 5942317.1906, 323113.3229 5942320.381999999, 323113.7597000003 5942326.9109000005, 323113.7631999999 5942326.9759, 323113.87069999985 5942330.1809, 323113.8786000004 5942336.725199999, 323113.8786000004 5942336.7893, 323113.77639999986 5942339.995100001, 323113.3562000003 5942346.5254, 323113.3526999997 5942346.5899, 323113.0393000003 5942349.782199999, 323112.1942999996 5942356.2707, 323112.1854999997 5942356.3353, 323111.6656999998 5942359.4999, 323110.39749999996 5942365.9191, 323110.3848000001 5942365.9836, 323109.65830000024 5942369.106899999, 323107.97300000023 5942375.43, 323107.95639999956 5942375.4923, 323107.02749999985 5942378.562100001, 323104.9314000001 5942384.761399999, 323104.9112 5942384.822899999, 323103.7834000001 5942387.824999999, 323101.2868999997 5942393.8737, 323101.2619000003 5942393.9343, 323099.9406000003 5942396.855699999, 323097.0533999996 5942402.728399999, 323097.02579999994 5942402.7859000005, 323095.5148 5942405.616, 323092.25100000016 5942411.2872, 323092.2181000002 5942411.3434, 323090.5270999996 5942414.0681, 323086.8985000001 5942419.513699999, 323086.8624999998 5942419.5677000005, 323084.9960000003 5942422.1756, 323081.0192 5942427.372300001, 323080.97890000045 5942427.4245, 323078.9473000001 5942429.9043000005, 323074.6387 5942434.829700001, 323074.5957000004 5942434.878799999, 323072.4042999996 5942437.220799999, 323067.78309999965 5942441.8542, 323067.7374999998 5942441.8993999995, 323066.09389999975 5942443.4705, 323064.0170999998 5942445.3661, 323063.4946999997 5942445.8366, 323002.42080000043 5942500.038799999, 323542.45409999974 5942705.0085, 323387.6409 5942149.8533, 323312.73950000014 5942215.5627999995, 323312.73340000026 5942215.569, 323312.1420999998 5942216.0799, 323309.7337999996 5942218.125600001, 323307.8465999998 5942219.6515, 323302.66050000023 5942223.642200001, 323302.60869999975 5942223.681299999, 323300.00299999956 5942225.5514, 323294.5674999999 5942229.193600001, 323294.5131000001 5942229.2304, 323291.7910000002 5942230.9253, 323286.1289999997 5942234.2041, 323286.0728000002 5942234.237, 323283.2449000003 5942235.7502, 323277.3797000004 5942238.6523, 323277.32180000003 5942238.6811999995, 323274.4012000002 5942240.006100001, 323268.3591 5942242.5188, 323268.29849999957 5942242.543400001, 323265.2977 5942243.675100001, 323259.1041000001 5942245.7870000005, 323259.04310000036 5942245.807600001, 323255.97420000006 5942246.740900001, 323249.65639999975 5942248.442, 323249.5932 5942248.4586, 323246.47030000016 5942249.1895, 323240.0541000003 5942250.4749, 323239.9900000002 5942250.487199999, 323236.82629999984 5942251.011700001, 323230.33999999985 5942251.8739, 323230.2753999997 5942251.882200001, 323227.0839999998 5942252.199200001, 323220.5554999998 5942252.6351, 323220.49010000005 5942252.6395, 323217.2846999997 5942252.7469999995, 323210.7412999999 5942252.7554, 323210.67590000015 5942252.7554, 323207.47169999965 5942252.6526, 323200.94099999964 5942252.2325, 323200.8755999999 5942252.229, 323197.68429999985 5942251.9156, 323191.1952999998 5942251.070599999, 323191.13069999963 5942251.061799999, 323187.9665999999 5942250.541999999, 323181.5465000002 5942249.273800001, 323181.48280000035 5942249.2611, 323178.3590000002 5942248.534600001, 323172.0368999997 5942246.8498, 323171.9731999999 5942246.8331, 323168.90390000027 5942245.9033, 323162.7050000001 5942243.8081, 323162.64360000007 5942243.7875, 323159.6409999998 5942242.659700001, 323153.5917999996 5942240.163699999, 323153.5321000004 5942240.1382, 323150.60979999974 5942238.8169, 323144.7379999999 5942235.930199999, 323144.67920000013 5942235.9012, 323141.8499999996 5942234.391100001, 323136.17920000013 5942231.126800001, 323136.1222000001 5942231.094799999, 323133.39829999954 5942229.4034, 323127.9528000001 5942225.7739, 323127.8987999996 5942225.738399999, 323125.2904000003 5942223.872300001, 323120.09329999983 5942219.895500001, 323120.04229999986 5942219.8552, 323117.56209999975 5942217.822699999, 323112.63630000036 5942213.5141, 323112.58800000045 5942213.471999999, 323110.2456 5942211.2806, 323105.61259999964 5942206.659399999, 323105.5669999998 5942206.6138, 323104.22059999965 5942205.2147, 323103.21580000035 5942204.1291000005, 323102.96559999976 5942203.8565, 321580.14279999956 5940533.3122000005, 321553.3439999996 5940556.2678))"
symbolen.5,1,Vast,VSS,Actief,Duitsland,,,"POLYGON ((841182.0436000004 5997734.2015, 841196.5909000002 5997402.999600001, 837203.1846000003 5997166.8641, 837226.2965000002 5996838.207, 836198.0234000003 5997287.549699999, 837160.4358999999 5997843.850299999, 837186.0925000003 5997506.6296, 841182.0436000004 5997734.2015))"
symbolen.6,2,Vast,VSS,Actief,Duitsland,,,"POLYGON ((838699.4676000001 5995222.833699999, 839812.1178000001 5994982.6521000005, 838972.5401999997 5994252.7377, 838880.9159000004 5994578.234099999, 835015.6917000003 5993525.6183, 834932.7438000003 5993846.5954, 838790.2640000004 5994906.1225000005, 838699.4676000001 5995222.833699999))"
symbolen.7,3,Vast,VSS,Actief,Duitsland,,,"POLYGON ((797533.9874 6005630.9166, 798480.4644999998 6005047.9169, 798195.8371000001 6004865.26, 800292.9721999997 6001456.236199999, 800008.3689000001 6001286.2140999995, 797904.9058999997 6004688.9329, 797626.6080999998 6004512.5811, 797533.9874 6005630.9166))"
symbolen.8,4,Vast,VSS,Actief,Duitsland,,,"POLYGON ((794043.0143999998 6004556.3083, 796097.5228000004 6001123.8101, 796378.3187999995 6001296.157, 796454.9097999996 6000176.6099, 795516.8816999998 6000773.1065, 795804.0955999997 6000951.667300001, 793756.0045999996 6004390.3796999995, 794043.0143999998 6004556.3083))"
symbolen.9,5,Vast,VSS,Actief,Duitsland,,,"POLYGON ((781697.8343000002 5988484.705399999, 781791.6152999997 5988166.7256000005, 777972.2306000004 5986977.036599999, 778073.7122 5986663.5858, 776967.5500999996 5986852.4191, 777767.9096999997 5987623.8671, 777873.9206999997 5987302.716600001, 781697.8343000002 5988484.705399999))"
symbolen.10,6,Vast,VSS,Actief,Duitsland,,,"POLYGON ((779551.7494000001 5978122.970000001, 783355.1798 5979362.7137, 783249.5920000002 5979674.804099999, 784358.1382999998 5979500.5129, 783567.9782999996 5978718.6216, 783457.7593 5979038.352, 779649.6977000004 5977806.2491999995, 779551.7494000001 5978122.970000001))"
