Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Digital Revolution B.V.;;;;;;1;;1
Discountoffice.nl B.V.;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;;2;1;;2
DPG Media B.V.;;;;;;;1;1
Driessen Advocatuur;;;;;;;1;1
DSA Express & Logistics Soest B.V.;;;;1;;;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;;1;;1
Dusseldorp Den Haag B.V.;;;;;;1;;1
easy2rent B.V.;1;;;;;;;1
EcoCleaners Africa;;1;2;;;1;;2
Erstad B.V.;;1;;;;1;;1
Espressissimo B.V.;;;;;1;1;;1
Everaert Advocaten;;;;;;;1;1
FaberExposize B.V.;;;;;1;;;1
Facility Services Nederland B.V.;;2;;;;;;2
Facilitylinq B.V.;;;;;2;;;2
Flatland Galerie;;;;;2;;;2
Flexa Media;1;;;;;;;1
Fresh Air Solutions B.V.;;;;;1;;;1
G & G Opleidingen Eerste Hulp & BHV;;1;;;;;;1
G4S Cash Solutions B.V.;;;;;;;1;1
Galerie Caroline O'Breen;;;;;2;;;2
Galerie Cokkie Snoei;;;;;2;;;2
galerie dudokdegroot;;;;;1;;;1
Galerie Fons Welters;;;;;1;;;1
Galerie Maurits van de Laar;;;;;2;;;2
Galerie Ramakers;;;;;2;;;2
Galerie Van Zomeren;;;;;1;;;1
Galerie Wouter van Leeuwen;;;;;2;;;2
Gannexion B.V.;;1;;;;;;1
Gemmy Woud-Binnendijk;;;;;1;;;1
Geran Handel B.V.;;1;;;;;;1
Gispen Nederland B.V.;;;;;;1;;1
Goedman Kunstenaarsbenodigdheden;;;;;1;;;1
Goedman Lijstenmakers B.V.;;;;;2;;;2
Granny's Corner;1;;;;;;;1
Hagg & Van Koesveld advocaten;;;;;;;1;1
HAGO Electronics B.V.;;;;;1;;;1
Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;;;1;;1
Helicon Conservation Support B.V.;;;;;1;;;1
Heringa/Van Kalsbeek;;;;;2;;;2
Hero;;;;;2;;;2
Het Sleutelhuis B.V.;;1;;;;;;1
Het Stempel No. 539 B.V.;;;;;;1;;1
Heto B.V.;;;;;1;;;1
HJDC;;1;;;;1;;1
Holland Promotion B.V.;;;;;;1;;1
Hygiënepapier.nl B.V.;;;;;;1;;1
ING Bank;;2;1;1;3;3;1;4
Jacko Brinkman Contemporary Art;;;;;2;;;2
Jalema B.V.;;;;;;1;;1
Jerney de Jong;;;;;;1;;1
Juma International B.V.;;;;;1;;;1
Kamala Laghate;;;;;;1;;1
Karin Bos;;;;;1;;;1
Klarna B.V.;;;;;;;1;1
KLM;;;;2;;;;2
KloegCom Webwinkels;;;;;;1;;1
kommago.nl;;;;;;1;;1
Kompas Reclamewerk;;;;;1;;;1
Koninklijke van der Most B.V.;;;;;;2;;2
Krista van der Niet-Fotografie;;;;;1;;;1
Kunstvallei B.V.;;;;;;;1;1
L.M. Nieuwstad;;;;;2;;;2
Le Strasbourg;1;;;;;;;1
Leisure Management Solutions;;;;;1;;;1
Livewords;;;;;;1;;1
Loes van Duijvendijk;;;;;2;;;2
Lois Janssen;;;;;;1;;1
Lyreco Nederland B.V.;;1;;;1;2;;2
Maison de France Den Haag B.V.;;;;;;1;;1
Margriet Smulders Beeldende Kunst;;;;;1;;;1
Markus & Markus stroopwafels;;;;;;1;;1
Marlink B.V.;;1;;;;;;1
Martin Roemers;;;;;1;;;1
MaximaVida;;;;;1;;;1
MCI Carpets B.V.;;;;;1;;;1
Meetingselect B.V.;2;;;;;;;2
Metos B.V.;;;;;1;;;1
Moduli Print B.V.;;;;;;1;;1
mr. H. Kayed;;;;;;;1;1
Multicopy IJsselstein-Nieuwegein;;;;;;1;;1
Multigift Relatiegeschenken B.V.;;;;;;1;;1
Mundo International Logistics B.V.;;;;1;;;;1
NAi Boekverkopers/Booksellers;;;;;;1;;1
Nederlandse Vereniging voor Burgerzaken;;;;;;1;;1
Nedvan Projectverhuizingen Facility Solutions;;;;;1;;;1
Network Innovations B.V.;;1;;;;;;1
Nieuwenhuizen Sprang-Capelle B.V.;;;;;;1;;1
OBT B.V.;;;;;;1;;1
Office Deals B.V.;;;;;;1;;1
Office Depot B.V.;;;;;;1;;1
Officefood;;;;;;1;;1
Olssen B.V.;;;;1;1;;;1
ONGEKEND Young Masters @ Auction;;;;;2;;;2
Opnivo Horecameubilair;;;;;1;;;1
Pactechno;;;;;;1;;1
PATboard B.V.;;;;;;1;;1
PCextreme B.V.;;;;;;1;;1
Pedalfactory B.V.;;;;;;1;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;2;2
People & Print Group;;;;;;1;;1
Personal Art/Living Stone Editions;;;;;1;;;1
PhotoLogiX;;;;;1;;;1
Pica2;;;;;;1;;1
Piet Klerkx;;;;;1;;;1
PinsandMore.nl;;;;;;1;;1
Prakken d'Oliveira Human Rights Law. Coöp. UA;;;;;;;3;3
PreKan Exploitatie B.V.;;;;;;1;;1
PreSafe B.V.;;1;;;;;;1
Procardio B.V.;;1;;;;;;1
Promar Sales Rotterdam B.V.;;;;;1;;;1
Pyongyang Design;;;;;;1;;1
QC Light Factory B.V.;;;;;4;;;4
QoQ-light, meer dan licht;;;;;;1;;1
Quinton Brandveiligheid B.V.;;2;;;;1;;2
Ravelijn Advocaten;;;;;;;1;1
Richard Harmanni;;;;;1;;;1
RONMANDOS galerie;;;;;2;;;2
Safety Webshops Europe B.V.;;1;;;;;;1
Sander Creman Art Design Projects;;;;;1;;;1
Schut-Copex B.V.;;;;6;;;;6
Seceurtronics Nederland B.V.;;;;;;1;;1
Semaphore Signs B.V.;;;;;;1;;1
Staat & Co Businessgifts B.V.;;;;;;1;;1
Staples Nederland B.V.;;;;;;1;;1
Stichting Dutch National Portrait Gallery;;;;;1;;;1
Stichting Heden Den Haag;;;;;1;;;1
Stichting ICA Nederland;;;;;;1;;1
Stichting NBTC Holland Marketing;;;;;;1;;1
Stichting Pensioenfonds ABP;;;;;;;1;1
Stichting Vrienden van het Mauritshuis;;;;;;1;;1
Stichting We Like Art;;;;;2;;;2
Stichting World Press Photo;;;;;;1;;1
Stomerij Panda;;;;;;1;;1
Suzette Bousema;;;;;1;;;1
Technisch Bureau Verhagen B.V.;;;;1;;;;1
Technolab B.V.;;;;;1;;;1
tegenboschvanvreden;;;;;2;;;2
Thinking of Holland;;;;;;1;;1
Topa Verpakking B.V.;;;;;;1;;1
Topper Verpakkingen;;;;;;1;;1
Torch Gallery;;;;;2;;;2
Trast B.V.;;;;;;;1;1
Turfpoort B.V.;;;;;1;;;1
Uno Automatiseringdiensten B.V.;1;;;;;;;1
Upstream Gallery;;;;;1;;;1
Van Bremen en Sen Advocaten B.V.;;;;;;;1;1
Van den Eijnden - ontwerp B.V.;;;;;1;;;1
Van der Woude De Graaf Advocaten;;;;;;;1;1
Van Dorp installaties Rotterdam;;;;;2;;;2
Van Pommeren B.V.;;;;;1;1;;1
VCK Travel B.V.;;;;;;1;;1
Vlaggen Unie B.V.;;;;;1;;;1
VP Deco Deurne;;;;;;1;;1
Vrolijk Watersport B.V.;;;;;1;;;1
WebinarGeek B.V.;;;;;;1;;1
Wolvers Porselein;;;;;1;;;1
Worldmeetings.com B.V.;;;;;;;1;1
WorldPay;;;;;;;1;1
Xerox (Nederland) B.V.;;;;;;1;;1
XTANDIT B.V.;;;;;;1;;1
ZIC ZERP;;;;;1;;;1
Eindtotaal;2;3;2;7;7;5;4;7
