Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financien;Eindtotaal
Andersson Elffers Felix;;;4;;4
Anoniem 3;1;;;;1
Apps B.V.;;2;;;2
AWVN (Algemene Werkg.ver. Nederland);;;2;;2
Baker Tilly Berk Eindhoven;;;;2;2
BDO Accountants;;;;3;3
Between B.V.;;;2;;2
Bureautaal B.V.;;2;;;2
C6 Consultancy B.V.;;;2;;2
Considerati B.V.;;;2;;2
Co�p. Adv.centr. Besch. Vit. Infrastruct. UA;;;2;;2
COT Inst. v. Veiligh. & Crisismanagement B.V.;;;2;;2
De Staffing Groep Nederland B.V.;2;;;;2
Diversey B.V.;1;;;;1
Doxa HR;;;;2;2
Driekwadraat CoÃ¶peratie UA;;;2;;2
Effectory B.V.;;;4;;4
Ernst & Young Accountants LLP;;;;6;6
Ernst & Young Belastingadviseurs LLP;;;;1;1
Hellemans Consultancy B.V.;;;;2;2
Hoffmann Bedrijfsrecherche B.V.;;;4;;4
Hotel Contact B.V.;1;;;;1
Human Capital Engine;;;1;;1
I & O Research Groep B.V.;;;5;;5
Improven B.V.;;;2;;2
IP Begeleiding;;;3;;3
J.L.J. Peters Consultancy;1;;;;1
Jong & Je Wil Wat;;;1;;1
KPMG Accountants N.V.;;;;4;4
KPMG Audit;;;;2;2
Law Fathers B.V.;1;;;;1
Linguist Link Europe;1;;;;1
Motivaction International B.V.;;;1;;1
N.V. Nederlandse Gasunie;4;;;;4
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;2
Nijssen People Support;1;;;;1
NovÃ¡ccent ICT Solutions B.V.;1;;;;1
POSG;1;;;;1
Pricewaterhousecoopers N.V.;;;2;5;5
Protinus IT B.V.;1;;;;1
RebelGroup Executives B.V.;;;4;;4
RONT Management Consultants B.V.;;;2;;2
SAMR;;;5;;5
Sander Flight onderzoek & advies;;;2;;2
Significant B.V.;;;4;;4
Sira Consulting B.V.;;;2;;2
SKETCH behavioral analysis and research;;;1;;1
Sogeti Nederland B.V.;2;;;;2
St. Hamfonds v.h. Pers. Centr. Bur. de Stat.;1;;;;1
St. Landelijke Expertisegr. Veiligheidsperc.;;;2;;2
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;2;;1;;2
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;2;;2
Stg. Onderst. 2e Kamerfractie Part. v.d. Arb.;2;;;;2
Stichting Rijnstate;1;;;;1
Stichting Veiligheidshuis Zeeland;1;;;;1
Towers Watson Netherlands B.V.;;;2;;2
TRConsult B.V.;;;2;;2
TRES internet B.V.;;2;;;2
Vanberkel Professionals B.V.;;;;2;2
Yellowtail B.V.;;;;2;2
Zorg van de Zaak N.V.;2;;;;2
Eindtotaal;5;3;7;7;7
