Leverancier;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Abbott Informatics Netherlands B.V.;;;;;2;2
Appical B.V.;;;;;2;2
AST Marine Sciences Ltd;;;;2;;2
Atos Nederland B.V.;;;4;;;4
Barnsten Business Solutions B.V.;;;;;1;1
BIJ12;;;;;2;2
BioAware SA N.V.;;;;;2;2
Biomatters Ltd;;;;;2;2
Centralpoint Nijmegen B.V.;2;;;2;1;2
Classic Incasso B.V.;;;;1;;1
ClickOn B.V.;2;;;;2;2
CLS-Collecte Localisation Satellites;;;;4;;4
CM.COM Netherlands B.V.;;;;2;;2
COMPAREX Nederland B.V.;;;;;2;2
Cyclomedia;;;;;2;2
DataExpert B.V.;1;;;;1;2
De Staffing Groep Nederland B.V.;;;6;;;6
Dekimo Goes B.V.;;;;;1;1
Deloitte Belastingadviseurs B.V.;;;;;2;2
Fast Flex B.V.;;;4;;;4
Fidato B.V.;;;;;1;1
HeadFirst B.V.;;;7;;;7
Improven B.V.;;;4;;;4
Inmarsat Solutions B.V.;;;;4;;4
Innolabel;;;;1;;1
InsightsWorld B.V.;;;;;1;1
Intellisphere Limited;;;;1;;1
ItaQ;;;2;;;2
iWelcome B.V.;;;;;2;2
Kamera Express Rotterdam B.V.;;;;1;;1
Kiwa Register B.V.;;;;;1;1
KPN B.V.;;;;1;;1
Magnet Forensics;;1;;;2;2
Mitutoyo Nederland B.V.;1;;;;;1
O&i management consultants B.V.;;;;;2;2
Observation International;;;;;2;2
Optelec Nederland B.V.;;;;;1;1
Optima Forma B.V.;;;;;1;1
Orcavoice B.V.;;;;1;;1
Ordina Nederland B.V.;;;5;;;5
Paraben Corporation;;;;;1;1
Protinus IT B.V.;3;;;6;2;6
PW Consulting B.V.;;;2;;;2
Qiagen Benelux B.V.;;;;;2;2
Rotfox;;;;;1;1
Schiphol Telematics B.V.;;;;1;;1
Schippers IT B.V.;;;;1;1;1
Sendiri;;;;;1;1
Simplefly B.V.;;;;;2;2
Siteimprove B.V.;;;;;2;2
SoftwareONE B.V.;;;;;4;4
Start People;1;;;;;1
Stichting Kwaliteits-Controle-Bureau;;;;;2;2
Stichting Pleio;;;;;2;2
Technische Unie;1;;;;;1
Testo;;;;1;;1
The Internet Academy;;;;;1;1
UnifiedPost B.V.;;;;;1;1
UP learning B.V.;;;;;2;2
Van Domburgh Videoproducties;;;;;2;2
Vodafone;;;;6;;6
VSN International Limited;;;;;1;1
Waters Chromatography B.V.;1;;;;1;1
WiesWeb Application Development;;;;;2;2
Yes Telecom Netherlands B.V.;;;;1;;1
ZuivelNL;;;;;1;1
Eindtotaal;4;1;7;7;6;8
