FID,omschr,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
adviessnelheid_kenmerk.1,90,R,142.46400452,R,143.19999695,H,002,KLK0008058689,R,I,,"LINESTRING (157763.42320000008 388961.8403999992, 157782.4279000014 388977.35020000115, 157790.07019999996 388983.8000999987, 157797.51960000023 388990.48270000145, 157806.05409999937 388998.52749999985, 157809.59580000117 389002.06219999865, 157813.1261 389005.6072999984, 157819.9657999985 389012.9026999995, 157829.27659999952 389023.7536999993, 157835.48629999906 389031.5940000005, 157841.432599999 389039.59980000183, 157850.2126000002 389052.5469000004, 157855.49269999936 389061.03929999843, 157862.11470000073 389072.71599999815, 157866.6827000007 389081.6149000004, 157870.9101999998 389090.6783999987, 157872.93050000072 389095.26680000126, 157877.7366000004 389107.2729000002, 157881.18180000037 389116.66270000115, 157885.11890000105 389128.9642999992, 157889.03950000182 389143.44319999963, 157890.22150000185 389148.30420000106, 157892.41180000082 389158.7815999985, 157894.07389999926 389168.6429999992, 157895.41220000014 389178.5414999984, 157896.93409999833 389193.82090000063, 157897.39550000057 389203.8103, 157897.5593000017 389213.814100001, 157897.29610000178 389227.8253999986, 157896.66220000014 389237.8104000017, 157895.64939999953 389247.7591000013, 157893.65060000122 389262.60550000146, 157891.9893000014 389272.21379999816, 157889.9464999996 389282.0036999993, 157887.46389999986 389291.6821000017, 157885.05840000138 389300.1737000011, 157883.62480000034 389304.96599999815, 157880.4477000013 389314.44790000096, 157878.74219999835 389319.1501000002, 157874.1468999982 389330.50019999966, 157870.06799999997 389339.6312999986, 157863.51590000093 389353.0551000014, 157858.76700000092 389361.8616999984, 157851.21229999885 389374.8203999996, 157843.22089999914 389387.504900001, 157833.81549999863 389401.69110000134, 157822.5304000005 389418.20320000127, 157768.7617000006 389495.3579000011, 157699.9915000014 389593.9732000008, 157698.15190000087 389597.54580000043)"
adviessnelheid_kenmerk.2,50,R,161.31199646,R,161.51199341,T,002,KLK0008059317,L,I,,"LINESTRING (157743.21200000122 383161.9624999985, 157745.37200000137 383178.8247000016, 157747.1052000001 383190.10599999875, 157748.08570000157 383195.0245000012, 157750.3403000012 383203.4563000016, 157751.95179999992 383208.1897, 157753.92170000076 383212.79740000144, 157757.08150000125 383218.75189999864, 157759.94420000166 383222.8423999995, 157763.22150000185 383226.6218999997, 157766.84120000154 383230.08480000123, 157770.95870000124 383233.37579999864, 157775.14400000125 383235.99720000103, 157779.66580000147 383238.13170000166, 157784.52340000123 383239.8416999988, 157792.2045999989 383241.2998000011, 157797.22729999945 383241.70650000125, 157803.59959999844 383241.4349000007, 157808.59149999917 383240.64339999855, 157814.9285000004 383238.80370000005, 157819.50279999897 383236.79949999973, 157823.17909999937 383234.78759999946, 157827.32510000095 383232.0650999993, 157832.70870000124 383227.8114, 157836.3814000003 383224.4028999992, 157845.95169999823 383214.242899999, 157859.52629999816 383198.8403000012, 157871.53799999878 383178.813000001)"
adviessnelheid_kenmerk.3,30,R,166.29299927,R,166.44900513,T,002,KLK0008059466,L,I,,"LINESTRING (159355.7039999999 379710.41699999943, 159362.1677000001 379695.4684000015, 159368.7921999991 379680.8999999985, 159372.5874999985 379673.8467000015, 159376.53869999945 379667.5625, 159381.94370000064 379660.42280000076, 159386.6453000009 379655.13899999857, 159390.22159999982 379651.64460000023, 159393.98910000175 379648.3962999992, 159397.23299999908 379645.97260000184, 159401.440200001 379643.27059999853, 159410.23380000144 379638.61019999906, 159418.89299999923 379635.0925000012, 159428.40340000018 379632.4167999998, 159435.9721999988 379630.9877999984, 159445.9125000015 379629.87099999934, 159461.3103 379628.88340000063, 159471.30420000106 379628.5322000012, 159476.91580000147 379628.4208999984)"
adviessnelheid_kenmerk.4,80,R,4.95499992,R,5.23099995,H,004,KLK0008061410,R,I,,"LINESTRING (113528.74570000172 482399.3434000015, 113527.24430000037 482399.0826999992, 113517.46819999814 482396.9776000008, 113507.48149999976 482394.4844000004, 113497.86160000041 482391.7578999996, 113483.61820000038 482387.0533999987, 113474.45419999957 482383.6042000018, 113465.21990000084 482379.7664999999, 113456.09369999915 482375.6693000011, 113447.18930000067 482371.2604999989, 113434.0091000013 482364.09899999946, 113424.99480000138 482358.6655000001, 113416.59109999985 482353.2653999999, 113408.39829999954 482347.53069999814, 113396.62990000099 482338.5984000005, 113386.04729999974 482329.7611999996, 113378.62530000135 482323.0700000003, 113370.43730000034 482315.17009999976, 113363.5203000009 482307.9706999995, 113356.82530000061 482300.5399999991, 113349.58339999989 482291.9512999989, 113343.3984999992 482284.0841999985, 113337.49599999934 482276.0117999986, 113332.50059999898 482268.7329999991, 113327.07550000027 482260.3300999999, 113321.87209999934 482251.7901000008, 113315.38679999858 482240.5843000002)"
adviessnelheid_kenmerk.5,80,R,75.55500031,R,76.25,H,004,KLK0008063654,R,I,,"LINESTRING (85470.74879999831 432287.74060000107, 85483.87359999865 432283.8271000013, 85493.56480000168 432281.32279999927, 85508.56320000067 432277.8894000016, 85522.97720000148 432275.1345999986, 85532.85810000077 432273.59109999985, 85542.77580000088 432272.3033999987, 85558.10410000011 432270.7567999996, 85573.07770000026 432269.8563000001, 85589.84420000017 432269.49870000035, 85604.84180000052 432269.79470000044, 85619.87669999897 432270.6763000004, 85634.82039999962 432272.05959999934, 85649.4497999996 432274.0751999989, 85664.23310000077 432276.5998999998, 85680.09840000048 432279.9772000015, 85700.31879999861 432285.311999999, 85705.10350000113 432286.7633000016, 85717.86320000142 432290.96730000153, 85727.25299999863 432294.4081999995, 85736.59259999916 432298.14759999886, 85750.68620000035 432304.37220000103, 85759.73519999906 432308.81810000166, 85770.79459999874 432314.61719999835, 85783.79039999843 432322.10909999907, 85791.73079999909 432327.1237999983, 85800.0122999996 432332.72890000045, 85812.21189999953 432341.52809999883, 85819.62999999896 432347.2463000007, 85831.15430000052 432356.8773000017, 85841.28840000182 432366.03819999844, 85848.4701000005 432372.9968999997, 85852.00530000031 432376.53350000083, 85858.17179999873 432383.1074000001, 85864.84059999883 432390.55959999934, 85871.28959999979 432398.2047000006, 85882.2314000018 432412.28979999945, 85888.0159999989 432420.40520000085, 85896.07580000162 432432.63650000095, 85901.29500000179 432441.1682000011, 85906.31980000064 432450.0912999995, 85910.93349999934 432458.9558000006, 85915.79069999978 432469.1719000004, 85919.79369999841 432478.3359999992, 85924.45309999958 432490.46880000085, 85927.70859999955 432499.9296000004, 85930.90540000051 432510.48420000076, 85934.64799999818 432525.05420000106, 85936.65720000118 432534.55310000107, 85940.25769999996 432557.35810000077, 85940.87680000067 432562.32499999925, 85941.8729000017 432572.33619999886, 85942.78990000114 432586.28449999914, 85943.20279999822 432601.28229999915, 85943.02470000088 432611.65129999816, 85942.43679999933 432625.0340999998, 85941.66220000014 432635.00400000066, 85940.16250000149 432648.51619999856, 85937.99839999899 432663.35929999873, 85934.70789999887 432682.4748999998)"
adviessnelheid_kenmerk.6,90,R,243.03799438,R,243.8999939,H,004,KLK0008066639,R,I,,"LINESTRING (78401.72179999948 383250.8348999992, 78400.00860000029 383250.33790000156, 78379.0832999982 383244.6827000007, 78359.47480000183 383240.76669999957, 78335.70219999924 383237.45059999824, 78312.71599999815 383235.7791999988, 78292.71499999985 383235.5489999987, 78277.92590000108 383236.20050000027, 78258.00879999995 383237.87249999866, 78243.88159999996 383239.7884999998, 78224.2292000018 383243.50930000097, 78204.88589999825 383248.33309999853, 78185.69590000063 383253.9750000015, 78143.23629999906 383267.556499999, 78127.85619999841 383272.04199999943, 78108.3900000006 383276.6160000004, 78099.07840000093 383278.2681000009, 78079.25890000165 383280.8343000002, 78068.84659999982 383281.7008999996, 78048.86769999936 383282.34750000015, 78035.96139999852 383282.0832000002, 78016.0346999988 383280.50930000097, 78002.88780000061 383278.688000001, 77980.47569999844 383274.2289999984, 77961.18930000067 383268.9167999998, 77950.40509999916 383265.2980999984, 77931.80649999902 383257.9871999994, 77923.60579999909 383254.3473000005, 77905.7212000005 383245.37590000033, 77901.90019999817 383243.26779999956, 77884.84710000083 383232.81610000134, 77878.14029999822 383228.19530000165, 77862.18560000136 383216.0769000016, 77847.07220000029 383202.9679000005, 77842.81870000064 383198.94139999896, 77828.87260000035 383184.58260000125, 77822.46119999886 383177.2776999995, 77810.02919999883 383161.6039999984, 77807.2591000013 383157.74760000035, 77796.19330000132 383141.0887000002, 77793.71609999985 383136.9769000001, 77784.01830000058 383119.4695999995, 77781.62519999966 383114.6002999991, 77773.4637000002 383096.3033999987, 77767.30829999968 383079.62590000033, 77761.47179999948 383060.47030000016, 77759.44409999996 383052.0278999992, 77755.6462999992 383032.3652999997, 77752.78299999982 383011.0225000009, 77751.65410000086 382988.00090000033, 77751.86430000141 382967.98000000045, 77752.85029999912 382948.0031000003, 77753.19929999858 382942.6394000016)"
adviessnelheid_kenmerk.7,60,R,165.33000183,R,165.77799988,H,007,KLK0008075722,R,I,,"LINESTRING (205102.41959999874 568894.4017999992, 205114.12139999866 568886.4175000004, 205120.51460000128 568876.5821000002, 205123.50470000133 568872.5207999982, 205127.00890000165 568868.2578000017, 205130.3973999992 568864.575100001, 205134.15929999948 568860.9512000009, 205140.48189999908 568856.0262999982, 205144.68930000067 568853.2008999996, 205152.30959999934 568849.122200001, 205156.95749999955 568847.183699999, 205163.4686000012 568845.059799999, 205168.3231999986 568843.8625999987, 205173.26410000026 568843.0214000009, 205178.25690000132 568842.5949000008, 205182.7311999984 568842.4441, 205187.73559999838 568842.5392000005, 205197.62929999828 568843.875500001, 205206.2736000009 568846.1757000014, 205210.97450000048 568847.8702999987, 205216.17720000073 568850.3293999992, 205220.55840000138 568852.7391000018, 205224.74230000004 568855.4635999985, 205228.22419999912 568857.9831000008, 205232.02409999818 568861.2329000011, 205235.6037000008 568864.6994000003, 205239.33999999985 568868.9177000001, 205242.43730000034 568872.867800001, 205245.82310000062 568878.0542000011, 205248.20279999822 568882.4695999995, 205250.33049999923 568886.9739999995, 205253.17799999937 568894.6620999984, 205254.4765000008 568899.4908000007, 205255.42320000008 568904.4217000008, 205256.18149999902 568912.6174999997, 205256.17599999905 568917.5496999994, 205255.5058999993 568925.5716999993, 205254.70949999988 568930.5084999986, 205253.58249999955 568935.3020000011, 205251.94779999927 568940.5339000002, 205250.0095999986 568945.1440999992, 205247.79800000042 568949.5452999994, 205243.36279999837 568956.9226999991, 205240.49659999833 568960.9224999994, 205237.51579999924 568964.501600001, 205234.00279999897 568968.0595000014, 205230.37200000137 568971.4259000011, 205225.96059999987 568974.8341000006, 205221.84329999983 568977.5775999986, 205216.68620000035 568980.5656000003, 205212.1955000013 568982.7644000016, 205207.59470000118 568984.5386999995, 205201.3332999982 568986.5229999982, 205196.44440000132 568987.5738999993, 205191.55900000036 568988.3445999995, 205187.46009999886 568988.7305999994, 205182.46049999818 568988.8145000003, 205177.65659999847 568988.5223999992, 205171.58879999816 568987.8370999992, 205166.67929999903 568986.8863000013, 205161.8321999982 568985.6407999992, 205157.03220000118 568984.1732000001, 205116.08249999955 568972.0588999987)"
adviessnelheid_kenmerk.8,50,R,4.35699987,R,5.15399981,T,009,KLK0008079560,L,I,,"LINESTRING (128530.56100000069 482980.44949999824, 128615.80270000175 482954.10810000077, 128623.875 482952.6055999994, 128631.4087000005 482951.5940999985, 128636.39279999956 482951.14759999886, 128643.71930000186 482950.9210000001, 128653.37939999998 482951.0529000014, 128663.3387000002 482951.61840000004, 128672.90850000083 482952.7895999998, 128677.78449999914 482953.9140999988, 128686.0912999995 482956.1094000004, 128692.04619999975 482957.931499999, 128702.87590000033 482962.1022000015, 128716.68919999897 482967.9510000013, 128721.22049999982 482970.0865000002, 128734.89229999855 482977.2884000018, 128739.40040000156 482979.4521000013, 128748.45980000123 482983.6948999986, 128758.53000000119 482988.02800000086, 128767.94970000163 482991.38219999894, 128779.51260000095 482995.0192000009, 128789.15060000122 482997.3995000012, 128799.05939999968 482999.0962000005, 128809.01790000126 483000.01410000026, 128818.99639999866 483000.18939999864, 128824.58159999922 482999.94530000165, 128829.5672999993 482999.5293000005, 128839.4737999998 482998.14990000054, 128849.1596999988 482996.0425999984, 128858.58199999854 482993.246199999, 128867.94590000063 482989.68569999933, 128875.14829999954 482986.3618000001, 128879.58260000125 482984.05160000175, 128888.18969999999 482978.9243000001, 128892.31390000135 482976.1545000002, 128899.09970000014 482971.0632000007, 128906.64840000123 482964.5036999993, 128910.22529999912 482960.99870000035, 128915.14380000159 482955.7435999997, 128921.49610000104 482948.0201999992, 128924.46169999987 482943.9589000009, 128929.01819999889 482936.95859999955, 128933.88809999824 482928.2186000012, 128936.07189999893 482923.7159000002, 128938.58720000088 482917.92170000076, 128940.37970000133 482913.2523000017, 128943.50090000033 482903.7489, 128946.2404000014 482892.9913999997, 128948.15129999816 482883.17339999974, 128950.01520000026 482870.34959999844, 128951.74760000035 482853.73380000144, 128959.61129999906 482762.4252999984, 128966.7100000009 482678.7384000011, 128973.63470000029 482594.3222000003)"
adviessnelheid_kenmerk.9,30,R,4.44000006,R,4.59299994,T,009,KLK0008079618,L,I,,"LINESTRING (128791.33100000024 483072.3337999992, 128789.48009999841 483071.8376000002, 128783.83049999923 483069.9787000008, 128762.42179999873 483061.5025999993, 128753.87240000069 483056.3081, 128743.69240000099 483049.4670000002, 128735.72019999847 483043.4301000014, 128723.26440000162 483033.5164999999, 128718.65459999815 483030.3737999983, 128714.2137000002 483028.28770000115, 128708.10300000012 483026.7072999999, 128703.42399999872 483026.2798999995, 128698.92830000073 483026.441300001, 128694.15790000185 483027.3407999985, 128690.17509999871 483028.63800000027, 128685.87480000034 483030.74920000136, 128682.06670000032 483033.3658999987, 128678.72830000147 483036.4261999987, 128672.61659999937 483044.8794, 128669.6436999999 483057.0318999998, 128671.3227000013 483069.0406000018, 128675.2201000005 483077.7501000017, 128678.4149999991 483085.5689999983)"
adviessnelheid_kenmerk.10,50,R,4.59299994,R,4.96600008,T,009,KLK0008079619,L,I,,"LINESTRING (128791.33100000024 483072.3337999992, 128799.13929999992 483074.4270000011, 128814.8423999995 483077.6226999983, 128824.66459999979 483078.3000999987, 128829.58949999884 483078.3691999987, 128837.12620000169 483078.0789999999, 128842.10099999979 483077.6495999992, 128850.44720000029 483076.47740000114, 128860.18100000173 483074.376699999, 128868.51740000024 483071.8944000006, 128873.19370000064 483070.2201000005, 128879.49320000038 483067.6420999989, 128884.03350000083 483065.54769999906, 128888.45030000061 483063.2894000001, 128894.30420000106 483059.89449999854, 128898.51649999991 483057.2448000014, 128904.62449999899 483052.9503000006, 128908.55920000002 483049.86510000005, 128912.35350000113 483046.6224000007, 128916.8284999989 483042.4461000003, 128920.3311999999 483038.87629999965, 128923.68530000001 483035.2065999992, 128928.28730000183 483029.66059999913, 128931.29349999875 483025.66519999877, 128934.11089999974 483021.5595000014, 128938.32330000028 483014.6816999987, 128940.69990000129 483010.2998000011, 128944.05629999936 483003.3636999987, 128947.5373999998 482994.63760000095, 128950.59919999912 482985.1134000011, 128953.08249999955 482975.42170000076, 128955.20300000161 482964.10489999875, 128956.6662000008 482952.80889999866, 128957.63149999827 482940.6427000016, 128958.12370000035 482925.6480999999, 128958.1239 482910.6466999985, 128957.69629999995 482890.63870000094, 128957.24560000002 482866.91000000015, 128957.44000000134 482855.0044, 128958.27219999954 482842.9235999994, 128962.44970000163 482793.1000000015, 128959.61129999906 482762.4252999984)"
