Ministerie;Leverancier;9100 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ specifiek;9520 - BZK specifiek;9530 - DEF specifiek;9540 - EZ specifiek;9550 - Fin specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS specifiek;Eindtotaal
AZ;24Baby.nl B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;A.P. van Staveren;;;;;;;;1;;;;;;;;;;;1
AZ;Achtung B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Arenda Oomen Fotografie;;;;;;;;1;;;;;;;;;;;1
AZ;Bart Versteeg fotograaf;;;;;;;;1;;;;;;;;;;;1
AZ;Behavior Change Group B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;Blauw Research B.V.;;;;;;;;4;;;;;;;;;;;4
AZ;Bureau voor Overheidscommunicatie B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;Cheil Benelux B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;Classic FM B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;Commerciële Radio Nederland;;;;;;;;4;;;;;;;;;;;4
AZ;COMPAREX Nederland B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;DDAI;;;;;;;;1;;;;;;;;;;;1
AZ;Dedicon B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Direct Response Drukwerk Support B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;DPI;;;;;;;;2;;;;;;;;;;;2
AZ;Duwtje B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;DVJ Insights;;;;;;;;7;;;;;;;;;;;7
AZ;Eend;;;;;;;;2;;;;;;;;;;;2
AZ;Entopic B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;Ergo B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;every media;;;;;;;;1;;;;;;;;;;;1
AZ;F & P Media B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;Ferro;;;;;;;;2;;;;;;;;;;;2
AZ;Fotografie Jurgen Huiskes;;;;;;;;1;;;;;;;;;;;1
AZ;FunFairGreen B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;Golddog;;;;;;;;1;;;;;;;;;;;1
AZ;Goldstoff Holland B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;Harbers & Van Goethem;;;;;;;;1;;;;;;;;;;;1
AZ;HVR PA/PR;;;;;;;;1;;;;;;;;;;;1
AZ;Ilse Wolf Fotografie;;;;;;;;1;;;;;;;;;;;1
AZ;Imageselect B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Initiative Media B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;Jeannette Vos Opleidingen;;;;;;;;1;;;;;;;;;;;1
AZ;Jenny van den Broeke;;;;;;;;1;;;;;;;;;;;1
AZ;Johnny Wonder B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Mare Holland B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;Marketresponse Nederland B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;MatZwart;;;;;;;;1;;;;;;;;;;;1
AZ;Media Benchmark B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Mies;;;;;;;;1;;;;;;;;;;;1
AZ;Motivaction International B.V.;;;;;;;;4;;;;;;;;;;;4
AZ;MWM2 B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;Nationale Beeldbank B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Noise B.V.;;;;;;;;6;;;;;;;;;;;6
AZ;Novagraaf IP NL B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Omroep Reclame Nederland Sales C.V.;;;;;;;;4;;;;;;;;;;;4
AZ;Ontwerpwerk B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Open Now B.V.;;;;;;;;6;;;;;;;;;;;6
AZ;Perspective Insights Design Academy;;;;;;;;2;;;;;;;;;;;2
AZ;Publiquest, de Communicatie Coöperatie U.A.;;;;;;;;1;;;;;;;;;;;1
AZ;Q-music Nederland B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;Quintens Advies & Management B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Radio 10 B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;Radio 538 B.V.;;;;;;;;6;;;;;;;;;;;6
AZ;Radio Veronica 103 FM B.V.;;;;;;;;4;;;;;;;;;;;4
AZ;RadioCorp B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;RAI Amsterdam B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;Rijksoverheid;;;;;;;;8;;;;;;;;;;;8
AZ;Roel Dijkstra Persfotografie;;;;;;;;1;;;;;;;;;;;1
AZ;Roorda Reclamebureau B.V.;;;;;;;;7;;;;;;;;;;;7
AZ;RTL Nederland B.V.;;;;;;;;7;;;;;;;;;;;7
AZ;Ruigrok NetPanel;;;;;;;;2;;;;;;;;;;;2
AZ;RvdS;;;;;;;;1;;;;;;;;;;;1
AZ;Schinkelshoek & Verhoog B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Schwandt Information Design;;;;;;;;1;;;;;;;;;;;1
AZ;Sky Radio B.V.;;;;;;;;5;;;;;;;;;;;5
AZ;SLAM! FM;;;;;;;;3;;;;;;;;;;;3
AZ;Soundfocus B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Starsound Productions;;;;;;;;1;;;;;;;;;;;1
AZ;Stichting Ether Reclame;;;;;;;;2;;;;;;;;;;;2
AZ;Studio A Mediamelange;;;;;;;;3;;;;;;;;;;;3
AZ;Sublime World B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;SUE - Behavioural Design;;;;;;;;1;;;;;;;;;;;1
AZ;Talpa TV B.V.;;;;;;;;7;;;;;;;;;;;7
AZ;Tappan B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;TBWA\NEBOKO B.V.;;;;;;;;7;;;;;;;;;;;7
AZ;The Oddshop B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Things To Make And Do B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Tint, Buro voor Grafische Vormgeving;;;;;;;;1;;;;;;;;;;;1
AZ;TNS Nipo B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;USG Capacity;;;;;;;;2;;;;;;;;;;;2
AZ;Valerie Kuypers Fotografie;;;;;;;;1;;;;;;;;;;;1
AZ;Valsplat B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Van der Heijde Communicatie;;;;;;;;1;;;;;;;;;;;1
AZ;Videonieuwsbericht B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;VoorMeerWaarde B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Wiebe Kiestra Fotografie;;;;;;;;1;;;;;;;;;;;1
AZ;Winvision B.V.;;;;;;;;2;;;;;;;;;;;2
AZ;Xerox (Nederland) B.V.;;;;;;;;3;;;;;;;;;;;3
AZ;XXS Amsterdam B.V.;;;;;;;;1;;;;;;;;;;;1
AZ;Yune B.V.;;;;;;;;1;;;;;;;;;;;1
BZ;200 cm;;;;;;;;;1;;;;;;;;;;1
BZ;Alex Simu;;;;;;;;;1;;;;;;;;;;1
BZ;AMO B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Anne Frank Stichting;;;;;;;;;1;;;;;;;;;;1
BZ;Anouk Beckers;;;;;;;;;1;;;;;;;;;;1
BZ;Architektenbureau De Kat;;;;;;;;;1;;;;;;;;;;1
BZ;AVEQ show, theatre & congress facilities B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Baba Mink Records;;;;;;;;;1;;;;;;;;;;1
BZ;BAP Medical B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Beeld en Geluid;;;;;;;;;1;;;;;;;;;;1
BZ;Biryukovadesign;;;;;;;;;1;;;;;;;;;;1
BZ;Blip Agency;;;;;;;;;1;;;;;;;;;;1
BZ;Bojana Panevska;;;;;;;;;1;;;;;;;;;;1
BZ;Bord&Stift;;;;;;;;;1;;;;;;;;;;1
BZ;BoReGo B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Brave New Words;;;;;;;;;1;;;;;;;;;;1
BZ;Brink Management & Advies B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;British School;;;;;;;;;2;;;;;;;;;;2
BZ;BT&;;;;;;;;;1;;;;;;;;;;1
BZ;Bureau G.I.T.;;;;;;;;;1;;;;;;;;;;1
BZ;Buyitdirect.com B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Bwisc B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;byAMT;;;;;;;;;1;;;;;;;;;;1
BZ;Café de Ceuvel Coöperatie U.A.;;;;;;;;;1;;;;;;;;;;1
BZ;Cargo Screeners B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Charles Groenhuijsen Media;;;;;;;;;1;;;;;;;;;;1
BZ;Christian;;;;;;;;;1;;;;;;;;;;1
BZ;Ciao! Ciao! B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;CNV Connectief;;;;;;;;;2;;;;;;;;;;2
BZ;Code Zero Visual Concepts;;;;;;;;;2;;;;;;;;;;2
BZ;Connexxion Taxi Services B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Coöperatief Congrestolkensecretariaat UA;;;;;;;;;1;;;;;;;;;;1
BZ;Corinne Heyrman;;;;;;;;;1;;;;;;;;;;1
BZ;Count Black B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Count Me Online;;;;;;;;;1;;;;;;;;;;1
BZ;Cramer Milieuadvies;;;;;;;;;1;;;;;;;;;;1
BZ;Culturele Stichting Nederland-Roemenie;;;;;;;;;1;;;;;;;;;;1
BZ;Custom Company;;;;;;;;;1;;;;;;;;;;1
BZ;Dance Or Die;;;;;;;;;1;;;;;;;;;;1
BZ;Daria Design;;;;;;;;;1;;;;;;;;;;1
BZ;De Franse Stap Culinair;;;;;;;;;2;;;;;;;;;;2
BZ;De Holland Winkel;;;;;;;;;1;;;;;;;;;;1
BZ;De Porceleyne Fles;;;;;;;;;2;;;;;;;;;;2
BZ;De Uniekversiteit;;;;;;;;;2;;;;;;;;;;2
BZ;Den Haag Centrum v. Strategische Studies B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Design & Practice B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;DeWolff;;;;;;;;;1;;;;;;;;;;1
BZ;Diamanda Dramm;;;;;;;;;1;;;;;;;;;;1
BZ;Dinges;;;;;;;;;1;;;;;;;;;;1
BZ;Dormben Hotel The Hague OpCo B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Double Vee Concerts B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Dutch-Animations;;;;;;;;;1;;;;;;;;;;1
BZ;DYASS B.V.;;;;;;;;;6;;;;;;;;;;6
BZ;Emdigio;;;;;;;;;1;;;;;;;;;;1
BZ;Emma Rhebergen, violiste;;;;;;;;;1;;;;;;;;;;1
BZ;Energy Delta Institute B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Eva Meijer;;;;;;;;;1;;;;;;;;;;1
BZ;Exploitatie Hotel Zeestraat Den Haag B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;FaberExposize B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Factor-I;;;;;;;;;1;;;;;;;;;;1
BZ;Factorr consultancy;;;;;;;;;1;;;;;;;;;;1
BZ;Fair & Eco;;;;;;;;;1;;;;;;;;;;1
BZ;Floor Hofman;;;;;;;;;1;;;;;;;;;;1
BZ;FNV;;;;;;;;;2;;;;;;;;;;2
BZ;FOAM-Fotografiemuseum Amsterdam;;;;;;;;;1;;;;;;;;;;1
BZ;Foundation for Cultural Inventory;;;;;;;;;2;;;;;;;;;;2
BZ;Fruitleather Rotterdam;;;;;;;;;1;;;;;;;;;;1
BZ;Gertie's Culinaire Dienstverlening;;;;;;;;;1;;;;;;;;;;1
BZ;GHE B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Global Talk Netherlands;;;;;;;;;1;;;;;;;;;;1
BZ;Grand Hôtel Amrâth Kurhaus B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Green Wave;;;;;;;;;1;;;;;;;;;;1
BZ;Greenwood Moves;;;;;;;;;1;;;;;;;;;;1
BZ;Heemskerk Bloemisten;;;;;;;;;1;;;;;;;;;;1
BZ;Heinen Delfts Blauw;;;;;;;;;1;;;;;;;;;;1
BZ;Heritage Hands On;;;;;;;;;1;;;;;;;;;;1
BZ;Hester Oerlemans;;;;;;;;;1;;;;;;;;;;1
BZ;Hidden Lion Studio;;;;;;;;;1;;;;;;;;;;1
BZ;Hilde Onis;;;;;;;;;1;;;;;;;;;;1
BZ;HOAX;;;;;;;;;1;;;;;;;;;;1
BZ;Holland Promotion B.V.;;;;;;;;;2;;;;;;;;;;2
BZ;Holland Webshops B.V.;;;;;;;;;1;;;;;;;;;;1
BZ;Hollandsouvenirshop;;;;;;;;;1;;;;;;;;;;1
