FID,length,id,filenaam,vliegdatum,br_links,br_rechts,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2009.1,7508.84,1,ameland_61,2009-04-05T00:00:00,0,0,,,"LINESTRING (178130.2340000011 610115.25, 170660.0469999984 609354.313000001)"
vlieglijnen_kust_2009.2,6573.11,2,ameland_62,2009-04-05T00:00:00,0,0,,,"LINESTRING (175591.9690000005 609606.125, 169053.625 608930.938000001)"
vlieglijnen_kust_2009.3,8715.34,3,ameland_63,2009-04-05T00:00:00,0,0,,,"LINESTRING (178812.313000001 609700.938000001, 170141.5 608821.063000001)"
vlieglijnen_kust_2009.4,8248.53,4,ameland_64,2009-04-05T00:00:00,0,0,,,"LINESTRING (168767.188000001 608457.875, 176978.688000001 609238.563000001)"
vlieglijnen_kust_2009.5,10989,5,ameland_65,2009-04-05T00:00:00,0,0,,,"LINESTRING (180324.813000001 609343.625, 169387.5 608279.188000001)"
vlieglijnen_kust_2009.6,10204.2,6,ameland_66,2009-04-05T00:00:00,0,0,,,"LINESTRING (178228.2190000005 608902.875, 168074.688000001 607887.25)"
vlieglijnen_kust_2009.7,16934.3,7,ameland_67,2009-04-05T00:00:00,0,0,,,"LINESTRING (186031.188000001 609458.375, 169183.4530000016 607747.938000001)"
vlieglijnen_kust_2009.8,24832.5,8,ameland_68,2009-04-05T00:00:00,0,0,,,"LINESTRING (191122.9840000011 609699.75, 166412.125 607245.063000001)"
vlieglijnen_kust_2009.9,6239.26,9,ameland_69,2009-04-05T00:00:00,0,0,,,"LINESTRING (174174.2969999984 607753.75, 167963.5 607158.438000001)"
vlieglijnen_kust_2009.10,21022.9,10,ameland_70a,2009-04-05T00:00:00,0,0,,,"LINESTRING (195952.2030000016 609930.25, 175032.0159999989 607854.188000001)"
vlieglijnen_kust_2009.11,19386,11,ameland_70b,2009-04-05T00:00:00,0,0,,,"LINESTRING (194936.9219999984 609833.063000001, 175646.8280000016 607907)"
vlieglijnen_kust_2009.12,4005.82,12,ameland_71,2009-04-05T00:00:00,0,0,,,"LINESTRING (171461.7809999995 607254, 167474.938000001 606864.563000001)"
vlieglijnen_kust_2009.13,22140.5,13,ameland_72,2009-04-05T00:00:00,0,0,,,"LINESTRING (195217.0780000016 609608.813000001, 173184.0469999984 607429.625)"
vlieglijnen_kust_2009.14,5253.61,14,ameland_73,2009-04-05T00:00:00,0,0,,,"LINESTRING (172729.875 607347.813000001, 167541.25 606524.063000001)"
vlieglijnen_kust_2009.15,8255.93,15,ameland_74,2009-04-05T00:00:00,0,0,,,"LINESTRING (196410.9530000016 609440.5, 188180.2809999995 608795.25)"
vlieglijnen_kust_2009.16,3280,16,ameland_75,2009-04-05T00:00:00,0,0,,,"LINESTRING (171043.2030000016 606744.438000001, 167787.6559999995 606344.688000001)"
vlieglijnen_kust_2009.17,6288.53,17,ameland_76,2009-04-05T00:00:00,0,0,,,"LINESTRING (194662.313000001 609092.438000001, 188408.0940000005 608436.438000001)"
vlieglijnen_kust_2009.18,9728.55,18,ameland_77,2009-04-05T00:00:00,0,0,,,"LINESTRING (173882.2340000011 606758.313000001, 164202.4840000011 605785.063000001)"
vlieglijnen_kust_2009.19,9728.55,19,ameland_77_con,2009-04-05T00:00:00,0,0,,,"LINESTRING (173882.2340000011 606758.313000001, 164202.4840000011 605785.063000001)"
vlieglijnen_kust_2009.20,7383.3,20,ameland_78,2009-04-05T00:00:00,0,0,,,"LINESTRING (196660.4840000011 609064.938000001, 189316.2969999984 608306)"
vlieglijnen_kust_2009.21,16059.5,21,ameland_79,2009-04-05T00:00:00,0,0,,,"LINESTRING (205978.2969999984 609692.813000001, 189993.2340000011 608148.438000001)"
vlieglijnen_kust_2009.22,16059.5,22,ameland_79_con,2009-04-05T00:00:00,0,0,,,"LINESTRING (205978.2969999984 609692.813000001, 189993.2340000011 608148.438000001)"
vlieglijnen_kust_2009.23,7257.45,23,ameland_80,2009-04-05T00:00:00,0,0,,,"LINESTRING (188070.4530000016 607738.625, 195298.813000001 608387.75)"
vlieglijnen_kust_2009.24,4747.12,24,ameland_81a,2009-04-05T00:00:00,0,0,,,"LINESTRING (196128.438000001 608248.125, 191398.125 607849)"
vlieglijnen_kust_2009.25,4631.64,25,ameland_81b,2009-04-05T00:00:00,0,0,,,"LINESTRING (196355.063000001 608281.313000001, 191746.4059999995 607820.5)"
vlieglijnen_kust_2009.26,4387.74,26,ameland_82,2009-04-05T00:00:00,0,0,,,"LINESTRING (194263.3909999989 607813.313000001, 189893.313000001 607420.063000001)"
vlieglijnen_kust_2009.27,6898.53,27,ameland_83,2009-04-05T00:00:00,0,0,,,"LINESTRING (172814.188000001 603185, 167614.5159999989 607718.563000001)"
vlieglijnen_kust_2009.28,7921.45,28,ameland_84,2009-04-05T00:00:00,0,0,,,"LINESTRING (174933.8590000011 601754.25, 168922.1559999995 606912.625)"
vlieglijnen_kust_2009.29,8272.74,29,ameland_85,2009-04-05T00:00:00,0,0,,,"LINESTRING (173396.8440000005 603386.688000001, 167144.5159999989 608803.938000001)"
