FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie1_uitgave_index.1,01 lobith_4e uitg_1960,,,"POLYGON ((205093.05700000003 424414.3229999989, 205093.05700000003 432387.9450000003, 210104.94000000134 432387.9450000003, 210104.94000000134 424414.3229999989, 205093.05700000003 424414.3229999989))"
2e_herziening_serie1_uitgave_index.2,02 millingen_4e uitg_1961,,,"POLYGON ((200103.9539999999 426202.05799999833, 200103.9539999999 434186.80799999833, 205107.98999999836 434186.80799999833, 205107.98999999836 426202.05799999833, 200103.9539999999 426202.05799999833))"
2e_herziening_serie1_uitgave_index.3,03 kekerdom_4e uitg_1961,,,"POLYGON ((191085.07699999958 428212.1229999997, 191085.07699999958 434199.7270000018, 200114.8139999993 434199.7270000018, 200114.8139999993 428212.1229999997, 191085.07699999958 428212.1229999997))"
2e_herziening_serie1_uitgave_index.4,06 dodewaard_4e uitg_1960,,,"POLYGON ((167069.3289999999 432015.98900000006, 167069.3289999999 436977.66899999976, 175150.1640000008 436977.66899999976, 175150.1640000008 432015.98900000006, 167069.3289999999 432015.98900000006))"
2e_herziening_serie1_uitgave_index.5,07 leeuwen_4e uitg_1961,,,"POLYGON ((159080.4530000016 430944.98999999836, 159080.4530000016 435874.2129999995, 167112.61300000176 435874.2129999995, 167112.61300000176 430944.98999999836, 159080.4530000016 430944.98999999836))"
2e_herziening_serie1_uitgave_index.6,08 tiel_4e uitg_1961,,,"POLYGON ((154093.0450000018 427499.0309999995, 154093.0450000018 435482.60500000045, 159093.63800000027 435482.60500000045, 159093.63800000027 427499.0309999995, 154093.0450000018 427499.0309999995))"
2e_herziening_serie1_uitgave_index.7,09 varik_4e uitg_1960,,,"POLYGON ((149707.97800000012 422488.563000001, 149707.97800000012 427489.29199999943, 157687.12799999863 427489.29199999943, 157687.12799999863 422488.563000001, 149707.97800000012 422488.563000001))"
2e_herziening_serie1_uitgave_index.8,10 zaltbommel_4e uitg_1960,,,"POLYGON ((141301.72199999914 422907.38599999994, 141301.72199999914 427903.0760000013, 149694.67399999872 427903.0760000013, 149694.67399999872 422907.38599999994, 141301.72199999914 422907.38599999994))"
2e_herziening_serie1_uitgave_index.9,11 zuilichem_4e ged 5e uitg_1960,,,"POLYGON ((133299.31700000167 423195.0540000014, 133299.31700000167 428198.51099999994, 141298.53400000185 428198.51099999994, 141298.53400000185 423195.0540000014, 133299.31700000167 423195.0540000014))"
2e_herziening_serie1_uitgave_index.10,12 gorinchem_5e uitg_1959,,,"POLYGON ((125080.98600000143 424143.78500000015, 125080.98600000143 429121.20699999854, 133307.5080000013 429121.20699999854, 133307.5080000013 424143.78500000015, 125080.98600000143 424143.78500000015))"
2e_herziening_serie1_uitgave_index.11,01 lobith_4e uitg_1960,,,"POLYGON ((205093.05700000003 424414.3229999989, 205093.05700000003 432387.9450000003, 210104.94000000134 432387.9450000003, 210104.94000000134 424414.3229999989, 205093.05700000003 424414.3229999989))"
2e_herziening_serie1_uitgave_index.12,02 millingen_4e uitg_1961,,,"POLYGON ((200103.9539999999 426202.05799999833, 200103.9539999999 434186.80799999833, 205107.98999999836 434186.80799999833, 205107.98999999836 426202.05799999833, 200103.9539999999 426202.05799999833))"
2e_herziening_serie1_uitgave_index.13,03 kekerdom_4e uitg_1961,,,"POLYGON ((191085.07699999958 428212.1229999997, 191085.07699999958 434199.7270000018, 200114.8139999993 434199.7270000018, 200114.8139999993 428212.1229999997, 191085.07699999958 428212.1229999997))"
2e_herziening_serie1_uitgave_index.14,06 dodewaard_4e uitg_1960,,,"POLYGON ((167069.3289999999 432015.98900000006, 167069.3289999999 436977.66899999976, 175150.1640000008 436977.66899999976, 175150.1640000008 432015.98900000006, 167069.3289999999 432015.98900000006))"
2e_herziening_serie1_uitgave_index.15,07 leeuwen_4e uitg_1961,,,"POLYGON ((159080.4530000016 430944.98999999836, 159080.4530000016 435874.2129999995, 167112.61300000176 435874.2129999995, 167112.61300000176 430944.98999999836, 159080.4530000016 430944.98999999836))"
2e_herziening_serie1_uitgave_index.16,08 tiel_4e uitg_1961,,,"POLYGON ((154093.0450000018 427499.0309999995, 154093.0450000018 435482.60500000045, 159093.63800000027 435482.60500000045, 159093.63800000027 427499.0309999995, 154093.0450000018 427499.0309999995))"
2e_herziening_serie1_uitgave_index.17,09 varik_4e uitg_1960,,,"POLYGON ((149707.97800000012 422488.563000001, 149707.97800000012 427489.29199999943, 157687.12799999863 427489.29199999943, 157687.12799999863 422488.563000001, 149707.97800000012 422488.563000001))"
2e_herziening_serie1_uitgave_index.18,10 zaltbommel_4e uitg_1960,,,"POLYGON ((141301.72199999914 422907.38599999994, 141301.72199999914 427903.0760000013, 149694.67399999872 427903.0760000013, 149694.67399999872 422907.38599999994, 141301.72199999914 422907.38599999994))"
2e_herziening_serie1_uitgave_index.19,11 zuilichem_4e ged 5e uitg_1960,,,"POLYGON ((133299.31700000167 423195.0540000014, 133299.31700000167 428198.51099999994, 141298.53400000185 428198.51099999994, 141298.53400000185 423195.0540000014, 133299.31700000167 423195.0540000014))"
2e_herziening_serie1_uitgave_index.20,12 gorinchem_5e uitg_1959,,,"POLYGON ((125080.98600000143 424143.78500000015, 125080.98600000143 429121.20699999854, 133307.5080000013 429121.20699999854, 133307.5080000013 424143.78500000015, 125080.98600000143 424143.78500000015))"
