nr;Stemdistrict;adres;buurt;PvdA;SP;VVD;GL;CDA;Chr.U;Stadspartij;D66;S & S;PVG;PvdD;Geldige stemmen;Blanco / Ongeldig;Opgeroepen kiezers
1;Stadhuis;Grote Markt 1           ;0;318;153;274;250;66;46;127;200;148;17;47;1646;16;1302
2;Activiteitencentrum De Sint Jan;Nieuwe St. Jansstraat 35;2;93;56;64;79;21;14;46;50;29;5;28;485;3;1033
3;Hulpverleningsdienst;Hanzeplein 120;40;95;59;62;63;19;8;44;54;25;3;11;443;2;1309
4;Dienst RO/EZ;Gedempte Zuiderdiep 98   ;1;226;86;206;133;49;26;67;174;88;8;31;1094;3;1451
5;H.N. Werkmancollege;Schoolstraat 16;0;76;34;83;65;17;8;40;37;43;5;15;423;0;1332
6;St. Michaëlschool;Butjesstraat 8;0;87;40;96;84;26;8;34;54;42;9;11;491;1;1029
7;Hanzehogeschool;Radesingel 6;1;76;42;119;86;29;14;46;78;37;4;18;549;3;1345
8;Openbare Bibliotheek Groningen;Poststraat 9;0;116;55;98;142;22;19;45;94;52;5;27;675;1;1111
10;Activiteitencentrum De Holm;Folkingestraat 9b;1;131;53;120;96;28;16;41;108;72;7;22;694;5;1636
11;Het Heerenhuis (zaal 1);Spilsluizen 9;4;102;36;104;92;36;15;39;86;58;8;18;594;4;895
12;Borgmanschool;Nieuwe Kijk in 't Jatstraat 33;4;197;141;116;198;54;30;66;109;56;6;64;1037;4;1568
14;Verzorgingscentrum De Ebbingepoort;Noorderbinnensingel 2;4;126;65;148;97;49;22;45;67;60;17;22;718;3;1535
15;Het Heerenhuis (zaal 5);Spilsluizen 9;4;16;11;35;15;7;3;7;22;14;1;3;134;0;1027
20;Leger des Heils;Dirk Huizingastraat 17 ;40;181;74;139;115;52;33;55;94;49;8;32;832;0;1334
21;Buurt- en speeltuinvereniging FEO;Gorechtkade 148;40;105;44;58;77;25;11;39;40;21;4;12;436;3;1341
22;Oosterparkheem;Merelstraat 100;41;131;78;54;64;21;32;50;38;24;6;24;522;2;1488
23;Simon van Hasseltschool;Heesterpoort 1;42;100;109;65;68;16;11;61;39;25;12;36;542;2;1585
24;Treslinghuis;Klaprooslaan 120;41;86;115;28;72;9;4;41;41;9;5;26;436;4;1142
25;Franciscuscentrum;Koekoekplein 2;41;81;99;26;50;19;14;74;32;6;20;29;450;2;1397
26;Siebe Jan Boumaschool;Oliemuldersweg 47;43;105;102;58;70;20;15;62;47;15;9;33;536;7;1349
30;Rebound;J.C. Kapteynlaan 13/1;33;100;60;83;114;34;24;36;69;49;4;19;592;4;1465
31;Baptistenkerk De Cirkel;Singelweg 14a;33;90;60;78;63;45;30;51;54;24;5;19;519;2;1458
32;Star Numanschool;Star Numanstraat 52;33;149;46;83;92;53;40;52;62;36;4;20;637;1;1534
40;Wijkcentrum Het Floreshuis (ontm.ruimte);Floresplein 21;32;154;102;94;114;45;30;58;70;53;7;27;754;4;1373
41;Het Pand;Padangstraat 37;32;122;94;63;143;19;15;34;86;61;5;39;681;7;1460
42;Wijkcentrum Het Floreshuis (grote zaal);Floresplein 21;32;107;76;61;83;23;29;37;49;41;3;26;535;5;1057
43;O.B.S. Karrepad;Molukkenstraat 1;32;82;46;51;79;25;19;48;40;37;9;20;456;5;1085
44;Gymzaal;Molukkenstraat 1;32;84;42;39;56;19;22;34;32;23;5;17;373;1;1182
46;Hamrikheem;Soendastraat 180;30;136;124;49;43;44;26;82;32;10;12;36;594;3;1272
47;Wessel Gansfortcollege;Heerdenpad 8;97;144;50;76;83;46;41;98;51;9;10;18;626;2;931
48;Buurtcentrum Hunzeborgh;Beijumerweg 10a;97;156;53;105;84;41;37;85;52;6;13;21;653;4;1001
49;Kantine GTV Van Starkenborgh;Heerdenpad 9;97;89;26;37;57;11;15;44;30;3;0;12;324;1;931
50;Goede Herderkerk;Heinsiusstraat 2;31;111;82;57;79;29;24;40;44;19;6;25;516;1;1431
51;Buurt- en speeltuinvereniging De Hoogte;Borgwal 88;31;101;102;23;49;21;13;52;29;7;12;36;445;3;1286
60;Dependance Nassauschool;Graaf Adolfstraat 73;20;168;98;113;159;54;25;90;79;19;6;33;844;3;1605
61;Buurtcentrum Oranjewijk;Prinsesseweg 44/1  ;20;126;88;76;126;25;14;60;63;30;1;33;642;2;1219
62;Cafe De Bres;Grachtstraat 71;20;161;95;96;166;39;17;51;92;41;6;27;791;0;1107
63;Casa de la Trova;Noorderstationsstraat 38;20;123;74;81;121;33;18;40;73;32;3;29;627;2;1602
71;Buurtpand Op Mars;H.W. Mesdagstraat 72;10;116;30;112;95;36;19;47;77;57;3;13;605;1;1487
72;Noorderpoortcollege;Verlengde Visserstraat 20;10;143;60;138;120;29;20;63;119;74;6;19;791;2;1170
73;Sportief 90;Eendrachtskade nz 3;10;86;43;83;91;23;13;39;64;57;3;12;514;3;1532
74;MJD Zorgloket;Herman Colleniusstraat 18;10;159;57;130;142;42;26;49;113;61;2;19;800;1;1485
