Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal
2DOBOARD B.V.;;;;;;;;1;1
ABC Finance B.V.;;;;;;;;1;1
ABF Research B.V.;;;;;2;;;;2
Absoluta B.V.;1;;;;;;;;1
AED-Partner;;1;;;;;;;1
Afvalgids B.V.;;;;;;1;;;1
AG Connect B.V.;;;;;;;;1;1
Albron Nederland B.V.;6;;;;;;;1;6
Alpheios B.V.;;;1;;;;;;1
Anachron InvoicePortal B.V.;;;;2;1;;;;2
Antalis B.V.;;;;;;;1;;1
Appel B.V.;1;;;;;;;;1
ARBOwinkel.nl B.V.;;;;;;;;1;1
Arteria;;;;;;;2;;2
ASB Security B.V.;;1;;;;;;;1
Asito B.V.;;;2;;;;;;2
Assa Abloy Hospitality Benelux;;;;;;;1;;1
Athlon Car Lease Nederland B.V.;;;;;;;;1;1
ATS Systems B.V.;;1;;;;;;;1
Bambook V.O.F.;;;;;;;;1;1
Bart van Vliet Freelance Fotograaf;;;;;;;;1;1
BBK/Door Vriendschap Sterker B.V.;;;;;2;;;;2
Berenschot B.V.;;;;;2;;;;2
Binnenlands Bestuur B.V.;;;;;1;;;;1
Boerhof Projectinrichters;;;;;;;;1;1
Bokstijn Feestartikelen;;;;;;;;1;1
bol.com B.V.;;;;;;;1;1;1
Bowork Safety Shoes & Workwear;;;;;;;;1;1
Brandpreventie Groep B.V.;;1;;;;;;;1
Bravo-Preventie;;1;;;;;;;1
Breijer Betonconservering B.V.;;1;;;;;;;1
Broekhuizen Communicatie;;;;;1;;;;1
Calertho Bouwkunde B.V.;;;;;;;;1;1
Capriole Coffee Service;1;;;;;;;;1
CDS Banklining B.V.;;;;;;;1;;1
Cedere B.V.;;;;;;;;1;1
Chubb Fire & Security B.V.;;1;;;;;;;1
Chubb Fire & Security Groningen;;1;;;;;;;1
CleanFresh;;;1;;;;;;1
Compass Group Nederland B.V.;6;;;;;;;;6
Concept912 B.V.;;;;;;;;1;1
Conrad Electronic Benelux B.V.;;1;;;;;;1;1
Cortex B.V.;;1;;;;;;;1
Cosalint B.V.;;;;;;;;1;1
Croonwolter&dros B.V.;;;;;;;1;;1
CSP Hygiëne;;;;;;;;1;1
C-Track Benelux B.V.;;1;;;;;;;1
CURA Preventie B.V.;;2;;;;;;2;2
De Boer Dental;;;;;;;;1;1
De Poppetjesshop;;;;;;;;1;1
De Roos Geschenken B.V.;;;;;;;;1;1
Deeles De Mobiele Fietsenmaker;;;;;;;1;;1
Delftechniek;;;;;;;;2;2
Delta International Uniformuitrustingen B.V.;;;;;;;;1;1
demaritime;;;;;;;;1;1
Digital Revolution B.V.;;;;;;;;1;1
Dijkgraaf-Rijsdorp B.V.;;;;;;;;1;1
Discountoffice.nl B.V.;;;;;;;1;1;1
Disseldorp Techniek B.V.;;1;;;;;;;1
Documentaal B.V.;;;;;2;;;;2
DocuMenz B.V.;;;;;2;;;;2
DotEcon Ltd;;;;;;;;5;5
Drive & Care B.V.;;;;1;;;;;1
Dutch Card Printing;;;;;1;;;1;1
Eden Springs Nederland B.V.;1;;;;;;;;1
ENGIE Services West B.V.;;1;;;;;2;;2
ESE Beheer B.V.;;1;;;;;;;1
Europac Alarmcentrale;;1;;;;;;;1
Exela Netherlands;;1;;;;;;;1
Firecom B.V.;;;;;;;;1;1
First Light B.V.;;;;;;;;1;1
Floating Farm Rotterdam B.V.;;;;;;1;;;1
FutureFood Chickpea;2;;;;;;;;2
G4S Training & Safety B.V.;;1;;;;;;;1
GH+O;;;;;2;;;;2
Gispen Groningen;;;;;;;6;1;6
GPH Schoonhouden B.V.;;;;;;;;1;1
Greenstory;;;;;;;;1;1
Grottendieck Bezuidenhout B.V.;;;;;;;1;;1
Grottendieck Maatwerk;;;;;;;1;1;1
GW Cross Media B.V.;;;;;1;;;;1
HaskoningDHV Nederland B.V.;;;;;2;;;;2
Hekker Interieurbouw B.V.;;;;;;;1;;1
Helicon Conservation Support B.V.;;;;;1;;;;1
Hepson B.V.;;;1;;;;;;1
Hepson Holding B.V.;;;1;;;;;;1
Heuvelman Sound & Vision B.V.;;;;;;;1;;1
HEYDAY Facility Management;;4;;;;;;;4
Hoornie B.V.;;1;;;;;;;1
Hydroisotop GmbH;;;;;;;;1;1
Industrieel Klimmen B.V.;;;;;;;;2;2
Interoffice Kantoorinrichting B.V.;;;;;;;;1;1
Irma Schouten;;;;;1;;;;1
Iron Mountain Nederland B.V.;;;;;2;;;;2
Isaca;;;;;1;;;;1
ISSOS B.V.;;;;;;;2;;2
Jalema B.V.;;;;;;;;1;1
Jos ten Berg's Handelmaatschappij B.V.;2;;;;;;;1;2
Jungheinrich Nederland B.V.;;;;;;;;1;1
Kabeldirect;;;;;;;;2;2
Kabri B.V.;;;;;;;;1;1
Kamera Express Den Haag B.V.;;;;;;;;1;1
Keiretsu Europe B.V.;;;;;;;;1;1
Koeman Reklame;;;;;;;;1;1
Koers Groep B.V.;;;;;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;1;1
Koninklijke PostNL B.V.;;;;1;;;;;1
Koninklijke van der Most B.V.;;;;1;2;;;3;4
Kop Beveiliging B.V.;;1;;;;;;;1
KPN B.V.;;1;;;;;;;1
Krabbendam Kadoverpakking B.V.;;;;;;;;1;1
Kroon B.V.;;;;;;;;1;1
Kruis IJzerhandel B.V.;;;;;;;;1;1
Kunst.nl B.V.;;;;;;;2;;2
Kunst.nl Holding B.V.;;;;;;;1;;1
Lasaulec B.V.;;;;;;;;2;2
LBS Projecten B.V.;;;;;1;;;;1
Livewords;;;;;1;;;1;1
Maas International B.V.;4;;;;;;;;4
Mainpress B.V.;;;;;;;;1;1
Manutan B.V.;;;1;;;;1;1;1
MatZwart;;;;;;;;1;1
MB Safety B.V.;;1;;;;;;;1
MedicaMarkt B.V.;;;;;;;;1;1
Medipreventiecentrum B.V.;;;;;;;;1;1
Medisol B.V.;;1;;;;;;;1
Misi B.V.;;;;1;;;;;1
Moduli Print B.V.;;;;1;2;;;1;3
Mondial Movers B.V.;;;;;3;;3;1;4
Motex;;;;;;;;1;1
Mulder Media B.V.;;1;;;;;;;1
Multi-Post Mail Systems B.V.;;;;;;;;1;1
Munckhof Reizen B.V.;;1;;;;;;;1
Nachtveiligheidsdienst Haarlem B.V.;;1;;;;;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;;;1
Nederlandse Aardolie Maatschappij B.V.;2;5;;;;;;3;5
Nederlandse Vereniging Bedrijfshulpverlening;;1;;;;;;;1
NL Oracle User Group;;;;;;;;1;1
Nolten;;;;;;;;1;1
