OBJECTID_1,KSYVORM,KSYHGA1,KSYBHBO,KSYBHBE,KSYBREED,XXXMATER,IWS_HBOKBO,IWS_HBOKBE,IWS_BOK_KSYBODEM,IWS_LENGTE_TOTAAL,KWKAFSL1,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,KSYIDENT,KERIDENT,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,IWS_AFST_B,KWKKEREN,WSZDEELGEBIED,OBJECTID,KSYIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,SHAPE_Length
1,1,,,,0.5,31,3.3599999,3,,22.35,,,,,Onderleider,,,,1,Syp20689,,,,,,,20689,,Waterschap,Geheel onderhoud,,,0.000329201383209731
2,1,,0.89999998,0.89999998,0.60000002,3,0.89999998,0.89999998,,19.200001,,,,,,,,,2,SY20690,,,,,,,20690,,Aangeland,Onderhoud doorstroomprofiel duiker,Aangeland,Onderhoud hoofdconstructie,0.000252862822652621
3,1,,2.6400001,2.04,0.40000001,20,,,,27,,,,,,,,,1,SZ.335.26-O8,,,,2,2,,14879,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000278966454561728
4,1,0.80000001,4.71,5.1799998,0.80000001,3,4.8800001,5,,30.24,,2011,,Ten Darperweg,Onderleider,,,,1,O35,,,,2,,,10981,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000299021585442235
5,1,,,,0.80000001,3,-2.0999999,-2.0999999,,38.599998,,2011,D&C inpassing plan  Eeserwold  in waters,Eeserwold De Wulpen,Onderleider,,,Onderleider,1,O28,,,,2,,,8116,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000466221259908703
6,1,,,,0.50999999,21,-1.05,-1.05,,38.400002,,,,,Onderleider,,,,1,O3,,,,2,,,6,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000216567744673391
7,2,,,,3.75,3,,,,61.200001,,2014,,,,,,,1,KO-O3,,,,2,2,,17135,,Staatsbosbeheer,Gewoon en buitengewoon en constructie,,,0.000114810756478143
8,1,,3.6800001,3.4000001,0.64999998,3,,3.4300001,,46.900002,,,,Grondduiker Overkamp,SW4350-SW4351-VV401,,,,1,SW.55.30-O401,,,,2,2,,13707,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000682323921229309
9,1,,,,0.60000002,21,-0.82999998,-0.82999998,,,,,,,,,,,1,SW.20.22-O2,,,,2,2,,15855,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000426229913648346
10,1,,-2.8,-2.8,0.80000001,3,,,,69.800003,,,,,,,,,1,SW.20.13-O403,,,,2,2,,16527,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000717207022910862
11,1,,,,0.89999998,21,,,,27.280001,,,Emmertochtsloot,,,,,,1,SW.20.174-O1,,,,2,2,,13698,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000252606838251263
12,1,,,,0.80000001,11,3.0899999,3.1199999,,33.799999,,,"Overijsselskanaal;ondergeleider ijzer",,,,,,1,SW.55.132-O1,,,,2,2,,13721,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000429610710433389
13,2,,,,,3,,,,,,,,,,,,,1,DV.215.116-O9,,,,2,2,,13693,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000145497798505625
14,1,,,,0.60000002,20,12.7,12.7,,68.699997,,,,,,,,,1,O20049,,,,,,,20049,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00101139894879299
15,1,,,,0.5,3,1.08,1.08,,27.6,,,,,NW2937-NW2938-VV10,,frontmuur aan instroomzijde met ijzeren krooshek,,1,NW.10.26-O10,,,,2,2,,13699,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000382971161331914
16,1,,,,0.69999999,3,4.2399998,4.27,,51.5,,,Nr. 3307a dd.09-08-74 H.I.D.,Rijksweg bij Wittelte,Onderleider onder weg,,,,1,O-26_A1_8,,,,2,,,39,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000668054835502875
17,2,,,-0.25,1.25,3,,,,2.5,4,,,,,,,,1,MB.195-O1,,,,2,2,,13705,,Waterschap,Gewoon en buitengewoon en constructie,,,2.41627403607348e-05
18,1,,,,0.5,13,,,,,5,,"Luttenberg 1; met terugslagklep,HDPE 500mm",,,,Luttenberg,,1,OK.40.47-O1,,,,2,2,,13695,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000383093865670581
19,2,0.89999998,,,1.5,3,-3.01,-3.05,,42,,,Oostzijde Onderleiders naast elkaar,Thijssengracht,Onderleider,,,,1,O16,,,,2,,,47,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000394542264824594
20,1,,,,0.30000001,20,2.9000001,2.8499999,,22,4,,Afsluitbare inlaatleiding,,Onderleider en inlaat,,,,1,D3299,,,,2,,,15,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000240143373727772
21,1,,,,1,21,3.25,3.3900001,,44.5,,,Onderdeider Beton/ijzer,Grondduiker Schoonhetense leiding,SW4261-SW4262-VV400,,,,1,SW.55.56-O400,,,,2,2,,13713,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000646267373154956
22,,,,,,3,,,,,,,,,Onderleider,,,,1,OK.40.86-O2,,,,2,2,,14559,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00039181244274169
23,1,,,,0.89999998,21,4.0500002,3.2,,36.849998,4,,Onderleider staal,,,,dubbele schuif +inspectieput,,1,SW-O1,,,,2,1,,13724,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000640015687874859
24,1,,,,0.89999998,3,-3.4100001,-3.28,,64,4,,828A,Cornelisgracht,Weg met onderleider,,,,1,828A,,,,2,,,48,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),0.000488139788687939
25,1,0.80000001,,-1.25,0.80000001,3,-0.89999998,-1.05,,27.18,,,b (bonnabuis),,Onderleider,5,,,1,O10,,,,2,,,12,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000355568458461523
26,1,,-2.28,-2.24,1.5,3,,,,,,,,"Garsteweg, Hamingen",Onderleider,,,,1,KO.20.316-O1,,,,2,1,,13599,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000866866523321667
27,1,,2.6500001,2.6500001,1.2,3,3.3,1.9,0.94999999,25.9,,2015,,,Onderleiders (2 x keer),,,,1,O44,,,,2,,,12598,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000283155255294315
28,1,,,,0.40000001,13,-1.62,-1.62,,60,,2012,,,Onderleider,,,,1,O27,,,,2,,,8100,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000617119894320384
29,1,,,,0.63,13,-5.04,-5.04,,83.519997,,2016,,,Onderleider,,,,1,O47,,,,2,,,17792,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000979343664221541
30,1,,,,,20,,,,,,,,,Onderleider,,,,1,O49,,,,,,,18432,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,0.000295970888190795
31,1,,,,0.31,13,0.94,0.94,-0.25,21.799999,,,,,,,,,1,NW.10.106-O51,,,,,,,18753,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000214873463023791
32,1,,,,0.5,3,-4.1199999,-4.1199999,,95.800003,,2014,,,Onderleider,,,,1,O39,,,,2,,,11941,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00100555334476238
33,1,,,,0.60000002,3,4.46,4.1999998,,44,,,Onderleider beton/ijzer,Grondduiker Zwaaftinks leiding,SW2530-SW2535-VV1,,"20200121 JK: Ontbrekende informatie (afmetingen) toegevoegd a.d.h.v. oude gegevens
JosK , 2-9-2015 ; lengte aangepast ivm. migratie Geonis
Sifon omgenummerd
Archiefnummer 00000401 doos 57
Archiefnummer 00000999 doos 205(JKoenjer 21-04-2010)",,1,SW.55.16-O1,,,,2,2,,13700,,Waterschap,Gewoon en buitengewoon en constructie,,,0.00072284197166664
34,1,,,,,3,,,,,,,,,,,"20200316MO:kerident gevuld.
JosK , 9-10-2014 ; Syphon omgenummerd ivm. gewijzigde situatie iom. A.Soepenberg
JosK , 25-1-2012 ; Onderleide ingevoerd iom. district",,1,DV.25.43-O10,,,,2,1,,15535,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000322010124076145
35,3,0.89999998,,,0.60000002,3,4.5,4.4200001,,42,,,Onderleider beton,Grondduiker 12 Douweler leiding,,,in- en uitstroomvoorziening,,1,SW.75.82-O101,,,,2,2,,13718,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000518946526631393
36,1,,4.8800001,4.5300002,0.5,3,,,,15.6,,,Buiten bedrijf Revisie,,,,"in- en uitstroomvoorziening
Onderleider staal",,1,SW.75.78-O102,,,,2,2,,13719,,Waterschap,Gewoon en buitengewoon en constructie,,,0.000308446080633784
